date,open,high,low,close,volume
2024-03-01,3.86,3.89,3.84,3.88,10199
2024-03-04,3.85,3.9,3.84,3.86,7636
2024-03-05,3.84,3.9,3.82,3.9,21494
2024-03-06,3.9,3.9,3.89,3.89,35207
2024-03-07,3.9,3.9,3.83,3.87,11085
2024-03-08,3.88,3.91,3.65,3.9009,124757
2024-03-11,3.8,3.88,3.8,3.85,8494
2024-03-12,3.83,3.9269,3.83,3.88,17795
2024-03-13,3.91,3.99,3.91,3.92,3018
2024-03-14,3.83,3.8557,3.83,3.85,1548
2024-03-15,3.83,3.9265,3.83,3.88,8668
2024-03-18,3.85,3.94,3.84,3.866,6687
2024-03-19,3.85,3.895,3.84,3.85,1610
2024-03-20,3.85,3.92,3.85,3.92,5195
2024-03-21,3.94,3.98,3.9,3.9,11161
2024-03-22,3.92,3.95,3.9,3.92,5557
2024-03-25,3.9,3.95,3.9,3.95,10349
2024-03-26,3.9,3.9432,3.875,3.92,25969
2024-03-27,3.9,3.9621,3.9,3.94,6708
2024-03-28,3.9,3.96,3.9,3.95,14589
2024-04-01,3.945,3.945,3.945,3.945,331
2024-04-02,3.95,3.96,3.94,3.95,2252
2024-04-03,3.96,3.98,3.92,3.95,31433
2024-04-05,3.94,3.96,3.93,3.93,2689
2024-04-08,3.98,3.98,3.93,3.9537,2070
2024-04-09,3.93,3.93,3.93,3.93,2001
2024-04-10,3.92,3.93,3.92,3.92,2811
2024-04-11,3.9497,3.9497,3.92,3.93,12826
2024-04-12,3.91,3.95,3.88,3.95,6931
2024-04-15,3.91,3.93,3.91,3.91,8873
2024-04-16,3.9108,3.95,3.9108,3.95,2211
2024-04-17,3.87,3.9118,3.78,3.91,8789
2024-04-18,3.84,3.844,2.83,3.37,97698
2024-04-19,3.39,3.55,3.21,3.25,84756
2024-04-22,3.03,3.29,2.85,2.89,57984
2024-04-23,2.86,3.22,2.4367,2.45,62656
2024-04-24,2.44,2.69,2.44,2.63,59398
2024-04-25,2.6,2.63,2.495,2.53,22454
2024-04-26,1.61,1.61,1.06,1.24,719949
2024-04-29,1.32,1.32,1.16,1.18,140142
2024-04-30,1.17,1.21,1.15,1.2,89764
2024-05-01,1.23,1.27,1.23,1.27,54463
2024-05-02,1.28,1.34,1.24,1.26,95185
2024-05-03,1.21,1.27,1.21,1.24,20631
2024-05-06,1.3,1.31,1.03,1.2,125139
2024-05-07,1.23,1.2599,1.224,1.24,32849
2024-05-08,1.25,1.2997,1.235,1.28,22489
2024-05-09,1.2536,1.26,1.23,1.23,18971
2024-05-10,1.25,1.27,1.23,1.2399,33942
2024-05-13,1.24,1.24,1.22,1.22,17357
2024-05-14,1.231,1.24,1.22,1.22,35407
2024-05-15,1.22,1.24,1.2,1.22,32746
2024-05-16,1.24,1.29,1.225,1.29,51718
2024-05-17,1.2999,1.3,1.26,1.28,22409
2024-05-20,1.2607,1.27,1.26,1.265,16165
2024-05-21,1.2615,1.27,1.25,1.265,27159
2024-05-22,1.27,1.27,1.25,1.265,6955
2024-05-23,1.2501,1.2601,1.24,1.25,19807
2024-05-24,1.25,1.251,1.22,1.25,18468
