date,open,high,low,close,volume
2024-03-01,4.35,4.4,4.21,4.32,93807
2024-03-04,4.34,4.3683,4.21,4.21,50432
2024-03-05,4.22,4.27,4.15,4.17,54590
2024-03-06,4.22,4.225,4.14,4.18,55696
2024-03-07,4.18,4.38,4.17,4.38,151846
2024-03-08,3.97,4.25,3.96,4.21,124223
2024-03-11,4.2,4.29,4.185,4.24,81546
2024-03-12,4.2,4.22,4.0851,4.12,156030
2024-03-13,4.15,4.1762,3.96,3.97,110650
2024-03-14,3.99,4.13,3.91,3.91,147298
2024-03-15,3.9,4.07,3.9,4.05,293860
2024-03-18,4.03,4.06,3.92,3.94,109998
2024-03-19,3.95,4.03,3.94,4,83274
2024-03-20,4,4.06,3.87,4.04,210464
2024-03-21,4.02,4.12,4.01,4.11,71222
2024-03-22,4.11,4.13,4.002,4.04,72077
2024-03-25,4.02,4.07,4.02,4.06,80667
2024-03-26,4.08,4.08,3.95,4,99677
2024-03-27,4.05,4.09,3.98,4.03,52231
2024-03-28,4.04,4.1297,3.97,4.04,107922
2024-04-01,4.05,4.06,3.93,3.99,150027
2024-04-02,3.97,4.09,3.97,4.08,111067
2024-04-03,4.08,4.185,4.05,4.08,153415
2024-04-04,4.11,4.15,4.06,4.07,75375
2024-04-05,4.06,4.1035,3.999,4,48865
2024-04-08,4,4.018,3.91,3.91,66122
2024-04-09,3.91,4.01,3.91,3.99,103744
2024-04-10,3.9,3.93,3.85,3.89,123943
2024-04-11,3.915,3.9221,3.82,3.85,68942
2024-04-12,3.86,3.8799,3.67,3.69,102082
2024-04-15,3.7,3.7799,3.7,3.76,120349
2024-04-16,3.76,3.79,3.68,3.68,66185
2024-04-17,3.72,3.72,3.51,3.65,122650
2024-04-18,3.66,3.71,3.63,3.64,106635
2024-04-19,3.57,3.715,3.57,3.6,303244
2024-04-22,3.63,3.67,3.57,3.59,84726
2024-04-23,3.58,3.64,3.56,3.56,72359
2024-04-24,3.56,3.565,3.48,3.5,110732
2024-04-25,3.5,3.52,3.48,3.49,193699
2024-04-26,3.5,3.5152,3.43,3.45,151704
2024-04-29,3.45,3.495,3.42,3.445,132854
2024-04-30,3.44,3.46,3.35,3.37,186443
2024-05-01,3.37,3.39,3.32,3.34,120264
2024-05-02,3.36,3.4,3.34,3.36,95445
2024-05-03,3.39,3.405,3.33,3.34,116765
2024-05-06,3.34,3.385,3.32,3.36,143560
2024-05-07,3.36,3.402,3.36,3.37,116790
2024-05-08,3.36,3.3786,3.32,3.33,72934
2024-05-09,3.33,3.36,3.3,3.3,182215
2024-05-10,3.32,3.33,2.95,2.995,256715
2024-05-13,2.99,3.01,2.93,2.95,157002
2024-05-14,3.01,3.14,2.9502,3.13,173835
2024-05-15,3.14,3.165,3.07,3.11,122232
2024-05-16,3.12,3.16,3.11,3.15,110288
2024-05-17,3.16,3.17,3.108,3.13,112651
2024-05-20,3.13,3.18,3.13,3.15,102182
2024-05-21,3.18,3.2099,3.145,3.17,114070
2024-05-22,3.18,3.19,3.15,3.16,73510
2024-05-23,3.17,3.2,3.13,3.15,91221
2024-05-24,3.14,3.1997,3.14,3.16,71164
2024-05-28,3.16,3.26,3.135,3.15,96463
2024-05-29,3.14,3.18,3.12,3.15,96157
2024-05-30,3.19,3.23,3.16,3.23,127977
2024-05-31,3.23,3.28,3.17,3.19,87106
2024-06-03,3.22,3.22,3.15,3.15,66968
2024-06-04,3.16,3.23,3.16,3.19,71771
2024-06-05,3.2,3.21,3.15,3.17,60590
2024-06-06,3.16,3.169,3.13,3.13,113484
2024-06-07,3.13,3.165,3.1,3.15,86835
