date,open,high,low,close,volume
2024-10-16,5.6,5.98,3.71,4.33,1330841.0
2024-10-17,3.92,4,2.61,3.06,1845987.0
2024-10-18,3,3.68,3,3.57,1087933.0
2024-10-21,3.74,4.2699,3.53,3.63,1101404.0
2024-10-22,3.67,3.7,3.2001,3.29,613181
2024-10-23,3.18,3.18,2.41,2.51,1647746.0
2024-10-24,2.5,2.7199,2.1259,2.3,1002741.0
2024-10-25,2.27,2.41,2.1001,2.3,684615
2024-10-28,2.33,3.3,2.2,3.01,1630942.0
2024-10-29,3,3.85,2.57,3.45,2257868.0
2024-10-30,3.43,3.58,3.1601,3.355,597840
2024-10-31,3.4,4.18,3.4,3.87,1374559.0
2024-11-01,4.12,4.6,3.977,4.28,1383219.0
2024-11-04,4.35,4.64,2.6501,2.83,2329321.0
2024-11-05,3.05,3.34,3,3.15,582906
2024-11-06,3.26,3.94,3.09,3.82,1303506.0
2024-11-07,3.64,4.16,3.56,4.13,687511
2024-11-08,3.9,4.39,3.75,4.3,926448
2024-11-11,4.32,4.75,4.03,4.71,924651
2024-11-12,4.7,4.75,4.011,4.11,699317
2024-11-13,4.14,4.3,3.8,4.3,431945
2024-11-14,4.38,4.38,4.0591,4.11,321018
2024-11-15,4.05,4.08,3.75,3.91,481066
2024-11-18,3.66,3.66,2.9101,3.12,1127956.0
2024-11-19,3.2,3.55,3.0511,3.46,719153
2024-11-20,3.69,3.73,3.3679,3.73,683143
2024-11-21,3.69,3.86,3.58,3.85,369960
2024-11-22,3.53,3.85,3.41,3.8,626683
2024-11-25,3.7,4.19,3.6,4.14,1129056.0
2024-11-26,3.97,3.99,3.61,3.69,487337
2024-11-27,3.75,3.82,3.335,3.42,481648
2024-11-29,3.48,3.6,3.31,3.47,333000
2024-12-02,3.5,3.5,3.05,3.36,686423
2024-12-03,3.33,3.6,3.18,3.58,591040
2024-12-04,3.53,3.58,3.33,3.56,342406
2024-12-05,3.5,3.675,3.11,3.46,901642
2024-12-06,3.46,4.06,3.36,3.85,1538759.0
2024-12-09,3.85,3.9812,3.057908,3.17,1529688.0
2024-12-10,3.17,3.38,3.09,3.105,570955
2024-12-11,3.13,3.16,2.78,2.92,682798
2024-12-12,2.91,2.9999,2.785,2.81,481279
2024-12-13,2.81,2.9886,2.6,2.64,474880
2024-12-16,2.78,3.05,2.64,2.71,808146
2024-12-17,2.75,2.79,2.5508,2.58,408523
2024-12-18,2.74,3.02,2.63,2.69,782299
2024-12-19,2.64,2.76,2.47,2.51,712425
2024-12-20,2.21,2.5726,2.2,2.25,727686
2024-12-23,2.28,2.38,2.14,2.37,304666
2024-12-24,2.34,2.58,2.3001,2.37,283784
2024-12-26,2.41,2.6,2.25,2.51,664840
2024-12-27,2.6,2.89,2.5,2.67,551135
2024-12-30,2.66,2.74,2.42,2.6,490345
2024-12-31,2.5,2.63,2.35,2.38,323305
2025-01-02,2.35,2.6,2.35,2.56,501311
2025-01-03,2.58,2.8,2.55,2.65,231444
2025-01-06,2.73,2.79,2.4782,2.5,375190
2025-01-07,2.47,2.7,2.45,2.61,406469
2025-01-08,2.6,2.71,2.43,2.52,321052
2025-01-10,2.56,2.93,2.26,2.52,1651899.0
2025-01-13,2.68,2.68,2.3,2.32,503690
2025-01-14,2.34,3.15,2.34,2.55,4757439.0
2025-01-15,2.7,2.7,2.2801,2.39,1477867.0
2025-01-16,2.44,2.55,2.22,2.33,1059389.0
2025-01-17,2.36,2.65,2.26,2.43,1858485.0
2025-01-21,2.35,2.46,1.8227,1.9,2022867.0
2025-01-22,1.83,1.98,1.78,1.85,676923
2025-01-23,1.78,2.045,1.63,1.96,870840
2025-01-24,1.91,2.05,1.91,1.98,452250
2025-01-27,1.98,1.99,1.72,1.72,526270
2025-01-28,1.76,1.91,1.73,1.85,376866
2025-01-29,1.83,2.0393,1.7901,1.84,1095539.0
2025-01-30,1.82,1.935,1.82,1.86,391551
2025-01-31,1.85,1.98,1.85,1.9,452817
2025-02-03,1.82,1.89,1.702,1.83,561693
2025-02-04,1.82,1.85,1.72,1.8,473904
2025-02-05,1.78,1.8799,1.71,1.75,400784
2025-02-06,1.75,1.965,1.75,1.93,799551
2025-02-07,1.88,2.05,1.87,1.92,1241114.0
2025-02-10,1.82,1.95,1.8,1.84,694590
2025-02-11,1.75,1.9088,1.75,1.81,437088
2025-02-12,1.82,1.85,1.65,1.65,483225
2025-02-13,1.69,1.79,1.66,1.72,506748
2025-02-14,1.71,1.79,1.68,1.75,455915
2025-02-18,1.71,1.84,1.62,1.65,878151
2025-02-19,1.7,1.7066,1.38,1.4,1107330.0
2025-02-20,1.42,1.49,1.21,1.23,743352
2025-02-21,1.29,1.37,1.03,1.18,759570
2025-02-24,1.22,1.25,0.9801,1.04,1063551.0
2025-02-25,1.03,1.1299,0.9,0.965,645002
2025-02-26,0.96,1.04,0.9585,0.9742,439517
2025-02-27,0.97,1.09,0.88,0.89,824891
2025-02-28,0.89,1.09,0.8851,1.02,1195970.0
