date,open,high,low,close,volume
2024-03-01,24.31,26.28,24.31,25.45,444503
2024-03-04,25.7,25.7,24.56,24.74,526559
2024-03-05,25,26.34,23.6,25.17,1064347.0
2024-03-06,25.4,26.55,25.35,26.34,450780
2024-03-07,26.81,30.958,26.81,27.34,1243849.0
2024-03-08,27.34,28.19,25.97,26.62,593371
2024-03-11,26.53,26.69,23.64,23.65,694344
2024-03-12,24.12,24.5599,23.7001,24.34,419407
2024-03-13,24.26,24.8099,23.2,23.7,332748
2024-03-14,23.3,23.8,22.13,22.44,443103
2024-03-15,22.15,23.11,21.75,22.48,503329
2024-03-18,22.25,22.94,21.815,22.1,335551
2024-03-19,22.51,24.2,21.605,24.08,620655
2024-03-20,23.77,24.56,22.68,24.12,371525
2024-03-21,24.67,25.064,23.59,24.14,283556
2024-03-22,25.3,26.4209,24.04,24.32,646181
2024-03-25,24.53,25.68,24,24,417258
2024-03-26,24,25.55,24,25.39,443735
2024-03-27,25.39,26.7,25.03,25.52,767148
2024-03-28,25.53,25.75,24.21,24.68,1258056.0
2024-04-01,24.81,24.865,22.1,22.11,1174914.0
2024-04-02,22,22.26,20.93,21.39,842043
2024-04-03,21.4,21.83,20.83,21.6,685978
2024-04-04,21.55,22.025,20.25,20.26,671305
2024-04-05,20.17,20.86,19.87,20.26,481900
2024-04-08,20.31,20.47,19.58,20.14,735827
2024-04-09,20.13,21.05,19.97,20.48,521485
2024-04-10,20.16,20.427,19.63,20.33,421196
2024-04-11,20.47,21.25,20.34,21.02,374799
2024-04-12,20.55,21.03,20.31,20.58,305366
2024-04-15,21.72,21.72,18.83,18.85,719028
2024-04-16,18.87,19.0699,18.16,18.4,881761
2024-04-17,18.5,18.56,17.38,17.38,958696
2024-04-18,17.34,17.97,17.15,17.18,849823
2024-04-19,17.26,17.6,15.42,15.48,2102371.0
2024-04-22,16.06,16.06,15.06,15.28,1315586.0
2024-04-23,15.32,15.65,14.64,14.66,886397
2024-04-24,14.76,14.92,14.2,14.27,555381
2024-04-25,14.2,14.61,13.8222,14.26,733820
2024-04-26,14.28,14.39,13.7,13.73,966544
2024-04-29,13.71,14.145,13.7,13.82,785941
2024-04-30,14.26,14.36,13.81,14.06,1538199.0
2024-05-01,13.95,15.255,13.92,14.69,805620
2024-05-02,14.79,15.02,14.39,14.97,816811
2024-05-03,15.26,16.0548,15.1,15.75,729170
2024-05-06,15.75,16.1799,15.12,15.46,492494
2024-05-07,15.47,15.605,15.02,15.33,342539
2024-05-08,15.21,15.9,15.12,15.7,504769
2024-05-09,15.7,15.84,15.24,15.48,344322
2024-05-10,15.69,15.89,14.88,15.5,1046676.0
2024-05-13,15.6,16.79,15.55,15.61,833041
2024-05-14,15.2,15.65,14.29,14.72,1131498.0
2024-05-15,14.93,15.73,14.66,14.8,935231
2024-05-16,14.65,14.82,14.24,14.4,809420
2024-05-17,14.27,14.48,13.56,13.83,699021
2024-05-20,13.96,14.21,13.6,13.8,1340386.0
2024-05-21,13.69,14.14,13.515,13.65,602113
2024-05-22,14.9,15.45,14.39,14.42,1161663.0
2024-05-23,14.73,14.88,13.99,14.34,766951
2024-05-24,14.26,14.9,14.16,14.22,1067886.0
2024-05-28,14.45,14.99,14.24,14.62,706022
2024-05-29,14.32,14.65,14.2101,14.62,660584
2024-05-30,14.63,15.4295,14.46,14.71,763578
2024-05-31,15.32,15.81,14.61,14.94,1561577.0
2024-06-03,15,15.585,14.31,14.59,815350
2024-06-04,14.47,14.62,13.895,14.16,873362
2024-06-05,14.22,15.73,14.065,15.55,869848
2024-06-06,15.5,15.5,14.62,15.15,532166
2024-06-07,14.93,15.355,14.93,15.2,311237
2024-06-10,15.26,16.11,15.2233,16.05,955040
2024-06-11,15.99,16.1797,15.36,15.7,638572
2024-06-12,16.2,16.76,15.975,16,724814
2024-06-13,16,16.58,15.8275,16.04,439402
2024-06-14,15.74,16.32,14.715,14.92,903045
2024-06-17,14.95,14.975,13.02,13.15,1647989.0
2024-06-18,13.15,13.47,12.8,13.28,969363
2024-06-20,13.2,13.32,12.27,12.58,1332929.0
2024-06-21,12.68,12.99,12.11,12.44,3259727.0
2024-06-24,12.43,12.4838,11.68,11.94,1335574.0
2024-06-25,11.89,12.09,11.31,11.54,1002302.0
2024-06-26,11.5,12.08,11.07,12.03,900216
2024-06-27,12.2,12.51,11.91,11.97,1110237.0
2024-06-28,11.84,12.27,11.535,12.1,8574390.0
2024-07-01,11.92,12.2781,11.79,12.2,897194
2024-07-02,12.22,12.22,11.5,11.7,606632
2024-07-03,11.77,12.24,11.71,12.12,373286
2024-07-05,12.22,12.22,11.75,12.03,503796
2024-07-08,12.12,12.66,12.04,12.2,639377
2024-07-09,12.2,12.6,12.12,12.5,482549
2024-07-10,12.51,12.65,11.95,12.05,622287
2024-07-11,12.37,13.325,12.305,12.98,748447
2024-07-12,13.12,13.58,12.92,13.49,562406
2024-07-15,13.58,14.24,13.44,14.16,487225
2024-07-16,14.34,14.8,14.05,14.66,627863
2024-07-17,14.31,14.8401,13.852,13.99,549290
2024-07-18,14.03,14.26,13.3,13.71,492482
2024-07-19,13.8,13.92,13.01,13.31,553480
2024-07-22,13.52,13.83,12.955,13.76,401664
2024-07-23,13.64,14.99,13.635,14.82,494814
2024-07-24,14.61,15.21,14.56,15.17,642863
2024-07-25,15.28,16.34,15.17,16.03,927315
2024-07-26,16.39,16.6699,15.85,16.51,700115
2024-07-29,16.5,16.81,14.76,15.76,834633
2024-07-30,15.93,16.12,15.07,15.45,472567
2024-07-31,15.63,15.7,14.69,15.41,789387
2024-08-01,15.38,15.5681,14.5026,15.07,753301
2024-08-02,14.33,14.55,13.63,13.79,773649
2024-08-05,12.89,12.9999,12.24,12.355,902008
2024-08-06,12.55,13.48,12.15,13.23,698027
2024-08-07,13.57,13.64,11.91,12.46,838687
2024-08-08,12.59,13.16,12.33,12.94,471502
2024-08-09,13.08,13.29,12.84,12.92,456966
2024-08-12,12.93,13.17,12.38,12.64,465068
2024-08-13,12.74,13.55,12.19,13.53,830979
2024-08-14,13.65,13.65,13.13,13.5,464714
2024-08-15,13.75,14.35,13.59,13.95,443213
2024-08-16,13.93,13.93,13.43,13.53,368460
2024-08-19,13.47,14.34,13.47,14.3,317453
2024-08-20,14.54,15.37,14.43,15.21,485996
2024-08-21,15.23,15.69,14.7701,15.2,357578
2024-08-22,15.29,15.79,14.55,14.58,412303
2024-08-23,14.79,15.5852,14.5,15.45,290589
2024-08-26,15.62,15.87,15.35,15.71,230622
2024-08-27,15.65,15.67,14.95,14.97,434931
2024-08-28,14.91,15.81,14.825,15.53,491327
2024-08-29,15.72,16.3999,15.21,15.24,576067
2024-08-30,15.32,15.69,14.88,15.18,443863
2024-09-03,15.17,15.62,13.93,14.04,467056
2024-09-04,13.86,14.87,13.44,14.71,593047
2024-09-05,14.66,14.6732,14.145,14.22,280924
2024-09-06,14.18,14.38,13.23,13.54,639354
2024-09-09,13.7,14.73,13.625,14.62,516211
2024-09-10,14.67,14.96,14.41,14.63,315876
2024-09-11,14.49,14.7,14.23,14.46,235644
2024-09-12,14.47,15.09,14.31,14.71,303189
2024-09-13,15,16.07,14.95,15.97,905231
2024-09-16,16.2,16.73,15.53,15.79,616000
2024-09-17,16,16.05,15.011,15.4,1293422.0
2024-09-18,15.42,15.68,14.93,15.5,828163
2024-09-19,15.91,16.55,15.055,15.29,1473240.0
2024-09-20,15.29,15.51,14.7,14.99,1858659.0
2024-09-23,15,15.4,13.98,14,705839
2024-09-24,14.3,14.665,13.95,14.61,517272
2024-09-25,14.7,14.75,14.095,14.26,414841
2024-09-26,14.53,14.75,13.91,14.34,602032
2024-09-27,14.53,15.2,14.37,14.38,2344944.0
2024-09-30,14.39,14.83,14.3,14.62,888877
2024-10-01,14.51,14.51,13.49,13.52,920151
2024-10-02,13.32,13.67,12.895,13.5,597688
2024-10-03,13.37,13.6,13.13,13.43,321536
2024-10-04,13.74,13.91,13.1,13.17,537992
2024-10-07,13.23,13.23,12.24,12.45,651249
2024-10-08,12.5,13.4,12.445,12.9,740543
2024-10-09,12.88,12.88,11.92,12.3,807812
2024-10-10,12.12,12.22,11.77,11.87,657005
2024-10-11,11.79,12.46,11.73,12.23,711560
2024-10-14,12.17,12.27,11.8728,12.15,378736
2024-10-15,12.15,12.44,11.81,12.18,604489
2024-10-16,12.28,12.38,11.85,12.34,429757
2024-10-17,12.3,12.32,12,12.09,500137
2024-10-18,12.24,12.46,12.08,12.28,392965
2024-10-21,12.23,12.36,11.8,11.91,430900
2024-10-22,11.82,11.91,11.355,11.71,782558
2024-10-23,11.64,11.91,11.33,11.6,413274
2024-10-24,11.73,12.055,11.64,12.01,351866
2024-10-25,12.1,12.65,11.91,12.11,499110
2024-10-28,12.34,12.72,12.17,12.43,287747
2024-10-29,12.47,12.47,11.93,12.2,378353
2024-10-30,12.06,12.42,11.9,12.2,255616
2024-10-31,12.07,12.08,11.43,11.47,498424
2024-11-01,11.81,11.9235,11.48,11.59,616250
2024-11-04,11.52,12.86,11.4,12.81,666392
2024-11-05,12.78,13,12.495,12.97,412855
2024-11-06,13.45,13.66,13.0249,13.1,546565
2024-11-07,13.09,13.63,12.4601,12.54,621106
2024-11-08,13.26,13.47,12.71,12.98,529554
2024-11-11,13.22,13.52,12.7,13.26,414659
2024-11-12,12.93,13.085,12.4,12.49,504906
2024-11-13,12.74,12.772691,11.55,11.59,604201
2024-11-14,11.57,11.66,10.7,11.14,1179373.0
2024-11-15,11.19,11.19,9.635,9.905,3163694.0
2024-11-18,10.2,10.2,9.41,9.435,1877386.0
2024-11-19,9.28,9.53,9.185,9.39,701847
2024-11-20,9.29,9.36,8.97,9.33,691759
2024-11-21,9.43,9.7123,9.05,9.42,660860
2024-11-22,9.46,10.03,9.325,9.82,1168356.0
2024-11-25,11.1,11.31,10.67,11.15,2236261.0
2024-11-26,11.15,11.81,10.82,11.53,1010965.0
2024-11-27,11.68,13.53,11.62,13.47,1380368.0
2024-11-29,13.44,13.66,13.0802,13.55,435220
2024-12-02,13.93,14.47,13.64,14.08,965018
2024-12-03,14,14.1697,13.27,13.54,675436
2024-12-04,13.65,14.09,12.96,13.54,888084
2024-12-05,13.47,13.63,12.67,12.7,647117
2024-12-06,12.83,13.839,12.545,13.73,460036
2024-12-09,13.9,15.125,13.9,14.53,792826
2024-12-10,14.42,14.42,13.34,13.9,689723
2024-12-11,13.99,14.1,12.9914,14.04,652236
2024-12-12,13.47,14.09,13,13.07,529823
2024-12-13,13,13.125,12.34,12.58,594486
2024-12-16,12.55,12.85,12.227,12.44,544701
2024-12-17,12.4,12.54,11.7,12.02,873032
2024-12-18,12.01,12.14,10.76,11.11,1074654.0
2024-12-19,11.26,11.44,10.86,11.08,1029555.0
2024-12-20,10.94,11.5,10.82,10.97,1424762.0
2024-12-23,10.97,11.075,10.75,10.97,1030869.0
2024-12-24,10.98,11.0825,10.67,11.02,593889
2024-12-26,11,11.2764,10.835,11.1,376768
2024-12-27,11,11.16,10.365,10.54,2454314.0
2024-12-30,10.42,10.57,10.11,10.28,463537
2024-12-31,10.43,10.74,10.2001,10.62,1034456.0
2025-01-02,10.72,11.16,10.47,10.53,567270
2025-01-03,10.61,11.355,10.61,11.27,703578
2025-01-06,11.46,11.555,11.03,11.2,561388
2025-01-07,11.4,11.6,10.71,10.76,363156
2025-01-08,10.72,10.85,10.35,10.66,331527
2025-01-10,10.37,10.66,10.27,10.6,851788
2025-01-13,10.35,10.485,9.36,10.04,1034305.0
2025-01-14,10.12,10.13,9.24,9.38,515445
2025-01-15,9.81,10.15,9.5,10.11,669751
2025-01-16,10.63,11.06,9.6028,9.86,1302511.0
2025-01-17,10.02,10.385,9.6901,9.99,888714
2025-01-21,10.17,10.52,9.85,10.17,617079
2025-01-22,10.17,10.33,9.88,10.21,538884
2025-01-23,10.09,10.573,9.83,10.22,776543
2025-01-24,10.3,10.4111,9.89,9.95,525929
2025-01-27,9.77,10.36,9.5766,9.69,414874
2025-01-28,9.65,9.65,9.17,9.24,524497
2025-01-29,9.17,9.42,9.06,9.35,446646
2025-01-30,9.55,10.655,9.17,10.51,4876752.0
2025-01-31,10.54,11.43,10.3707,11.03,3108376.0
2025-02-03,10.65,10.92,10.29,10.32,1109256.0
2025-02-04,11.16,11.31,10.55,11.08,1612797.0
2025-02-05,11.16,12.22,11.1,11.83,997729
2025-02-06,11.94,11.9491,11.29,11.43,731846
2025-02-07,11.3,11.55,10.8375,10.87,851093
2025-02-10,11,12.44,10.82,11.22,2089153.0
2025-02-11,11,11.18,9.86,10.27,1420896.0
2025-02-12,10,10.42,9.67,10.4,896717
2025-02-13,10.39,10.53,9.95,10.43,427386
2025-02-14,10.46,10.6,10.175,10.4,365213
2025-02-18,10.48,10.6805,9.845,9.93,878353
2025-02-19,9.91,10.19,9.82,9.9,440038
2025-02-20,9.9,10.12,9.631,10.11,524725
2025-02-21,10.24,10.47,9.51,9.52,655453
2025-02-24,9.55,9.85,9.21,9.35,809181
2025-02-25,9.32,9.91,8.93,9.67,994480
2025-02-26,9.78,9.97,9.4,9.58,456052
2025-02-27,9.55,9.765,8.86,8.89,537111
2025-02-28,8.7,9.44,8.55,9.4,890282
