date,open,high,low,close,volume
2024-03-01,1.99,2,1.9431,1.98,22701
2024-03-04,2,2,1.95,1.98,26777
2024-03-05,1.92,1.96,1.88,1.95,26241
2024-03-06,1.93,1.94,1.88,1.88,15853
2024-03-07,1.9,1.9,1.85,1.88,45298
2024-03-08,1.9,1.9,1.8601,1.88,7485
2024-03-11,1.82,1.83,1.79,1.83,27398
2024-03-12,1.74,1.78,1.68,1.78,80908
2024-03-13,1.76,1.83,1.74,1.8,26495
2024-03-14,1.81,1.81,1.66,1.75,9690
2024-03-15,1.76,1.86,1.75,1.85,74593
2024-03-18,1.95,2.0637,1.92,1.99,83881
2024-03-19,2,2.04,1.97,2,26490
2024-03-20,2.1,2.29,2.09,2.29,131089
2024-03-21,2.3,2.315,2.1902,2.27,45611
2024-03-22,2.3,2.58,2.29,2.54,352837
2024-03-25,2.51,2.61,2.46,2.55,184554
2024-03-26,2.5,2.5998,2.45,2.55,75764
2024-03-27,2.53,2.55,2.21,2.53,87110
2024-03-28,2.55,2.75,2.54,2.71,163355
2024-04-01,2.86,2.88,2.58,2.68,140038
2024-04-02,2.73,2.73,2.61,2.66,84053
2024-04-03,2.62,2.9199,2.46,2.72,292177
2024-04-04,2.65,2.72,2.53,2.53,84111
2024-04-05,2.53,2.59,2.5212,2.545,37805
2024-04-08,2.62,2.69,2.61,2.69,43285
2024-04-09,2.63,2.6499,2.57,2.58,22890
2024-04-10,2.42,2.58,2.41,2.45,68916
2024-04-11,2.44,2.49,2.43,2.43,20377
2024-04-12,2.43,2.46,2.34,2.36,28177
2024-04-15,2.49,2.5,2.4,2.45,99474
2024-04-16,2.43,2.44,2.37,2.37,13321
2024-04-17,2.37,2.4,2.34,2.36,10190
2024-04-18,2.48,2.59,2.46,2.59,25466
2024-04-19,2.54,2.5699,2.45,2.53,9552
2024-04-22,2.5,2.54,2.4712,2.53,30111
2024-04-23,2.55,2.62,2.52,2.6,27345
2024-04-24,2.56,2.7801,2.56,2.67,27277
2024-04-25,2.69,2.69,2.63,2.64,12391
2024-04-26,2.61,2.7,2.61,2.66,11909
2024-04-29,2.68,2.68,2.61,2.62,13803
2024-04-30,2.65,3.03,2.62,2.92,230787
2024-05-01,3.12,3.1299,2.84,2.96,250134
2024-05-02,3,3.1,2.9901,3.08,89353
2024-05-03,3.12,3.15,3,3.12,82018
2024-05-06,3.35,3.72,3.3203,3.62,163406
2024-05-07,3.46,3.46,2.89,3.22,138610
2024-05-08,3.25,3.3986,3.18,3.32,47645
2024-05-09,3.28,3.34,3.18,3.29,43495
2024-05-10,3.33,3.345,3.1,3.19,48683
2024-05-13,3.22,3.2473,3.09,3.09,22791
2024-05-14,3.14,3.26,3.12,3.245,32647
2024-05-15,3.17,3.28,3.06,3.28,110378
2024-05-16,3.08,3.16,3.0001,3.145,70544
2024-05-17,3.04,3.29,3.04,3.29,201700
