date,open,high,low,close,volume
2024-03-01,11.61,12.55,11.61,12.39,85356
2024-03-04,12.61,13.3,12.4901,12.86,79022
2024-03-05,12.82,13.03,12.03,12.17,75841
2024-03-06,12.18,12.89,12.18,12.65,32748
2024-03-07,12.8,13.25,12.3201,12.5,101275
2024-03-08,12.87,12.96,12.095,12.21,59937
2024-03-11,12.05,12.28,11.6476,11.72,62043
2024-03-12,11.92,12.175,11.7,11.76,30982
2024-03-13,11.61,12.0899,11.61,11.81,39220
2024-03-14,11.78,11.89,11.25,11.44,57447
2024-03-15,11.26,11.83,11,11.06,63155
2024-03-18,11.03,11.52,10.79,11.02,80772
2024-03-19,11,11.235,10.8,10.94,75874
2024-03-20,11.05,11.64,10.9,11.59,87417
2024-03-21,11.52,11.92,11.5,11.92,42684
2024-03-22,11.5,12.38,11.5,12.2,69816
2024-03-25,12.29,12.48,11.44,11.71,63723
2024-03-26,11.76,11.995,11.54,11.88,36402
2024-03-27,11.74,12.19,11.35,11.63,92870
2024-03-28,11.81,12.05,11.28,11.75,96495
2024-04-01,11.75,11.85,11.11,11.52,110261
2024-04-02,11.42,11.58,10.6199,10.95,156705
2024-04-03,10.95,11.33,10.04,10.1,176598
2024-04-04,10.25,10.59,9.84,10.25,141201
2024-04-05,10.25,10.38,10.02,10.34,76655
2024-04-08,10.36,10.77,10.14,10.36,223895
2024-04-09,10.47,10.83,10.09,10.56,176411
2024-04-10,10.47,11.3,10.47,10.84,109522
2024-04-11,10.82,11.22,10.7,10.94,54199
2024-04-12,10.93,11.0139,10.22,10.39,74573
2024-04-15,10.302,10.302,9.4,9.58,125932
2024-04-16,9.46,9.64,8.8,9.15,118273
2024-04-17,8.845,9.1585,8.4,8.43,148236
2024-04-18,8.46,8.9,8.38,8.8,97911
2024-04-19,8.76,8.9899,8.3,8.37,69216
2024-04-22,8.4,10.73,8.4,10.625,687880
2024-04-23,10.37,10.55,9.6201,10.14,178613
2024-04-24,10.32,10.73,9.88,10.62,114535
2024-04-25,10.17,11.145,10.04,10.84,115766
2024-04-26,10.83,11.73,10.83,11.29,77738
2024-04-29,11.39,12.1245,11.3382,11.77,258177
2024-04-30,12.4,12.72,11.32,11.84,441412
2024-05-01,12,12.6,11.52,11.6,243186
2024-05-02,11.9,11.99,10.81,11.13,130735
2024-05-03,11.17,11.75,11.12,11.57,124759
2024-05-06,11.6,11.7584,11.1056,11.2,119738
2024-05-07,11.15,11.43,10.94,11.18,63843
2024-05-08,10.85,11.4,10.34,10.48,128190
2024-05-09,10.43,10.86,10.32,10.77,107133
2024-05-10,10.67,10.67,9.9,10.02,148564
2024-05-13,10.02,10.09,9.67,9.92,154536
2024-05-14,9.92,10.53,9.87,10.49,105144
2024-05-15,10.7,11.36,10.5224,11.36,138421
2024-05-16,11.34,11.465,10.95,11.17,64134
2024-05-17,11.36,11.36,10.76,10.85,84727
2024-05-20,10.85,11.26,10.6178,11.23,122662
2024-05-21,11.1053,11.3005,10.52,10.56,96919
2024-05-22,10.7,11.034,10.61,10.7,60090
2024-05-23,10.66,10.7,9.76,10.12,104051
2024-05-24,10.13,10.3194,9.9,10.11,65492
2024-05-28,10.26,10.305,9.93,10.15,83390
2024-05-29,9.96,10.095,9.62,9.65,68087
2024-05-30,9.66,9.8725,9.51,9.535,66338
2024-05-31,9.58,9.65,9.275,9.45,61224
2024-06-03,9.57,9.72,9.16,9.63,105676
2024-06-04,9.47,9.58,9.12,9.19,75850
2024-06-05,9.27,9.53,9.18,9.39,85605
2024-06-06,9.26,9.38,8.7925,8.95,117153
2024-06-07,8.9,9.107,8.67,8.76,68525
2024-06-10,8.61,8.7896,8.49,8.72,114767
2024-06-11,8.75,8.79,8.51,8.51,76337
2024-06-12,8.73,8.9,8.625,8.75,64561
2024-06-13,8.75,9.14,8.65,9.08,68470
2024-06-14,8.91,8.98,8.49,8.49,77005
2024-06-17,8.6,8.76,8.21,8.28,119735
2024-06-18,8.23,8.4099,7.41,7.7,399083
2024-06-20,7.71,7.91,7.51,7.7,98946
2024-06-21,7.7,7.7,7.27,7.41,177109
2024-06-24,7.37,7.915,7.36,7.53,143946
2024-06-25,7.53,7.5453,7.07,7.15,167731
2024-06-26,7.42,7.67,7.11,7.29,316305
2024-06-27,7.58,8.69,7.57,8.69,355890
2024-06-28,8.82,9.01,8.28,8.82,1724360.0
2024-07-01,8.89,9.0144,8.33,8.42,203636
2024-07-02,8.33,8.5,7.99,8.07,152865
2024-07-03,8.2,8.2028,7.8,7.99,112145
2024-07-05,7.95,8.01,7.7,7.83,159354
2024-07-08,7.87,7.93,7.2,7.69,259652
2024-07-09,7.68,7.84,7.53,7.8,76898
2024-07-10,7.75,8.44,7.75,8.39,81975
2024-07-11,8.61,9.15,8.56,9.04,148158
2024-07-12,9.07,9.57,8.83,9.24,138793
2024-07-15,9.34,9.7,9.2,9.53,83951
2024-07-16,9.69,10.05,9.6,9.86,93554
2024-07-17,9.76,9.85,9.07,9.08,111206
2024-07-18,9.02,9.17,8.37,8.53,91005
2024-07-19,8.55,8.5538,8.05,8.08,111601
2024-07-22,8.19,8.82,8.0101,8.54,80874
2024-07-23,8.58,8.76,8.34,8.46,161356
2024-07-24,8.27,8.65,8.03,8.26,87320
2024-07-25,8.24,8.78,8.23,8.47,160489
2024-07-26,8.69,8.72,8.3089,8.58,133669
2024-07-29,8.66,8.83,8.24,8.35,134372
2024-07-30,8.39,8.43,7.76,8.26,211579
2024-07-31,8.3,8.78,8.18,8.59,114687
2024-08-01,8.61,8.61,7.735,7.91,253020
2024-08-02,7.75,8.54,7.65,8.17,211305
2024-08-05,7.63,7.89,7.4,7.64,234528
2024-08-06,7.65,7.9987,7.16,7.17,164405
2024-08-07,7.35,7.525,6.93,7.05,226231
2024-08-08,7.12,7.67,6.9,7.59,125036
2024-08-09,7.56,7.56,7.29,7.36,40135
2024-08-12,7.41,7.41,6.95,7.11,193104
2024-08-13,7.17,7.23,6.95,6.98,170706
2024-08-14,7.05,7.05,6.6,6.73,170752
2024-08-15,6.92,7.04,6.8301,6.87,104684
2024-08-16,6.91,7.4968,6.9,7.13,185955
2024-08-19,7.12,7.39,6.81,6.99,416642
2024-08-20,6.99,7.11,6.61,6.69,194387
2024-08-21,6.72,6.97,6.41,6.85,290256
2024-08-22,7.05,7.05,6.44,6.45,294788
2024-08-23,6.47,6.99,6.42,6.95,182684
2024-08-26,7.13,7.13,6.87,7.05,138907
2024-08-27,6.99,7.1,6.8868,7.06,62866
2024-08-28,7.02,7.0262,6.71,6.83,107581
2024-08-29,6.87,7.04,6.74,6.86,106562
2024-08-30,6.89,6.96,6.54,6.62,109984
2024-09-03,6.6,6.65,6.125,6.15,141442
2024-09-04,6.13,6.26,5.98,6.15,94018
2024-09-05,6.13,6.206,5.99,6,135532
2024-09-06,5.96,6.02,5.795,5.88,176079
2024-09-09,5.87,6.42,5.87,6.22,125000
2024-09-10,6.18,6.18,5.9,6,100315
2024-09-11,5.99,6.28,5.92,6.23,127163
2024-09-12,6.27,6.49,6.19,6.39,65757
2024-09-13,5.59,5.68,5.4,5.46,1219541.0
2024-09-16,5.48,5.52,5.2001,5.385,500741
2024-09-17,5.5,5.6,5.4,5.55,786336
2024-09-18,5.6,5.6892,5.18,5.19,474481
2024-09-19,5.37,5.4919,5.291,5.33,189619
2024-09-20,5.36,5.3987,5.09,5.22,312804
2024-09-23,5.32,5.408,5.07,5.16,315516
2024-09-24,5.17,5.18,4.99,5.12,180319
2024-09-25,5.12,5.12,4.81,4.86,212725
2024-09-26,4.93,5.0684,4.82,4.96,297724
2024-09-27,5.27,5.745,5.08,5.22,770396
2024-09-30,5.42,5.42,5.23,5.39,402881
2024-10-01,5.42,5.73,5.37,5.51,379798
2024-10-02,5.5,5.5,5.09,5.31,322638
2024-10-03,5.31,5.48,5.265,5.3,268282
