date,open,high,low,close,volume
2024-10-03,13.5,18.75,10.5,13.5329,278403
2024-10-04,12.5,15.21,12.0886,12.69,60277
2024-10-07,12,12.6,11.01,11.36,38565
2024-10-08,11.78,11.89,8.55,10.3001,23488
2024-10-09,10.5,12.12,10.15,10.79,16389
2024-10-10,10.7,12.48,10.7,11.61,11252
2024-10-11,11.97,12.21,11.06,11.85,19174
2024-10-14,12.58,12.7,11.4388,12.69,15476
2024-10-15,12.97,12.97,12,12.37,5852
2024-10-16,12.8,12.8,10.69,11.77,9388
2024-10-17,11.38,12.35,11.38,12.27,4554
2024-10-18,12.26,14.4842,11.57,12.58,16897
2024-10-21,12.185,12.49,11,11.9,8896
2024-10-22,11.05,11.88,11.05,11.5,5425
2024-10-23,11.5,11.9495,10.78,11.2,23217
2024-10-24,11.31,11.5,10.61,10.61,11222
2024-10-25,10.86,11.4,10.31,10.73,44383
2024-10-28,11.04,12.1,11,12.1,11829
2024-10-29,11.425,12.1,11.275,12,31661
2024-10-30,11.405,12,10.5,10.9,24604
2024-10-31,11,11.1,10.05,10.17,22534
2024-11-01,10.6,11.75,10.5,11.1,16169
2024-11-04,11.175,11.175,10.5,10.51,21114
2024-11-05,10.65,10.7356,10.31,10.31,28797
2024-11-06,10.95,11.2,10.5233,11,24076
2024-11-07,11.7499,11.7499,11,11.49,10459
2024-11-08,11,11.67,10.6,11.55,24745
2024-11-11,10.5739,11.22,10.5739,11.2,7178
2024-11-12,11,11.26,10.9,10.97,10313
2024-11-13,10.9139,10.9139,10.53,10.64,4901
2024-11-14,11.2,11.49,11.01,11.01,13252
2024-11-15,11.21,11.3,10.794,11.01,24271
2024-11-18,11.2,11.36,10.82,10.82,7743
2024-11-19,10.745,11.16,10.745,11,13190
2024-11-20,11,11.43,11,11.09,31501
2024-11-21,11.42,11.43,10.37,10.66,34633
2024-11-22,10.5,11.13,10.5,11.13,5323
2024-11-25,11.05,11.09,10.15,10.25,21944
2024-11-26,10.34,10.65,9,9.2,22542
2024-11-27,9.53,10.28,9.12,10.14,13222
2024-11-29,10.5,10.5,9.94,9.94,3290
2024-12-02,10.13,11,9.9086,11,13380
2024-12-03,10.5,11.02,10.25,10.48,21451
2024-12-04,10.55,10.55,10.3,10.51,18917
2024-12-05,10.3168,10.52,10.3168,10.45,15335
2024-12-06,10.3,10.75,10.29,10.51,29153
2024-12-09,11,12.5,10.765,12.2,219155
2024-12-10,11.89,12.5,11.65,12.47,116563
2024-12-11,12.25,12.7,12.25,12.61,93854
2024-12-12,12.5,12.54,12.31,12.53,91738
2024-12-13,12.55,12.62,12.19,12.55,96071
2024-12-16,12.22,12.53,12.0051,12.42,189946
2024-12-17,12.3,13,12.2,12.79,195033
2024-12-18,12.55,13.15,12.55,12.9,209500
2024-12-19,13.1,13.56,12.93,13.37,233938
2024-12-20,13.17,14.95,12.67,13.66,1224676.0
2024-12-23,13.58,13.59,12.82,13.35,91045
2024-12-24,13.69,13.81,13.15,13.59,93801
2024-12-26,13.26,13.61,12.3783,12.5,44339
2024-12-27,12.78,13.45,12.4133,13.38,111811
2024-12-30,12.66,13.75,12.645,13.57,51588
2024-12-31,13.85,13.9,13.0292,13.85,103164
2025-01-02,13.83,13.9,13.47,13.84,79784
2025-01-03,13.031,13.9,13.031,13.54,119435
2025-01-06,13.5,13.71,13,13.24,106537
2025-01-07,13,13,12.6491,12.66,18159
2025-01-08,12.83,12.83,11.69,11.69,48076
2025-01-10,12,12,11.01,11.57,47908
2025-01-13,11.65,11.93,11.05,11.44,50925
2025-01-14,11.32,12.14,11,11.62,42918
2025-01-15,11.75,12.89,11.75,12.82,37019
2025-01-16,12.6,13.05,12.11,12.92,26538
2025-01-17,12.8,12.9,12.3,12.6,30864
2025-01-21,12.52,12.59,11.75,12.37,59084
2025-01-22,12.17,12.57,11.88,12.42,46105
2025-01-23,12.66,12.66,12.1,12.38,74114
2025-01-24,12.4835,12.77,12.2,12.43,44678
2025-01-27,12.1,12.695,12.1,12.51,39202
2025-01-28,12.64,12.64,12.03,12.3,52687
2025-01-29,12.075,12.32,11.7525,12.31,39266
2025-01-30,12.3,12.3,11.92,12.12,26849
2025-01-31,12.07,12.48,11.7,12.3,23864
2025-02-03,12.07,12.535,12.07,12.49,24519
2025-02-04,12.395,12.56,12.1,12.24,21194
2025-02-05,12.19,12.5,11.725,12.34,25007
2025-02-06,12.43,12.55,12.11,12.39,23664
2025-02-07,12.3,12.56,12.09,12.56,18299
2025-02-10,12.68,12.705,12,12.05,81989
2025-02-11,12.5,12.5,10.91,11.05,173400
2025-02-12,11.1,11.155,10.75,11.04,52521
2025-02-13,11,11.335,11,11.13,52754
2025-02-14,11.24,11.25,11,11.08,24660
2025-02-18,11.1,11.1,10.76,10.95,35082
2025-02-19,11,11.1,10.86,10.95,37656
2025-02-20,11,11.115,10.6,10.75,33759
2025-02-21,10.75,10.84,9.01,9.18,68228
2025-02-24,9.2,9.4442,8.13,8.41,59856
2025-02-25,8.37,8.85,8.0842,8.23,49760
2025-02-26,8.28,8.99,8.28,8.84,53645
2025-02-27,9.1665,9.1665,8.5,8.5,26067
2025-02-28,8.69,9.19,8.66,8.7,21664
