date,open,high,low,close,volume
2024-03-01,3.66,4,3.54,3.96,168110
2024-03-04,4.01,4.185,3.915,4.1,109548
2024-03-05,4.06,4.3392,4.06,4.25,85484
2024-03-06,4.36,5.07,4.3554,5,285683
2024-03-07,5,5.5,4.8001,5.315,232668
2024-03-08,5.41,5.51,5.03,5.24,134380
2024-03-11,5.27,5.39,4.96,5.16,146404
2024-03-12,5.29,5.29,4.61,4.75,128802
2024-03-13,4.75,4.895,4.68,4.86,105222
2024-03-14,4.84,4.84,4.34,4.51,137631
2024-03-15,4.81,5.045,4.81,5,262396
2024-03-18,4.99,5.1244,4.75,4.75,67863
2024-03-19,4.81,4.87,4.53,4.8,92203
2024-03-20,4.8,5.2,4.73,5.01,86453
2024-03-21,5.05,5.239,4.75,4.78,102595
2024-03-22,4.78,4.78,4.4,4.43,108458
2024-03-25,4.43,4.5,4,4.01,206307
2024-03-26,4.06,4.06,3.93,3.98,93307
2024-03-27,3.86,4.39,3.86,4.27,255975
2024-03-28,4.39,4.39,4.05,4.18,173391
2024-04-01,4.19,4.32,4.01,4.05,82638
2024-04-02,3.84,3.94,3.74,3.79,117581
2024-04-03,3.73,3.86,3.6,3.7,92414
2024-04-04,3.7,3.866,3.63,3.64,72538
2024-04-05,3.63,3.75,3.57,3.63,27552
2024-04-08,3.67,3.8387,3.51,3.78,212083
2024-04-09,3.72,4.05,3.68,4.01,79877
2024-04-10,3.91,4,3.6,3.78,94887
2024-04-11,3.97,4.4278,3.8001,4.05,248594
2024-04-12,4.01,4.07,3.6393,3.91,115200
2024-04-15,3.92,3.99,3.625,3.67,42136
2024-04-16,3.63,3.63,2.985,3.14,309444
2024-04-17,3.21,3.215,2.82,2.84,179248
2024-04-18,2.86,3.05,2.75,2.975,145448
2024-04-19,2.99,3.2,2.905,3.09,111437
2024-04-22,3.1,3.37,2.98,3.05,64459
2024-04-23,3.09,3.565,2.96,3.13,75104
2024-04-24,3.12,3.22,2.79,2.96,134089
2024-04-25,2.88,3.18,2.85,3.15,116059
2024-04-26,3.22,3.25,2.82,2.88,161095
2024-04-29,2.88,3.4495,2.88,3.05,102231
2024-04-30,3,3.07,2.855,2.91,165277
2024-05-01,2.96,3.13,2.96,3.04,109352
2024-05-02,3.09,3.09,2.95,3,114397
2024-05-03,3.1,3.2,2.98,3.03,186681
2024-05-06,3.1,3.42,3,3.17,100162
2024-05-07,3.17,3.7,3.12,3.37,113352
2024-05-08,3.36,3.36,3.01,3.07,85329
2024-05-09,3.09,3.19,2.9,3.04,123981
2024-05-10,3.05,3.41,2.98,3.13,69157
2024-05-13,3.17,3.2,2.95,3,69564
2024-05-14,3.08,3.22,2.95,3.15,79457
2024-05-15,3.22,3.22,3.01,3.09,69206
2024-05-16,3.1,3.22,3.025,3.13,61526
2024-05-17,3.15,3.1862,2.95,3.01,73782
2024-05-20,3.04,3.125,2.86,3,67278
2024-05-21,3,3.16,2.9,2.97,63072
2024-05-22,3.04,3.47,2.91,3.3,185875
2024-05-23,3.31,3.325,3.02,3.12,65036
2024-05-24,3.13,3.305,2.98,3.04,55048
2024-05-28,3.08,3.39,3,3.3,135622
2024-05-29,3.2,3.39,3.1,3.25,102690
2024-05-30,3.28,3.29,3.07,3.08,99678
