date,open,high,low,close,volume
2024-03-01,10.15,10.38,10.14,10.33,44075
2024-03-04,10.3,10.33,10.18,10.26,38735
2024-03-05,10.26,10.26,9.9,9.97,69988
2024-03-06,9.99,9.99,9.6,9.77,56298
2024-03-07,9.77,9.935,9.7,9.83,48725
2024-03-08,9.96,9.96,9.71,9.75,42243
2024-03-11,9.75,9.7981,9.55,9.6,22767
2024-03-12,9.56,9.7125,9.37,9.44,38874
2024-03-13,9.43,9.47,9.3,9.36,35157
2024-03-14,9.36,9.37,9.04,9.09,36496
2024-03-15,8.94,10.29,8.94,10.28,258087
2024-03-18,10.43,10.43,9.25,9.98,136557
2024-03-19,9.89,9.89,9.13,9.53,59870
2024-03-20,9.73,9.76,9.28,9.56,48893
2024-03-21,9.3,9.39,8.02,8.115,316123
2024-03-22,6.02,6.0899,5.5301,5.92,1356946.0
2024-03-25,6.32,6.3995,5.82,5.88,280901
2024-03-26,5.93,6.05,5.62,5.93,164007
2024-03-27,6.07,6.393,6.02,6.13,240244
2024-03-28,6.09,6.28,5.85,6.13,120826
2024-04-01,6.13,6.2,5.91,5.99,65614
2024-04-02,5.99,5.99,5.73,5.83,78965
2024-04-03,5.79,6.2,5.73,6.01,135910
2024-04-04,6.01,6.01,5.84,5.9,67205
2024-04-05,5.86,5.9894,5.81,5.82,31544
2024-04-08,5.88,5.9887,5.78,5.86,27043
2024-04-09,5.85,5.8785,5.79,5.82,26732
2024-04-10,5.81,5.84,5.43,5.55,88052
2024-04-11,5.55,5.78,5.4103,5.55,69703
2024-04-12,5.6,5.65,5.43,5.48,56355
2024-04-15,5.48,5.56,5.4,5.46,39319
2024-04-16,5.37,5.46,5.005,5.34,58326
2024-04-17,5.3722,5.835,5.34,5.71,73171
2024-04-18,5.7,5.83,5.55,5.77,58414
2024-04-19,5.7,5.71,5.37,5.54,109936
2024-04-22,5.52,5.5437,5.28,5.35,25879
2024-04-23,5.53,5.57,5.43,5.44,12418
2024-04-24,5.38,5.44,5.14,5.21,48932
2024-04-25,5.2,5.31,5.06,5.09,29735
2024-04-26,5.15,5.225,5.1101,5.21,13987
2024-04-29,5.21,5.29,5.1,5.13,21094
2024-04-30,5.2,5.56,5.16,5.17,81704
2024-05-01,5.25,5.75,5.25,5.42,105772
2024-05-02,5.35,5.73,5.27,5.71,48810
2024-05-03,5.72,5.72,5.5844,5.66,23923
2024-05-06,5.66,6.11,5.66,5.98,44728
2024-05-07,5.9728,5.9899,5.8,5.87,33554
2024-05-08,5.8,6.02,5.65,5.99,33172
2024-05-09,5.95,6.1,5.86,6.03,67791
2024-05-10,6.1,6.1,5.87,5.88,57884
2024-05-13,6,6.09,5.8,5.98,42037
2024-05-14,6.01,6.01,5.83,5.97,43036
2024-05-15,5.9,6.63,5.75,6.33,103872
2024-05-16,6.28,6.99,6.19,6.99,102778
2024-05-17,7,7.47,6.98,7.19,131208
2024-05-20,7.3,7.44,6.87,7.07,148823
2024-05-21,7.01,7.55,7.01,7.51,51206
2024-05-22,7.5,7.8,7.3938,7.62,94470
2024-05-23,7.63,7.67,7.53,7.57,50665
2024-05-24,7.58,7.86,7.5,7.86,41876
2024-05-28,7.87,8.4,7.61,7.77,113927
2024-05-29,7.98,7.98,7.3,7.4,167530
2024-05-30,7.34,7.52,7.04,7.12,96948
2024-05-31,7.16,7.24,7.01,7.06,32476
2024-06-03,7.09,7.52,7.05,7.37,45116
2024-06-04,7.53,7.7399,7.2901,7.44,87401
2024-06-05,7.43,7.43,7,7.01,62271
2024-06-06,7.01,7.27,7.01,7.08,48689
2024-06-07,7,7.19,6.95,7.14,46632
2024-06-10,7.02,7.33,7.02,7.29,24376
2024-06-11,7.25,7.4,7.02,7.06,32632
2024-06-12,7.07,7.35,7.07,7.1,38451
2024-06-13,7.1,7.25,7.06,7.09,30624
2024-06-14,7,7.24,7,7.14,28717
2024-06-17,7.16,7.33,6.97,7.32,50766
2024-06-18,7.25,7.39,7.16,7.2,20621
2024-06-20,7.38,7.38,7.12,7.19,17577
2024-06-21,7.14,7.23,6.9,6.91,91654
2024-06-24,7,7.28,6.85,7.24,81877
2024-06-25,7.23,7.7,7.23,7.56,102629
2024-06-26,7.46,7.64,7.21,7.23,49920
2024-06-27,7.28,7.65,7.27,7.57,36905
2024-06-28,7.59,8.13,7.5,8,461809
2024-07-01,8.03,8.05,7.7,7.74,89284
2024-07-02,7.7,7.8187,7.555,7.72,33174
2024-07-03,7.74,8,7.6628,7.91,29157
2024-07-05,7.89,7.89,7.66,7.73,32034
2024-07-08,7.78,7.84,7.675,7.8,52693
2024-07-09,7.73,7.77,7.57,7.57,27840
2024-07-10,7.58,7.64,7.5,7.57,36877
2024-07-11,7.71,7.89,7.5527,7.88,63381
2024-07-12,7.9,7.9,7.69,7.77,43708
2024-07-15,7.8,7.9,7.51,7.86,54147
2024-07-16,7.9,7.93,7.615,7.65,64033
2024-07-17,7.67,7.705,7.35,7.38,85571
2024-07-18,7.3,7.39,6.86,7.02,74745
2024-07-19,7.16,7.16,6.4,6.41,86476
2024-07-22,6.42,7,6.42,6.93,78435
2024-07-23,6.89,7.38,6.8201,7.29,50263
2024-07-24,7.27,7.43,7.03,7.1,62553
2024-07-25,7.12,7.54,7.03,7.41,55077
2024-07-26,7.45,7.51,7.27,7.5,29631
2024-07-29,7.48,7.62,7.11,7.12,50056
2024-07-30,7.15,7.69,7.15,7.54,74440
2024-07-31,7.34,7.65,7.34,7.64,66405
2024-08-01,7.59,7.66,7.15,7.17,42029
2024-08-02,7.05,7.17,6.75,6.75,33294
2024-08-05,6.48,7.7099,6.4298,6.79,141148
2024-08-06,6.77,7,6.68,6.69,47696
2024-08-07,6.76,6.9358,6.61,6.63,45971
2024-08-08,6.63,6.85,6.6,6.73,26418
2024-08-09,6.73,7.64,6.69,7.4,82313
2024-08-12,7.42,7.7097,7.22,7.26,93973
2024-08-13,7.25,7.6,7.2,7.46,49747
2024-08-14,7.5872,7.59,7.23,7.36,15363
2024-08-15,7.59,7.75,7.375,7.6,41887
2024-08-16,7.56,7.67,7.46,7.48,52941
2024-08-19,7.43,7.75,7.21,7.5,91505
2024-08-20,7.525,7.57,7.39,7.43,42175
2024-08-21,7.495,7.54,7.43,7.43,12130
2024-08-22,7.4,7.5093,7.24,7.24,14120
2024-08-23,7.37,7.59,7.37,7.5,36237
2024-08-26,7.57,7.74,7.37,7.39,28499
2024-08-27,7.5,7.5,7.28,7.28,24481
2024-08-28,7.34,7.355,7.22,7.22,16997
2024-08-29,7.31,7.38,7.22,7.3,38609
2024-08-30,7.25,7.3,7.2,7.24,19551
2024-09-03,7.2,7.24,7.01,7.07,25297
2024-09-04,7.02,7.33,7.02,7.06,31588
2024-09-05,7.17,7.1835,6.85,6.91,50465
2024-09-06,6.885,7.0494,6.635,6.66,35853
2024-09-09,6.64,7.335,6.64,7.01,153522
2024-09-10,7.1,7.34,7.02,7.11,84766
2024-09-11,7.13,7.36,6.91,7.33,120222
2024-09-12,7.33,7.4,7.1,7.27,82914
2024-09-13,7.29,7.44,7.19,7.39,51524
2024-09-16,7.37,7.58,7.33,7.55,109219
2024-09-17,7.55,7.79,7.52,7.54,133243
2024-09-18,7.52,7.67,7.4208,7.45,89368
2024-09-19,7.54,7.55,7.3,7.37,91666
2024-09-20,7.44,7.71,7.18,7.4,1086942.0
2024-09-23,7.47,7.47,6.52,6.72,196031
2024-09-24,6.77,6.94,6.2599,6.27,163214
2024-09-25,6.53,6.53,5.75,5.82,273049
2024-09-26,6.66,7.16,6.45,6.48,320579
2024-09-27,6.73,7.0499,6.4924,6.6,119199
2024-09-30,6.62,6.7133,5.907,6.205,174621
2024-10-01,6.19,6.3681,6.1,6.26,71300
2024-10-02,6.36,6.46,6.22,6.37,70199
2024-10-03,6.32,6.5,6.21,6.3,59026
2024-10-04,6.34,6.45,6.23,6.25,40856
2024-10-07,6.25,6.7712,6.25,6.57,73608
2024-10-08,6.51,6.66,6.4,6.48,52576
2024-10-09,6.4,6.71,6.4,6.52,74249
2024-10-10,6.44,6.4919,6.31,6.42,34812
2024-10-11,6.4493,6.67,6.312,6.67,45931
2024-10-14,6.64,6.942,6.6,6.69,73995
2024-10-15,6.67,6.78,6.35,6.43,101698
2024-10-16,6.52,6.68,6.4,6.58,82017
2024-10-17,6.55,6.95,6.48,6.89,104169
2024-10-18,6.9,6.99,6.35,6.75,267153
2024-10-21,6.76,6.76,6.425,6.48,78825
2024-10-22,6.46,6.541,6.2,6.4,107951
2024-10-23,6.4,6.52,6.33,6.52,55069
2024-10-24,6.49,6.55,6.14,6.33,188492
2024-10-25,6.34,6.35,6.1633,6.21,33710
2024-10-28,6.25,6.31,5.9851,6.06,49634
2024-10-29,6.04,6.12,5.89,5.93,50883
2024-10-30,5.9,6.03,5.87,5.97,33017
2024-10-31,6.01,6.01,5.52,5.61,91979
2024-11-01,5.71,5.7297,5.61,5.69,43966
2024-11-04,5.64,5.84,5.64,5.8,52097
2024-11-05,5.78,5.88,5.71,5.88,38563
2024-11-06,5.92,6.5,5.92,6.48,128977
2024-11-07,6.43,6.48,5.94,6.18,146602
2024-11-08,6.29,6.33,6.11,6.26,47096
2024-11-11,5.8,6.39,5.77,5.89,253366
2024-11-12,5.95,6.19,5.905,6.01,74504
2024-11-13,5.96,6.16,5.83,6.03,93956
2024-11-14,6.11,7.1974,6.02,6.92,320170
2024-11-15,7.02,7.47,6.4,6.52,302004
2024-11-18,6.68,6.71,6.21,6.26,78137
2024-11-19,6.25,6.36,6.15,6.36,50877
2024-11-20,6.36,6.4,6.195,6.29,38915
2024-11-21,6.29,6.56,6.1,6.25,102139
2024-11-22,6.22,6.33,6.205,6.21,41925
2024-11-25,6.2689,6.33,6.185,6.26,62237
2024-11-26,6.28,6.35,6.16,6.31,43839
2024-11-27,6.32,6.4,6.15,6.2,40624
2024-11-29,6.16,6.22,6.14,6.14,35043
2024-12-02,6.16,6.29,6.1,6.28,52430
2024-12-03,6.24,6.2882,6.07,6.14,52198
2024-12-04,6.15,6.1598,5.71,5.76,100250
2024-12-05,5.81,5.8952,5.47,5.6,123826
2024-12-06,5.64,6,5.5,5.89,108069
2024-12-09,5.99,5.99,5.76,5.85,50226
2024-12-10,5.805,6.02,5.76,5.94,47979
2024-12-11,6.03,6.19,5.88,6.1,84363
2024-12-12,6.11,6.25,6.07,6.1,84996
2024-12-13,6.1,6.38,6.09,6.19,104889
2024-12-16,6.2,6.36,6.09,6.15,41656
2024-12-17,5.91,6.2,5.9,5.94,55163
2024-12-18,5.97,5.9892,5.46,5.54,69718
2024-12-19,5.6,5.68,5.35,5.35,44571
2024-12-20,5.3,5.79,5.3,5.76,122010
2024-12-23,5.81,6.1328,5.71,6.11,145833
2024-12-24,6.12,6.12,5.68,5.73,42983
2024-12-26,5.7,5.8,5.53,5.66,87576
2024-12-27,5.42,5.6309,5.09,5.26,138013
2024-12-30,5.27,5.43,5.14,5.145,68981
2024-12-31,5.21,5.21,4.99,5.03,63848
2025-01-02,5.09,5.2,4.9,4.91,57187
2025-01-03,4.9,5.1,4.84,5.05,99100
2025-01-06,5.2,5.3,4.98,4.98,61409
2025-01-07,5.05,5.12,4.73,4.74,66060
2025-01-08,4.72,4.8,4.5,4.54,44303
2025-01-10,4.45,4.7686,4.4,4.46,79316
2025-01-13,4.42,4.62,4.35,4.55,49776
2025-01-14,4.56,4.7382,4.46,4.59,24173
2025-01-15,4.73,4.977542,4.7,4.79,52379
2025-01-16,4.77,4.932,4.56,4.65,67101
2025-01-17,4.69,4.69,4.43,4.55,72005
2025-01-21,4.61,4.715,4.45,4.45,29524
2025-01-22,4.8,4.9883,4.35,4.42,115112
2025-01-23,4.45,4.73,4.3314,4.47,51390
2025-01-24,4.48,4.77,4.4116,4.5,25456
2025-01-27,4.48,4.78,4.48,4.75,57395
2025-01-28,4.81,4.815,4.585,4.67,31068
2025-01-29,4.65,4.7,4.59,4.62,19701
2025-01-30,4.7,4.805,4.5884,4.66,20872
2025-01-31,4.66,4.81,4.64,4.77,35537
2025-02-03,4.68,4.83,4.6,4.6,19659
2025-02-04,4.64,4.9414,4.64,4.76,23614
2025-02-05,4.78,4.92,4.7,4.73,32016
2025-02-06,4.75,4.8,4.62,4.71,32784
2025-02-07,4.69,4.79,4.5,4.67,90334
2025-02-10,4.6,4.9752,4.1614,4.36,102408
2025-02-11,4.31,4.4,4.15,4.28,29872
2025-02-12,4.3,4.41,4.22,4.25,42594
