date,open,high,low,close,volume
2024-03-01,0.1337,0.14,0.1322,0.1322,8899
2024-03-05,0.14,0.14,0.11,0.11,8070
2024-03-07,0.14,0.14,0.14,0.14,100
2024-03-13,0.1397,0.1397,0.1397,0.1397,6400
2024-03-14,0.11,0.11,0.1,0.1,10353
2024-03-15,0.1,0.1,0.1,0.1,2791
2024-03-19,0.1,0.1099,0.1,0.1049,15836
2024-03-20,0.1,0.1099,0.1,0.105,15664
2024-03-21,0.092499,0.0965,0.092499,0.095,4800
2024-03-22,0.08,0.08,0.075,0.075,2404
2024-03-25,0.07,0.07,0.051,0.07,2100
2024-03-26,0.0735,0.08,0.071,0.0749,6800
2024-03-27,0.075,0.075,0.07,0.07,9252
2024-03-28,0.07,0.07,0.07,0.07,9036
2024-04-03,0.075,0.075,0.05,0.075,2400
2024-04-05,0.05,0.0549,0.05,0.0549,400
2024-04-08,0.0534,0.0534,0.0534,0.0534,187
2024-04-09,0.05,0.12,0.04495,0.12,16493
2024-04-10,0.125,0.125,0.125,0.125,185
2024-04-12,0.15,0.17,0.08,0.08,4304
2024-04-15,0.147,0.17,0.1413,0.17,3045
2024-04-16,0.193,0.22,0.1714,0.22,2202
2024-04-17,0.12,0.12,0.12,0.12,6859
2024-04-18,0.1,0.1,0.1,0.1,101
2024-04-23,0.1,0.1,0.1,0.1,400
2024-04-24,0.14,0.14,0.14,0.14,1344
2024-04-25,0.145,0.15,0.14,0.15,1050
2024-04-26,0.15,0.15,0.14,0.14,1942
2024-04-29,0.14,0.14,0.14,0.14,1159
2024-04-30,0.14,0.14,0.1399,0.1399,2735
2024-05-02,0.14,0.14,0.13,0.13,2050
2024-05-06,0.1,0.11,0.1,0.1001,8443
2024-05-07,0.1301,0.1301,0.1301,0.1301,100
2024-05-14,0.13,0.13,0.13,0.13,308
2024-05-15,0.1,0.15,0.1,0.15,2000
2024-05-20,0.1,0.1,0.1,0.1,100
2024-05-21,0.1,0.1,0.1,0.1,6000
2024-05-23,0.1,0.1,0.1,0.1,5158
2024-05-31,0.0756,0.0756,0.0756,0.0756,245
2024-06-04,0.0751,0.0751,0.07,0.07,1300
2024-06-06,0.0505,0.0505,0.0505,0.0505,1006
2024-06-07,0.0561,0.0561,0.05,0.0506,31454
2024-06-10,0.0501,0.0502,0.0501,0.0501,800
2024-06-12,0.1,0.1249,0.1,0.11,604
2024-06-14,0.1349,0.1349,0.1349,0.1349,1522
2024-06-17,0.1291,0.1291,0.1291,0.1291,100
2024-06-18,0.1282,0.1282,0.1282,0.1282,103
2024-06-20,0.08,0.08,0.08,0.08,103
2024-06-24,0.07,0.07,0.07,0.07,200
2024-06-25,0.052,0.052,0.045,0.045,10000
2024-07-05,0.0451,0.0451,0.0451,0.0451,1000
2024-07-10,0.08,0.08,0.0455,0.0578,9026
2024-07-11,0.0813,0.1161,0.0742,0.0809,4720
2024-07-12,0.0716,0.0795,0.07,0.0705,6017
2024-07-15,0.0705,0.0799,0.0705,0.0708,1239
2024-07-17,0.06,0.0701,0.052,0.07,4152
2024-07-18,0.075101,0.075101,0.075,0.0751,14015
2024-07-23,0.0799,0.0799,0.0799,0.0799,5000
2024-07-25,0.079799,0.079799,0.079799,0.079799,312
