date,open,high,low,close,volume
2024-03-01,3.148,3.19,3.01,3.02,1691
2024-03-04,2.92,3.01,2.92,3.01,1659
2024-03-05,3.08,3.1,2.95,2.95,7149
2024-03-06,2.99,3.0937,2.99,3.0158,864
2024-03-07,3.26,3.31,3.1,3.2,13377
2024-03-11,3.03,3.03,3.03,3.03,1210
2024-03-12,2.96,3.2799,2.96,3.1,7255
2024-03-13,3.27,3.28,2.7,3.0116,18057
2024-03-14,3.19,3.5,3.04,3.25,13263
2024-03-15,3.36,3.36,3.1,3.1,12310
2024-03-18,2.89,3.05,2.89,3.03,4140
2024-03-19,3.09,3.33,3.09,3.25,5890
2024-03-20,3.1107,3.8789,3.1107,3.48,14748
2024-03-21,3.4,3.5699,3.35,3.36,7543
2024-03-22,3.2,3.55,3.2,3.5,6641
2024-03-25,3.24,3.37,2.8,3,362779
2024-03-26,3,3.27,2.97,3.11,5747
2024-03-27,2.93,3.6,2.9,3.58,22050
2024-03-28,3.4,3.5,3.1866,3.5,8091
2024-04-01,3.3,3.47,3.3,3.47,736
2024-04-02,3.19,3.22,3.19,3.21,2665
2024-04-03,3.03,3.15,3.03,3.09,2334
2024-04-04,3.05,3.32,3.05,3.32,2567
2024-04-05,3.16,3.1943,3.02,3.1943,1058
2024-04-08,3.1,3.1,3.07,3.07,1048
2024-04-09,3.1,3.29,3,3.22,27843
2024-04-10,3.1001,3.2,3.1001,3.14,1976
2024-04-11,3.13,3.13,3,3.0001,2421
2024-04-12,3,3.105,3,3.1,3681
2024-04-15,3,3.04,3,3.04,1061
2024-04-16,3.02,3.0997,3,3.01,4205
2024-04-17,2.96,3.15,2.94,3.0972,8434
2024-04-18,2.92,2.92,2.92,2.92,621
2024-04-19,2.94,2.94,2.801,2.91,5275
2024-04-22,2.95,3.25,2.95,3.01,2544
2024-04-23,3.14,3.14,3.14,3.14,436
2024-04-24,3.15,3.15,3.14,3.14,501
2024-04-25,3,3,2.99,2.99,968
2024-04-26,3.01,3.01,3.01,3.01,257
2024-04-29,3.01,3.13,3.01,3.13,870
2024-04-30,2.98,3.08,2.9299,2.95,1646
2024-05-02,2.99,3.1,2.95,3.1,799
2024-05-03,2.9501,3.08,2.9501,3.08,8029
2024-05-06,2.89,3,2.8754,2.8754,4477
2024-05-08,2.87,3.1,2.87,3.1,708
2024-05-09,2.85,3.0425,2.8,2.864,6168
2024-05-10,3.02,3.02,2.8781,2.8781,957
2024-05-13,2.9,2.97,2.9,2.96,1793
2024-05-14,2.95,3,2.9,2.9,4881
2024-05-15,3.01,3.15,2.965,3.15,10356
2024-05-16,3.1,3.2,3.1,3.1999,2736
2024-05-17,3.24,3.24,3.15,3.18,3208
2024-05-20,3.18,3.26,3.12,3.17,4973
2024-05-21,3.19,3.19,3.11,3.11,1395
2024-05-22,3.04,3.04,2.95,2.95,1867
2024-05-23,3,3.19,2.98,3.07,4861
2024-05-24,3.15,3.15,3.15,3.15,629
2024-05-28,3.06,3.21,3.032,3.032,3787
2024-05-29,2.95,3.157,2.95,3.157,1244
2024-05-30,3,3.14,2.95,3.14,4717
2024-05-31,3.18,3.18,3.125,3.125,1955
2024-06-03,3.13,3.13,3.13,3.13,638
2024-06-04,3.09,3.21,3,3.06,8182
2024-06-05,3.1,3.1,2.91,2.91,2935
2024-06-06,3.04,3.2,2.92,2.92,5555
2024-06-07,2.975,2.975,2.975,2.975,371
2024-06-10,2.96,3.2665,2.95,2.9628,2727
2024-06-11,3,3.05,3,3.05,2509
2024-06-12,2.99,3.2983,2.91,3.155,10899
2024-06-13,2.92,3.23,2.92,3.12,5518
2024-06-14,3.11,3.23,3.11,3.15,2679
2024-06-17,3.1294,3.25,3.129,3.24,3549
2024-06-18,3.21,3.35,3.18,3.18,7480
2024-06-20,3.19,3.3,3.19,3.23,2821
2024-06-21,3.19,3.34,2.9,2.93,13784
2024-06-24,2.93,3.12,2.93,2.95,4411
2024-06-25,2.92,2.93,2.55,2.65,9774
2024-06-26,2.86,2.86,2.65,2.8,2734
2024-06-27,2.59,2.91,2.59,2.91,941
2024-06-28,2.74,2.91,2.74,2.88,4900
2024-07-01,2.69,2.825,2.66,2.67,2414
2024-07-03,2.8,2.8,2.8,2.8,293
2024-07-05,2.79,2.8,2.6,2.6,8599
2024-07-08,2.61,2.61,2.5875,2.59,1152
2024-07-09,2.49,2.4901,2.49,2.4901,1241
2024-07-10,2.7,2.7,2.5681,2.5681,1857
2024-07-11,2.56,2.56,2.5267,2.54,1795
2024-07-12,2.5499,2.57,2.5452,2.57,1829
2024-07-15,2.57,2.57,2.57,2.57,491
2024-07-16,2.3801,2.5699,2.3801,2.5699,1271
2024-07-17,2.63,2.63,2.36,2.55,1769
2024-07-18,2.58,2.58,2.51,2.562,1531
