date,open,high,low,close,volume
2024-03-01,0.2244,0.225,0.1981,0.2241,1652
2024-03-04,0.22,0.22,0.1325,0.15,26335
2024-03-05,0.19,0.26,0.15,0.2399,48717
2024-03-06,0.245,0.245,0.1538,0.1725,70594
2024-03-07,0.1992,0.2714,0.1851,0.229,23703
2024-03-08,0.1889,0.27,0.1551,0.165,29754
2024-03-11,0.2498,0.2498,0.15,0.228,29899
2024-03-12,0.223,0.2278,0.14,0.178749,25929
2024-03-13,0.1957,0.2,0.18,0.194,6534
2024-03-14,0.1767,0.1767,0.1225,0.1225,49730
2024-03-15,0.1582,0.171,0.1473,0.1603,8781
2024-03-18,0.1746,0.182,0.143,0.1787,28756
2024-03-19,0.175,0.2,0.1523,0.19,32555
2024-03-20,0.19,0.199,0.165767,0.165767,11598
2024-03-21,0.189,0.23935,0.189,0.235,27275
2024-03-22,0.163,0.25,0.163,0.23,9780
2024-03-25,0.22,0.23,0.22,0.2299,19721
2024-03-26,0.21,0.21,0.1819,0.209719,2755
2024-03-27,0.225,0.2323,0.162,0.1863,42553
2024-03-28,0.2159,0.2159,0.165,0.182,60174
2024-04-01,0.2243,0.2243,0.185,0.199,6502
2024-04-03,0.2075,0.23,0.1947,0.22,24350
2024-04-04,0.225,0.225,0.14,0.17,67000
2024-04-05,0.1875,0.215,0.164723,0.166,19632
2024-04-08,0.2028,0.2048,0.165,0.1699,59607
2024-04-09,0.187,0.1961,0.1565,0.1858,51129
2024-04-10,0.163,0.178,0.1135,0.178,84982
2024-04-11,0.176899,0.176899,0.125,0.1742,5818
2024-04-12,0.1692,0.1742,0.13,0.17048,33396
2024-04-15,0.1723,0.1723,0.1351,0.169,5261
2024-04-16,0.1799,0.1799,0.125,0.1597,71725
2024-04-17,0.1722,0.1722,0.1391,0.1472,4424
2024-04-18,0.1674,0.169,0.1101,0.1616,8322
2024-04-19,0.1596,0.1675,0.101,0.1675,22883
2024-04-22,0.16,0.161,0.14625,0.1599,3169
2024-04-23,0.14205,0.16,0.12,0.12,75103
2024-04-24,0.144,0.1486,0.14,0.1486,1162
2024-04-25,0.1398,0.1475,0.1398,0.1475,257
2024-04-26,0.1202,0.1485,0.1202,0.1475,5910
2024-04-29,0.1389,0.1469,0.1212,0.1404,16305
2024-04-30,0.128411,0.1486,0.128411,0.1435,23289
2024-05-01,0.1211,0.1421,0.101,0.1421,6510
2024-05-02,0.1422,0.16,0.106,0.158,12515
2024-05-03,0.15,0.1619,0.1384,0.1619,103981
2024-05-06,0.2178,0.22,0.1975,0.1975,811
2024-05-07,0.2075,0.2075,0.2075,0.2075,1143
2024-05-08,0.159749,0.1975,0.1597,0.197499,3500
2024-05-09,0.2154,0.22,0.175,0.1975,9387
2024-05-10,0.22,0.22,0.15409,0.1606,14130
2024-05-13,0.221,0.221,0.152,0.159899,8336
2024-05-14,0.1956,0.1956,0.1873,0.1873,400
2024-05-15,0.173799,0.1925,0.1551,0.1925,3260
2024-05-16,0.1925,0.1925,0.1925,0.1925,224
2024-05-17,0.1925,0.1925,0.1925,0.1925,1018
2024-05-21,0.1414,0.2,0.1275,0.1923,55140
2024-05-22,0.145,0.188,0.145,0.188,9631
2024-05-23,0.16655,0.1897,0.16655,0.1897,3737
2024-05-24,0.198,0.2,0.1775,0.2,940
2024-05-31,0.175751,0.2,0.175751,0.195,1809
2024-06-03,0.1919,0.2025,0.1515,0.2025,1790
2024-06-04,0.2,0.2,0.2,0.2,865
2024-06-05,0.2075,0.21,0.199001,0.21,9272
2024-06-06,0.21,0.21,0.2099,0.21,5506
2024-06-10,0.165,0.21,0.165,0.21,5223
2024-06-11,0.1969,0.21,0.17,0.21,4361
2024-06-12,0.1989,0.21,0.175,0.21,6405
2024-06-13,0.155,0.2075,0.155,0.2075,443
2024-06-14,0.2057,0.217499,0.1887,0.2075,1439
2024-06-17,0.22,0.22,0.145,0.22,16260
2024-06-21,0.2075,0.2075,0.145,0.204599,18940
2024-06-24,0.1875,0.2068,0.1875,0.2068,1161
2024-06-25,0.165,0.21,0.165,0.1652,6107
2024-06-26,0.1997,0.1997,0.1997,0.1997,220
2024-06-27,0.165,0.198,0.165,0.198,3522
2024-06-28,0.19,0.2,0.19,0.2,2046
2024-07-05,0.170201,0.2,0.170201,0.2,1235
2024-07-08,0.18,0.2,0.18,0.2,1682
2024-07-12,0.17,0.209899,0.17,0.209899,443
2024-07-16,0.205,0.2175,0.172499,0.211313,25676
2024-07-19,0.22,0.22,0.2199,0.22,603
2024-07-22,0.221,0.23,0.2209,0.2209,3607
2024-07-23,0.22,0.22,0.22,0.22,200
2024-07-29,0.1621,0.22,0.1621,0.22,2375
2024-07-31,0.1789,0.2175,0.1789,0.2175,4101
2024-08-01,0.2175,0.2175,0.2175,0.2175,1000
2024-08-05,0.2175,0.2175,0.1525,0.217399,3290
2024-08-07,0.155,0.205,0.155,0.205,8349
2024-08-08,0.1955,0.21,0.175075,0.21,3497
2024-08-12,0.207,0.21,0.1872,0.21,7989
2024-08-13,0.19,0.21,0.172188,0.21,3390
2024-08-15,0.21,0.21,0.21,0.21,148
2024-08-16,0.21,0.215,0.1912,0.215,930
2024-08-20,0.2178,0.2178,0.217,0.217,260
2024-08-21,0.215,0.2175,0.215,0.2175,3631
2024-08-23,0.2,0.217,0.1919,0.217,2760
2024-08-27,0.2121,0.217,0.21,0.2169,2900
2024-08-28,0.1938,0.217,0.1684,0.217,7706
2024-08-29,0.217,0.217,0.217,0.217,2000
2024-08-30,0.21683,0.217,0.2085,0.2169,4847
2024-09-03,0.1819,0.217,0.157499,0.217,3879
2024-09-04,0.217,0.22,0.1796,0.187171,25208
2024-09-05,0.2,0.2,0.180199,0.1999,25243
2024-09-09,0.217,0.217,0.181,0.217,703
2024-09-10,0.2,0.2,0.14995,0.2,66378
2024-09-11,0.217,0.217,0.217,0.217,121
2024-09-12,0.217,0.217,0.215192,0.215192,220
2024-09-13,0.2,0.2,0.1601,0.1875,28209
2024-09-16,0.2,0.2,0.2,0.2,5355
2024-09-17,0.186203,0.217,0.165201,0.217,3130
2024-09-18,0.217,0.217,0.2169,0.2169,1026
2024-09-20,0.1961,0.214,0.1525,0.2,22868
2024-09-23,0.215,0.215,0.185049,0.2125,876
2024-09-25,0.2,0.2,0.1755,0.2,5403
2024-09-26,0.154,0.2125,0.154,0.2075,8421
2024-09-30,0.19,0.2,0.18,0.2,5672
2024-10-01,0.181299,0.2025,0.181299,0.2025,411
2024-10-03,0.1691,0.2025,0.169,0.2025,2140
2024-10-04,0.178,0.205,0.178,0.205,1844
2024-10-07,0.2125,0.2125,0.19005,0.2099,1472
2024-10-08,0.1901,0.21,0.1901,0.21,232
2024-10-14,0.19,0.23,0.16,0.22,13390
2024-10-15,0.170001,0.2253,0.170001,0.1837,6119
2024-10-16,0.21,0.21,0.207,0.207,423
2024-10-17,0.2074,0.21,0.1995,0.21,2140
2024-10-18,0.21,0.21,0.21,0.21,244
2024-10-21,0.2099,0.21,0.189,0.21,1328
2024-10-22,0.204056,0.21,0.1995,0.209708,3507
2024-10-24,0.21,0.21,0.1995,0.21,781
2024-10-25,0.1908,0.2253,0.161,0.2118,2370
2024-10-28,0.2116,0.23,0.197549,0.23,720
2024-10-30,0.224899,0.23,0.1701,0.22,12965
2024-10-31,0.23,0.23,0.1751,0.1998,7023
2024-11-01,0.2068,0.2299,0.2068,0.2299,673
2024-11-04,0.1888,0.23,0.1888,0.23,3010
2024-11-06,0.23,0.23,0.19,0.2299,4426
2024-11-08,0.190101,0.23,0.190101,0.2292,1956
2024-11-11,0.2277,0.23,0.2277,0.2299,420
2024-11-12,0.21,0.2526,0.195,0.21,4073
2024-11-13,0.2385,0.2385,0.090966,0.1853,19021
2024-11-14,0.154249,0.185999,0.1539,0.185999,565
2024-11-18,0.173,0.1906,0.16,0.1906,4084
2024-11-19,0.216,0.216,0.216,0.216,140
2024-11-20,0.21,0.222,0.21,0.21,5369
2024-11-21,0.22,0.222,0.22,0.222,273
2024-11-22,0.202,0.222,0.202,0.222,251
2024-11-27,0.2,0.22,0.16,0.2,2126
2024-11-29,0.192049,0.221899,0.1622,0.1998,4646
2024-12-02,0.22,0.22,0.22,0.22,127
2024-12-03,0.222,0.222,0.188549,0.2019,2510
2024-12-04,0.199,0.2,0.1701,0.1999,1388
2024-12-05,0.1751,0.221899,0.1751,0.2058,5888
2024-12-06,0.2056,0.206,0.19255,0.206,1621
2024-12-09,0.21,0.2198,0.21,0.2198,222
2024-12-12,0.1768,0.222,0.1768,0.222,1190
2024-12-20,0.2001,0.23,0.2,0.23,3300
2024-12-26,0.19,0.21,0.161,0.17,4367
2024-12-27,0.2189,0.2189,0.19,0.2096,1515
2025-01-02,0.21,0.22,0.21,0.22,19644
2025-01-03,0.22,0.22,0.22,0.22,1826
2025-01-06,0.219899,0.22,0.161,0.22,13733
2025-01-07,0.162859,0.22,0.162859,0.22,746
2025-01-08,0.151,0.181751,0.101,0.155,78974
2025-01-10,0.2125,0.2125,0.16,0.16,9403
2025-01-13,0.1758,0.1758,0.14,0.1499,16165
2025-01-14,0.2,0.2,0.2,0.2,3070
2025-01-15,0.15,0.1857,0.125,0.14999,32657
2025-01-16,0.1758,0.1758,0.14875,0.15,14883
2025-01-17,0.1535,0.1575,0.14,0.1498,25384
2025-01-21,0.15,0.155,0.145,0.1501,27198
2025-01-22,0.1548,0.1548,0.145,0.1451,20558
2025-01-23,0.1497,0.1575,0.1256,0.1575,9192
2025-01-24,0.1572,0.1575,0.1255,0.136999,13815
2025-01-27,0.1483,0.1483,0.1483,0.1483,100
