date,open,high,low,close,volume
2024-03-01,2,2,2,2,924
2024-03-04,1.7121,1.87,1.7121,1.7801,1453
2024-03-05,1.7501,1.9777,1.75,1.75,1496
2024-03-06,1.7825,1.7825,1.75,1.75,862
2024-03-07,1.72,1.75,1.72,1.75,1373
2024-03-08,1.72,1.72,1.72,1.72,347
2024-03-11,1.72,1.72,1.52,1.54,20179
2024-03-12,1.55,1.7871,1.53,1.73,8636
2024-03-13,1.69,1.69,1.53,1.69,1874
2024-03-14,1.57,1.57,1.55,1.55,372
2024-03-15,1.6,1.6899,1.3901,1.4,15824
2024-03-18,1.4,1.4,1.36,1.36,2371
2024-03-19,1.32,1.34,1.32,1.32,967
2024-03-20,1.3301,1.46,1.28,1.28,5795
2024-03-21,1.29,1.36,1.25,1.36,6738
2024-03-22,1.34,1.69,1.34,1.64,16682
2024-03-25,1.7,1.7,1.36,1.55,2009
2024-03-27,1.5,1.56,1.28,1.56,5581
2024-03-28,1.46,1.465,1.36,1.465,3836
2024-04-01,1.31,1.45,1.31,1.36,1848
2024-04-02,1.37,1.37,1.3,1.33,1866
2024-04-03,1.39,1.39,1.39,1.39,390
2024-04-04,1.57,1.57,1.39,1.3982,2015
2024-04-05,1.44,1.44,1.44,1.44,275
2024-04-08,1.33,1.3999,1.3,1.32,1949
2024-04-09,1.25,1.35,1.25,1.29,3817
2024-04-11,1.2299,1.24,1.16,1.24,4187
2024-04-12,1.27,1.2899,1.2288,1.28,3003
2024-04-15,1.2171,1.27,1.0699,1.07,7428
2024-04-16,1.05,1.13,1.05,1.13,2304
2024-04-17,1.12,1.12,1.0685,1.1,3357
2024-04-18,1.26,1.26,1.2,1.2,374
2024-04-19,1.0163,1.0163,1.0163,1.0163,1266
2024-04-22,1.05,1.095,1.05,1.095,3233
2024-04-23,1.0001,1.1,1.0001,1.0999,8207
2024-04-24,1.1,1.1,1.0392,1.1,3667
2024-04-25,1.1,1.1205,1.09,1.09,3654
2024-04-26,1.01,1.1,1.01,1.1,12694
