date,open,high,low,close,volume
2024-03-01,1.8,1.92,1.74,1.74,12875
2024-03-04,1.77,1.7795,1.7,1.7,13035
2024-03-05,1.64,1.969,1.64,1.7,37756
2024-03-06,1.88,1.88,1.71,1.8,23424
2024-03-07,1.89,1.89,1.74,1.806,10325
2024-03-08,1.74,1.9499,1.74,1.84,18353
2024-03-11,1.955,2.044,1.81,1.96,14704
2024-03-12,2.0551,2.0799,1.9,1.9001,17216
2024-03-13,1.85,1.99,1.85,1.93,4081
2024-03-14,1.9853,1.99,1.9,1.93,4513
2024-03-15,1.85,1.995,1.85,1.9,4018
2024-03-18,2.0399,2.0399,1.9,1.9143,6889
2024-03-19,1.99,1.99,1.92,1.9866,5974
2024-03-20,2.04,2.2,2.0399,2.15,16354
2024-03-21,2.19,2.2176,2.0999,2.125,5645
2024-03-22,2.11,2.19,2.11,2.18,2209
2024-03-25,2.2299,2.25,2.1777,2.2299,6948
2024-03-26,2.25,2.25,2.12,2.205,10615
2024-03-27,2.2484,2.2484,2.18,2.23,3053
2024-03-28,2.215,2.2499,2.18,2.24,3597
2024-04-01,2.21,2.25,2.1718,2.23,5398
2024-04-02,2.23,2.34,2.23,2.26,6625
2024-04-03,2.23,2.3499,2.16,2.16,8378
2024-04-04,2.225,2.35,2.1401,2.1401,6451
2024-04-05,2.15,2.185,2.1,2.185,4343
2024-04-08,2.2679,2.2679,2.161,2.25,6074
2024-04-09,2.24,2.272,2.21,2.25,1291
2024-04-10,2.21,2.31,2.12,2.19,26497
2024-04-11,2.16,2.34,2.16,2.34,3683
2024-04-12,2.3329,2.3329,2.2395,2.31,3072
2024-04-15,2.33,2.34,2.155,2.2215,7499
2024-04-16,2.2,2.28,2.16,2.18,4675
2024-04-17,2.16,2.2,2.15,2.15,2610
2024-04-18,2.1597,2.2994,2.1597,2.28,95025
2024-04-19,2.2202,2.255,2.01,2.1898,52554
2024-04-22,2.1401,2.21,2.13,2.21,3628
2024-04-23,2.13,2.24,2.13,2.2,3616
2024-04-24,2.14,2.15,2.1,2.15,1736
2024-04-25,2.22,2.22,2.06,2.1999,1031
2024-04-26,2.195,2.2799,2.15,2.15,2348
2024-04-29,2.215,2.215,2.145,2.145,1785
2024-04-30,2.13,2.1818,2.12,2.1818,1380
2024-05-01,2.14,2.15,2.11,2.14,2399
2024-05-02,2.121,2.2252,2.03,2.17,15194
2024-05-03,2.11,2.165,1.96,2.165,22869
2024-05-06,2.1,2.18,2.08,2.18,3286
2024-05-07,2.21,2.25,2.15,2.16,25584
2024-05-08,2.151,2.25,2.15,2.225,13462
2024-05-09,2.24,2.24,2.15,2.24,9216
2024-05-13,2.255,2.255,2.12,2.12,2715
2024-05-14,2.111,2.3383,2.11,2.16,5910
2024-05-15,2.15,2.18,2.1,2.18,8522
2024-05-16,2.11,2.1618,2.1,2.11,1186
2024-05-17,2.1,2.1093,2.05,2.0797,5394
2024-05-20,2.08,2.16,2.03,2.13,4136
2024-05-21,2.13,2.1737,2.0601,2.105,1787
2024-05-22,2.0936,2.0936,2.0936,2.0936,373
2024-05-23,2.06,2.1825,2.06,2.15,3208
2024-05-24,2.16,2.25,2.16,2.2499,2298
2024-05-28,2.16,2.195,2.15,2.195,6588
2024-05-29,2.1354,2.175,2.12,2.17,2781
2024-05-30,2.145,2.1651,2.12,2.1201,3173
2024-05-31,2.1,2.22,1.85,2.0942,11285
2024-06-03,2.04,2.08,1.65,1.91,21947
2024-06-04,1.955,1.955,1.78,1.865,9852
2024-06-05,1.76,1.76,1.41,1.5183,41432
2024-06-06,1.5,1.5,1.46,1.5,2977
2024-06-07,1.5198,1.5205,1.4546,1.52,2215
2024-06-10,1.49,1.545,1.46,1.545,9869
2024-06-11,1.54,1.54,1.46,1.48,1712
2024-06-12,1.39,1.48,1.26,1.31,67836
2024-06-13,1.51,1.51,1.28,1.33,7943
2024-06-14,1.3,1.3996,1.21,1.33,14514
2024-06-17,1.22,1.3815,1.19,1.25,8193
2024-06-18,1.21,1.27,1.12,1.2,11972
2024-06-20,1.2258,1.23,1.16,1.23,3851
2024-06-21,1.23,1.305,1.11,1.16,60778
2024-06-24,1.151,1.405,1.01,1.035,156545
2024-06-25,1.0294,1.03,0.94,0.96,24237
2024-06-26,1,1,0.948,0.974,9140
2024-06-27,0.948,0.9555,0.9003,0.94,2015
2024-06-28,0.906,0.93,0.86,0.87,12761
2024-07-01,0.86,0.979899,0.85,0.8837,35194
2024-07-02,0.985,1.03,0.93,0.9594,2910
2024-07-03,0.88,0.966,0.86,0.9047,5589
2024-07-05,0.94,1.0199,0.94,0.95575,3324
2024-07-08,0.9033,0.95,0.9033,0.95,414
2024-07-09,0.88,0.985,0.87,0.98,5011
2024-07-10,0.9926,0.9926,0.8906,0.903,5400
2024-07-11,0.903,1,0.9,0.9,1891
2024-07-12,0.9362,0.95,0.9,0.94,14695
2024-07-15,0.9095,0.9774,0.9095,0.9601,1883
2024-07-16,0.95,0.95,0.870001,0.92,2239
2024-07-17,0.9201,0.98,0.9201,0.9596,4667
2024-07-18,0.8774,0.95,0.87,0.95,1034
2024-07-19,0.91,0.93,0.8774,0.93,801
2024-07-22,0.95,0.95,0.8777,0.8887,4146
2024-07-23,0.9,0.9,0.8965,0.8965,1718
2024-07-24,0.9,0.9,0.9,0.9,2948
2024-07-25,0.88,0.88,0.85,0.88,503
2024-07-26,0.87,0.9,0.8504,0.9,1173
2024-07-29,0.813,0.87,0.813,0.82,17336
2024-07-30,0.8,0.8,0.8,0.8,1394
2024-08-01,0.819,0.82,0.785,0.785,1976
2024-08-02,0.75,0.785,0.75,0.785,6143
2024-08-05,0.7502,0.77,0.75,0.75,3216
2024-08-06,0.8,0.95,0.8,0.8,17256
2024-08-07,0.88,0.95,0.85,0.85,3724
2024-08-08,0.865,0.865,0.8,0.81,1778
2024-08-09,0.94,0.94,0.8101,0.820001,3706
2024-08-13,0.53,0.8399,0.53,0.7988,8165
2024-08-14,0.8324,0.9,0.8324,0.9,21762
2024-08-15,0.7968,0.89,0.7868,0.857,9593
2024-08-16,0.82,0.93,0.8,0.93,4766
