date,open,high,low,close,volume
2024-03-01,28.91,29.45,28.85,29.28,47327437.0
2024-03-04,29.195,29.33,29.07,29.1,19511863.0
2024-03-05,29.18,29.355,29.03,29.09,10791554.0
2024-03-06,29.24,29.4,29.17,29.2,7722774.0
2024-03-07,29.18,29.23,28.92,28.96,7363680.0
2024-03-08,29.05,29.2,28.9,29.14,9728487.0
2024-03-11,29.27,29.47,29.21,29.3,6977924.0
2024-03-12,29.34,29.425,29.25,29.29,7185390.0
2024-03-13,29.38,29.5,28.89,28.9,14514818.0
2024-03-14,28.9,29.285,28.805,29,16255043.0
2024-03-15,29.02,29.065,28.615,28.88,28531283.0
2024-03-18,28.87,29.56,28.795,29.51,13215364.0
2024-03-19,29.49,29.91,29.255,29.31,13656681.0
2024-03-20,29.35,29.73,29.29,29.71,12464515.0
2024-03-21,29.65,29.855,29.54,29.58,9582255.0
2024-03-22,29.58,29.855,29.53,29.8,7166725.0
2024-03-25,29.92,30.53,29.855,30.48,18795072.0
2024-03-26,30.44,31.015,30.44,30.73,18452649.0
2024-03-27,30.54,30.95,30.415,30.59,15201888.0
2024-03-28,30.81,31.05,30.61,30.67,7269484.0
2024-04-01,30.85,31.3,30.74,31.23,11031543.0
2024-04-02,31.348,31.38,30.65,30.92,14180791.0
2024-04-03,30.79,31.16,30.7,31.01,8703395.0
2024-04-04,31.24,31.31,30.67,30.68,7327864.0
2024-04-05,30.7,30.86,30.46,30.77,8527966.0
2024-04-08,30.76,31,30.69,30.8,6350683.0
2024-04-09,30.92,31.145,30.84,31.01,4620046.0
2024-04-10,30.74,30.78,30.28,30.65,7752490.0
2024-04-11,30.74,31.1503,30.68,30.82,6927125.0
2024-04-12,30.79,30.81,30.18,30.22,9627877.0
2024-04-15,30.33,30.53,30.21,30.43,9054471.0
2024-04-16,30.42,30.55,30.21,30.44,10208025.0
2024-04-17,30.81,30.91,30.515,30.88,9942568.0
2024-04-18,31.07,31.17,30.8,31.13,6589304.0
2024-04-19,31.23,31.6,31.02,31.5,8166760.0
2024-04-22,31.68,31.77,31.42,31.76,7336942.0
2024-04-23,31.59,31.82,31.515,31.76,7541539.0
2024-04-24,31.23,32.45,31.19,32.34,11341812.0
2024-04-25,33.95,34.48,33.295,33.84,14402804.0
2024-04-26,33.49,33.99,33.45,33.72,9531133.0
2024-04-29,33.8,33.92,33.59,33.7,8870649.0
2024-04-30,33.73,33.76,33.36,33.7,5938016.0
2024-05-01,33.39,33.57,33.21,33.34,6154743.0
2024-05-02,33.46,33.76,33.25,33.56,6280095.0
2024-05-03,33.64,33.88,33.415,33.83,7384266.0
2024-05-06,33.9,33.98,33.45,33.56,4984688.0
2024-05-07,33.75,33.87,33.515,33.81,5676985.0
2024-05-08,33.9,33.935,33.63,33.7,4634540.0
2024-05-09,33.78,34.02,33.69,33.99,5664832.0
2024-05-10,33.95,34.07,33.79,34.03,5253266.0
2024-05-13,34,34.23,33.81,34.12,8016154.0
2024-05-14,34.1,34.25,33.9,34.17,7780659.0
2024-05-15,34.15,34.23,33.775,33.81,7302548.0
2024-05-16,33.81,34.365,33.81,34.14,6752739.0
2024-05-17,34.07,34.07,33.715,33.75,6012811.0
2024-05-20,33.76,33.815,33.59,33.68,7274106.0
2024-05-21,33.82,33.98,33.715,33.96,5736409.0
2024-05-22,33.89,34.325,33.77,34.27,4630970.0
2024-05-23,34.07,34.32,33.95,33.98,4306716.0
2024-05-24,34.04,34.41,34.04,34.19,5073112.0
2024-05-28,34.01,34.15,33.64,33.71,7850459.0
2024-05-29,33.65,33.775,33.345,33.66,4518415.0
2024-05-30,33.68,34,33.66,33.9,5172918.0
2024-05-31,33.92,34.27,33.89,34.25,12957547.0
2024-06-03,34.21,34.53,34.03,34.37,4980911.0
2024-06-04,34.27,35,34.18,34.82,8905008.0
2024-06-05,34.91,34.99,34.52,34.78,8138510.0
2024-06-06,34.72,34.99,34.46,34.51,5693533.0
2024-06-07,34.44,34.86,34.41,34.63,5535803.0
2024-06-10,34.62,34.63,34.01,34.16,3999803.0
2024-06-11,34.1,34.16,33.66,33.83,9045731.0
2024-06-12,33.91,34.01,33.6,33.61,5450771.0
2024-06-13,33.47,34.09,33.44,34.06,8284605.0
2024-06-14,34.02,34.26,33.915,34.04,4512142.0
2024-06-17,34.24,34.73,33.93,34.69,8874820.0
2024-06-18,34.67,34.77,34.28,34.49,4263525.0
2024-06-20,34.43,34.52,33.94,34.21,6447175.0
2024-06-21,34.41,34.675,34.11,34.38,13867795.0
2024-06-24,34.41,34.7,34.26,34.67,7091619.0
2024-06-25,34.68,34.81,34.28,34.41,6040448.0
2024-06-26,34.19,34.45,33.97,34.36,4574277.0
2024-06-27,34.51,34.58,33.99,34.12,8336722.0
2024-06-28,33.87,33.87,33.31,33.4,11752793.0
2024-07-01,33.4,33.61,32.8,32.84,5119265.0
2024-07-02,32.96,33.0082,32.57,32.78,8549265.0
2024-07-03,32.76,32.93,32.57,32.72,5281198.0
2024-07-05,32.72,32.8,32.47,32.66,6267275.0
2024-07-08,32.54,32.64,32.17,32.29,9357209.0
2024-07-09,32.38,32.4,31.93,31.95,6666410.0
2024-07-10,31.99,32.3171,31.842,31.95,10629073.0
2024-07-11,31.8,32.58,31.8,32.43,6715704.0
2024-07-12,32.37,32.8,32.37,32.62,4498574.0
2024-07-15,32.52,32.85,32.42,32.67,9403776.0
2024-07-16,32.68,32.98,32.54,32.66,7697249.0
2024-07-17,32.87,33.18,32.79,33.08,12845332.0
2024-07-18,33.02,33.61,32.95,33.14,6237641.0
2024-07-19,33.39,33.43,32.725,32.98,4432793.0
2024-07-22,32.98,33.12,32.745,32.83,7258010.0
2024-07-23,32.78,32.955,32.56,32.63,6629828.0
2024-07-24,32.76,32.84,32.265,32.77,10973935.0
2024-07-25,33.88,34.61,33.08,33.21,17799855.0
2024-07-26,33.2,33.87,33.08,33.74,12548469.0
2024-07-29,33.68,34.19,33.64,34.16,10035600.0
2024-07-30,34.01,34.24,33.69,34.12,7820945.0
2024-07-31,34,34.52,33.71,34.28,6843851.0
2024-08-01,34.38,34.69,34.01,34.56,7424079.0
2024-08-02,34.9,35.245,34.46,35.07,11197158.0
2024-08-05,35.38,35.53,33.96,34.3,10872146.0
2024-08-06,34.24,34.945,34.2,34.48,7141249.0
2024-08-07,34.56,34.93,34.26,34.58,5609838.0
2024-08-08,34.44,34.735,34.18,34.53,5061793.0
2024-08-09,34.41,34.59,34.06,34.56,4192780.0
2024-08-12,34.53,34.87,34.435,34.8,5268473.0
2024-08-13,34.85,35.22,34.785,35.15,6014873.0
2024-08-14,35.15,35.495,35.01,35.31,6732146.0
2024-08-15,35.31,35.46,35.21,35.33,9028688.0
2024-08-16,35.24,35.46,35.24,35.39,6841185.0
2024-08-19,35.37,35.64,35.32,35.62,4831608.0
2024-08-20,35.61,35.8,35.465,35.73,4651956.0
2024-08-21,35.8,35.955,35.42,35.48,6701543.0
2024-08-22,35.62,35.79,35.44,35.67,4513714.0
2024-08-23,35.83,35.91,35.525,35.73,3866574.0
2024-08-26,35.8,36.24,35.75,36.13,4076827.0
2024-08-27,36.3,36.45,36.18,36.37,4262044.0
2024-08-28,36.45,36.45,35.965,36.22,4583429.0
