date,open,high,low,close,volume
2024-10-02,11.2,11.2,11,11.0499,4668
2024-10-03,11.0899,12.5,11.015,11.75,42695
2024-10-04,12.15,12.275,11.655,11.9,77811
2024-10-07,12,12.55,12,12.4,50977
2024-10-08,12.46,12.57,12.35,12.57,44735
2024-10-09,12.48,12.87,12.48,12.74,35153
2024-10-10,12.7506,12.89,12.725,12.89,22906
2024-10-11,12.9,12.97,12.7997,12.8001,32594
2024-10-14,12.85,13.38,12.7901,13.23,37809
2024-10-15,13.32,13.32,12.98,13.24,9005
2024-10-16,13.12,13.31,13.03,13.1947,7884
2024-10-17,13.09,13.14,13.01,13.09,4888
2024-10-18,13.07,13.325,13.07,13.2,7089
2024-10-21,13.12,13.25,12.96,12.96,5957
2024-10-22,12.89,13,12.89,13,3860
2024-10-23,12.96,13,12.96,13,1107
2024-10-24,12.96,12.96,12.96,12.96,515
2024-10-25,12.97,13,12.97,13,2324
2024-10-28,12.99,13,12.98,12.98,1385
2024-10-29,12.96,12.98,12.87,12.945,11880
2024-10-30,12.88,13,12.88,12.92,4677
2024-10-31,12.91,12.9999,12.78,12.855,7552
2024-11-01,13,13.1434,12.8499,13,7292
2024-11-04,12.87,12.977,12.87,12.977,816
2024-11-05,12.8101,12.9699,12.8101,12.93,2895
2024-11-06,12.92,12.92,12.81,12.89,1767
2024-11-07,12.8285,12.8285,12.82,12.82,1105
2024-11-08,12.95,12.95,12.71,12.75,8059
2024-11-11,12.74,12.89,12.71,12.76,8868
2024-11-12,12.65,12.89,12.61,12.84,11001
2024-11-13,12.79,12.85,12.6281,12.84,5281
2024-11-14,12.9,12.94,12.6101,12.6101,4023
2024-11-15,12.83,13.05,12.83,13.04,6892
2024-11-18,13.24,13.24,12.9,13.04,10564
2024-11-19,12.92,12.92,12.92,12.92,504
2024-11-20,12.8775,12.945,12.83,12.8301,3800
2024-11-21,12.935,13,12.83,12.91,5389
2024-11-22,12.9463,13,12.7624,12.8702,570
2024-11-25,12.9182,12.95,12.725,12.725,5722
2024-11-26,12.65,12.99,12.65,12.88,5921
2024-11-27,12.9,12.92,12.74,12.74,1178
2024-11-29,12.88,12.88,12.8,12.8,416
2024-12-02,12.8,12.9,12.76,12.85,5447
2024-12-03,13,13,12.7421,12.83,41767
2024-12-04,12.9,12.98,12.8102,12.98,915
2024-12-05,13,13,12.8363,12.9839,2633
2024-12-06,13.05,13.05,12.7001,12.785,22567
2024-12-09,13.04,13.04,12.8097,12.83,5144
2024-12-10,12.98,13.0575,12.905,12.905,4602
2024-12-11,12.7701,12.7701,12.7701,12.7701,1374
2024-12-12,12.77,12.77,12.77,12.77,1355
2024-12-13,13.03,13.03,12.7817,12.7817,718
2024-12-16,12.8587,12.99,12.8,12.805,2894
2024-12-17,12.9618,12.9618,12.8,12.8,1806
2024-12-18,13.03,13.24,12.765,12.99,18820
2024-12-19,12.58,12.58,12.21,12.23,7477
2024-12-20,12.17,12.88,12.17,12.35,1708
2024-12-23,12.2608,12.49,12,12.275,9408
2024-12-24,12.335,12.335,12.335,12.335,850
2024-12-26,12.5,12.5,12.07,12.16,4195
2024-12-27,12.35,12.87,12.07,12.07,2613
2024-12-30,12.17,12.49,11.06,11.43,22099
2024-12-31,11.66,12.57,10.99,12.185,36644
2025-01-02,12.2,12.5609,11.88,12.56,8076
2025-01-03,12.3,12.54,12.068,12.54,8210
2025-01-06,12.13,12.54,12.0493,12.54,7354
2025-01-07,12.31,12.54,12.03,12.17,3472
2025-01-08,12.14,12.235,11.7,11.9999,9901
2025-01-10,11.68,11.99,11.2302,11.33,12786
2025-01-13,11.59,11.6299,11.22,11.319,2837
2025-01-14,11.5,11.5758,11.07,11.11,10413
2025-01-15,11.12,11.25,10.9,10.92,21704
2025-01-16,10.96,12.0111,10.83,11.08,13310
2025-01-17,11.01,11.5072,10.7,11,8436
2025-01-21,11.18,11.18,10.91,10.94,4282
2025-01-22,10.91,11.165,10.91,11,2424
2025-01-23,11,11.125,10.92,11.05,3807
2025-01-24,11.33,11.33,10.97,11,13556
2025-01-27,11.14,11.2699,11.01,11.01,3734
2025-01-28,11.19,11.27,11.12,11.18,4425
2025-01-29,11.29,11.44,11.19,11.37,4556
2025-01-30,11.45,11.57,11.4499,11.57,4045
2025-01-31,11.48,11.48,11.3007,11.38,1511
2025-02-03,11.59,11.73,11.445,11.73,3006
2025-02-04,11.62,11.678,11.61,11.62,2169
2025-02-05,11.6,11.675,11.6,11.62,1790
2025-02-06,11.63,11.7062,11.62,11.62,2401
2025-02-07,11.62,11.685,11.62,11.63,1449
2025-02-11,11.6479,11.9,11.63,11.63,5434
2025-02-12,11.7,12.04,11.7,12.04,20093
2025-02-13,12.3,12.3,12.07,12.08,4654
2025-02-14,12.05,12.2297,12.02,12.2297,2888
2025-02-18,12.24,12.4686,12.0245,12.06,3918
2025-02-19,12.14,12.65,12.13,12.27,10371
2025-02-20,12.298,12.4977,12.27,12.27,5135
2025-02-21,12.38,12.46,12.02,12.22,4375
2025-02-24,12.45,12.65,12.4012,12.553,4029
2025-02-25,12.45,12.48,12.321,12.48,1715
2025-02-26,12.32,12.34,12.06,12.34,10543
2025-02-27,12.175,12.33,12.175,12.28,8033
2025-02-28,12.19,12.255,12.15,12.2,3138
