date,open,high,low,close,volume
2024-03-01,48.89,50.6,48.172,50.49,2970735.0
2024-03-04,51,53.17,50.61,50.76,1989649.0
2024-03-05,50.15,51.9,49.73,50.79,1286155.0
2024-03-06,51.51,51.78,50.26,50.33,1379261.0
2024-03-07,49.75,50.06,47.95,48.86,2011649.0
2024-03-08,49.64,50.49,47.4901,47.68,1594421.0
2024-03-11,47.29,47.76,46.62,46.87,787128
2024-03-12,46.99,47.76,46.6,46.88,743703
2024-03-13,46.67,47.28,46.19,47.06,919544
2024-03-14,46.81,47.195,45.75,46.25,1927223.0
2024-03-15,45.78,46.185,45.1,45.55,1592994.0
2024-03-18,45.62,47.12,45.57,46.79,1288446.0
2024-03-19,46.27,46.61,45.45,46.52,1064701.0
2024-03-20,46.54,49.3,46.445,48.81,1355720.0
2024-03-21,49.59,51.47,49.45,50.56,1215927.0
2024-03-22,50.39,51.01,49.635,50.88,1321679.0
2024-03-25,50.62,51.14,49.98,51.08,750678
2024-03-26,51.3,52.08,48.31,48.41,1948872.0
2024-03-27,48.66,48.91,47.56,48.45,1643935.0
2024-03-28,48.16,48.46,47.159,47.35,1199077.0
2024-04-01,47.59,48.44,47.08,48.15,943675
2024-04-02,47.54,47.67,46.53,47.5,1070111.0
2024-04-03,47.4,48.31,46.855,47.85,649553
2024-04-04,48.72,48.72,46.34,46.5,561718
2024-04-05,46.43,46.62,45.75,45.9,718659
2024-04-08,46.03,46.61,45.83,45.89,638430
2024-04-09,45.89,47.38,45.89,47.25,693873
2024-04-10,45.86,46.49,44.82,45.34,725602
2024-04-11,45.29,45.7,44.57,45.18,887364
2024-04-12,44.47,44.76,43.3,43.45,687125
2024-04-15,43.75,43.92,41.76,41.81,917649
2024-04-16,42.05,43.45,41.95,43.31,1539127.0
2024-04-17,43.35,43.81,41.95,41.98,722749
2024-04-18,41.97,43.06,41.67,42.44,1045904.0
2024-04-19,42.43,43.05,41.69,41.74,1099076.0
2024-04-22,41.8,41.96,40.74,41.34,939037
2024-04-23,41.21,42.67,41.205,42.01,1029311.0
2024-04-24,42.03,42.62,41.75,42.06,825833
2024-04-25,41.77,42.31,41.435,42.01,925835
2024-04-26,42.16,43.57,42.03,43.42,687707
2024-04-29,43.42,44.3,43.3501,43.52,670390
2024-04-30,43.16,44.37,43.16,43.76,1531436.0
2024-05-01,43.3,45.215,43.08,43.52,972569
2024-05-02,44.44,44.44,42.6,44.29,824823
2024-05-03,45.76,46.2,44.35,44.74,1794998.0
2024-05-06,45.48,45.48,43.95,44.11,3327623.0
2024-05-07,47.41,48.12,41.32,41.4,4254346.0
2024-05-08,41.03,43.21,40.81,42.59,2974966.0
2024-05-09,42.39,43.93,41.84,43.61,1334248.0
2024-05-10,43.7,44.1,43.33,43.79,832655
2024-05-13,43.93,45.39,43.77,44,978549
2024-05-14,44.47,45.14,44.2738,44.61,783256
2024-05-15,45.2,45.849,44.54,45.72,1241717.0
2024-05-16,45.66,46.94,44.79,46.8,1076057.0
2024-05-17,46.94,47.36,45.94,46.05,782750
2024-05-20,45.94,47.52,45.94,47.19,1051343.0
2024-05-21,46.76,46.76,45.66,46.01,851576
2024-05-22,46.17,46.41,45.2,45.49,848236
2024-05-23,45.97,46.61,45.19,45.92,1057491.0
2024-05-24,46.17,46.5,45.44,46.28,915118
2024-05-28,46.6,46.635,44.83,44.88,1009882.0
2024-05-29,44.04,44.27,43.38,43.43,859837
2024-05-30,43.61,43.88,42.86,43.36,828780
2024-05-31,43.54,43.88,42.19,43.5,816739
2024-06-03,44.19,44.85,43.34,44.21,826294
2024-06-04,43.68,43.68,42.975,43.02,643024
2024-06-05,43.34,45.47,43.2,45.4,699137
2024-06-06,45.81,46.46,45.26,45.59,678360
2024-06-07,44.97,45.83,44.825,45.79,591594
2024-06-10,45.17,47.12,45.11,46.97,825354
2024-06-11,46.72,46.72,44.94,45.47,776070
2024-06-12,46.61,48.39,46.37,46.91,1078259.0
2024-06-13,46.805,47.71,45.96,47.55,583157
2024-06-14,47,47.465,46.3825,47.28,405845
2024-06-17,47.28,50.08,47.0638,50,1083206.0
2024-06-18,50.01,50.73,49.42,49.58,961279
2024-06-20,49.43,49.57,47.835,47.91,900645
2024-06-21,47.92,48.99,47.53,48.66,1172330.0
2024-06-24,48.45,49.43,47.52,47.58,465461
2024-06-25,47.58,49.465,47.2,49.19,587392
2024-06-26,49.04,49.34,48.39,49.13,608203
2024-06-27,49,49.13,47.84,49.04,598716
2024-06-28,49.4,51.5,49.1,50.92,1566794.0
2024-07-01,50.63,51.77,50.47,51.43,1115685.0
2024-07-02,51.3,54,51.3,53.94,1491265.0
2024-07-03,54.08,54.515,53.8,54.24,536194
2024-07-05,54.14,55.43,53.766,55.35,665349
2024-07-08,55.8,57.54,55.4,56.19,1471570.0
2024-07-09,56.11,56.49,55.0365,55.84,842762
2024-07-10,56.26,56.54,55.33,56.26,967243
2024-07-11,56.8,57.56,56.05,57.33,1231828.0
2024-07-12,57.84,60.4,57.43,59.24,1346521.0
2024-07-15,59.15,59.63,57.83,57.97,1077470.0
2024-07-16,58.27,59.19,57.13,59.09,1320362.0
2024-07-17,58.33,58.62,56.87,57.41,1355078.0
2024-07-18,57.5,57.93,54.5,55.5,2312992.0
2024-07-19,55.51,55.73,54.3,54.77,959156
2024-07-22,55.62,55.83,54.55,55.42,1012670.0
2024-07-23,54.86,55.45,54.03,54.8,1064229.0
2024-07-24,54.12,54.82,52.67,52.71,1322343.0
2024-07-25,52.78,52.78,50.71,50.83,1561861.0
2024-07-26,51.45,51.86,50.545,51.83,1252310.0
2024-07-29,51.99,52.92,51.48,51.8,626994
2024-07-30,51.86,52.24,48.56,49.05,2312862.0
2024-07-31,50.36,52.91,50.0112,51.78,2348324.0
2024-08-01,52.12,52.91,47.66,48.01,1994912.0
2024-08-02,46.3,47.025,44.29,44.33,1793194.0
2024-08-05,40.7,42.14,38.285,41.47,3649997.0
2024-08-06,41.81,43.08,40.96,41.59,1654389.0
2024-08-07,42.65,43.98,40.26,40.28,1422081.0
2024-08-08,42.12,43.42,40.9,43.34,1534490.0
2024-08-09,43.22,43.66,42.05,43.25,940286
2024-08-12,43.77,45.91,43.28,44.94,1507027.0
2024-08-13,45.49,46.57,44.77,46.24,2358242.0
2024-08-14,46.37,47.5,45.5,45.53,2720959.0
2024-08-15,51.25,53.39,50.5875,52.26,7856899.0
2024-08-16,52.27,54.16,51.45,51.98,2451154.0
2024-08-19,51.98,52.85,51.14,52.82,1958566.0
2024-08-20,53.11,57.08,53,56.09,2893681.0
2024-08-21,55.28,57.11,54.68,56.39,1623236.0
2024-08-22,57.1,57.65,55.49,55.59,1320584.0
2024-08-23,55.99,59.18,55.78,59.17,1971996.0
2024-08-26,58.72,58.75,56.145,56.41,1689055.0
2024-08-27,55.29,57.75,55.07,57.48,1086388.0
2024-08-28,57.4,57.77,55.69,56.57,1202721.0
2024-08-29,56.81,58.01,55.87,56.53,1261588.0
2024-08-30,57.09,57.79,56.5357,57.61,1629446.0
2024-09-03,57,57.095,52.9,53.01,1875733.0
2024-09-04,52.6,56.01,52.51,55.43,1531867.0
2024-09-05,55.41,55.88,54.11,55.08,742589
2024-09-06,55,55,51.685,52.11,1255950.0
2024-09-09,52.11,52.4,50.595,51.2,1300134.0
2024-09-10,51.08,51.77,50.29,51.1,649524
2024-09-11,51.25,54.02,50.84,53.95,851660
2024-09-12,54.14,55.17,53.425,54.25,1221875.0
2024-09-13,54.72,56.62,54.68,55.78,964593
2024-09-16,55.11,56.83,54.4,56.59,1487192.0
2024-09-17,57,58.52,56.84,58.37,1664707.0
2024-09-18,58.58,59.93,57.82,58.28,1341488.0
2024-09-19,60.03,62.21,58.98,61.14,2655333.0
2024-09-20,61,61.45,59.7501,61.35,1568784.0
2024-09-23,61.215,62.15,60.395,61.23,1169991.0
2024-09-24,61.58,62.08,59.815,60.79,2371827.0
2024-09-25,60.6,61.63,60.08,60.95,1504605.0
2024-09-26,62.42,65.24,62.3196,64.74,2357697.0
2024-09-27,65.02,65.516,63.53,64.53,2312645.0
2024-09-30,63.9,64.13,62.34,63.38,1157750.0
2024-10-01,63.56,64.13,60.84,61.49,1423197.0
2024-10-02,61.5,65.01,61.5,65,1149453.0
2024-10-03,63.88,66.22,63.72,66.16,1405814.0
2024-10-04,67.98,68.81,66.68,68.8,2259703.0
2024-10-07,67.94,68.77,65.76,67.27,2018576.0
2024-10-08,67.26,68.74,66.88,67.75,1078325.0
2024-10-09,67.5,68.175,66.84,67.68,1068485.0
2024-10-10,67.11,67.92,66.47,67.1,1171840.0
2024-10-11,66.85,68.65,66.85,68.24,1273395.0
2024-10-14,68.68,69.4,67.88,69.23,1264645.0
2024-10-15,69.4,70.09,66.3,66.58,1662932.0
2024-10-16,67.43,69.16,66.79,68.78,1600587.0
2024-10-17,69.87,71.07,69.14,69.62,2152759.0
2024-10-18,69.66,69.96,66.09,66.23,1528923.0
2024-10-21,65.11,65.818,63.46,65.56,1732523.0
2024-10-22,65.9,67.72,65.2,66.54,1464757.0
2024-10-23,65.97,67.54,65.055,65.66,1318374.0
2024-10-24,66.14,66.205,64.23,64.64,984600
2024-10-25,65.08,65.08,63.7,64.37,822758
2024-10-28,64.94,65.7,64.46,64.96,760097
2024-10-29,65.15,66.5899,64.87,65.76,995905
2024-10-30,64.64,66.28,64.62,65.35,1012598.0
2024-10-31,65.09,65.09,62.78,63.87,1248692.0
2024-11-01,63.14,65.69,62.38,65.35,1438912.0
2024-11-04,65.06,65.635,64.13,64.17,1246480.0
2024-11-05,64.93,66.64,64.6,66.18,1667494.0
2024-11-06,67.97,72.7695,67.9,71.97,4192694.0
2024-11-07,73.07,73.9,72.07,73.64,2895279.0
2024-11-08,86.5,88,81.03,83.85,7350007.0
2024-11-11,85.01,89.7,84.86,86.72,3128779.0
2024-11-12,86.04,88.69,85.87,86.65,2120560.0
2024-11-13,87.16,88.53,86.505,88.06,1961150.0
2024-11-14,88.12,88.85,84.99,85.13,1765776.0
2024-11-15,83.6,84.45,79.94,81.45,1778319.0
2024-11-18,81.95,82.025,80.01,80.54,1339710.0
2024-11-19,79.68,82.97,79,82.48,1262260.0
2024-11-20,81.65,83.12,80.22,82.47,1580214.0
