date,open,high,low,close,volume
2024-03-01,65.55,66.42,64.3,64.64,706986
2024-03-04,65,66.225,64.09,65.36,904406
2024-03-05,65.23,65.9,63.85,64.44,578454
2024-03-06,64.89,65.24,61.86,61.97,1202350.0
2024-03-07,61.96,63.1099,61.41,62.59,840336
2024-03-08,63.03,65.4,62.43,62.52,1036518.0
2024-03-11,62.51,63.25,61.25,62.72,816027
2024-03-12,62.75,62.967,60.82,60.88,641702
2024-03-13,60.48,61.2799,59.52,59.68,646529
2024-03-14,59.97,60.2925,59.11,59.83,709559
2024-03-15,59.78,60.54,57.8,58.17,1485668.0
2024-03-18,58.63,58.63,56.44,56.52,1117328.0
2024-03-19,56.75,59.42,56.52,58.44,1319444.0
2024-03-20,58.02,59.27,57.7808,59.18,687613
2024-03-21,59.84,59.96,58.62,58.72,714417
2024-03-22,58.55,60.11,58.09,59.02,840952
2024-03-25,59.08,60.25,58.85,59.03,1011799.0
2024-03-26,59.43,59.43,57.92,58.75,1158819.0
2024-03-27,59.41,60.54,59.38,60.46,687854
2024-03-28,60.31,62.47,60.3,62.24,1030657.0
2024-04-01,61.96,62.24,59.65,60.11,780220
2024-04-02,58.57,59.17,58.16,58.87,795311
2024-04-03,58.69,60.08,58.49,59.19,542966
2024-04-04,60.12,60.57,59.26,59.78,575374
2024-04-05,59.49,60.94,59.1201,60.83,493158
2024-04-08,59.8,60.68,59.04,59.74,669014
2024-04-09,59.97,61.07,59.5545,60.42,790197
2024-04-10,58.74,60.27,58.46,59.86,469892
2024-04-11,60.09,62,60.09,61.5,717709
2024-04-12,60.95,61.36,59.7009,60.79,654657
2024-04-15,61.24,61.45,59.72,60.25,667805
2024-04-16,59.94,62.41,59.5635,61.73,563518
2024-04-17,61.97,62.92,61.46,61.48,531709
2024-04-18,62.09,65.255,61.63,62.33,1235802.0
2024-04-19,62.1,64.01,61.47,63.81,780737
2024-04-22,63.89,64.37,63.07,63.07,647125
2024-04-23,63.02,65.54,62.59,64.41,590970
2024-04-24,64.62,65.37,63.61,65.21,582422
2024-04-25,64.75,65.27,63.76,65.2,591738
2024-04-26,65.41,66.26,65.085,65.56,582315
2024-04-29,65.81,68.49,65.76,67.26,1097140.0
2024-04-30,67.02,67.14,66.095,66.54,1238833.0
2024-05-01,66.18,69.02,65.8914,67.39,1473661.0
2024-05-02,75,79.25,74.825,78.18,3696130.0
2024-05-03,78,79.97,74.95,75.53,1834817.0
2024-05-06,75.77,78.57,74.65,75.51,1230904.0
2024-05-07,75.95,77.55,75.235,76.01,1012011.0
2024-05-08,75.83,76.15,74.28,74.51,1063404.0
2024-05-09,74.9,76,74.34,75.9,522896
2024-05-10,76.29,76.96,75.2749,76.02,745952
2024-05-13,76.89,77.91,76.51,77.88,720419
2024-05-14,78.99,79.29,77.98,78.7,962344
2024-05-15,79.1,79.64,77.5,79.6,661058
2024-05-16,79.6,81.25,79.4599,81.1,956324
2024-05-17,81.34,82.1,79.59,79.67,947148
2024-05-20,79.96,82.88,79.5,82.87,825751
2024-05-21,82.49,82.92,80.58,80.7,616676
2024-05-22,80.47,82.06,80,81.345,411943
2024-05-23,81.35,81.83,78.73,79,804553
2024-05-24,79.99,80.72,78.1,78.22,853108
2024-05-28,78.43,80.31,77.1,79.44,704668
2024-05-29,78.64,80.1287,78.5552,79.77,490635
2024-05-30,79.86,81.13,79.86,80.52,727511
2024-05-31,80.82,82.083,80.69,81.83,780845
2024-06-03,82.42,84.215,81.84,83.05,1004249.0
2024-06-04,82.83,83.09,81.33,81.52,443930
2024-06-05,81.86,82.66,81.16,82.52,350743
2024-06-06,81.83,82.29,81.28,81.66,381586
2024-06-07,81.745,81.8961,78.5786,79.9,647926
2024-06-10,79.2,79.7739,77.85,79.28,922445
2024-06-11,79.3,81.43,79.27,81.07,689066
2024-06-12,82.7,82.7022,80.0301,80.45,532492
2024-06-13,79.77,80.7999,79.7,80.08,343578
2024-06-14,79.51,79.67,78.22,79.26,598322
2024-06-17,79.01,82.99,78.74,82.63,620525
2024-06-18,82.31,83,80.48,81.13,587987
2024-06-20,80.88,84.29,80.53,81.48,721782
2024-06-21,81.54,81.84,78.67,79.1,1641347.0
2024-06-24,79.1,79.86,77.04,78.95,972309
2024-06-25,78.89,82.49,77.89,81.91,822718
2024-06-26,80.6,81.78,78.46,78.52,847437
2024-06-27,79.7,81.34,78.88,81.31,714980
2024-06-28,81.83,82.5837,79.05,80.29,1066451.0
2024-07-01,80.35,81.6,79.355,80,535739
2024-07-02,80.53,80.995,78.43,78.5,485604
2024-07-03,78.3,79.87,78.1,79.56,260439
2024-07-05,79.19,80.265,78.32,78.89,429097
2024-07-08,78.89,79.7,78.62,78.82,542700
2024-07-09,78.85,79.37,76.0967,77.7,618059
2024-07-10,95.04,106.99,92.51,106.18,7072953.0
2024-07-11,108.9,124.9,108.89,123.62,6030714.0
2024-07-12,123.62,123.7155,118.3414,123.42,2398824.0
2024-07-15,123.15,124.91,121.97,123.19,1670182.0
2024-07-16,125.71,126.8899,116.94,118.3,1745741.0
2024-07-17,119.7,121.705,117.34,121.61,1153350.0
2024-07-18,122.4,122.83,114.25,115.74,1553521.0
2024-07-19,117.06,118.71,116,116.79,697446
2024-07-22,117.04,117.04,113.66,114.68,956335
2024-07-23,115.17,116.9999,113.7422,115.52,766389
2024-07-24,115.49,117.7262,112.58,113.66,836727
2024-07-25,114.62,116.15,112.66,112.95,966396
2024-07-26,114.33,115.6457,112.31,112.71,681294
2024-07-29,114.06,115.2799,111.51,111.59,1137247.0
2024-07-30,111.59,113.34,107.59,109.77,1574272.0
2024-07-31,91.77,108.53,91,104.83,2965151.0
2024-08-01,104.84,105.8,98.39,98.62,1913043.0
2024-08-02,96.13,97.735,94.56,97.59,1138381.0
2024-08-05,92.08,99.31,92.04,99.03,1240570.0
2024-08-06,99.52,101.11,97.23,98.15,880477
2024-08-07,99.44,99.44,95.4636,96.1,718032
2024-08-08,96.39,98.1739,95,97.26,479276
2024-08-09,97.56,98,95.97,97.33,634487
2024-08-12,97.33,97.78,95.69,96.66,472071
2024-08-13,97.83,98.77,96.69,97.51,696915
2024-08-14,97.54,98,93.25,94.91,1134793.0
2024-08-15,96.42,97.2,94.69,95.1,480638
2024-08-16,94.84,95.9071,94.14,94.91,483653
2024-08-19,94.91,97.97,94.775,97.86,569858
2024-08-20,97.6,100.06,97,98.44,1303509.0
2024-08-21,98.52,101.315,96.8,101.22,676518
2024-08-22,102.03,103.23,99.9201,102.23,1041018.0
2024-08-23,102.99,107.58,102.022,107.16,1089714.0
2024-08-26,107.42,108.73,105.33,107.31,614875
2024-08-27,106.7,109.41,106.0876,109.15,551240
2024-08-28,109.15,110.135,105.01,109.71,633420
2024-08-29,110.54,111.668,103.5423,104.81,964459
2024-08-30,105.44,108.28,105.42,106.47,701808
2024-09-03,106.62,109.6,104.665,105.43,588909
2024-09-04,104.82,107.8,102.11,106.36,587734
2024-09-05,106.72,107.44,104.2,105.34,337033
2024-09-06,105.71,108.18,101.81,101.98,546781
2024-09-09,102.13,102.35,99.76,100.6,641775
2024-09-10,100.92,100.93,98.57,99.08,545393
2024-09-11,98.87,102.09,98.18,101.95,642209
2024-09-12,102.3,105.3,101.6,104.03,805246
2024-09-13,104.1,107,104.03,105.55,1115979.0
2024-09-16,105.6,107.74,104.79,107.51,441453
2024-09-17,107.87,109.05,104.54,105.54,536166
2024-09-18,104.99,109.94,104.5,108.14,606983
2024-09-19,110.66,111.36,107.18,108.56,940740
2024-09-20,108.74,110.47,107.61,110.05,1059754.0
2024-09-23,111.71,113.4399,109.67,111.36,580560
2024-09-24,111.12,113.21,110.69,111.76,596815
2024-09-25,112.14,112.14,107.5,107.95,645114
2024-09-26,109.29,109.37,101.88,104.43,1028117.0
2024-09-27,106.03,108.52,104.94,107.36,669998
2024-09-30,107.27,110.33,107.27,109.75,605910
2024-10-01,109.88,111.74,105.685,105.84,491518
2024-10-02,105.42,106.65,103.93,105.18,447189
2024-10-03,105.37,106.81,103.65,106.56,448192
2024-10-04,107.96,108.63,105.98,107.785,295152
2024-10-07,107.24,108.3741,106.3,106.6,322643
2024-10-08,107.28,109.26,106.6684,108.1,502027
2024-10-09,107.64,109.81,106.8087,109.27,303974
2024-10-10,108.28,108.49,105.05,108.17,525539
2024-10-11,108.6,112.25,108.25,112.19,485670
2024-10-14,113.1,113.8604,110.238,110.72,410259
2024-10-15,110.77,112.55,110.04,111.96,511287
2024-10-16,112.83,113.6899,111.775,112.5,638095
2024-10-17,112.67,116.16,112.4,115.65,646422
2024-10-18,116.25,117.47,115.01,116.69,513096
2024-10-21,116.82,116.82,110.76,112.08,671175
2024-10-22,112,113.465,111.1,112.63,442442
2024-10-23,111.79,112.98,107.52,110.64,712387
2024-10-24,110.64,113.165,109.73,109.81,378730
2024-10-25,109.92,111.95,109.3,110.3,406708
2024-10-28,111.34,113.5699,109.85,110.1,391148
2024-10-29,109.08,112.59,105,110.09,843053
2024-10-30,109.63,110.625,108.5,109.38,415439
2024-10-31,109.44,110.48,107.62,109.84,645114
2024-11-01,109.84,110.64,107.76,107.98,569934
2024-11-04,109,118.21,108.67,115.45,1716443.0
2024-11-05,112.85,115.09,110.17,114.96,1486150.0
2024-11-06,99.72,102.4999,86.46,91.17,5735969.0
2024-11-07,91.49,95.43,88.3,88.315,2869369.0
2024-11-08,88.95,90.1599,85.7601,87.5,1586489.0
2024-11-11,85.5,86.8899,81.26,84.08,2316456.0
2024-11-12,84.88,85.38,83.31,85.15,1768884.0
2024-11-13,85.04,85.27,79.58,79.76,1838715.0
2024-11-14,79.65,83.41,79.64,80.84,1561566.0
