date,open,high,low,close,volume
2024-03-01,94.5,98.2445,94.365,98.153,11110790.0
2024-03-04,99.117,99.386,97.348,97.752,9016240.0
2024-03-05,96.999,97.9,95.19,96.31,13083290.0
2024-03-06,97.668,98.985,97.225,98.186,14329030.0
2024-03-07,98.901,100.739,98.785,99.457,10974110.0
2024-03-08,99.272,99.581,95.573,95.665,13313170.0
2024-03-11,94.311,94.385,92.062,93.12,13267440.0
2024-03-12,93.347,95.088,92.801,95.083,13512240.0
2024-03-13,93.701,94.07,92.0905,92.671,10081880.0
2024-03-14,93.395,93.7847,91.6295,92.568,9963850.0
2024-03-15,90.888,92.021,90.56,91.009,19745750.0
2024-03-18,92.241,93.495,91.997,92.528,7511690.0
2024-03-19,91.399,93.288,90.911,93.105,7029720.0
2024-03-20,92.6,94.992,92.339,94.908,8492940.0
2024-03-21,98.31,100.4295,97.6,98.257,14078170.0
2024-03-22,98.475,99.052,97.602,97.79,6900860.0
2024-03-25,96.228,98.252,96.228,97.146,7406310.0
2024-03-26,98.05,98.944,96.689,96.723,8589920.0
2024-03-27,97.282,97.5481,95.4796,96.567,5896980.0
2024-03-28,96.596,97.3895,96.163,97.157,6641000.0
2024-04-01,97.203,99.492,97.1,98.179,6513730.0
2024-04-02,96.7,97.29,95.7,96.733,9072170.0
2024-04-03,96.185,98.8125,96.003,97.837,7302290.0
2024-04-04,99.259,100.184,94.4,95.163,9919340.0
2024-04-05,96.59,97.773,96.05,96.858,8047760.0
2024-04-08,97.414,97.714,96.095,96.726,5609300.0
2024-04-09,98.031,98.198,95.802,97.334,5207300.0
2024-04-10,95.898,97.5,95.4845,96.164,5977230.0
2024-04-11,96.403,98.5185,96.068,98.348,7056290.0
2024-04-12,96.303,96.925,95.2,95.704,9892630.0
2024-04-15,97.588,98.123,93.749,94.617,7466230.0
2024-04-16,94.884,96.631,94.678,96.323,5316170.0
2024-04-17,95,95.2485,91.026,91.226,16343940.0
2024-04-18,90.923,90.9331,88.439,88.892,22992040.0
2024-04-19,89.494,89.9676,86.195,87.025,13293490.0
2024-04-22,87.64,87.874,85.798,86.807,18491320.0
2024-04-23,87.8,89.43,86.81,88.742,9620170.0
2024-04-24,90.734,91.586,88.227,88.489,18669980.0
2024-04-25,90.933,91.247,88.6571,90.147,12980600.0
2024-04-26,89.84,93.003,89.7865,92.537,12729570.0
2024-04-29,92.154,93.028,91.51,92.881,8221280.0
2024-04-30,92.386,93.453,89.393,89.441,9661060.0
2024-05-01,88.308,89.9895,86.395,86.81,11773270.0
2024-05-02,88.104,88.518,86.2085,88.368,7142000.0
2024-05-03,89.84,91.2615,89.5545,90.853,8657830.0
2024-05-06,91.528,92.55,91.057,92.454,7009580.0
2024-05-07,92.761,93,91.334,91.491,6655670.0
2024-05-08,90.317,91.4,89.9,91.328,5412570.0
2024-05-09,91.702,91.702,90.096,90.754,5686620.0
2024-05-10,91.826,93.12,91.224,91.542,4933760.0
2024-05-13,92.066,92.066,90.245,90.379,6748080.0
2024-05-14,89.9,91.393,89.652,91.254,5707670.0
2024-05-15,92.44,94.844,91.712,94.775,7014180.0
2024-05-16,95.005,95.507,94.25,94.29,7335710.0
2024-05-17,95.243,95.4851,90.582,91.207,8614780.0
2024-05-20,91.439,95,91.353,94.204,6428030.0
2024-05-21,97.166,97.373,94.183,96.4,13060070.0
2024-05-22,97.123,97.288,94.935,96.577,8875140.0
2024-05-23,99.122,99.266,95.245,95.813,10411160.0
2024-05-24,96.408,98.254,96.109,97.057,6334700.0
2024-05-28,97.5,97.572,95.859,97.126,9116170.0
2024-05-29,95.753,96.0842,95.202,95.324,8593020.0
2024-05-30,95.2,96.118,94.1465,95.07,10448210.0
2024-05-31,94.873,94.972,90.315,93.244,14887100.0
2024-06-03,94.697,95.239,91.128,93.563,6614120.0
2024-06-04,93.202,93.697,91.026,92.273,6479450.0
2024-06-05,94.884,97.2558,94.721,97.172,10731670.0
2024-06-06,96.202,97.429,95.426,96.219,7914050.0
2024-06-07,97.226,97.226,95.546,96.272,5718850.0
2024-06-10,95.525,100.85,95.502,100.307,10493420.0
2024-06-11,99.904,100.1,97.9545,99.975,6971640.0
2024-06-12,101.136,104.09,100.596,103.763,13165850.0
2024-06-13,102.717,104.48,102.194,103.85,7732600.0
2024-06-14,102.5,104.207,102.305,103.598,5413190.0
2024-06-17,103,107.339,103,107.17,9693480.0
2024-06-18,107.101,110.181,106.8645,108.958,10446470.0
2024-06-20,109.192,109.339,105.022,106.131,13964830.0
2024-06-21,105.997,106.457,103.871,105.035,15378870.0
2024-06-24,104.792,105.7035,102.207,102.442,8600080.0
2024-06-25,102.474,105.452,101.245,105.29,8977840.0
2024-06-26,105.36,106.912,104.2274,105.576,7837060.0
2024-06-27,107.625,108.4755,104.805,105.583,9043630.0
2024-06-28,106.505,108.6725,105.2975,106.485,11704410.0
2024-07-01,106.226,107.192,104.05,106.063,6015460.0
2024-07-02,104.892,107.342,104.654,107.282,5418160.0
2024-07-03,107,109.119,106.091,108.274,4238080.0
2024-07-05,109.036,109.447,107.5076,108.78,5527950.0
2024-07-08,108.839,110.586,108.524,110.161,6702800.0
2024-07-09,110.61,111.8679,110.024,111.255,6155750.0
2024-07-10,111.607,112.95,110.675,112.73,7655820.0
2024-07-11,112.977,113,105.949,105.994,13421470.0
2024-07-12,105.699,109.34,105.252,106.982,9313500.0
2024-07-15,106.982,108.191,106.259,106.911,7269400.0
2024-07-16,107.562,108.234,106.282,107.599,6165920.0
2024-07-17,101.915,101.915,96.719,96.768,21013590.0
2024-07-18,98.418,98.418,93.5357,95.26,16160210.0
2024-07-19,95.954,96.7,91.55,91.711,13946210.0
2024-07-22,94.2,98.123,93.0775,97.706,13166200.0
2024-07-23,96.376,97.7275,95.601,95.969,6254050.0
2024-07-24,95,95.224,90.879,90.987,13056390.0
2024-07-25,91.092,91.766,88.196,88.412,19172570.0
2024-07-26,90.81,90.866,88.904,89.464,11435740.0
2024-07-29,90.919,93.133,89.079,89.234,8191560.0
2024-07-30,90,90.507,85.351,85.486,12925440.0
2024-07-31,89.35,92.474,88.05,92.124,19071230.0
2024-08-01,85.475,87.985,81.255,83.033,28787690.0
2024-08-02,80,80.543,75.8,76.3,27048760.0
2024-08-05,74.068,79.385,72,77.039,23568950.0
2024-08-06,77.504,79.498,76.5857,77.017,12551720.0
2024-08-07,79.799,80.326,74.336,74.805,12594430.0
2024-08-08,78.02,80.118,76,79.913,14317890.0
2024-08-09,80.8,81.6338,79.1555,80.79,12320440.0
2024-08-12,80.744,82.251,79.822,81.089,7219330.0
2024-08-13,81.5,84.224,81.274,84.076,14938080.0
2024-08-14,84.876,85.669,82.725,84.533,7976240.0
2024-08-15,86.467,89.51,85.867,89.01,11575190.0
2024-08-16,87.154,88.141,86,87.114,10798980.0
2024-08-19,86.5,88.196,84.81,88.128,9634030.0
2024-08-20,88.065,88.205,85.626,86.286,9768400.0
2024-08-21,86.95,87.6987,86.044,87.333,8154600.0
2024-08-22,87.499,87.7,83,83.572,13325710.0
2024-08-23,85.1,86.207,83.529,84.737,9075250.0
2024-08-26,84.1,84.3395,81.504,81.891,10856860.0
2024-08-27,81.067,82.885,79.94,82.044,8780470.0
2024-08-28,81.993,82.155,79.943,80.511,11106330.0
2024-08-29,81.84,82.696,79.374,79.732,12325640.0
2024-08-30,82.359,82.3765,80.3035,82.101,11829920.0
2024-09-03,80.556,80.6645,76.151,76.572,16166000.0
2024-09-04,75.253,77.282,74.277,76.444,9321870.0
2024-09-05,75.025,76.9,74.768,75.592,7985010.0
2024-09-06,75.252,75.6385,73.018,73.383,15098370.0
2024-09-09,74.289,74.4155,72.3,73.431,10986810.0
2024-09-10,73.854,74.025,71.662,73.156,13320530.0
