date,open,high,low,close,volume
2024-03-01,22.32,22.36,21.95,22.33,10074
2024-03-04,22.35,22.42,22.35,22.36,8537
2024-03-05,22.5,22.5,22.16,22.49,3063
2024-03-06,22.49,22.525,22.49,22.525,732
2024-03-07,22.44,22.45,22.33,22.33,2063
2024-03-08,22.3501,22.625,22.3501,22.625,2716
2024-03-11,22.65,22.8222,22.4,22.7199,1710
2024-03-12,22.54,22.54,22.5,22.5,1319
2024-03-13,22.22,22.3,21.75,21.9,7634
2024-03-14,22.125,22.15,21.75,22.15,13455
2024-03-15,22.4,22.4,22.05,22.3,1738
2024-03-18,22.19,22.245,22.07,22.16,3850
2024-03-19,22.27,22.35,22.27,22.35,3153
2024-03-20,22.35,22.6038,22.26,22.5,5441
2024-03-21,22.77,22.77,22.5548,22.66,2878
2024-03-22,22.29,22.57,22.29,22.36,878
2024-03-25,22.5,22.55,22.44,22.55,2020
2024-03-26,22.52,22.58,22.48,22.53,2767
2024-03-27,22.26,22.82,22.26,22.7,6716
2024-03-28,22.7,22.7,22.49,22.49,2991
2024-04-01,22.61,22.61,21.58,22.3777,7952
2024-04-02,22.45,22.5,22.205,22.4,2141
2024-04-03,22.14,22.7,22.06,22.7,4882
2024-04-04,22.69,22.698,22.4523,22.475,1904
2024-04-05,22.4,22.48,22.4,22.41,1276
2024-04-08,22.38,22.38,22.25,22.29,1129
2024-04-09,22.2501,22.47,22.2501,22.47,1396
2024-04-10,22.35,22.35,22.35,22.35,457
2024-04-11,22.4,22.4,22.4,22.4,268
2024-04-12,22.24,22.26,21.99,21.99,8725
2024-04-15,22.1,22.29,21.5001,21.974,9315
2024-04-16,22.125,22.2,22.01,22.2,2275
2024-04-17,21.97,22.1,21.97,21.997,1001
2024-04-18,21.95,22.02,21.9,22.01,3122
2024-04-19,22.02,22.32,22.02,22.15,4308
2024-04-23,22.1504,22.24,21.97,22.01,11690
2024-04-24,21.2396,22.0515,21.2396,22.0101,1358
2024-04-25,21.99,22.18,21.99,22.18,604
2024-04-26,22.5,22.5,22.0206,22.29,981
2024-04-29,21.45,22.31,21.45,22.3,3603
2024-05-01,21.9801,22.298,21.9801,22.298,497
2024-05-02,22.05,22.2499,22.05,22.2499,281
2024-05-06,21.98,22.1354,21.98,22.1354,5764
2024-05-07,22.0023,22.2,22.0023,22.2,1109
2024-05-08,22.25,22.25,22.02,22.02,1589
2024-05-09,21.3353,22.25,21.3353,22.25,9047
2024-05-10,22.28,22.28,22.28,22.28,257
2024-05-13,22.28,22.53,22.28,22.52,3047
2024-05-14,22.31,22.425,22.27,22.335,4472
2024-05-15,22.36,22.48,22.2787,22.47,2122
2024-05-16,22.49,22.49,22.35,22.4809,812
2024-05-17,22.5,22.55,22.5,22.55,4012
2024-05-20,22.425,22.815,22.425,22.51,3190
2024-05-21,22.65,22.66,22.42,22.44,2093
2024-05-22,22.42,22.42,22.38,22.42,1542
2024-05-23,22.39,22.5,22.38,22.5,5912
2024-05-28,22.48,22.48,22.48,22.48,439
2024-05-29,22.42,22.42,22.39,22.4,499
2024-05-30,22.4,22.4,22.34,22.34,1566
2024-05-31,21.7,22.4,21.7,22.4,5518
2024-06-03,22.37,22.4,22.34,22.4,1338
2024-06-04,22.28,22.33,22.27,22.33,1957
2024-06-05,22.275,22.275,22.16,22.16,404
2024-06-06,22.3001,22.39,22.27,22.315,2820
2024-06-07,22.39,22.39,22.3,22.39,1503
2024-06-10,22.39,22.4125,22.21,22.32,2249
2024-06-11,22.31,22.4,22.18,22.4,1353
2024-06-12,22.365,22.365,21.99,22.252,3703
2024-06-13,22.41,22.41,22.22,22.34,3548
2024-06-14,22.25,22.29,22.25,22.29,828
2024-06-17,22.35,22.35,22.195,22.35,8083
2024-06-18,22.43,22.43,22.43,22.43,893
2024-06-21,22.3001,22.4,22.3001,22.4,656
2024-06-24,22.47,22.62,22.47,22.62,2165
2024-06-25,22.3774,22.3774,22.35,22.35,633
2024-06-26,22.3,22.41,22.3,22.4,1129
2024-06-27,22.41,22.41,22.36,22.3635,1709
2024-06-28,22.44,22.46,22.3,22.4,3584
2024-07-01,22.61,22.61,22.61,22.61,241
2024-07-02,22.485,22.57,22.485,22.57,592
2024-07-03,22.65,22.65,22.5,22.5,1078
2024-07-05,22.5,22.5,22.2768,22.32,1744
2024-07-08,22.5308,22.5308,22.4661,22.4661,1555
2024-07-09,22.33,22.508,22.33,22.508,571
2024-07-10,22.32,22.4,22,22.4,3544
2024-07-11,22.36,22.42,22.25,22.42,3907
2024-07-12,22.5,22.5,22.415,22.45,598
2024-07-15,22.34,22.46,22.05,22.05,7437
2024-07-16,22.15,22.39,21.99,22.16,1636
2024-07-17,22.17,22.17,22.17,22.17,288
2024-07-18,22.245,22.3,22.11,22.3,4421
2024-07-19,22.24,22.2931,22.24,22.2931,337
2024-07-22,22.3,22.3,22.1501,22.26,1318
2024-07-23,22.2876,22.2876,22.25,22.25,725
2024-07-24,22.4699,22.4699,22.1001,22.19,899
2024-07-25,22.368,22.368,22.2994,22.34,1136
2024-07-26,22.49,22.49,22.25,22.385,721
2024-07-29,22.28,22.28,22.28,22.28,1717
2024-07-30,22.15,22.33,22.15,22.33,531
2024-07-31,22.3999,22.3999,22.3999,22.3999,106
2024-08-01,22.2643,22.4,22.25,22.25,4352
2024-08-02,22.2,22.2,22.095,22.095,597
2024-08-05,21.9704,21.9704,21.9704,21.9704,500
2024-08-06,20.95,21.9,20.65,21.9,5099
2024-08-07,21.6,21.85,21.5003,21.8,2468
2024-08-08,21.4,21.8,21.4,21.8,426
2024-08-09,21.36,21.8,21.25,21.7,3613
2024-08-12,21.49,21.63,21.15,21.29,6443
2024-08-13,21.55,21.55,21.55,21.55,1820
2024-08-14,21.58,21.58,21.51,21.51,835
2024-08-15,21.6,21.6,21.51,21.51,955
2024-08-16,21.645,21.76,21.4,21.76,7796
2024-08-19,21.685,21.745,21.42,21.69,1159
2024-08-20,21.75,21.95,21.75,21.77,3325
2024-08-21,21.755,21.9,21.7492,21.9,2280
2024-08-22,21.62,21.73,21.52,21.6797,3651
2024-08-23,21.51,21.66,21.51,21.66,740
2024-08-26,21.52,21.55,21.45,21.45,5403
2024-08-27,21.46,21.712,21.38,21.5,4011
2024-08-28,21.5536,21.6499,21.5,21.6499,1222
2024-08-29,21.6787,21.7,21.51,21.5985,3907
2024-08-30,21.74,21.74,21.52,21.605,5421
2024-09-03,21.5,21.625,21.5,21.5101,4299
2024-09-04,21.86,21.86,21.51,21.59,2550
2024-09-05,21.53,21.5855,21.44,21.44,2596
2024-09-06,21.35,21.5,21.35,21.42,2896
2024-09-09,21.42,21.6,21.285,21.39,4614
2024-09-10,21.52,21.52,21.52,21.52,359
2024-09-11,21.55,21.57,21.43,21.43,658
2024-09-12,21.5,21.5,21.5,21.5,2001
2024-09-13,21.97,23.79,21.97,23.79,39037
2024-09-16,23.5,24,23.02,24,23111
2024-09-17,24.01,24.8,23.48,24.06,7118
2024-09-18,23.0201,24.02,23.02,23.99,5539
2024-09-19,23.26,24.02,23.26,23.96,5832
2024-09-20,24,25,24,25,6204
2024-09-23,24.5,25,24,24.47,8317
2024-09-24,23.7,24.3,23.7,24.3,878
2024-09-25,24,24.47,24,24.4,16806
2024-09-26,24.24,24.24,23.62,24.08,5031
2024-09-27,24.2,24.2,23.95,23.955,5593
2024-09-30,23.745,24.8287,23.745,24.8287,7231
2024-10-01,24.05,24.78,23.8099,24.3,10214
2024-10-02,23.73,24,23.73,24,1109
2024-10-03,23.68,24.18,23.68,24.18,1412
2024-10-04,23.655,24.0379,23.655,24.0379,294
2024-10-07,23.77,24,23.77,24,1025
2024-10-08,23.76,24.225,23.15,23.9,19203
2024-10-09,23.75,24,23.46,24,4483
2024-10-10,24.49,24.49,24.38,24.4,876
2024-10-14,23.85,24.2359,23.85,24.2359,1728
2024-10-15,23.89,24.2,23.89,24.19,2507
2024-10-18,24.25,24.3499,24.05,24.3499,777
