date,open,high,low,close,volume
2024-03-01,2.8,2.9,2.79,2.82,24261
2024-03-04,2.88,2.88,2.75,2.79,48684
2024-03-05,2.76,2.78,2.5,2.62,118872
2024-03-06,2.63,2.74,2.63,2.72,38924
2024-03-07,2.73,2.93,2.6704,2.86,103087
2024-03-08,2.93,2.98,2.77,2.98,27758
2024-03-11,2.99,2.99,2.914,2.93,30701
2024-03-12,2.93,2.95,2.74,2.79,46677
2024-03-13,2.8,2.8699,2.7801,2.81,22644
2024-03-14,2.81,2.89,2.8046,2.87,37538
2024-03-15,2.85,2.85,2.78,2.84,33637
2024-03-18,2.86,3.3,2.811,3.2,367114
2024-03-19,3.23,3.28,3,3.02,124050
2024-03-20,3.05,3.105,2.97,3.02,58390
2024-03-21,3.1,3.1437,2.9,2.96,229984
2024-03-22,2.97,3.05,2.8,2.89,46564
2024-03-25,2.86,3.0121,2.86,2.88,36825
2024-03-26,2.86,2.9299,2.83,2.83,40963
2024-03-27,2.92,3.08,2.91,3.01,112219
2024-03-28,3.05,3.1,2.92,2.95,191101
2024-04-01,2.95,3.06,2.932,2.99,52226
2024-04-02,2.98,3.01,2.9301,3,47382
2024-04-03,2.96,3.03,2.945,2.99,71936
2024-04-04,3,3.08,2.872,2.97,154294
2024-04-05,2.94,2.94,2.6948,2.76,131018
2024-04-08,2.77,2.81,2.6767,2.72,104407
2024-04-09,2.74,2.77,2.69,2.73,62224
2024-04-10,2.71,2.73,2.67,2.72,41762
2024-04-11,2.76,2.86,2.6601,2.8,114992
2024-04-12,2.83,2.94,2.77,2.81,74647
2024-04-15,2.8,2.8478,2.6,2.67,69816
2024-04-16,2.67,2.72,2.5,2.6,89763
2024-04-17,2.63,2.64,2.5,2.52,85453
2024-04-18,2.53,2.6,2.45,2.5,43490
2024-04-19,2.5,2.55,2.47,2.5,33696
2024-04-22,2.46,2.54,2.45,2.49,18952
2024-04-23,2.41,2.52,2.395,2.5,72565
2024-04-24,2.48,2.6199,2.4601,2.59,43406
2024-04-25,2.58,2.62,2.4801,2.62,20768
2024-04-26,2.65,2.65,2.51,2.57,23180
2024-04-29,2.59,2.74,2.57,2.68,44283
2024-04-30,2.65,2.65,2.41,2.48,73992
2024-05-01,2.48,2.6699,2.48,2.62,25501
2024-05-02,2.61,2.63,2.5001,2.55,36402
2024-05-03,2.59,2.65,2.51,2.56,20436
2024-05-06,2.42,2.5899,2.4118,2.5,65618
2024-05-07,2.5,2.565,2.4201,2.47,63287
2024-05-08,2.43,2.54,2.43,2.49,18892
2024-05-09,2.48,2.587,2.475,2.52,63018
2024-05-10,2.49,2.62,2.41,2.43,71988
2024-05-13,2.42,2.45,2.2801,2.33,86743
2024-05-14,2.32,2.4088,2.3,2.37,51084
2024-05-15,2.43,2.46,2.3,2.36,71652
2024-05-16,2.35,2.51,2.35,2.42,46274
