date,open,high,low,close,volume
2024-03-01,461.44,464.57,457.63,458.5,1295260.0
2024-03-04,458.63,459.03,449.77,450.79,1254151.0
2024-03-05,448.81,448.81,443.61,446.06,975657
2024-03-06,451.99,452.66,443.52,448.54,941273
2024-03-07,449.03,461,449.03,457.28,1078429.0
2024-03-08,461.27,465.42,457.29,460.39,755175
2024-03-11,461.53,461.53,453.67,457.76,729732
2024-03-12,459.48,467.86,458.56,465.28,841235
2024-03-13,467.93,471.7199,465.37,465.55,799871
2024-03-14,472.06,472.06,462.75,470.01,1316881.0
2024-03-15,467.12,470.67,463.1642,464.94,1678133.0
2024-03-18,465.92,469.69,459.48,459.57,1261257.0
2024-03-19,457.69,467.86,454.23,467.27,1428923.0
2024-03-20,467.34,469.7863,461.92,469.05,1627824.0
2024-03-21,472,480.94,469,478.84,4020647.0
2024-03-22,416.25,418.7,387.11,403.19,19680078.0
2024-03-25,405.085,405.085,387.05,388.9,5121272.0
2024-03-26,393.59,395.2748,385.88,386.14,2881703.0
2024-03-27,387.08,394.46,386.47,389.46,2340531.0
2024-03-28,390.5,394.3153,390.07,390.65,1699144.0
2024-04-01,393.55,394,384.02,385.2,1827485.0
2024-04-02,380,381.6442,376.14,378.06,2137728.0
2024-04-03,378.68,379.8999,373.81,374.01,1550842.0
2024-04-04,373,373.34,356.75,357.56,4717602.0
2024-04-05,357.9,360.82,355.23,356.87,1809765.0
2024-04-08,358.61,361.72,355.8675,360.46,1681873.0
2024-04-09,360.1,360.99,355.41,358.8,1965638.0
2024-04-10,352.8,355.1798,349.53,350.25,1962799.0
2024-04-11,350.59,352.05,347.51,349.92,1948314.0
2024-04-12,345.47,346.9,336.04,336.13,2664781.0
2024-04-15,340.99,343.82,334.53,334.76,2239639.0
2024-04-16,334.03,341.11,330.61,338.98,2131173.0
2024-04-17,342,346.445,341.24,344.86,2140863.0
2024-04-18,346.5,352.1,344.31,347.51,1991149.0
2024-04-19,346.96,353.1,346.39,352.47,2450572.0
2024-04-22,354.68,364.63,354.68,361.79,2528085.0
2024-04-23,362.17,366.19,359.33,364.68,1583491.0
2024-04-24,368.36,368.36,361.2197,364.59,1249110.0
2024-04-25,363.19,364,356.67,360,1530891.0
2024-04-26,359.43,367.59,359.39,364.7,1220776.0
2024-04-29,357.89,366.98,357.015,363.96,1344873.0
2024-04-30,362.59,362.59,358.6177,360.6,1584085.0
2024-05-01,358.05,360.445,351.67,354.4,1330844.0
