date,open,high,low,close,volume
2024-03-01,2.94,3.05,2.93,3,11403
2024-03-04,3.03,3.05,2.99,3,8833
2024-03-05,3.05,3.1245,3,3.05,70149
2024-03-06,3.04,3.05,2.9741,3.01,10928
2024-03-07,3.03,3.05,2.98,3.03,6165
2024-03-08,2.98,3.1,2.9701,3.04,133300
2024-03-11,3.04,3.05,2.97,3.05,37394
2024-03-12,3.05,3.08,3.015,3.02,36001
2024-03-13,2.9795,2.9923,2.97,2.97,6657
2024-03-14,3.03,3.03,2.5101,2.65,56507
2024-03-15,2.65,2.8,2.65,2.7,33735
2024-03-18,2.67,2.8389,2.64,2.64,13189
2024-03-19,2.65,2.81,2.65,2.73,17662
2024-03-20,2.6016,2.93,2.6016,2.93,21509
2024-03-21,2.915,2.936,2.75,2.9,20544
2024-03-22,2.85,2.86,2.71,2.78,12761
2024-03-25,2.8001,2.85,2.75,2.79,6921
2024-03-26,2.85,2.904,2.77,2.88,18114
2024-03-27,2.81,2.95,2.81,2.82,6500
2024-03-28,2.87,2.94,2.82,2.82,8854
2024-04-01,2.86,2.9046,2.7976,2.84,4523
2024-04-02,2.79,2.84,2.75,2.84,3462
2024-04-03,2.82,2.85,2.76,2.76,6918
2024-04-04,2.78,2.8356,2.6001,2.78,12271
2024-04-05,2.81,2.8105,2.74,2.74,2550
2024-04-08,2.8,2.84,2.65,2.65,9133
2024-04-09,2.685,2.7719,2.65,2.69,4262
2024-04-10,2.69,2.69,2.69,2.69,583
2024-04-11,2.79,2.8999,2.69,2.71,23100
2024-04-12,2.72,2.72,2.41,2.64,15356
2024-04-15,2.42,2.57,2.41,2.45,28476
2024-04-16,2.585,2.69,2.46,2.52,18763
2024-04-17,2.45,2.56,2.41,2.52,14403
2024-04-18,2.45,2.76,2.41,2.62,12387
2024-04-19,2.65,2.83,2.53,2.59,12311
2024-04-22,2.67,2.695,2.6,2.68,4652
2024-04-23,2.73,2.85,2.7,2.8,17131
2024-04-24,2.9,2.93,2.72,2.795,46348
