date,open,high,low,close,volume
2024-03-01,1.62,1.65,1.55,1.58,162238
2024-03-04,1.56,1.74,1.495,1.72,521669
2024-03-05,1.63,1.78,1.62,1.72,243720
2024-03-06,1.78,1.93,1.74,1.9,531498
2024-03-07,1.93,2.03,1.83,1.93,533788
2024-03-08,1.95,1.98,1.81,1.87,359162
2024-03-11,1.85,1.98,1.8,1.82,332666
2024-03-12,1.85,1.91,1.71,1.855,310606
2024-03-13,1.87,1.93,1.76,1.87,314019
2024-03-14,1.85,1.9415,1.82,1.82,302148
2024-03-15,1.87,1.92,1.83,1.84,409824
2024-03-18,1.84,1.94,1.84,1.88,208452
2024-03-19,1.91,2.15,1.89,2.06,648270
2024-03-20,2.09,2.11,1.93,1.98,541733
2024-03-21,1.99,2.08,1.95,2.05,514899
2024-03-22,2.04,2.1,2.0105,2.04,558837
2024-03-25,2.05,2.05,1.78,1.95,531697
2024-03-26,1.9,1.97,1.8997,1.92,318651
2024-03-27,1.95,1.97,1.88,1.93,254288
2024-03-28,1.94,1.97,1.925,1.95,549058
2024-04-01,1.95,1.96,1.83,1.85,431560
2024-04-02,1.87,1.895,1.84,1.87,231920
2024-04-03,1.87,2,1.86,1.86,327136
2024-04-04,1.87,1.925,1.82,1.9,343421
2024-04-05,1.88,1.97,1.88,1.95,197834
2024-04-08,1.98,1.98,1.91,1.95,257818
2024-04-09,1.95,1.97,1.83,1.83,393028
2024-04-10,1.86,1.89,1.78,1.82,218121
2024-04-11,1.81,1.86,1.77,1.83,236553
2024-04-12,1.84,1.86,1.71,1.75,295984
2024-04-15,1.75,1.8,1.68,1.73,411654
2024-04-16,1.71,1.73,1.64,1.66,190616
2024-04-17,1.67,1.69,1.54,1.67,385444
2024-04-18,1.67,1.7389,1.58,1.7,523953
2024-04-19,1.69,1.74,1.6,1.66,291986
2024-04-22,1.67,1.74,1.62,1.72,289360
2024-04-23,1.7,1.82,1.7,1.74,233137
2024-04-24,1.74,1.89,1.74,1.88,292110
2024-04-25,1.9,1.9,1.77,1.85,291461
2024-04-26,1.86,1.94,1.83,1.895,313770
