date,open,high,low,close,volume
2024-03-01,2.95,3.215,2.94,3.07,1068390.0
2024-03-04,3.11,3.2556,2.52,2.605,850706
2024-03-05,2.56,2.71,2.47,2.51,700319
2024-03-06,2.54,2.65,2.48,2.64,632600
2024-03-07,2.66,2.685,2.51,2.52,738998
2024-03-08,2.59,2.66,2.425,2.51,676013
2024-03-11,2.52,2.575,2.31,2.33,750231
2024-03-12,2.33,2.34,2.18,2.18,773817
2024-03-13,2.24,2.42,2.16,2.35,947732
2024-03-14,2.34,2.34,2.2,2.21,1031565.0
2024-03-15,2.27,2.32,2.14,2.16,1538287.0
2024-03-18,2.18,2.19,2.05,2.08,593199
2024-03-19,2.07,2.145,1.84,1.99,2140219.0
2024-03-20,1.92,2.08,1.91,2.035,837082
2024-03-21,2.01,2.1,1.95,2.04,911060
2024-03-22,2.02,2.03,1.91,1.92,477100
2024-03-25,1.9,1.955,1.9,1.92,512000
2024-03-26,1.93,1.99,1.9,1.94,466063
2024-03-27,1.98,2.05,1.93,2.04,605970
2024-03-28,2.04,2.26,2.015,2.23,1177476.0
2024-04-01,2.27,2.28,2.07,2.18,1005369.0
2024-04-02,2.14,2.14,2.04,2.08,526552
2024-04-03,2.04,2.1,2.015,2.06,489113
2024-04-04,2.07,2.21,2.06,2.09,620268
2024-04-05,2.07,2.14,2.01,2.09,359209
2024-04-08,2.12,2.22,2.06,2.19,496174
2024-04-09,2.23,2.625,2.19,2.52,1405095.0
2024-04-10,2.48,2.48,2.32,2.45,1176245.0
2024-04-11,2.46,2.68,2.45,2.66,903555
2024-04-12,2.97,3.145,2.82,3.01,2589712.0
2024-04-15,2.84,2.89,2.355,2.4,1916534.0
2024-04-16,2.33,2.5,2.27,2.41,1335425.0
2024-04-17,2.4,2.49,2.35,2.38,1025509.0
2024-04-18,2.33,2.415,2.26,2.33,868537
2024-04-19,2.31,2.38,2.15,2.23,1067498.0
2024-04-22,2.2,2.42,2.1912,2.41,874143
2024-04-23,2.36,2.55,2.36,2.44,682234
2024-04-24,2.42,2.48,2.29,2.3,768649
2024-04-25,2.3,2.5292,2.15,2.2,515193
2024-04-26,2.19,2.21,2.11,2.17,346251
2024-04-29,2.19,2.275,2.19,2.25,406795
2024-04-30,2.23,2.255,2.16,2.17,535300
2024-05-01,2.18,2.38,2.14,2.33,819184
2024-05-02,2.38,2.44,2.315,2.4,784378
2024-05-03,2.44,2.66,2.35,2.36,438619
2024-05-06,2.34,2.54,2.34,2.54,833802
2024-05-07,2.46,2.55,2.42,2.54,922309
2024-05-08,2.55,2.58,2.47,2.5,827381
2024-05-09,2.52,2.7,2.495,2.68,1024121.0
2024-05-10,2.56,2.715,2.445,2.46,646561
2024-05-13,2.46,2.52,2.395,2.4,590954
2024-05-14,2.49,2.6,2.415,2.54,433282
2024-05-15,2.63,2.72,2.5,2.61,487355
2024-05-16,2.61,2.8,2.55,2.78,632700
2024-05-17,2.78,2.875,2.7,2.74,1048938.0
2024-05-20,2.61,2.72,2.51,2.67,887074
2024-05-21,2.62,2.73,2.605,2.61,784715
2024-05-22,2.57,2.82,2.56,2.76,877912
2024-05-23,2.76,2.78,2.66,2.71,780017
2024-05-24,2.73,2.785,2.68,2.77,579385
2024-05-28,2.82,2.85,2.7,2.75,295383
2024-05-29,2.69,2.705,2.515,2.56,581193
2024-05-30,2.61,2.71,2.56,2.66,490223
2024-05-31,2.67,2.77,2.655,2.77,617613
2024-06-03,2.8,2.8,2.61,2.64,612983
2024-06-04,2.61,2.66,2.44,2.49,552669
2024-06-05,2.49,2.695,2.45,2.68,555542
2024-06-06,2.66,2.67,2.46,2.48,245740
2024-06-07,2.44,2.505,2.41,2.43,255824
2024-06-10,2.37,2.39,2.25,2.36,453564
