date,open,high,low,close,volume
2024-03-01,14.52,14.5799,14.2701,14.41,75806
2024-03-04,14.39,14.51,14.28,14.35,70100
2024-03-05,14.22,14.3264,14.01,14.03,83207
2024-03-06,14.11,14.34,14,14.33,83183
2024-03-07,14.39,14.495,14.13,14.22,75661
2024-03-08,14.39,14.73,14.27,14.3,66737
2024-03-11,14.24,14.27,14.03,14.2,112101
2024-03-12,14.2,14.34,14.08,14.15,75775
2024-03-13,14.17,14.3393,14.13,14.25,103196
2024-03-14,14.25,14.335,14.1,14.23,78613
2024-03-15,14.12,14.38,14.09,14.3,139491
2024-03-18,14.3,14.36,14.15,14.16,74454
2024-03-19,14.16,14.78,14.16,14.74,109856
2024-03-20,14.67,15.19,14.64,15.18,113921
2024-03-21,15.13,15.55,15,15.47,94805
2024-03-22,15.48,15.57,15.21,15.21,71464
2024-03-25,15.25,15.28,14.85,14.87,51319
2024-03-26,15,15.05,14.69,14.76,87243
2024-03-27,14.89,15.06,14.76,15.04,63643
2024-03-28,15.04,15.32,15.02,15.12,75367
2024-04-01,15.19,15.34,15.11,15.2,58237
2024-04-02,15.1,15.1,14.73,14.86,71395
2024-04-03,14.76,15.22,14.76,15.21,72954
2024-04-04,15.29,15.44,15.09,15.17,73434
2024-04-05,15.08,15.3,15.08,15.26,45256
2024-04-08,15.37,15.43,15.08,15.09,52176
2024-04-09,15.13,15.17,14.81,14.84,52048
2024-04-10,14.54,14.695,14.2333,14.59,87757
2024-04-11,14.56,14.8,14.52,14.75,48601
2024-04-12,14.66,14.92,14.56,14.63,50423
2024-04-15,14.62,14.72,14.12,14.17,98141
2024-04-16,14.11,14.35,14.09,14.18,93398
2024-04-17,14.21,14.32,13.95,13.97,86334
2024-04-18,13.97,14.08,13.89,13.99,97026
2024-04-19,14.47,15.16,14.47,14.7,117708
2024-04-22,14.67,14.73,14.5,14.52,83767
2024-04-23,14.55,14.74,14.47,14.52,80351
2024-04-24,14.57,14.91,14.5,14.59,97047
2024-04-25,14.66,15.26,14.05,15.18,115648
2024-04-26,15.35,15.35,14.42,14.77,110603
2024-04-29,14.79,15.07,14.745,15.01,81279
2024-04-30,14.9,14.99,14.5,14.6,85354
2024-05-01,14.52,14.875,14.52,14.72,92126
2024-05-02,14.72,14.97,14.69,14.92,65658
2024-05-03,14.93,15.5,14.93,15.28,102833
2024-05-06,15.28,15.63,15.25,15.32,125832
2024-05-07,15.32,15.54,15.21,15.22,107529
2024-05-08,15.2,15.87,15.175,15.87,112115
2024-05-09,15.9,16.15,15.705,16.07,136581
2024-05-10,16.08,16.13,15.82,15.89,90030
2024-05-13,16.02,16.02,15.68,15.69,66612
2024-05-14,15.87,16.03,15.81,15.94,72506
2024-05-15,16.11,16.11,15.87,15.97,61149
2024-05-16,16.03,16.15,15.78,15.79,55825
2024-05-17,15.93,15.9899,15.705,15.85,53342
2024-05-20,15.82,16.07,15.4504,15.78,90888
2024-05-21,15.78,16.02,15.59,15.9,79152
2024-05-22,15.89,15.97,15.29,15.69,166514
2024-05-23,15.68,15.8,15.37,15.49,304897
2024-05-24,15.59,15.97,15.49,15.97,156674
2024-05-28,16.11,16.11,15.65,15.83,95634
2024-05-29,15.67,15.95,15.51,15.55,93727
2024-05-30,15.64,15.715,15.3,15.34,66405
2024-05-31,15.45,15.9,15.28,15.88,188843
2024-06-03,16.02,16.232,15.9,16.05,117024
2024-06-04,15.9,15.93,15.43,15.48,84564
2024-06-05,15.48,15.48,15.24,15.45,55637
2024-06-06,15.41,15.41,15.01,15.07,51947
2024-06-07,14.9,15.01,14.81,14.84,64110
2024-06-10,14.81,14.98,14.58,14.96,47153
2024-06-11,14.86,14.95,14.715,14.9,40762
2024-06-12,15.27,15.49,15.16,15.21,68160
2024-06-13,15.12,15.12,14.74,14.89,41707
2024-06-14,14.76,14.76,14.58,14.63,80378
2024-06-17,14.46,14.6985,14.387,14.68,65372
2024-06-18,14.62,14.7,14.42,14.65,56317
2024-06-20,14.58,14.685,14.3901,14.56,116456
2024-06-21,14.61,14.94,14.5,14.71,166984
2024-06-24,14.76,14.87,14.55,14.67,79392
2024-06-25,14.65,14.655,14.52,14.6,77190
2024-06-26,14.62,14.73,14.52,14.67,117298
2024-06-27,14.68,14.76,14.36,14.39,106343
2024-06-28,14.53,14.7033,14.125,14.47,305666
2024-07-01,14.45,14.45,14.01,14.06,147610
2024-07-02,14.06,14.6,14.06,14.41,178671
2024-07-03,14.44,14.44,14.1,14.16,72315
2024-07-05,14.12,14.12,13.915,14.04,115005
2024-07-08,14.12,14.42,14.05,14.11,69337
2024-07-09,14.08,14.1,13.83,13.9,78414
2024-07-10,13.96,14.16,13.94,14.1,65512
2024-07-11,14.4,15.04,14.38,15.03,138828
2024-07-12,15.23,15.35,15.08,15.16,86725
2024-07-15,15.34,15.53,15.2,15.28,98040
2024-07-16,15.48,16.31,15.48,16.28,169191
2024-07-17,16.11,16.28,15.8806,15.93,117042
2024-07-18,15.93,16.1,15.41,15.43,60617
2024-07-19,15.47,15.62,15.22,15.28,59986
2024-07-22,15.3,15.81,15.21,15.78,69261
2024-07-23,15.8,16.2461,15.755,16.08,89301
2024-07-24,15.99,16.12,15.63,15.66,62951
2024-07-25,15.74,16.28,15.66,15.93,80338
2024-07-26,16.19,16.29,15.9,16.1,65333
2024-07-29,16.16,16.35,16.04,16.07,102844
