date,open,high,low,close,volume
2024-03-01,10.78,10.8,10.78,10.8,50238
2024-04-30,11,11,10.88,10.88,610
2024-05-15,11.25,11.53,11.25,11.53,1242
2024-05-16,11.38,11.5,11,11.5,1233
2024-05-20,11.6,11.6,11.3,11.3,526
2024-05-21,11.14,11.14,11.14,11.14,207
2024-05-22,11.5,11.5,11.5,11.5,101
2024-05-24,11.24,11.25,10.88,10.88,3432
2024-05-29,11.02,11.02,11.01,11.01,603
2024-05-31,10.92,10.92,10.92,10.92,201
2024-06-04,11.2,11.2,10.96,10.96,214
2024-06-12,10.92,10.92,10.92,10.92,100
2024-07-31,11.11,11.11,11.11,11.11,300
2024-08-01,11.36,11.36,11.36,11.36,100
2024-08-05,11.4701,11.4701,11.46,11.46,304
2024-08-21,11.21,11.21,11.21,11.21,200
2024-08-22,11.17,11.17,11.16,11.16,308
2024-08-23,11.83,11.83,11.83,11.83,144
2024-09-03,11.11,11.11,11.11,11.11,200
2024-10-08,11.23,11.23,11.23,11.23,113
2024-10-10,11.5,11.5,11.41,11.42,1001
2024-10-11,11.5,15,11.38,11.5,34867
2024-10-14,11.54,11.54,11.4,11.4,500
2024-10-17,11.27,11.27,11.27,11.27,435
2024-10-18,11.26,11.26,11.25,11.25,530
2024-10-21,11.25,11.68,11.25,11.25,1800
2024-10-22,11.26,11.26,11.24,11.24,500
2024-10-24,11.25,11.25,11.21,11.21,1150
2024-10-25,11.25,11.25,11.21,11.21,600
2024-11-01,11.21,11.25,11.21,11.22,800
2024-11-14,11.25,11.25,11.22,11.22,500
2024-11-19,11.25,11.25,11.23,11.23,410
2024-11-20,11.25,11.25,11.23,11.23,401
2024-12-03,10.9,10.9,10.9,10.9,295
2024-12-04,11.27,11.27,11.19,11.2,659
2024-12-05,10.9,11.03,10.9,11.03,279
2024-12-06,10.97,11.01,10.97,11,925
2024-12-09,11.29,13.45,11.23,11.85,7646
2024-12-10,11.15,11.15,10.3,10.3,1437
2024-12-11,9.18,9.18,8.72,8.72,818
2024-12-12,8.5,9.48,7.05,7.71,21738
2024-12-13,7.4,9.5,7.16,7.3,22893
2024-12-17,6.61,6.61,5.62,6.29,1550
2024-12-18,5.66,5.66,5.5,5.5,346
2024-12-20,5,5,5,5,422
2024-12-23,4.7,7.15,4.42,6.54,15144
2024-12-24,5.9,7.9,5.71,7.54,19814
2024-12-26,6.84,7.95,5.55,7.15,25430
2024-12-27,6.5,8.72,5.9,7.9,31817
2024-12-30,7.25,11.87,6.66,10.11,38971
2024-12-31,9.34,12.12,9.15,10.4,4130
2025-01-02,9.01,10.9,3.8,3.8,66201
