date,open,high,low,close,volume
2024-03-01,19.6,19.72,19.32,19.52,2150944.0
2024-03-04,19.56,19.59,19.3,19.34,1758105.0
2024-03-05,19.24,19.43,19.0801,19.36,1738551.0
2024-03-06,19.46,19.645,19.35,19.39,1485940.0
2024-03-07,19.45,19.79,19.25,19.55,2337528.0
2024-03-08,19.71,19.8499,19.67,19.79,2243897.0
2024-03-11,19.77,20.245,19.572,20.12,3072594.0
2024-03-12,20.11,20.3,19.92,20.27,2832526.0
2024-03-13,20.29,20.48,20.17,20.2,2764987.0
2024-03-14,20.2,20.21,19.17,19.27,4800240.0
2024-03-15,19.24,19.7,19.13,19.17,9872599.0
2024-03-18,19.12,19.505,19.0717,19.34,2942427.0
2024-03-19,19.33,19.945,19.33,19.89,3578534.0
2024-03-20,19.88,19.88,19.3,19.54,2509250.0
2024-03-21,19.58,19.785,19.49,19.71,2001160.0
2024-03-22,19.61,19.7,19.285,19.44,2259910.0
2024-03-25,19.49,19.49,19.21,19.35,1370704.0
2024-03-26,19.47,19.47,19.345,19.4,2131507.0
2024-03-27,19.5,19.76,19.4854,19.76,1632263.0
2024-03-28,19.76,19.83,19.68,19.81,1833796.0
2024-04-01,19.72,19.875,19.605,19.68,1941479.0
2024-04-02,19.56,19.655,19.36,19.62,3046081.0
2024-04-03,19.6,19.725,19.355,19.38,2333780.0
2024-04-04,19.58,19.81,19.35,19.51,2520526.0
2024-04-05,19.5,19.58,19.23,19.31,1935309.0
2024-04-08,19.29,19.54,19.275,19.35,1559243.0
2024-04-09,19.34,19.47,19.135,19.16,1542356.0
2024-04-10,18.92,18.97,18.63,18.69,4448809.0
2024-04-11,18.69,18.86,18.3602,18.56,2982991.0
2024-04-12,18.4,18.615,18.36,18.43,1874509.0
2024-04-15,18.56,18.63,18.065,18.09,2674359.0
2024-04-16,18.01,18.2,17.95,17.97,2795796.0
2024-04-17,18.08,18.17,17.94,18.05,2438976.0
2024-04-18,18.13,18.185,18.025,18.17,3609963.0
2024-04-19,18.02,18.25,17.99,18.05,1894674.0
2024-04-22,18.17,18.65,18.08,18.62,3586367.0
2024-04-23,18.63,18.93,18.53,18.73,3654320.0
2024-04-24,19.22,20.07,19.08,19.18,6335312.0
2024-04-25,19.13,19.13,17.98,18.47,4133785.0
2024-04-26,18.42,18.54,18.285,18.36,3022101.0
2024-04-29,18.36,18.65,18.31,18.49,2204308.0
2024-04-30,18.38,18.52,18.21,18.32,3329450.0
2024-05-01,18.32,18.36,17.92,18.08,2916161.0
2024-05-02,18.22,18.53,18.2,18.43,2347339.0
2024-05-03,18.52,18.75,18.45,18.45,2213077.0
2024-05-06,18.62,18.93,18.595,18.67,2930296.0
2024-05-07,18.72,18.99,18.7,18.72,3117924.0
2024-05-08,18.61,18.94,18.59,18.75,3137705.0
2024-05-09,18.79,19.04,18.77,18.87,2444640.0
2024-05-10,18.9,18.9,18.6,18.66,2296518.0
2024-05-13,18.86,18.98,18.745,18.79,3087638.0
2024-05-14,18.89,19.08,18.7325,19.04,3015499.0
2024-05-15,19.11,19.145,18.72,18.8,2672146.0
2024-05-16,18.83,18.89,18.65,18.69,1820012.0
2024-05-17,18.61,18.695,18.51,18.62,1576814.0
2024-05-20,18.6,18.69,18.3,18.34,2704658.0
2024-05-21,18.3,18.36,18.11,18.27,3011855.0
2024-05-22,18.18,18.25,17.86,17.88,3265607.0
2024-05-23,17.88,17.8801,17.36,17.53,3359547.0
2024-05-24,17.65,17.69,17.385,17.58,3158560.0
2024-05-28,17.58,17.735,17.38,17.72,4326089.0
2024-05-29,17.63,17.71,17.41,17.55,3469289.0
2024-05-30,17.56,17.63,17.405,17.48,2407205.0
2024-05-31,17.5,17.81,17.46,17.79,2925831.0
2024-06-03,17.83,17.965,17.77,17.83,2562660.0
2024-06-04,17.78,17.88,17.63,17.68,1936193.0
2024-06-05,17.68,17.715,17.31,17.62,2101466.0
2024-06-06,17.57,17.795,17.49,17.77,1821695.0
2024-06-07,17.68,17.8,17.59,17.61,2151008.0
2024-06-10,17.52,17.655,17.42,17.47,2276142.0
2024-06-11,17.39,17.41,17.1125,17.33,2314497.0
2024-06-12,17.56,17.6553,17.255,17.32,2094469.0
2024-06-13,17.3,17.35,16.985,17.06,2828489.0
2024-06-14,16.98,17.25,16.91,17.23,2901035.0
2024-06-17,17.17,17.3,16.98,17.19,2041383.0
2024-06-18,17.16,17.27,16.9,17.07,2334735.0
2024-06-20,17.06,17.2,16.96,17.11,2044440.0
2024-06-21,17.18,17.91,17.02,17.82,18301143.0
2024-06-24,17.74,17.83,17.145,17.22,5225987.0
2024-06-25,17.21,17.23,16.465,16.49,4870948.0
2024-06-26,16.5,16.55,16.19,16.23,3980014.0
2024-06-27,16.21,16.51,16.075,16.31,3404574.0
2024-06-28,16.35,16.46,16.185,16.26,3958727.0
2024-07-01,16.33,16.33,16.125,16.22,2946241.0
2024-07-02,16.21,16.355,16.13,16.25,2524155.0
2024-07-03,16.31,16.39,16.0938,16.38,2096906.0
2024-07-05,16.33,16.33,15.94,16.17,3879233.0
2024-07-08,16.22,16.41,16.16,16.23,2937510.0
2024-07-09,16.19,16.24,15.87,16.02,2892848.0
2024-07-10,16.03,16.32,16.02,16.31,2549357.0
2024-07-11,16.4,16.85,16.4,16.85,3656043.0
2024-07-12,16.96,16.985,16.765,16.78,1411374.0
2024-07-15,16.81,16.8975,16.6,16.73,2681904.0
2024-07-16,16.79,17.03,16.61,17.02,2593134.0
2024-07-17,16.94,17.02,16.635,16.7,4708907.0
2024-07-18,16.66,16.96,16.53,16.54,3229428.0
2024-07-19,16.48,16.52,16.22,16.23,1956387.0
2024-07-22,16.26,19.53,16.01,18.68,34872519.0
2024-07-23,18.51,18.549,17.07,17.24,9920317.0
2024-07-24,17.7,19.16,17.59,18.93,10154917.0
2024-07-25,19.14,19.185,18.745,18.91,4712281.0
2024-07-26,19.05,19.29,18.84,19.17,3396143.0
2024-07-29,19.13,19.34,18.9,19.27,3179262.0
2024-07-30,19.31,19.675,19.185,19.6,2565962.0
2024-07-31,19.68,19.74,19.25,19.29,2891408.0
2024-08-01,19.3,19.555,19.135,19.17,3063901.0
2024-08-02,18.94,19.03,18.65,18.92,1680348.0
2024-08-05,18.09,18.595,17.9,18.32,2799275.0
2024-08-06,18.32,19.03,18.27,18.75,4662761.0
2024-08-07,18.85,19.2997,18.52,18.54,2431807.0
2024-08-08,18.57,19.055,18.57,19.01,1933189.0
2024-08-09,19.03,19.11,18.79,18.96,2543909.0
2024-08-12,18.96,19.01,18.55,18.58,2136720.0
2024-08-13,18.58,18.925,18.495,18.86,2114121.0
2024-08-14,18.94,19.275,18.94,19.03,1744258.0
2024-08-15,19.37,19.49,19.17,19.35,1303766.0
2024-08-16,19.27,19.54,19.2,19.22,1405598.0
2024-08-19,19.22,19.355,19.05,19.07,1934185.0
2024-08-20,19.07,19.15,18.96,19,1622903.0
2024-08-21,19.15,19.345,19.03,19.27,1785412.0
2024-08-22,19.29,19.375,19.151,19.22,1957064.0
2024-08-23,19.25,19.56,19.25,19.55,1658638.0
2024-08-26,19.63,19.72,19.4901,19.54,1238717.0
2024-08-27,19.5,19.59,19.42,19.52,1416874.0
2024-08-28,19.44,19.515,19.25,19.27,1764885.0
2024-08-29,19.3,19.41,19.07,19.14,2389634.0
2024-08-30,19.25,19.25,18.91,18.98,3597506.0
2024-09-03,18.93,18.99,18.64,18.7,1846727.0
2024-09-04,18.64,18.865,18.505,18.71,2271137.0
2024-09-05,18.79,18.82,18.51,18.66,1540026.0
2024-09-06,18.69,18.76,18.35,18.44,1484840.0
2024-09-09,18.43,19.05,18.16,18.98,3523930.0
2024-09-10,18.99,18.99,18.46,18.59,3172263.0
2024-09-11,18.5,18.5,18.01,18.23,2235986.0
2024-09-12,18.32,18.54,18.2603,18.51,1484225.0
2024-09-13,18.59,19.145,18.59,19.01,3443409.0
2024-09-16,19.24,19.28,18.96,19.02,1907314.0
2024-09-17,19.1,19.345,19,19.26,1343106.0
2024-09-18,19.31,19.595,19.175,19.42,1918484.0
2024-09-19,19.77,19.8,19.34,19.54,2474853.0
2024-09-20,19.3,19.355,18.955,19.23,9162503.0
2024-09-23,19.37,19.37,19.02,19.15,1822776.0
2024-09-24,19.27,19.395,19.12,19.16,1703223.0
2024-09-25,19.12,19.17,18.715,18.77,1986845.0
2024-09-26,19,19.26,18.88,19.04,2276883.0
2024-09-27,19.16,19.28,18.86,19.04,1681310.0
2024-09-30,18.95,19.1,18.82,19.05,2024803.0
2024-10-01,19.07,19.2,18.83,19.13,2095696.0
2024-10-02,19.07,19.2,18.93,18.98,1443586.0
2024-10-03,18.95,19.02,18.69,18.97,1996374.0
2024-10-04,19.14,19.425,19.12,19.26,1806407.0
2024-10-07,19.21,19.37,19,19.35,1146690.0
2024-10-08,19.32,19.41,18.94,19.26,1267751.0
2024-10-09,19.27,19.35,19.155,19.26,1132525.0
2024-10-10,19.29,19.41,19.2001,19.33,1742757.0
2024-10-11,19.31,19.46,19.18,19.22,2221993.0
2024-10-14,19.18,19.18,18.57,18.9,1891128.0
2024-10-15,18.86,19.115,18.585,18.66,2238139.0
2024-10-16,18.68,18.875,18.624,18.7,1957289.0
2024-10-17,18.72,18.72,18.54,18.64,1960422.0
2024-10-18,18.66,19.07,18.57,19.06,3717170.0
2024-10-21,18.99,19.07,18.4,18.42,2751897.0
2024-10-22,18.36,18.38,18.08,18.11,2348930.0
2024-10-23,17.97,18.11,17.7,17.78,3992781.0
2024-10-24,18.44,18.75,17.9,18.57,4763850.0
2024-10-25,18.73,19.3,18.71,19,3585002.0
2024-10-28,19.08,19.785,18.97,19.72,3989051.0
2024-10-29,19.69,20.07,19.54,19.83,3404825.0
2024-10-30,19.82,20.44,19.78,20.34,3532999.0
2024-10-31,20.39,20.595,20.215,20.38,2876096.0
2024-11-01,20.42,20.48,19.785,19.91,3332739.0
2024-11-04,19.9,20.285,19.86,20.01,2126337.0
2024-11-05,19.94,20.3,19.8,20.21,2286360.0
2024-11-06,20.4,20.43,18.69,18.8,4842093.0
2024-11-07,18.97,19.5,18.95,19.38,3212919.0
2024-11-08,19.27,19.92,19.21,19.55,2401556.0
2024-11-11,19.61,19.74,19.395,19.45,1902121.0
2024-11-12,19.28,19.38,18.8,18.84,3069661.0
2024-11-13,18.97,19.18,18.77,18.79,2286501.0
2024-11-14,18.78,19.18,18.78,18.99,1650889.0
2024-11-15,19.02,19.185,18.65,18.67,2676201.0
2024-11-18,18.62,18.7,18.36,18.42,2784051.0
2024-11-19,18.25,18.57,17.96,18.31,5195474.0
2024-11-20,18.24,18.52,18.16,18.35,6788343.0
2024-11-21,18.37,18.545,18.255,18.38,9894942.0
2024-11-22,18.5,18.705,18.35,18.69,12295940.0
2024-11-25,18.95,19.45,18.915,19.07,4586762.0
2024-11-26,19.085,19.085,18.41,18.63,3821452.0
2024-11-27,18.79,18.9,18.62,18.75,2957756.0
2024-11-29,18.9,19.095,18.88,19.02,1465911.0
2024-12-02,18.93,19.185,18.79,18.92,2468096.0
2024-12-03,18.92,18.94,18.69,18.8,2094810.0
2024-12-04,18.71,20.215,18.62,19.86,5916071.0
2024-12-05,19.79,19.95,19.685,19.76,2131612.0
2024-12-06,19.92,20,19.325,19.36,2196585.0
2024-12-09,19.44,19.47,19.11,19.13,1564187.0
2024-12-10,19.07,19.4399,18.985,19.03,1980179.0
2024-12-11,19.11,19.23,18.96,19.19,1815857.0
2024-12-12,19.11,19.37,19,19.32,1529413.0
2024-12-13,19.22,19.31,18.705,18.87,2067004.0
2024-12-16,18.83,19.175,18.77,18.87,2639605.0
2024-12-17,18.85,19.01,18.5,18.66,2087126.0
2024-12-18,18.62,18.87,18.1,18.15,2207247.0
2024-12-19,18.14,18.32,17.67,17.81,3082872.0
2024-12-20,17.62,17.985,17.58,17.86,12357085.0
2024-12-23,17.77,17.88,17.58,17.82,2238452.0
2024-12-24,17.885,17.95,17.74,17.94,1148481.0
2024-12-26,17.85,18.085,17.78,18,1990726.0
2024-12-27,17.94,18.19,17.9,17.96,1477264.0
2024-12-30,17.83,17.9,17.575,17.68,1242219.0
2024-12-31,17.72,17.82,17.57,17.73,2010558.0
2025-01-02,17.78,17.93,17.6,17.73,1352676.0
2025-01-03,17.75,17.975,17.71,17.94,1392277.0
2025-01-06,18.06,18.63,18.04,18.33,3491128.0
2025-01-07,18.37,18.49,17.99,18.26,2646436.0
2025-01-08,18.11,18.4725,17.985,18.43,2462546.0
2025-01-10,18.26,18.74,18.245,18.68,3301760.0
2025-01-13,18.56,18.67,18.375,18.42,3130482.0
2025-01-14,18.5,18.53,17.9848,18.18,2815375.0
2025-01-15,18.39,18.505,17.75,17.86,2421751.0
2025-01-16,17.85,17.97,17.63,17.94,1979250.0
2025-01-17,18.08,18.115,17.805,17.93,2286818.0
2025-01-21,18.12,18.21,17.86,18,2547304.0
2025-01-22,18.04,18.17,17.95,18.03,2164083.0
2025-01-23,17.92,18.19,17.92,18.12,2087652.0
2025-01-24,18.21,18.27,18.05,18.18,2079648.0
2025-01-27,18.2,18.65,18.2,18.58,2948854.0
2025-01-28,18.57,18.72,18.36,18.66,2002822.0
2025-01-29,19.02,19.02,18.6,18.78,2482231.0
2025-01-30,18.85,19.19,18.8113,19.06,1988577.0
2025-01-31,18.93,19.045,18.61,18.64,2223877.0
2025-02-03,18.02,18.16,17.72,17.78,3721445.0
2025-02-04,17.97,18.25,17.81,18.07,4858265.0
2025-02-05,21.27,21.35,20.18,20.84,18335498.0
2025-02-06,20.97,21.88,20.84,21.43,7796908.0
2025-02-07,21.47,21.63,21.2,21.48,4079950.0
2025-02-10,21.6,21.615,20.905,21.3,4437201.0
2025-02-11,21.27,21.9,21.22,21.85,3653002.0
2025-02-12,21.72,22.04,21.62,21.72,3621346.0
2025-02-13,21.79,22.03,21.68,21.92,4229187.0
2025-02-14,21.93,22.065,21.875,21.94,3729082.0
2025-02-18,21.96,22.04,21.545,21.79,4098096.0
2025-02-19,21.67,21.805,21.56,21.78,3276381.0
2025-02-20,21.88,22.01,21.78,21.8,3227633.0
2025-02-21,21.8,21.92,20.99,21.15,4265547.0
2025-02-24,21.3,21.35,20.995,21.19,3743883.0
2025-02-25,21.19,21.85,21.12,21.56,5236094.0
2025-02-26,21.56,21.61,21.13,21.25,3586406.0
2025-02-27,21.17,21.45,21.02,21.21,4745307.0
2025-02-28,21.25,21.46,21.105,21.3,4731196.0
