date,open,high,low,close,volume
2024-03-01,25.05,25.05,24.95,25.03,9501
2024-03-04,24.95,24.9999,24.66,24.76,20085
2024-03-05,24.74,24.83,24.66,24.75,27756
2024-03-06,24.77,24.85,24.67,24.67,12714
2024-03-07,24.816,24.82,24.7,24.72,8489
2024-03-08,24.69,24.7999,24.66,24.6701,17564
2024-03-11,24.72,24.72,24.67,24.6896,5111
2024-03-12,24.7,24.7,24.67,24.6999,24101
2024-03-13,24.63,24.75,24.6,24.7,42002
2024-03-14,24.3,24.375,23.87,23.87,18956
2024-03-15,23.94,24.2,23.94,24.2,10884
2024-03-18,24.19,24.25,24.11,24.11,15483
2024-03-19,24.19,24.33,24.18,24.33,7381
2024-03-20,24.31,24.4,24.2817,24.4,12432
2024-03-21,24.4,24.5,24.35,24.35,19809
2024-03-22,24.37,24.48,24.3,24.38,19839
2024-03-25,24.39,24.4,24.35,24.365,5281
2024-03-26,24.4,24.4,24.3401,24.35,12913
2024-03-27,24.44,24.44,24.3,24.32,19649
2024-03-28,24.4,24.45,23.94,23.94,87965
2024-04-01,24.15,24.33,24.05,24.3,27368
2024-04-02,24.3,24.3499,24.25,24.3,34097
2024-04-03,24.28,24.49,24.26,24.49,27162
2024-04-04,24.5,24.51,24.3801,24.49,12367
2024-04-05,24.475,24.85,24.475,24.85,24225
2024-04-08,24.655,24.7199,24.61,24.69,8063
2024-04-09,24.74,24.7499,24.54,24.54,6622
2024-04-10,24.6,24.6,24.4101,24.58,12901
2024-04-11,24.51,24.55,24.45,24.5,12430
2024-04-12,24.5,24.68,24.5,24.68,3897
2024-04-15,24.5999,24.5999,24.32,24.32,10307
2024-04-16,24.35,24.5,24.35,24.4,4278
2024-04-17,24.3,24.5,24.3,24.3,8998
2024-04-18,24.6799,24.6799,24.3473,24.45,6102
2024-04-19,24.36,24.5,24.36,24.405,1901
2024-04-22,24.575,24.6499,24.45,24.45,4420
2024-04-23,24.6999,24.6999,24.4501,24.58,3784
2024-04-24,24.6,24.7,24.5,24.61,9512
2024-04-25,24.6691,24.6691,24.45,24.55,7736
2024-04-26,24.45,24.52,24.41,24.45,4947
2024-04-29,24.6,24.6899,24.53,24.6,11009
2024-04-30,24.68,24.69,24.61,24.66,11762
2024-05-01,24.6201,24.8,24.62,24.723,7507
2024-05-02,24.63,24.81,24.63,24.7,16741
2024-05-03,24.72,24.75,24.6701,24.6701,6670
