date,open,high,low,close,volume
2024-03-01,11.848,11.9435,11.01,11.5,15020
2024-03-04,11.5,11.925,11.3801,11.3801,5870
2024-03-05,11.15,11.9,10.5,10.5,14469
2024-03-06,10.67,10.95,10.67,10.8365,3516
2024-03-07,10.69,10.7641,10.5,10.55,7830
2024-03-08,10.67,10.67,10.29,10.47,8039
2024-03-11,10.48,10.48,10.29,10.29,4627
2024-03-12,10.29,10.29,9.5,9.54,30156
2024-03-13,9.5,9.864,9,9.02,20906
2024-03-14,9.19,9.2,8.98,9.01,11023
2024-03-15,8.98,9.017,8.5687,8.9,25528
2024-03-18,8.75,9.37,8.75,9.21,6746
2024-03-19,8.96,9.2387,8.75,8.78,8250
2024-03-20,8.79,10.35,8.79,10.35,15594
2024-03-21,10.34,11.4,10,10.4484,6991
2024-03-22,10.45,10.45,9.21,10.02,7094
2024-03-25,10.02,10.2499,9.8,9.8101,1586
2024-03-26,9.88,10,9.5001,9.53,1552
2024-03-27,9.51,9.8,9.5,9.8,4094
2024-03-28,9.6053,10.37,9.6053,10.25,6557
2024-04-01,10.25,10.95,10.25,10.45,2710
2024-04-02,10.01,10.25,10.01,10.25,1877
2024-04-03,10.1403,10.1403,10,10,1357
2024-04-04,9.5101,9.75,9.34,9.34,4548
2024-04-05,9.4,10,9.4,9.555,5173
2024-04-08,9.465,9.9124,9.3652,9.9124,4272
2024-04-09,9.36,9.61,9.33,9.61,3124
2024-04-10,9.12,9.5002,9.01,9.05,6391
2024-04-11,9.2475,9.265,9.1361,9.2,902
2024-04-12,9,9.205,8.5,9.085,4450
2024-04-15,8.51,8.8057,8.06,8.1,10159
2024-04-16,8.17,8.5,8,8.3,20213
2024-04-17,8.4,8.4883,8.2,8.2,6245
2024-04-18,8.38,8.53,8.38,8.53,667
2024-04-19,8.45,8.55,8.0201,8.55,3528
2024-04-22,8.6001,9,8.6001,8.895,4164
2024-04-23,8.71,9.676,8.71,9.1284,12916
2024-04-24,8.97,9.15,8.95,8.96,1369
2024-04-25,8.98,9.87,8.98,9,678
2024-04-29,8.7679,9.1461,8.7679,9.1461,535
2024-04-30,9.0336,9.0336,9.0336,9.0336,237
2024-05-01,9.2978,9.2978,9.2978,9.2978,596
2024-05-02,9.25,9.25,8.5201,8.6989,1998
2024-05-03,8.951,9.35,8.951,8.98,3553
2024-05-06,9.0267,9.7,8.75,8.95,7269
2024-05-07,8.82,10.8,8.52,9.1,28540
2024-05-08,9.4,10.25,8.02,8.5568,21071
2024-05-09,8.0699,9.41,8.06,9.41,7858
2024-05-10,8.6,9.24,8.6,9.2,4232
2024-05-13,8.95,9.2,8.95,9.2,820
2024-05-14,9.2499,9.2499,8.7131,8.82,2466
2024-05-15,8.55,9,8.55,9,9782
2024-05-16,8.75,8.75,8.75,8.75,833
2024-05-17,8.51,9,8.51,8.69,2159
2024-05-20,8.69,8.8,8.53,8.8,9774
2024-05-21,8.6,9.35,8.6,8.657,11682
2024-05-22,8.73,9,8.73,8.7336,1012
2024-05-23,8.6,9,8.6,9,976
2024-05-24,8.57,8.805,8.57,8.805,1043
2024-05-28,8.57,8.6523,8.57,8.645,2398
2024-05-29,8.57,8.8,8.48,8.8,7511
2024-05-30,8.54,8.73,8.48,8.48,10973
2024-05-31,8.48,8.6,8.25,8.6,5076
2024-06-03,8.25,8.8,8.25,8.8,1261
