date,open,high,low,close,volume
2024-03-01,8.31,8.73,8.29,8.63,1695131.0
2024-03-04,8.75,8.8,8.185,8.26,823259
2024-03-05,8.16,8.27,7.995,8,649726
2024-03-06,8.06,8.15,7.91,8.07,661587
2024-03-07,8.07,8.24,8.06,8.15,565218
2024-03-08,8.28,8.36,8.1,8.16,570220
2024-03-11,8.14,8.16,7.955,8,1091756.0
2024-03-12,8.03,8.1,7.965,7.99,903673
2024-03-13,8,8.1,7.9,7.95,1197997.0
2024-03-14,7.9,7.91,7.71,7.8,1009507.0
2024-03-15,7.72,7.96,7.72,7.88,1836671.0
2024-03-18,7.86,7.97,7.75,7.88,868926
2024-03-19,7.86,8.095,7.85,8.05,941379
2024-03-20,8,8.22,8,8.2,650972
2024-03-21,8.27,8.43,8.15,8.16,799196
2024-03-22,8.17,8.17,8.02,8.04,576860
2024-03-25,8.05,8.12,7.78,7.83,746715
2024-03-26,7.92,7.92,7.61,7.62,739261
2024-03-27,7.64,7.82,7.24,7.61,1821742.0
2024-03-28,7.61,7.71,7.595,7.7,943504
2024-04-01,7.67,7.73,7.3,7.45,1095622.0
2024-04-02,7.37,7.405,6.835,6.88,1370343.0
2024-04-03,6.88,7.115,6.8016,7.01,884506
2024-04-04,7.06,7.17,7,7.02,834969
2024-04-05,6.97,7.09,6.9196,7,499664
2024-04-08,7.04,7.04,6.875,6.9,620254
2024-04-09,6.9,7.02,6.84,7.02,496757
2024-04-10,6.79,6.95,6.45,6.55,1132250.0
2024-04-11,6.61,6.635,6.465,6.61,888776
2024-04-12,6.58,6.62,6.39,6.44,514312
2024-04-15,6.44,6.47,6.34,6.35,496595
2024-04-16,6.31,6.35,6.19,6.23,481290
2024-04-17,6.27,6.405,6.2,6.33,869243
2024-04-18,6.34,6.39,6.155,6.16,525239
2024-04-19,6.11,6.3,6.1,6.29,676167
2024-04-22,6.34,6.4,6.25,6.36,617513
2024-04-23,6.35,6.575,6.29,6.51,744789
2024-04-24,6.49,6.51,6.365,6.43,634794
2024-04-25,6.1,6.3,5.6501,6.245,1587636.0
2024-04-26,6.25,6.315,6.18,6.27,604808
2024-04-29,6.3,6.39,6.235,6.26,995901
2024-04-30,6.2,6.28,6.12,6.16,988151
2024-05-01,6.46,7.4,6.33,7.31,2268759.0
2024-05-02,7.32,7.58,7.21,7.5,1055005.0
2024-05-03,7.65,7.7505,7.36,7.37,815597
2024-05-06,7.41,7.425,7.085,7.13,574174
2024-05-07,7.13,7.425,7.13,7.29,706791
2024-05-08,7.2,7.31,7.19,7.2,653506
2024-05-09,7.2,7.27,7.175,7.24,482242
2024-05-10,7.25,7.46,7.25,7.45,559965
2024-05-13,7.47,7.92,7.44,7.9,1030143.0
2024-05-14,7.9,7.99,7.7725,7.88,841343
2024-05-15,8,8.09,7.87,8.08,688311
2024-05-16,8.1,8.24,7.87,7.89,699555
2024-05-17,7.9,7.935,7.785,7.8,552863
2024-05-20,7.77,8,7.55,8,573789
2024-05-21,7.98,7.995,7.89,7.95,577075
2024-05-22,7.91,7.975,7.82,7.85,481746
2024-05-23,7.8,7.935,7.735,7.77,777887
2024-05-24,7.82,8,7.72,7.75,667561
2024-05-28,7.78,7.81,7.49,7.51,898464
2024-05-29,7.36,7.46,7.14,7.15,581049
2024-05-30,7.2,7.286,7.055,7.12,638005
2024-05-31,7.16,7.19,7.005,7.15,587406
2024-06-03,7.23,7.28,7.01,7.1,621507
2024-06-04,7.11,7.31,7.06,7.26,677778
2024-06-05,7.31,7.435,7.226,7.39,511257
2024-06-06,7.36,7.42,7.13,7.15,565697
2024-06-07,7.1,7.21,7.03,7.03,478990
2024-06-10,6.92,7.01,6.66,6.99,1038364.0
2024-06-11,6.93,7.04,6.912,6.98,453385
2024-06-12,7.21,7.32,7.0203,7.16,553928
2024-06-13,7.16,7.19,6.87,6.91,446751
2024-06-14,6.84,6.97,6.76,6.83,422686
2024-06-17,6.83,6.88,6.71,6.87,573103
2024-06-18,6.9,6.94,6.79,6.91,680743
2024-06-20,6.85,6.9485,6.755,6.78,651324
2024-06-21,6.84,6.95,6.74,6.87,2256496.0
2024-06-24,6.87,6.92,6.74,6.8,712124
2024-06-25,6.77,6.865,6.75,6.79,602545
2024-06-26,6.74,6.75,6.59,6.67,449718
2024-06-27,6.73,6.77,6.645,6.76,405691
2024-06-28,6.8,6.935,6.7,6.93,3447319.0
2024-07-01,6.95,6.99,6.665,6.7,593393
2024-07-02,6.93,7.01,6.71,6.78,568612
2024-07-03,6.77,6.83,6.74,6.82,314851
2024-07-05,6.82,6.87,6.7,6.79,497853
2024-07-08,6.88,6.98,6.79,6.81,420180
2024-07-09,6.81,6.83,6.75,6.83,248490
2024-07-10,6.87,6.89,6.75,6.85,481066
2024-07-11,7.04,7.16,6.94,7.11,601629
2024-07-12,7.18,7.24,7.005,7.13,428756
2024-07-15,7.22,7.25,7.09,7.13,463541
2024-07-16,7.19,7.49,7.18,7.48,561208
2024-07-17,7.36,7.5,7.29,7.46,467878
2024-07-18,7.45,7.57,7.29,7.29,496286
2024-07-19,7.32,7.355,7.14,7.16,364207
2024-07-22,7.18,7.425,7.18,7.4,453449
2024-07-23,7.34,7.66,7.34,7.55,493305
2024-07-24,7.46,7.57,7.36,7.38,727512
2024-07-25,7.43,7.83,7.38,7.71,629192
2024-07-26,7.82,7.85,7.63,7.76,611699
2024-07-29,7.73,7.73,7.565,7.62,499103
2024-07-30,7.66,7.92,7.5437,7.59,781197
2024-07-31,7.56,7.67,7.44,7.45,929460
2024-08-01,6.5,6.82,6.5,6.68,1897212.0
2024-08-02,6.6,6.65,6.35,6.46,1103319.0
2024-08-05,6.09,6.285,6,6.25,1154296.0
2024-08-06,6.31,6.49,6.22,6.38,811348
2024-08-07,6.51,6.68,6.255,6.27,1038785.0
2024-08-08,6.38,6.47,6.25,6.38,727425
2024-08-09,6.4,6.46,6.305,6.4,734876
2024-08-12,6.43,6.46,6.225,6.26,733582
2024-08-13,6.32,6.37,6.17,6.28,563545
2024-08-14,6.31,6.31,6.07,6.15,572999
2024-08-15,6.3,6.325,6.18,6.27,450376
2024-08-16,6.26,6.305,6.21,6.26,293526
2024-08-19,6.26,6.56,6.2,6.55,603769
2024-08-20,6.51,6.63,6.37,6.46,431941
2024-08-21,6.54,6.585,6.4001,6.57,686552
2024-08-22,6.6,6.67,6.51,6.58,446139
2024-08-23,6.65,6.93,6.61,6.9,490461
2024-08-26,6.93,6.975,6.69,6.72,617521
2024-08-27,6.7,6.76,6.55,6.57,569858
2024-08-28,6.56,6.65,6.52,6.61,422197
2024-08-29,6.62,6.829,6.58,6.69,479509
2024-08-30,6.73,6.865,6.64,6.84,2182248.0
2024-09-03,6.81,6.875,6.37,6.38,785695
2024-09-04,6.38,6.835,6.34,6.58,764993
2024-09-05,6.63,6.64,6.17,6.38,906178
2024-09-06,6.42,6.48,6.13,6.15,458278
2024-09-09,6.2,6.3,6.13,6.15,499544
2024-09-10,6.15,6.255,6.085,6.23,399252
2024-09-11,6.24,6.26,6.085,6.19,740073
2024-09-12,6.21,6.27,6.06,6.15,516422
2024-09-13,6.23,6.3,6.17,6.22,297590
2024-09-16,6.22,6.35,6.145,6.22,646417
2024-09-17,6.3,6.32,6.12,6.15,437513
2024-09-18,6.12,6.33,6.06,6.18,518475
2024-09-19,6.35,6.35,6.2,6.23,445414
2024-09-20,6.17,6.26,6.125,6.13,1320457.0
2024-09-23,6.12,6.22,6.04,6.13,459886
2024-09-24,6.13,6.16,5.92,5.93,510414
2024-09-25,5.91,5.98,5.85,5.86,422714
2024-09-26,5.95,5.95,5.64,5.65,670023
2024-09-27,5.72,5.865,5.695,5.83,384425
2024-09-30,5.82,5.96,5.78,5.91,410152
2024-10-01,5.87,5.915,5.775,5.9,524584
2024-10-02,5.86,5.87,5.76,5.8,527605
2024-10-03,5.75,5.81,5.66,5.72,373707
2024-10-04,5.82,5.86,5.69,5.76,403541
2024-10-07,5.73,5.76,5.6,5.61,353396
2024-10-08,5.61,5.68,5.6,5.6,312780
2024-10-09,5.59,5.655,5.54,5.62,324425
2024-10-10,5.55,5.63,5.47,5.51,399087
2024-10-11,5.5,5.715,5.5,5.71,472026
2024-10-14,5.72,5.73,5.62,5.73,258384
2024-10-15,5.71,5.875,5.71,5.84,373972
2024-10-16,5.91,5.93,5.82,5.85,369894
2024-10-17,5.83,5.9,5.75,5.83,359039
2024-10-18,5.87,5.91,5.77,5.82,315096
2024-10-21,5.78,5.84,5.69,5.7,370148
2024-10-22,5.67,5.75,5.64,5.72,238604
2024-10-23,5.68,5.75,5.585,5.62,435458
2024-10-24,5.64,5.74,5.64,5.71,373395
2024-10-25,5.75,5.94,5.75,5.85,560718
2024-10-28,5.92,6.05,5.82,5.86,387506
2024-10-29,5.83,5.9489,5.8,5.81,384246
2024-10-30,5.8,5.91,5.69,5.69,418141
2024-10-31,6.22,7.2,6.22,6.85,1666796.0
