date,open,high,low,close,volume
2024-03-01,0.714,0.714,0.68,0.68985,55721
2024-03-04,0.6912,0.71,0.64,0.71,190185
2024-03-05,0.6887,0.72,0.6612,0.71,154327
2024-03-06,0.70416,0.75,0.70416,0.74,198963
2024-03-07,0.7262,0.7636,0.72,0.7599,97649
2024-03-08,0.758628,0.76,0.71,0.7301,125540
2024-03-11,0.7161,0.734,0.6903,0.734,61729
2024-03-12,0.74,0.78,0.72,0.7502,217466
2024-03-13,0.7595,0.775,0.7379,0.7502,82931
2024-03-14,0.763,0.79,0.7389,0.775,197497
2024-03-15,0.79,0.8163,0.78,0.8,63917
2024-03-18,0.82,0.8351,0.78,0.79,135736
2024-03-19,0.8,0.8,0.765,0.7736,49796
2024-03-20,0.78,0.81,0.74,0.7628,127803
2024-03-21,0.8,0.9,0.76,0.8351,388505
2024-03-22,0.8276,0.84,0.78,0.78,114617
2024-03-25,0.8115,0.813,0.775,0.779,41532
2024-03-26,0.79,0.79,0.7412,0.7412,52850
2024-03-27,0.74,0.79,0.734,0.78,21661
2024-03-28,0.793,0.793,0.73755,0.738,19888
2024-04-01,0.74,0.775,0.73,0.73,17571
2024-04-02,0.731,0.75,0.73,0.7318,18734
2024-04-03,0.72,0.7301,0.6773,0.689,61886
2024-04-04,0.7,0.71265,0.689,0.689,32327
2024-04-05,0.72,0.72,0.66,0.67,43343
2024-04-08,0.82,0.82,0.68,0.6999,36558
2024-04-09,0.73,0.73,0.6901,0.716,22092
2024-04-10,0.7255,0.7255,0.69,0.706,15646
2024-04-11,0.706,0.71,0.68,0.71,16736
2024-04-12,0.71,0.71,0.681,0.6958,25554
2024-04-15,0.6901,0.690201,0.6603,0.6603,63103
2024-04-16,0.6603,0.67,0.601,0.63,39804
2024-04-17,0.6012,0.65,0.6012,0.61,29412
2024-04-18,0.6153,0.6303,0.6078,0.6303,14091
2024-04-19,0.6033,0.6498,0.6033,0.6396,12955
2024-04-22,0.6401,0.65,0.6012,0.63615,19093
2024-04-23,0.65,0.735,0.62,0.6822,117318
2024-04-24,0.68,0.68,0.63,0.6708,30142
2024-04-25,0.6708,0.7044,0.6605,0.661,22685
2024-04-26,0.709,0.7098,0.61,0.6793,31883
2024-04-29,0.701,0.7199,0.6801,0.69,15932
2024-04-30,0.6901,0.6901,0.6557,0.689,27514
2024-05-01,0.69,0.69,0.6611,0.685,11369
