date,open,high,low,close,volume
2024-03-01,0.061,0.07,0.0602,0.0602,35816
2024-03-04,0.0611,0.0666,0.0611,0.0666,50100
2024-03-05,0.0666,0.0666,0.066,0.066,28154
2024-04-10,0.07,0.07,0.07,0.07,47954
2024-04-19,0.07,0.07,0.07,0.07,150
2024-04-24,0.07,0.07,0.07,0.07,1833
2024-05-06,0.07,0.07,0.07,0.07,25000
2024-05-08,0.075,0.075,0.07,0.07,9864
2024-05-09,0.07,0.07,0.07,0.07,50136
2024-05-13,0.07,0.07,0.07,0.07,45766
2024-05-22,0.0526,0.0544,0.05,0.05,37840
2024-05-29,0.0508,0.0508,0.05,0.05,76147
2024-06-06,0.0428,0.0428,0.04,0.04,2873
2024-06-12,0.0413,0.0413,0.0365,0.04,159572
2024-06-13,0.04,0.04,0.04,0.04,3505
2024-06-14,0.04,0.04,0.04,0.04,500
2024-06-17,0.04,0.04,0.04,0.04,550
2024-06-18,0.0401,0.0452,0.04,0.0407,1100
2024-06-20,0.0397,0.067,0.0397,0.0495,3967
2024-06-25,0.0599,0.0599,0.0363,0.0376,103700
2024-06-26,0.06,0.08,0.05,0.0504,193855
2024-06-27,0.0501,0.07,0.0301,0.0301,103159
2024-06-28,0.048,0.05,0.0424,0.05,49300
2024-07-01,0.065409,0.091,0.0556,0.0557,26024
2024-07-02,0.0975,0.0975,0.0438,0.0483,22937
2024-07-08,0.04,0.04,0.04,0.04,500
2024-07-09,0.04,0.0401,0.04,0.0401,700
2024-07-10,0.04,0.0401,0.04,0.0401,800
2024-07-11,0.04,0.052,0.024,0.0437,10261
2024-07-12,0.04,0.04,0.0254,0.04,42051
2024-07-15,0.0844,0.101,0.059,0.075,35423
2024-07-16,0.0695,0.0695,0.0483,0.0483,8656
2024-07-17,0.035,0.065,0.0254,0.0487,72069
2024-07-18,0.062,0.0629,0.06,0.06,10436
2024-07-19,0.06,0.0696,0.05,0.05,39396
2024-07-29,0.05,0.05,0.05,0.05,25000
2024-07-31,0.0565,0.0565,0.05,0.05,28122
2024-08-02,0.05,0.05,0.05,0.05,132
2024-08-05,0.04,0.04,0.025,0.025,10000
2024-08-06,0.055,0.07,0.0405,0.0405,36511
2024-08-16,0.0457,0.0695,0.04,0.041,3431
2024-08-26,0.0458,0.0458,0.0457,0.0458,702
2024-09-17,0.0401,0.0401,0.0401,0.0401,101
2024-09-23,0.0632,0.17,0.0632,0.17,10236
2024-09-24,0.07,0.07,0.0637,0.0637,705
2024-09-26,0.041,0.05,0.0407,0.05,1300
2024-09-30,0.05,0.05,0.05,0.05,35000
2024-10-01,0.0523,0.0523,0.0451,0.046,1600
2024-10-02,0.0519,0.0519,0.0401,0.0452,2274
2024-10-09,0.0474,0.0483,0.0402,0.0431,700
2024-10-10,0.05,0.05,0.05,0.05,1000
2024-10-21,0.0401,0.042,0.0401,0.042,1157
2024-11-12,0.0499,0.0499,0.042,0.042,1000
2024-11-21,0.05,0.094251,0.04,0.08,60714
2024-11-22,0.07,0.1,0.0428,0.1,124178
2024-11-25,0.1,0.108,0.09,0.09,37601
2024-11-26,0.09,0.11,0.09,0.11,16234
2024-11-27,0.106,0.11,0.106,0.1089,800
2024-12-02,0.11,0.12,0.11,0.1199,55711
2024-12-03,0.11,0.11,0.11,0.11,17276
2024-12-04,0.08,0.08,0.0679,0.077,900
2024-12-05,0.072,0.072,0.07,0.07,500
2024-12-06,0.07,0.0734,0.07,0.07,88682
2024-12-11,0.0899,0.09,0.0899,0.09,400
2024-12-20,0.07,0.07,0.07,0.07,635
