date,open,high,low,close,volume
2024-03-01,109.44,109.55,105.5,109.43,50332
2024-03-04,109.63,112.53,108.6,112.3,38391
2024-03-05,110.7074,111.7,109.195,111.26,48274
2024-03-06,112.63,113.35,109.79,111.8,43833
2024-03-07,113.02,114.98,113.02,114.1,23277
2024-03-08,115.2,115.75,111.19,112,22340
2024-03-11,112.13,112.13,106,106.83,46149
2024-03-12,107.39,107.425,105.43,106.47,25139
2024-03-13,106.73,107.4722,104.68,105.43,39477
2024-03-14,105.43,105.89,98.86,99.85,44392
2024-03-15,99.21,103.25,98.33,101.08,52505
2024-03-18,100.87,103.6697,100.8,101.72,27488
2024-03-19,101.77,102.985,100.75,101.78,25119
2024-03-20,102.06,104.72,101.02,104.45,34807
2024-03-21,105.81,108.45,103.15,106.53,60632
2024-03-22,107.48,108.51,102.27,103.01,23324
2024-03-25,104.04,104.39,99.27,99.88,25382
2024-03-26,101.29,104.43,98.8274,102.34,42616
2024-03-27,102.84,107.31,102.84,107.25,21490
2024-03-28,107.11,111.33,107.11,109.73,43175
2024-04-01,110.21,112.55,108.09,112,46233
2024-04-02,110.8,111.185,97.75,99.4,100688
2024-04-03,99.21,104.91,99.21,99.8,45671
2024-04-04,102.17,104.73,99.71,100.16,35611
2024-04-05,100,103.1399,99.69,100.92,29114
2024-04-08,103.2,106.94,103.2,106.14,39064
2024-04-09,105.91,107.6,103.58,106.89,29846
2024-04-10,103,104.36,102.35,104.05,39938
2024-04-11,104.58,105.09,102.02,104.72,23437
2024-04-12,104,106.26,102.2,105.01,59594
2024-04-15,104.18,108.12,102.29,104.45,29844
2024-04-16,104.2,105.19,101.93,102.5,26175
2024-04-17,104.35,104.35,101.01,101.14,30235
2024-04-18,101.01,103.32,99.54,99.62,30539
2024-04-19,98.91,101.95,98.91,100.74,26439
2024-04-22,101.19,103.55,99.54,102.26,35863
2024-04-23,102.05,108.58,102.05,106.62,34118
2024-04-24,105.45,108.7775,103.255,104.47,19350
2024-04-25,103.46,103.46,100.66,101.8,23619
2024-04-26,102.08,104.91,102.08,103.19,19166
2024-04-29,104.02,107.4399,104.02,105.52,28741
2024-04-30,103.75,106.91,102.25,106.08,50625
2024-05-01,106.7,115.26,104.325,110.18,59922
2024-05-02,111.59,114.14,108.97,113.37,39129
2024-05-03,116.1,116.42,112.48,115.5,33119
2024-05-06,115.65,116.225,113.87,115.73,33940
2024-05-07,115.83,118.32,115.18,115.18,22054
2024-05-08,113.7,114.15,110.765,113.21,39925
2024-05-09,114.15,117.11,114.15,117.11,30091
2024-05-10,117.8,117.8,115.645,116.04,16233
2024-05-13,117.69,118.58,115.24,116.36,19367
2024-05-14,118.36,118.99,116.88,118.11,20923
2024-05-15,119,119.68,117.2,118.6,16150
2024-05-16,118.81,120.63,117.53,120.61,21513
2024-05-17,120.62,122.5,118.85,122.22,32106
2024-05-20,121.43,123.79,121.43,121.56,20214
2024-05-21,121.58,121.58,118.47,118.47,23148
2024-05-22,117.5,118.865,114,114.36,34522
2024-05-23,115.03,115.24,112.35,112.795,29279
2024-05-24,113.63,117.1551,108,111.64,34806
2024-05-28,113.15,114.4,110.7,114.25,28862
2024-05-29,113.18,117.1,112,116.84,49189
2024-05-30,117.22,117.22,110.07,110.52,34075
2024-05-31,117.8,118,89.19,95.7,121699
2024-06-03,97.9,97.9,91.195,92.92,68571
2024-06-04,92.76,98.665,90.18,94.74,40915
2024-06-05,94.74,108.46,94.74,107.2,62306
2024-06-06,106.12,109.345,105.18,107.35,56090
2024-06-07,106.61,108,103.96,104.8,25412
2024-06-10,103.76,103.76,99.3001,99.95,41579
2024-06-11,98.8,98.8,93.17,95.58,53990
2024-06-12,99.8,101.02,94.82,95.42,81554
2024-06-13,95.19,96.99,92.5,93,58937
2024-06-14,92.23,92.23,88.62,91.6,46276
2024-06-17,90.76,91.67,89.895,91.67,28573
2024-06-18,91.19,92,89.09,91.28,35691
2024-06-20,90.37,92,90.04,91.7,32107
2024-06-21,92.13,93.8,90.78,92.74,103306
2024-06-24,92.53,93.72,91.15,91.15,25650
2024-06-25,91.71,91.71,88.715,89.94,43802
2024-06-26,89.24,90.44,87.95,88.18,44816
2024-06-27,88.81,88.81,83.68,84.94,75131
2024-06-28,85.99,86.81,84.32,86.77,199578
2024-07-01,87.84,90.405,86.8,88.45,61453
2024-07-02,87.54,89.38,87.41,87.73,43990
2024-07-03,88.26,91.13,86.0387,90.42,17631
2024-07-05,90.18,91.68,89.24,91.48,27766
2024-07-08,92.86,96.17,92.155,95.16,31635
2024-07-09,94.26,95.275,91.61,92.78,41920
2024-07-10,93.59,94.26,91.97,94.13,27829
2024-07-11,96,105.03,96,105,49632
2024-07-12,106.22,107.485,104.3,105.51,26820
2024-07-15,106.63,107.6324,102.76,102.8,44403
2024-07-16,104.38,113.31,102.78,113.3,40626
2024-07-17,111.41,113.84,109.05,112.21,25562
2024-07-18,110.88,112.56,106.95,107.48,29138
2024-07-19,107.69,108.66,106.34,108.12,33977
2024-07-22,108.1,110.81,106.67,110.81,25529
2024-07-23,110.39,114.3,110.39,113.48,44527
2024-07-24,113.23,115.4,108.47,108.47,38155
2024-07-25,109.51,111.57,107.375,108.19,66718
2024-07-26,110.47,111.89,107.1,110.02,49210
2024-07-29,109.44,109.92,107.83,108.4,22106
2024-07-30,109.29,111.06,107.56,110.37,18978
2024-07-31,111.54,116.95,110.14,114.52,37235
2024-08-01,113.58,115.08,108.57,111.03,25008
2024-08-02,104.53,110.12,102.28,106.9,31000
2024-08-05,106.06,106.9387,97.8497,104.71,64212
2024-08-06,107.5,115.56,105.42,113.09,26640
2024-08-07,115.73,119.77,114.12,118.99,43627
2024-08-08,119.6,128.25,119.31,128.24,28800
2024-08-09,127.56,127.56,119.52,119.53,40411
2024-08-12,121.27,121.27,116.92,117.12,32877
2024-08-13,119.09,126.18,119.09,125.56,26099
2024-08-14,127.02,127.02,122.945,123.27,21086
2024-08-15,127.67,131.73,127.67,128.92,23255
2024-08-16,128.25,131.17,126,129.5,21868
2024-08-19,129.5,130.83,128.555,130.82,13762
2024-08-20,127.28,129.07,126.78,128.35,16715
2024-08-21,129.61,131.41,126.97,131.05,19030
2024-08-22,128.375,130.5,127.555,128.9,14161
2024-08-23,135.835,140.23,135.205,135.84,65175
2024-08-26,138.42,140.34,136.035,137.75,25266
2024-08-27,137.4,141.17,137.4,140.86,28641
2024-08-28,138.93,140.11,134.17,135.73,48286
2024-08-29,137.28,137.36,133.4,134.2,30291
2024-08-30,134.38,134.5,130.81,133.69,33265
2024-09-03,132.24,132.24,123.39,124.8,36807
2024-09-04,124.21,124.25,120.55,121.19,25233
2024-09-05,121.11,122.292,118.61,119.96,25291
2024-09-06,119.24,121.19,116.85,117.96,33139
2024-09-09,118.4,122.91,118.4,120.79,29210
2024-09-10,121.55,121.55,116.59,118.79,82886
2024-09-11,118.23,119.69,117.41,119.57,58867
2024-09-12,120.22,122.645,117.62,121.56,46406
2024-09-13,123.94,127.385,122.06,125.71,26159
2024-09-16,126.32,126.79,122.34,122.94,25688
2024-09-17,124.98,129.735,122.66,122.8,48998
2024-09-18,122.8,129.023789,122.8,126.15,24143
2024-09-19,128.62,129.11,126.785,128.43,18977
2024-09-20,127.6,133.58,126.74,128.57,79102
2024-09-23,130.61,130.61,125.7,126.15,21732
2024-09-24,126.07,130.41,126.07,129.98,17808
2024-09-25,130.13,130.13,123.31,123.6,29983
2024-09-26,126.11,128.15,124.62,127.65,27055
2024-09-27,129,131.6361,126.44,127.72,16387
2024-09-30,127.8,131.53,127.54,129.86,28462
2024-10-01,129.34,131.18,126.48,130.39,26254
2024-10-02,130.2,133.815,130.2,132.32,23901
2024-10-03,131.26,135.46,130.16,130.65,27775
2024-10-04,133.16,133.8,132.05,133.58,13010
2024-10-07,132.29,132.29,126.61,126.96,31481
2024-10-08,126.98,127.59,125.07,125.32,16449
2024-10-09,125.3,126.49,124.29,124.42,15809
2024-10-10,122.56,123.36,120.365,122.48,21994
2024-10-11,123.91,127.47,122.54,126.18,19544
2024-10-14,125.32,128.55,124.915,128.55,25144
2024-10-15,127.35,131.87,127.35,130.95,24949
2024-10-16,131.52,133.73,130.84,133.7,44318
2024-10-17,134.77,134.825,133.06,133.06,20201
2024-10-18,133.25,136.23,129.83,135.91,16926
2024-10-21,134.64,134.64,131.615,133.31,30357
2024-10-22,132.54,134.91,131.06,134,33599
2024-10-23,132.98,132.98,119.54,120,63491
2024-10-24,121.35,122.22,115.68,116.46,36915
2024-10-25,116.81,117.88,112.455,113.04,33022
2024-10-28,114.73,115.47,112.08,112.9,40721
2024-10-29,111.63,113.24,110.71,112.68,51082
2024-10-30,111.77,116.785,111.77,114.98,27323
2024-10-31,114.55,115.32,113.33,114.04,17868
2024-11-01,115.36,118.26,113.65,118,32659
2024-11-04,117.83,120.08,116.44,118.45,34864
2024-11-05,117.47,122.19,117.35,120.81,42541
2024-11-06,133.1,140.54,130.82,134.16,62325
2024-11-07,133.55,133.55,117.08,117.89,47307
2024-11-08,118.06,120.34,113.26,118.84,44680
2024-11-11,120.33,121,117.56,118.94,39848
2024-11-12,117.73,119.68,111.625,112.4,43432
2024-11-13,114.42,114.42,107.77,107.77,26714
2024-11-14,107.13,110.19,103.59,104.6,30517
2024-11-15,105.3,105.3,102,102.435,34529
2024-11-18,102.16,103.93,99.58,103.05,54133
2024-11-19,101.19,102.07,99.47,99.75,34461
2024-11-20,98.56,101.34,97.9,98.59,29865
2024-11-21,98.85,102.92,98.72,100.86,67489
2024-11-22,101.02,110.94,100.31,109.09,63059
2024-11-25,111.06,116,109.73,113.62,47902
2024-11-26,113.02,117.72,111.7,116.45,42848
2024-11-27,117.29,119.73,116.16,118.35,32910
2024-11-29,119.55,119.55,116.98,117.14,18523
2024-12-02,118,121.61,115.0601,121.47,42730
2024-12-03,121.35,123.09,120.0001,123,36024
2024-12-04,123,126.54,123,126.33,34500
2024-12-05,125.13,125.5,121.985,123,40403
2024-12-06,123.6,124.27,119.64,124,30504
2024-12-09,124.9,132.43,124.8,131.06,35494
2024-12-10,130.28,131.445,127.31,128.86,32336
2024-12-11,130.34,131.645,127.99,128.78,25653
2024-12-12,128.6,128.6,124.51,127.16,17369
2024-12-13,126.25,127.57,121.03,127.57,22521
2024-12-16,127.27,133.29,127.27,133.26,40204
2024-12-17,132.81,138,131.79,132.33,52011
2024-12-18,133.02,136.6,128.93,129.99,80568
2024-12-19,130.76,133.755,127.51,131.4,39241
2024-12-20,129.75,136.27,129.75,132.08,89314
2024-12-23,131.49,136.58,131.16,135.4,53744
2024-12-24,135.18,135.38,131.21,131.25,17514
2024-12-26,130.65,136.28,128.97,135.62,22744
2024-12-27,135.55,135.55,131.05,133.06,40833
2024-12-30,130.53,133.1162,130.53,132.04,22237
2024-12-31,131.8,132.65,130.655,131.87,15464
2025-01-02,132.4,134.31,130.39,131.97,22163
2025-01-03,132.33,138.35,131.75,138.35,27811
2025-01-06,138.21,147.3359,137.98,144.19,57821
2025-01-07,144.36,147,138.53,138.91,46280
2025-01-08,137.95,142.04,137,142.03,25887
2025-01-10,138.58,140.6861,132.5,134.39,23091
2025-01-13,133,133,125.7,131.1,28530
2025-01-14,132.64,132.99,129.205,131.05,30208
2025-01-15,135.78,137,134.02,135.08,18419
2025-01-16,133.99,137.825,131.9,137.16,23532
2025-01-17,138.31,144.91,138.31,139.61,29398
2025-01-21,141.65,148,141.65,146.64,48041
2025-01-22,146.51,147.06,143.38,144.85,27496
2025-01-23,143.7,143.7,138.64,142.41,27350
2025-01-24,141.61,149.5,138.95,140.47,17387
2025-01-27,139.49,140.5,133.51,139.49,36009
2025-01-28,138,146.25,138,139.4,43530
2025-01-29,138.07,138.88,135.11,136.72,24382
2025-01-30,138.42,144.84,138.14,142.25,15453
2025-01-31,142.28,142.625,135.68,137.69,33440
2025-02-03,132.88,135.649,132.5,133.93,22213
2025-02-04,135.5,152.75,135.5,137.27,68251
2025-02-05,139.25,143.06,138.27,138.9,38973
2025-02-06,138.34,143.27,135.83,141.73,48109
2025-02-07,141.73,148,138.01,147.79,56573
2025-02-10,148.45,155.12,142.795,154.76,79052
2025-02-11,154.26,154.26,145.86,150.5,51417
2025-02-12,147.24,149.66,141.97,142.63,35206
2025-02-13,143.5,145.63,143.5,145.63,17054
2025-02-14,146.97,147.51,143.5,145.74,15571
2025-02-18,146.66,146.66,142.5823,144.96,16946
2025-02-19,144.66,152.03,144.21,150.2,26254
2025-02-20,149.12,149.12,140.905,145.9,23479
2025-02-21,147.49,147.49,139.35,141.7,23863
2025-02-24,142.09,148.77,140.28,145.64,33721
2025-02-25,146.13,146.68,142.8,144.36,19643
2025-02-26,144.45,147.59,143.58,144.5,18258
2025-02-27,144.07,144.07,135.38,135.38,24613
2025-02-28,136.22,140.16,135.16,139.38,39493
