date,open,high,low,close,volume
2024-03-01,3.8425,4.75,3.684,4.4795,224494.8
2024-03-04,4.73,5.65,4.1,4.9505,181265
2024-03-05,5.2,6,5.15,5.3,330079.2
2024-03-06,5.1,5.3,4.375,4.8,130941.8
2024-03-07,4.6155,4.8995,4.5,4.568,59694.6
2024-03-08,4.55,4.655,3.638,4.083,134845.6
2024-03-11,4.2245,4.65,4.2245,4.558,40487.8
2024-03-12,4.35,4.5,4.05,4.13,30979.6
2024-03-13,3.835,3.99,3.55,3.7605,61069.6
2024-03-14,3.7505,3.885,3.535,3.535,28490.6
2024-03-15,3.5,3.8,3.255,3.255,53170.8
2024-03-18,3.5,3.595,3.2665,3.35,50369.6
2024-03-19,3.85,4.3,3.6785,3.807,189443.2
2024-03-20,3.65,3.836,3.5,3.836,26412.4
2024-03-21,3.7,3.885,3.455,3.5005,43358.6
2024-03-22,3.5,3.5003,3.15,3.448,43601.2
2024-03-25,3.3445,3.55,3.301,3.55,12181.2
2024-03-26,3.4,3.945,3.35,3.6815,20816.8
2024-03-27,4,4,3.5,3.685,28522.4
2024-03-28,3.505,3.6745,3.2,3.405,58184.4
2024-04-01,3.545,3.545,3.208,3.395,20539.6
2024-04-02,3.3525,3.445,3.1555,3.2,19986
2024-04-03,3.15,3.21,2.75,3.21,32928.6
2024-04-04,3.106,3.4,3.0955,3.192,27565.4
2024-04-05,3.15,3.1995,2.997,3.01,26666.4
2024-04-08,3,3.1705,2.9165,3.005,30012.6
2024-04-09,3.15,3.15,2.906,2.953,22826
2024-04-10,3.0945,3.2585,2.4995,3.2,91539.2
2024-04-11,3.765,4.25,3.6,3.85,169734.2
2024-04-12,4,4.1,3.8,3.905,56658.4
2024-04-15,3.7995,3.905,3.719,3.775,20288.8
2024-04-16,3.65,3.7013,3.45,3.64,35727.8
2024-04-17,3.45,3.6,3.2505,3.275,30216.8
2024-04-18,3.5,3.6,3.295,3.39,15508.8
2024-04-19,3.39,3.3995,3.108,3.2005,6678.6
2024-04-22,3.3,3.3,3.1,3.16,5546
2024-04-23,3.09,3.2875,3.05,3.25,17182
2024-04-24,3.4,3.4,3.15,3.285,7889.2
2024-04-25,3.25,3.25,3.1,3.1375,11648.2
2024-04-26,3.15,3.3355,3.15,3.291,7001.6
2024-04-29,3.4,3.4,3.2005,3.25,3012.4
2024-04-30,3.15,3.45,3.15,3.3005,10931
2024-05-01,3.25,3.375,3.1787,3.25,3936
2024-05-02,3.205,3.35,3.205,3.3,6429.4
2024-05-03,3.35,3.812,3.2165,3.636,26270.8
2024-05-06,3.577,4.024,3.501,3.96,16607.2
2024-05-07,4.105,4.105,3.81,3.81,3874.2
2024-05-08,3.85,3.85,3.6795,3.75,2541.6
2024-05-09,3.9,4,3.5555,3.5555,10282.4
2024-05-10,3.156,3.75,3.15,3.361,26156.4
2024-05-13,3.5345,3.694,3.3755,3.3755,5044.2
2024-05-14,3.355,3.55,3.255,3.255,12549
2024-05-15,3.21,3.3465,2.8255,2.9905,22087.8
2024-05-16,3.064,3.095,3.0155,3.0875,6888.4
2024-05-17,3.05,3.1445,3,3.05,7880.2
2024-05-20,3.1,3.1203,2.9305,3.0995,11549.2
2024-05-21,3.095,3.25,2.968,3.0555,7671.4
2024-05-22,3.055,3.175,3.055,3.073,10018.4
2024-05-23,3,3.1445,3,3.1,7224.8
2024-05-24,3.0055,3.2445,3.001,3.1445,11754.8
2024-05-28,3.01,3.122,3,3.1,3264.8
2024-05-29,3.05,3.2,3.05,3.1,10418
2024-05-30,3.025,3.215,3.025,3.0625,6599.6
2024-05-31,3.025,3.251,3.025,3.0555,6466.6
2024-06-03,3.075,4.2195,3.075,3.8495,170726.4
2024-06-04,4.02,4.02,3.705,3.8445,30064.4
2024-06-05,3.85,4.445,3.843,4.025,70009.2
2024-06-06,4.1,4.75,4.05,4.6485,146713.2
2024-06-07,4.235,4.4995,4.027,4.055,49185
2024-06-10,4.194,4.245,3.75,3.873,26036.6
2024-06-11,3.807,4.145,3.755,4.075,10948.8
2024-06-12,4.1055,4.5,4.0005,4.4745,22526.4
2024-06-13,4.5,5.4,4.25,4.5715,103912.2
2024-06-14,4.795,4.8195,4.4175,4.7,23428
2024-06-17,4.6,4.705,4.2705,4.3,19135.8
2024-06-18,4.5,4.57,4.1,4.135,24559
2024-06-20,4.0015,4.155,3.2555,3.365,103212
2024-06-21,3.345,3.63,3.3005,3.451,17664
2024-06-24,3.56,4.05,3.505,3.995,29817.6
2024-06-25,4.15,4.3445,3.9,4.1,20103.2
2024-06-26,3.963,3.963,3.689,3.7275,13706.8
2024-06-27,3.675,3.835,3.675,3.7125,18063
2024-06-28,3.665,3.845,3.55,3.6505,19224
2024-07-01,3.8,3.8,3.5505,3.707,15383
2024-07-02,3.65,3.784,3.555,3.6,9059.2
2024-07-03,3.56,3.65,3.5,3.517,10826.6
2024-07-05,3.55,3.6695,3.505,3.6005,10483.6
2024-07-08,3.65,3.6895,3.502,3.6895,9584.2
2024-07-09,3.55,3.7545,3.55,3.705,12604.6
2024-07-10,3.7,3.7,3.4505,3.52,10087
2024-07-11,3.5005,3.64,3.4735,3.6005,13413
2024-07-12,3.6425,3.695,3.5245,3.5585,17456.4
2024-07-15,3.56,3.6,3.4505,3.55,11692.4
2024-07-16,3.5,3.745,3.46,3.695,16327.6
2024-07-17,3.695,3.75,3.55,3.55,8244.2
2024-07-18,3.608,3.608,3.5505,3.6,1674.2
2024-07-19,3.65,3.65,3.375,3.375,9678.2
2024-07-22,3.409,3.409,3.025,3.175,27555.4
2024-07-23,3.175,3.2,3.106,3.2,8300
2024-07-24,3.2,3.2,3.1505,3.2,6718
2024-07-25,3.3187,3.39,3.2055,3.275,3797.4
2024-07-26,3.2,3.65,3.2,3.6,23380.8
2024-07-29,3.65,3.65,3.525,3.65,10433.4
2024-07-30,3.65,3.65,3.5,3.501,3625
2024-07-31,3.5,3.527,3.355,3.4995,2792.4
2024-08-01,3.4323,3.495,3.2505,3.466,3722.2
2024-08-02,3.4,3.485,3.35,3.47,7559
2024-08-05,3.35,3.4,3.05,3.05,21531.2
2024-08-06,3.05,3.225,2.9,2.9555,15506
2024-08-07,2.994,3.1685,2.81,2.901,23130.4
2024-08-08,2.875,3.15,2.6,2.75,16427.8
2024-08-09,2.4005,2.4005,2.005,2.21,78849.4
2024-08-12,2.1435,2.53,1.719,2.355,123037.6
2024-08-13,2.33,2.59,2.16,2.42,68481
2024-08-14,2.67,2.6999,2.25,2.28,33457
2024-08-15,2.29,2.5,2.29,2.37,11610
2024-08-16,2.45,2.4515,2.3,2.33,10440
2024-08-19,2.42,2.45,2.26,2.38,22822
2024-08-20,2.42,2.54,2.362,2.48,11396
2024-08-21,2.35,2.87,2.15,2.58,2261295.0
2024-08-22,2.64,2.95,2.48,2.76,136696
2024-08-23,2.76,2.86,2.57,2.57,35753
2024-08-26,2.56,2.63,2.55,2.62,16075
2024-08-27,2.55,2.6199,2.3,2.4,42688
2024-08-28,2.4,2.4,2.26,2.26,15011
2024-08-29,2.34,2.49,2.25,2.37,34178
2024-08-30,2.32,2.53,2.32,2.39,17218
2024-09-03,2.51,2.55,2.32,2.37,24399
2024-09-04,2.44,2.4799,2.34,2.44,11356
2024-09-05,2.44,2.44,2.34,2.43,6629
2024-09-06,2.42,2.4485,2.2901,2.39,7867
2024-09-09,2.4,2.47,2.3201,2.4,13260
2024-09-10,2.41,2.45,2.3355,2.45,11643
2024-09-11,2.4,2.48,2.4,2.4,5278
2024-09-12,5.15,5.4406,3.17,3.95,41004636.0
2024-09-13,3.95,3.95,3.33,3.86,866277
2024-09-16,3.91,4.43,3.65,4.19,407631
2024-09-17,4.15,4.57,4.1457,4.16,197462
2024-09-18,4.14,4.19,3.91,3.94,98095
2024-09-19,3.9,4.61,3.9,4.5,247820
2024-09-20,4.38,4.6,4.2,4.54,93762
2024-09-23,4.47,4.47,4.1982,4.37,44296
2024-09-24,4.31,4.46,4.23,4.41,35959
2024-09-25,4.32,5.47,4.12,5.17,2357472.0
2024-09-26,5.44,5.9,5.06,5.84,783507
2024-09-27,6.2,7.1,6.1,6.77,1412579.0
2024-09-30,7.14,7.18,6.07,6.74,643805
2024-10-01,6.62,6.62,4.995,5.08,259127
2024-10-02,4.88,5.149,4.74,4.85,218567
2024-10-03,4.75,4.9195,4.5301,4.55,198822
2024-10-04,4.55,4.7587,4.52,4.61,64338
2024-10-07,4.52,5.2999,4.52,5.08,108097
2024-10-08,5.19,5.66,5.0881,5.34,81727
2024-10-09,5.28,5.52,4.86,5.08,60360
2024-10-10,4.95,5.23,4.81,5.17,44153
2024-10-11,5.56,5.73,5.029,5.5,160203
2024-10-14,5.37,5.5904,5.324,5.39,26545
2024-10-15,5.41,5.41,5.06,5.15,19212
2024-10-16,5.19,5.3,5.16,5.26,13565
2024-10-17,5.12,5.88,5.12,5.71,57070
2024-10-18,5.84,5.84,5.46,5.5,21976
2024-10-21,5.44,5.662,5.08,5.25,59636
2024-10-22,5.5,5.5,5.15,5.25,39096
2024-10-23,5.1,5.3,4.5,4.63,74507
2024-10-24,5.12,38.5,4.87,32.66,19963354.0
2024-10-25,22.39,26.85,16.87,16.93,3356530.0
2024-10-28,14.67,21.95,14.6,17.83,2359695.0
2024-10-29,18.83,20,16.09,16.21,946532
2024-10-30,15.58,16.14,14.24,14.67,279159
2024-10-31,14.85,15.2425,12.55,14.57,338127
2024-11-01,14.39,14.85,14.03,14.63,104449
2024-11-04,14.34,18.2,13.94,16.96,636200
2024-11-05,16.31,16.64,15.5125,15.75,238079
2024-11-06,15.96,16.4,14.8773,15.78,151210
2024-11-07,15.77,16.13,15.16,15.73,139473
2024-11-08,16.4,17.79,15.5001,16.88,158152
2024-11-11,17.4,17.55,16.5001,16.66,103213
2024-11-12,16.5,17.66,16.25,17.25,143414
2024-11-13,17.2,19.615,16.8294,19.23,153618
2024-11-14,19.37,19.7,16.26,18.23,115992
2024-11-15,17.21,19,17.09,18.09,129261
2024-11-18,18.24,18.74,17.5201,18.45,157596
2024-11-19,18.32,19.29,18.32,19.01,43928
2024-11-20,19.48,21.18,18.6,19,121469
2024-11-21,19.03,20,19.03,19.71,48401
2024-11-22,19.88,20.205,19.5409,20.1,32547
2024-11-25,20.3,20.6285,18.67,19.4,88808
2024-11-26,18.86,19.75,18.8001,19.45,114826
