date,open,high,low,close,volume
2024-03-01,23.97,24,23.97,24,3702
2024-03-04,24.32,24.35,24,24,2150
2024-03-05,24,24,23.5,23.95,3158
2024-03-06,23.9,24,23.75,23.9,2235
2024-03-07,23.75,23.75,23.75,23.75,221
2024-03-08,23.875,23.875,23.875,23.875,202
2024-03-11,23.8,23.95,23.7819,23.95,3516
2024-03-12,23.9784,23.9784,23.75,23.95,1710
2024-03-13,23.915,24.4,23.915,24.4,2665
2024-03-14,23.85,24.11,23.3946,24.11,1484
2024-03-19,23.905,23.905,23.36,23.36,2460
2024-03-20,23.375,23.5816,23.375,23.5816,200
2024-03-22,23.02,23.02,23.02,23.02,4624
2024-03-25,23.0001,23.5,23.0001,23.5,3021
2024-03-26,23.755,23.755,23.755,23.755,263
2024-03-27,23.77,23.77,23.77,23.77,504
2024-04-01,23.25,23.4996,23.25,23.4996,2451
2024-04-02,23.422,23.4375,23.25,23.25,4622
2024-04-03,23.1064,23.25,23,23,4793
2024-04-04,23.0786,23.4616,23.03,23.03,668
2024-04-05,23.35,23.35,23.3,23.3,607
2024-04-08,23.07,24.21,23.07,23.12,771
2024-04-09,23.13,23.13,23.12,23.12,1106
2024-04-11,23.6,23.6,23,23,748
2024-04-12,23.75,23.75,22.73,22.73,920
2024-04-15,22.73,22.73,21.6927,22,2930
2024-04-16,22.2623,23.51,22.2,22.5,5429
2024-04-17,22.5,22.7099,22.4744,22.5,903
2024-04-18,22.7,22.7,22,22.3594,2200
2024-04-19,21.8237,22.82,21.8237,22.82,1116
2024-04-22,21.7,22,21.08,21.75,14622
2024-04-23,21.75,23.1307,21.71,21.75,8777
2024-04-24,22.125,22.125,21.79,21.8,3210
2024-04-25,21.75,21.75,21.73,21.73,774
2024-04-26,21.8,22.0538,21.745,21.75,3910
2024-04-29,21.05,21.82,21.05,21.78,5337
2024-04-30,21.5501,21.82,21.5501,21.75,546
2024-05-01,21.855,22.0482,21.855,21.895,1060
2024-05-02,21.82,21.82,21.57,21.57,1264
2024-05-03,21.73,21.76,21.57,21.76,7992
2024-05-06,21.75,21.76,21.7,21.75,3978
2024-05-07,21.76,21.76,21.6,21.76,16170
2024-05-08,21.61,22.087,21.61,22.0375,9690
2024-05-09,22.1,22.34,21.966,22.34,5880
2024-05-10,22.625,22.775,22.5313,22.735,944
2024-05-13,22.06,22.48,22,22.02,4127
2024-05-14,22.75,22.75,21.96,21.96,5771
2024-05-15,22.11,22.245,22.11,22.2,2236
2024-05-16,22.2,22.2,22.2,22.2,429
2024-05-17,22.7831,22.7831,22.7831,22.7831,2605
2024-05-20,22.38,23.0526,22.12,23.0526,501
2024-05-21,23.75,23.75,23.75,23.75,446
2024-05-22,22.5,22.5,22.4,22.5,4334
2024-05-23,22.44,22.48,22.4,22.48,752
2024-05-24,22.78,22.78,22.69,22.69,700
2024-05-28,22.25,22.25,22.01,22.15,5325
2024-05-29,21.9001,22.57,21.9001,22.57,1915
2024-05-30,22,22.25,22,22,10145
2024-05-31,22.1,22.25,22.1,22.25,908
2024-06-04,22.05,23.24,22.05,22.47,2130
2024-06-05,22.35,22.5,22.35,22.5,1273
2024-06-06,21.9,22.55,21.9,22.49,3297
2024-06-07,22.75,22.76,22.75,22.75,745
2024-06-10,22.25,22.5299,22.23,22.49,5934
2024-06-11,22.68,22.68,22.47,22.47,547
2024-06-12,22.43,23.2,22.29,22.58,6787
2024-06-13,23.08,23.1999,22.59,23.1,3974
2024-06-17,22.54,22.54,21.64,21.64,500
2024-06-18,22.3451,22.3451,22,22,2190
2024-06-20,22,22.54,21.855,21.99,1860
2024-06-24,22.0001,22.0001,22.0001,22.0001,285
2024-06-25,22.2,22.22,22.2,22.2072,579
2024-06-26,22.06,22.06,22.06,22.06,459
2024-06-27,22.04,22.04,22.04,22.04,115
2024-06-28,22.04,22.25,22.04,22.25,794
2024-07-01,22.68,22.68,22.3,22.58,1561
2024-07-02,22.52,22.54,22.3127,22.3127,1502
2024-07-05,22.28,22.28,22.28,22.28,126
2024-07-08,22.28,22.28,21.12,21.8,7225
2024-07-09,22.36,22.36,21.785,21.785,1476
2024-07-10,22.3,22.3,22.22,22.22,851
2024-07-11,22.22,22.61,22.22,22.61,2535
2024-07-12,22,22.2503,22,22.2502,1386
2024-07-15,22.1719,22.1719,22.1719,22.1719,106
