date,open,high,low,close,volume
2024-03-01,3.79,4.07,3.765,3.97,2501636.0
2024-03-04,3.99,3.99,3.7701,3.86,1214505.0
2024-03-05,3.86,3.9,3.69,3.74,893320
2024-03-06,3.74,3.805,3.63,3.73,930301
2024-03-07,3.74,3.75,3.64,3.64,738224
2024-03-08,3.62,3.73,3.51,3.58,1249913.0
2024-03-11,3.52,3.62,3.52,3.55,701471
2024-03-12,3.615,3.63,3.49,3.5,757312
2024-03-13,3.5,3.5901,2.99,3.19,3447405.0
2024-03-14,3.11,3.2,3.01,3.14,1556600.0
2024-03-15,3.05,3.12,2.94,3.11,1596279.0
2024-03-18,3.03,3.135,2.99,3.09,823114
2024-03-19,3.09,3.13,3,3.04,671002
2024-03-20,3.02,3.12,2.97,3.1,853161
2024-03-21,3.08,3.11,2.96,2.96,1020733.0
2024-03-22,2.995,3.04,2.859,2.98,1869351.0
2024-03-25,2.98,3.005,2.86,2.97,1310653.0
2024-03-26,2.98,3.1,2.915,2.95,990225
2024-03-27,3,3.09,2.9201,3,451749
2024-03-28,3.1,3.45,3.05,3.3,2282523.0
2024-04-01,3.35,3.475,3.2,3.41,933227
2024-04-02,3.4,3.409,3.25,3.38,877297
2024-04-03,3.38,3.48,3.32,3.41,604605
2024-04-04,3.46,3.4681,3.19,3.26,952020
2024-04-05,3.23,3.36,3.1801,3.29,710458
2024-04-08,3.27,3.27,3.14,3.17,628091
2024-04-09,3.18,3.18,2.984,3.13,851304
2024-04-10,3.03,3.07,2.93,2.94,776215
2024-04-11,2.96,2.997,2.72,2.74,1651245.0
2024-04-12,2.8,2.8199,2.64,2.72,1311047.0
2024-04-15,2.68,2.7199,2.605,2.67,1251329.0
2024-04-16,2.68,2.7,2.61,2.69,591800
2024-04-17,2.7,2.71,2.58,2.58,601205
2024-04-18,2.56,2.675,2.525,2.65,814617
2024-04-19,2.62,2.668,2.53,2.64,912723
2024-04-22,2.73,2.81,2.6201,2.79,1064979.0
2024-04-23,2.81,2.851,2.75,2.78,790052
2024-04-24,2.76,2.885,2.76,2.78,748362
2024-04-25,2.75,2.82,2.64,2.81,1031223.0
2024-04-26,2.81,2.81,2.73,2.74,562550
2024-04-29,2.75,2.815,2.6701,2.76,530508
2024-04-30,2.75,3.09,2.71,3.05,1579127.0
2024-05-01,3.06,3.22,3.01,3.15,1962243.0
2024-05-02,3.18,3.24,3.11,3.11,431767
2024-05-03,3.16,3.35,3.14,3.26,855585
2024-05-06,3.3,3.31,3.01,3.1,835729
2024-05-07,3.09,3.13,2.97,3.01,687644
2024-05-08,2.99,3.135,2.92,3.1,541270
2024-05-09,3.1,3.29,3.04,3.27,499616
2024-05-10,3.25,3.33,3.03,3.03,847740
2024-05-13,3.04,3.14,2.97,2.97,473572
2024-05-14,3,3.06,2.93,2.96,534219
2024-05-15,2.99,3.17,2.9809,3.17,548157
2024-05-16,3.15,3.345,3.15,3.27,759943
2024-05-17,3.27,3.27,3.09,3.2,439240
2024-05-20,3.2,3.34,3.135,3.26,445597
2024-05-21,3.25,3.3167,3.02,3.04,506048
2024-05-22,3.03,3.03,2.875,2.99,507617
2024-05-23,3,3.12,2.9,2.93,662737
2024-05-24,2.94,3.07,2.89,2.95,239459
2024-05-28,3.08,3.53,3,3.35,2879503.0
2024-05-29,3.46,3.46,3.2,3.39,998410
2024-05-30,3.37,3.81,3.3232,3.59,2138603.0
2024-05-31,3.61,3.7,3.385,3.45,569661
2024-06-03,3.45,3.56,3.375,3.445,802622
2024-06-04,3.46,3.48,3.29,3.33,731563
2024-06-05,3.36,3.595,3.33,3.5,637242
2024-06-06,3.49,3.55,3.36,3.44,598641
2024-06-07,3.39,3.4941,3.36,3.42,351877
2024-06-10,3.38,3.6,3.36,3.47,794696
2024-06-11,3.45,3.57,3.4257,3.52,651943
2024-06-12,3.94,4.18,3.65,3.83,4311168.0
2024-06-13,3.98,4.2,3.88,3.99,2628971.0
2024-06-14,4,4.41,3.99,4.25,5852128.0
2024-06-17,4.41,4.5,4.16,4.25,2379757.0
2024-06-18,4.29,4.29,3.92,3.98,1743225.0
2024-06-20,4.02,4.08,3.83,3.89,986165
2024-06-21,3.86,3.995,3.72,3.98,1121936.0
2024-06-24,4,4.05,3.7,3.76,749052
2024-06-25,3.76,3.81,3.47,3.5,1687106.0
2024-06-26,3.51,3.635,3.26,3.49,2361475.0
2024-06-27,3.49,3.545,3.4,3.48,868010
2024-06-28,3.47,3.61,3.4,3.6,1278950.0
2024-07-01,3.51,3.66,3.46,3.63,1098149.0
2024-07-02,3.61,3.76,3.44,3.45,930715
2024-07-03,3.4,3.61,3.37,3.59,298573
2024-07-05,3.57,3.66,3.52,3.63,701514
2024-07-08,3.63,3.685,3.53,3.67,691969
2024-07-09,3.67,3.86,3.57,3.85,996924
2024-07-10,3.83,3.95,3.72,3.77,525527
2024-07-11,3.79,4,3.73,3.89,1298286.0
2024-07-12,3.92,4.17,3.85,4.15,1055416.0
2024-07-15,4.18,4.34,4.08,4.15,910523
2024-07-16,4.2,4.2,3.965,4.09,804444
2024-07-17,4,4.07,3.82,3.89,767260
2024-07-18,3.92,3.9405,3.8008,3.88,614617
2024-07-19,3.82,3.915,3.78,3.88,784708
2024-07-22,3.86,4,3.76,3.98,827077
2024-07-23,3.97,4.13,3.925,4.13,734922
2024-07-24,4.13,4.1966,3.94,3.95,713316
2024-07-25,3.93,4.2675,3.895,4.08,1623028.0
2024-07-26,4.16,4.1899,3.96,4.155,469126
2024-07-29,4.17,4.42,4.11,4.14,1216507.0
2024-07-30,4.16,4.29,3.95,3.99,1259632.0
2024-07-31,3.99,4.16,3.85,4.06,985543
2024-08-01,4.06,4.1223,3.95,3.98,1086000.0
2024-08-02,3.85,3.955,3.81,3.87,1213701.0
2024-08-05,3.49,3.92,3.35,3.9,1488845.0
2024-08-06,3.85,3.95,3.76,3.83,730705
2024-08-07,3.9,3.9,3.61,3.66,952845
2024-08-08,3.67,3.84,3.57,3.81,704885
2024-08-09,3.82,3.89,3.765,3.78,857988
2024-08-12,3.8,3.888,3.65,3.72,444043
2024-08-13,3.73,3.76,3.64,3.76,883478
2024-08-14,3.76,4.025,3.685,3.95,1313670.0
2024-08-15,3.97,4.1499,3.81,4.08,1154079.0
2024-08-16,4.07,4.345,4.07,4.33,1652988.0
2024-08-19,4.33,4.55,4.28,4.47,1973156.0
2024-08-20,4.47,4.52,4.23,4.44,848703
2024-08-21,4.44,4.515,4.31,4.49,532290
2024-08-22,4.5,4.55,4.36,4.51,1048253.0
2024-08-23,4.62,5.02,4.6,4.83,1896113.0
2024-08-26,4.9,4.95,4.735,4.87,621227
2024-08-27,4.89,4.89,4.6807,4.8,775434
2024-08-28,4.78,4.78,4.645,4.67,528978
2024-08-29,4.7,4.84,4.5691,4.58,709417
2024-08-30,4.6,4.71,4.55,4.69,523163
2024-09-03,4.7,4.7999,4.4,4.43,882962
2024-09-04,4.42,4.5,4.35,4.35,369065
2024-09-05,4.33,4.4755,4.3,4.43,536267
2024-09-06,4.45,4.49,4.25,4.32,927119
2024-09-09,4.37,4.51,4.33,4.49,638810
2024-09-10,4.54,4.72,4.52,4.69,516394
2024-09-11,4.64,4.71,4.56,4.66,514314
2024-09-12,4.67,4.67,4.365,4.39,613025
2024-09-13,4.43,4.43,4.01,4.28,1379174.0
2024-09-16,4.26,4.545,4.21,4.5,806125
2024-09-17,4.5,4.54,3.88,3.95,2807274.0
2024-09-18,4.12,4.305,4.02,4.22,1565995.0
2024-09-19,4.31,4.4383,4.24,4.28,720783
2024-09-20,4.29,4.34,4.18,4.25,463741
2024-09-23,4.24,4.24,4.05,4.09,541066
2024-09-24,4.09,4.105,3.98,4.05,531043
2024-09-25,4.06,4.0992,3.95,4,452077
2024-09-26,4.01,4.22,4,4.1,624386
2024-09-27,4.12,4.185,4.09,4.14,564088
2024-09-30,4.16,4.1993,4,4.11,593770
2024-10-01,4.15,4.175,3.94,4.17,1164631.0
2024-10-02,4.14,4.3,4.12,4.29,846833
2024-10-03,4.3,4.45,4.24,4.4,926326
2024-10-04,4.4,4.5,4.32,4.4,889513
2024-10-07,4.39,4.4007,4.185,4.25,548090
2024-10-08,4.28,4.28,4.135,4.16,665585
2024-10-09,4.15,4.23,4.085,4.14,457018
2024-10-10,4.1,4.2001,4.07,4.12,389866
2024-10-11,4.1,4.34,4.07,4.34,552383
2024-10-14,4.29,4.49,4.2,4.47,683800
2024-10-15,4.43,4.55,4.34,4.54,443685
2024-10-16,4.59,4.595,4.455,4.51,514450
2024-10-17,4.51,4.64,4.415,4.56,751326
2024-10-18,4.53,4.64,4.49,4.62,405101
2024-10-21,4.61,4.72,4.37,4.53,436677
2024-10-22,4.5,4.595,4.32,4.37,623431
2024-10-23,4.31,4.33,4.05,4.25,706192
2024-10-24,4.27,4.35,4.185,4.35,595363
2024-10-25,4.33,4.42,4.25,4.26,405230
2024-10-28,4.25,4.33,4.15,4.2,497090
2024-10-29,4.19,4.25,4.14,4.21,481253
2024-10-30,4.18,4.31,4.132,4.25,482565
2024-10-31,4.24,4.285,4.15,4.21,638175
2024-11-01,4.23,4.32,4.2,4.28,478461
2024-11-04,4.24,4.24,4.01,4.01,770963
2024-11-05,4,4.1,3.98,4.1,346136
2024-11-06,4.15,4.21,4.07,4.1,399785
2024-11-07,4.09,4.195,4.065,4.09,538602
2024-11-08,4.08,4.28,4.05,4.26,331604
2024-11-11,4.29,4.395,4.23,4.28,442389
2024-11-12,4.16,4.29,4.02,4.1,973052
2024-11-13,4.04,4.205,3.97,4.05,964324
2024-11-14,4.05,4.14,3.78,3.82,1561909.0
2024-11-15,3.79,3.82,3.505,3.53,2138694.0
2024-11-18,3.6,3.6,3.175,3.33,1964860.0
2024-11-19,3.28,3.49,3.2149,3.49,936189
2024-11-20,3.47,3.59,3.4,3.58,727444
2024-11-21,3.6,3.6875,3.4474,3.68,864936
2024-11-22,3.7,3.81,3.645,3.72,831096
2024-11-25,3.72,3.82,3.36,3.38,1128878.0
2024-11-26,3.38,3.46,3.315,3.4,745718
2024-11-27,3.44,3.59,3.39,3.56,575120
2024-11-29,3.56,3.635,3.51,3.605,493158
2024-12-02,3.6,3.72,3.58,3.63,1077777.0
2024-12-03,3.62,3.62,3.52,3.55,541113
2024-12-04,3.51,3.615,3.5,3.56,608485
2024-12-05,3.56,3.58,3.41,3.47,693007
2024-12-06,3.7,3.83,3.61,3.77,786587
2024-12-09,3.94,3.94,3.7,3.8,612892
2024-12-10,3.82,3.93,3.75,3.86,528509
2024-12-11,3.86,3.92,3.7901,3.85,649691
2024-12-12,3.83,3.9,3.62,3.73,645992
2024-12-13,3.71,3.78,3.63,3.74,619994
2024-12-16,3.66,3.82,3.26,3.45,2696451.0
2024-12-17,3.4,3.56,3.33,3.4,1626811.0
2024-12-18,3.4,3.6699,3.26,3.31,1529119.0
2024-12-19,3.28,3.37,3.2301,3.29,627526
2024-12-20,3.28,3.39,3.11,3.35,1762229.0
2024-12-23,3.35,3.39,3.22,3.39,533686
2024-12-24,3.5,3.88,3.47,3.81,1476051.0
2024-12-26,3.74,3.84,3.65,3.77,694531
2024-12-27,3.73,3.76,3.58,3.73,622277
2024-12-30,3.64,3.74,3.475,3.52,890905
2024-12-31,3.52,3.59,3.43,3.5,798697
2025-01-02,3.45,3.66,3.41,3.42,1469297.0
2025-01-03,3.45,3.755,3.42,3.73,1032703.0
2025-01-06,3.8,3.83,3.67,3.76,1114642.0
2025-01-07,3.75,3.79,3.675,3.76,599412
2025-01-08,3.76,3.84,3.68,3.76,727399
2025-01-10,3.73,3.755,3.42,3.55,2041568.0
2025-01-13,3.3,3.3499,3.05,3.34,2550443.0
2025-01-14,3.39,3.39,2.91,3.06,2320245.0
2025-01-15,3.07,3.17,2.97,3.03,1124560.0
2025-01-16,3.03,3.0345,2.8349,2.9,1920768.0
2025-01-17,2.89,2.93,2.8,2.86,1167108.0
2025-01-21,2.86,3.04,2.86,2.99,992489
2025-01-22,3.02,3.05,2.87,2.92,2238280.0
2025-01-23,2.9,3.11,2.84,3.1,1517220.0
2025-01-24,3.1,3.14,2.86,2.91,1050954.0
2025-01-27,2.86,2.965,2.82,2.92,1183022.0
2025-01-28,2.91,2.935,2.815,2.87,731222
2025-01-29,2.85,3.02,2.8425,2.93,721429
2025-01-30,2.9,2.97,2.825,2.93,629367
2025-01-31,2.95,3.06,2.95,3.01,1044101.0
2025-02-03,2.93,3.02,2.85,2.99,710780
2025-02-04,2.99,3.175,2.9791,3.16,944308
2025-02-05,3.16,3.255,3.13,3.21,538496
2025-02-06,3.21,3.21,3.07,3.1,963694
2025-02-07,3.08,3.12,3.025,3.11,916664
2025-02-10,3.11,3.166,2.995,3.02,310102
2025-02-11,3.01,3.0345,2.9,2.9,488145
2025-02-12,2.9,2.94,2.8,2.9,799203
2025-02-13,2.87,2.93,2.85,2.88,450239
2025-02-14,2.95,2.97,2.84,2.87,902355
2025-02-18,2.87,2.985,2.85,2.89,1300589.0
2025-02-19,2.89,2.94,2.82,2.91,2712249.0
2025-02-20,2.9,2.92,2.845,2.87,425768
2025-02-21,2.87,2.9,2.78,2.85,815779
2025-02-24,2.85,2.8768,2.69,2.69,917542
2025-02-25,2.7,2.75,2.475,2.52,3593486.0
2025-02-26,2.55,2.65,2.37,2.45,2446670.0
2025-02-27,2.44,2.535,2.42,2.45,1448171.0
2025-02-28,2.45,2.48,2.38,2.4,2073410.0
