date,open,high,low,close,volume
2024-03-01,3.63,3.74,3.57,3.69,11465
2024-03-04,3.69,3.8499,3.6801,3.82,26254
2024-03-05,3.755,4,3.755,3.97,23427
2024-03-06,3.865,4.1,3.86,3.94,15965
2024-03-07,3.8539,4,3.8204,3.96,27246
2024-03-08,4,4.15,3.97,4.1,30917
2024-03-11,4.16,4.2,4.1111,4.14,8002
2024-03-12,4.0904,4.29,3.9831,4.22,8200
2024-03-13,4.3568,4.5708,4.2,4.33,28089
2024-03-14,4.405,4.49,4.1001,4.47,33712
2024-03-15,4.49,4.5265,4.2765,4.43,5637
2024-03-18,4.5,4.5275,4.27,4.32,9065
2024-03-19,4.27,4.65,4.2518,4.4,37330
2024-03-20,4.53,4.7264,4.5,4.5001,13875
2024-03-21,4.52,4.8,4.5191,4.64,23899
2024-03-22,4.7355,4.91,4.66,4.91,17307
2024-03-25,4.91,4.91,4.7224,4.84,10955
2024-03-26,4.8,4.91,4.26,4.32,45149
2024-03-27,4.58,4.65,4.1101,4.335,16034
2024-03-28,4.29,4.55,4.15,4.3,19804
2024-04-01,4.5,4.63,4.3,4.6,40604
2024-04-02,4.57,4.57,4.2301,4.36,10264
2024-04-03,4.45,4.59,4.27,4.55,26107
2024-04-04,4.56,4.93,4.525,4.88,55518
2024-04-05,4.86,4.9,4.66,4.67,31541
2024-04-08,4.61,4.92,4.58,4.71,20335
2024-04-09,4.785,4.785,4.57,4.7,6357
2024-04-10,4.52,4.89,4.52,4.85,7818
2024-04-11,4.62,4.8,4.53,4.6,19131
2024-04-12,4.62,4.653,4.297,4.31,20306
2024-04-15,4.26,4.6,4.26,4.44,31885
2024-04-16,4.31,4.425,4.26,4.4,15037
2024-04-17,4.73,4.73,4.21,4.31,10686
2024-04-18,4.4,4.4,4.09,4.1002,13170
2024-04-19,4.26,4.26,4.05,4.14,14963
2024-04-22,4.32,4.32,4.13,4.19,14370
2024-04-23,4.15,4.49,4.15,4.425,11907
2024-04-24,4.5,4.59,4.36,4.4,9988
2024-04-25,4.41,4.57,4.3316,4.365,3381
2024-04-26,4.4,4.4212,4.27,4.29,12576
2024-04-29,4.29,4.41,4.11,4.115,13097
2024-04-30,4.4,4.4,4.02,4.05,28440
2024-05-01,4.05,4.27,4.05,4.11,10404
2024-05-02,4.4954,4.4954,4.2,4.2,2242
2024-05-03,4.33,4.4999,4.15,4.22,13189
2024-05-06,4.22,4.3066,4.11,4.11,13065
2024-05-07,4.11,4.32,4.02,4.02,13477
2024-05-08,4.0001,4.35,4.0001,4.27,10227
2024-05-09,4.24,4.4,4,4.23,11530
2024-05-10,4.04,4.2859,4.04,4.13,5953
2024-05-13,4.3799,4.3799,4.09,4.09,7708
2024-05-14,4.06,4.22,3.9799,3.98,8405
2024-05-15,4,4.185,4,4.17,15304
2024-05-16,4.22,4.22,4.04,4.1,3620
2024-05-17,4.1,4.25,4.1,4.15,7302
2024-05-20,4.22,4.3,4.07,4.2,8317
2024-05-21,4.2825,4.2825,3.9101,4.0878,10408
2024-05-22,3.68,4.19,3.68,3.94,15762
2024-05-23,3.87,4.29,3.87,4.07,5334
2024-05-24,4.08,4.2384,4.08,4.14,3574
2024-05-28,4.14,4.27,3.86,3.93,12991
2024-05-29,3.9432,4.1301,3.9432,3.98,4440
2024-05-30,4.06,4.19,3.95,4.01,6338
2024-05-31,3.8,3.94,3.78,3.87,16561
2024-06-03,3.86,4.0991,3.82,4.03,8580
2024-06-04,3.92,3.9284,3.56,3.6399,25404
2024-06-05,3.55,3.75,3.55,3.65,11216
2024-06-06,3.62,3.6943,3.33,3.33,13420
2024-06-07,3.45,3.5999,3.3574,3.47,10312
2024-06-10,3.54,3.6,3.3835,3.47,47053
2024-06-11,3.59,4.09,3.42,3.86,71928
2024-06-12,3.5,4.25,3.5,4,25476
2024-06-13,3.93,4.22,3.93,4.02,16772
2024-06-14,4.02,4.2399,4.0199,4.1647,3146
2024-06-17,4.24,4.78,4.11,4.78,161791
2024-06-18,4.92,4.95,4.55,4.62,76337
2024-06-20,4.73,4.73,4.46,4.49,44758
2024-06-21,4.41,4.445,4.02,4.32,13981
2024-06-24,4.26,4.75,4.1623,4.71,39444
2024-06-25,4.7,4.74,4.58,4.64,11244
2024-06-26,4.72,4.88,4.576,4.74,16694
2024-06-27,4.68,4.83,4.47,4.83,22101
2024-06-28,4.74,5.4601,4.44,5.43,77956
2024-07-01,5.36,5.68,5.2101,5.39,31400
2024-07-02,5.3,5.48,5.24,5.24,25482
2024-07-03,5.3,5.3,5.09,5.19,6378
2024-07-05,5.07,5.17,4.8116,4.97,18113
2024-07-08,4.88,4.88,4.2501,4.65,25014
2024-07-09,4.8,4.99,4.75,4.95,12960
2024-07-10,4.83,5.15,4.4301,4.98,19773
2024-07-11,4.815,4.9799,4.815,4.87,5336
2024-07-12,5,5.28,4.92,5.23,14451
2024-07-15,5.18,5.9599,5.18,5.57,93348
2024-07-16,5.55,5.98,5.55,5.8499,24881
2024-07-17,5.98,5.98,5.72,5.96,15133
2024-07-18,5.99,5.99,5.4001,5.51,11128
2024-07-19,5.41,5.41,4.6566,5.045,21777
2024-07-22,5.1291,5.1291,4.73,4.97,6831
2024-07-23,4.82,4.8741,4.81,4.84,4480
2024-07-24,4.81,5.62,4.7999,5.4,48328
2024-07-25,5.14,5.4412,5.0001,5.29,24494
2024-07-26,5.35,5.51,5.2101,5.45,15692
2024-07-29,5.35,5.37,5.1,5.125,12367
2024-07-30,5.03,5.29,4.85,4.85,12420
2024-07-31,4.79,4.99,4.79,4.89,12014
2024-08-01,4.82,5.1119,4.72,4.84,6655
2024-08-02,4.53,4.84,4.35,4.39,39861
2024-08-05,4.01,4.16,3.71,3.9,70829
2024-08-06,3.82,4.1389,3.81,3.9686,5392
2024-08-07,3.84,4.12,3.64,3.79,12110
2024-08-08,4,4.0699,3.86,3.86,15147
2024-08-09,3.8,4,3.785,3.7957,4406
2024-08-12,3.8,4.3215,3.4,3.82,118771
2024-08-13,3.61,3.89,3.35,3.39,23496
2024-08-14,3.45,3.4952,3.27,3.3619,14190
2024-08-15,3.41,3.49,3.18,3.18,38794
2024-08-16,3.26,3.71,3.15,3.49,33410
2024-08-19,3.5,4,3.4953,3.61,43143
2024-08-20,3.62,3.9599,3.5,3.72,42042
2024-08-21,3.67,3.74,3.52,3.6,29255
2024-08-22,3.55,3.68,3.5207,3.65,8544
2024-08-23,3.6489,3.7798,3.5575,3.665,10788
2024-08-26,3.66,3.8,3.6,3.7,17753
2024-08-27,3.71,3.8483,3.5,3.62,6144
2024-08-28,3.53,3.715,3.35,3.54,19346
2024-08-29,3.49,3.7617,3.462,3.5,6562
2024-08-30,3.5,3.61,3.4,3.61,15315
2024-09-03,3.45,3.5399,3,3.04,55010
2024-09-04,3.15,3.36,3,3.08,49012
2024-09-05,3.09,3.23,2.8999,3.13,13837
2024-09-06,3.11,3.2,2.77,2.98,41995
2024-09-09,2.89,3.1413,2.89,3.083519,13699
2024-09-10,3.16,3.25,2.5733,2.7,87883
2024-09-11,2.72,3.24,2.65,2.78,84110
2024-09-12,2.68,2.89,2.6132,2.7001,27384
2024-09-13,2.83,2.95,2.72,2.7744,15858
2024-09-16,2.77,2.96,2.7465,2.88,17175
2024-09-17,2.86,3,2.75,2.79,33491
2024-09-18,2.95,2.95,2.56,2.77,27928
2024-09-19,2.85,2.9619,2.73,2.93,23127
2024-09-20,2.85,2.94,2.85,2.94,15861
2024-09-23,2.9,2.9,2.5,2.6,40446
2024-09-24,2.66,2.78,2.616,2.66,8080
2024-09-25,2.58,2.66,2.5313,2.58,16307
2024-09-26,2.65,2.9164,2.65,2.75,41514
2024-09-27,2.8,2.98,2.79,2.9,25868
2024-09-30,2.84,3,2.705,2.82,25613
2024-10-01,2.8,2.827,2.7,2.71,4606
2024-10-02,2.76,2.76,2.57,2.59,13306
2024-10-03,2.62,2.95,2.62,2.6534,20082
2024-10-04,2.66,2.93,2.66,2.8,8318
2024-10-07,2.76,2.84,2.66,2.78,15510
2024-10-08,2.87,2.87,2.61,2.63,21191
2024-10-09,2.63,2.777913,2.55,2.62,9636
2024-10-10,2.63,2.63,2.4377,2.49,8219
2024-10-11,2.52,2.78,2.5099,2.71,24873
2024-10-14,2.67,4.06,2.67,3.39,380689
2024-10-15,3.47,3.63,3.0674,3.27,70791
2024-10-16,3.48,3.58,3.2402,3.52,53788
2024-10-17,3.58,3.58,3.24,3.25,20922
2024-10-18,3.21,3.53,3.15,3.52,17614
2024-10-21,3.59,3.85,3.47,3.7,38411
2024-10-22,3.65,5.02,3.65,4.54,177527
2024-10-23,4.54,4.74,4.23,4.51,54787
2024-10-24,4.37,4.45,3.8555,4.01,39491
2024-10-25,4,4.4455,4,4.325,18365
2024-10-28,4.44,4.49,4.1193,4.32,17461
