date,open,high,low,close,volume
2024-03-01,9.59,10.5,9.59,9.92,603587
2024-03-04,10.06,10.06,9.32,9.54,310200
2024-03-05,9.56,9.66,9.21,9.24,345441
2024-03-06,9.01,9.38,8.26,9.03,1121363.0
2024-03-07,9.09,9.14,8.15,8.75,1120550.0
2024-03-08,8.83,9.27,8.7,8.85,699518
2024-03-11,8.85,8.96,8.37,8.48,532930
2024-03-12,8.52,9.3,8.445,9.28,564704
2024-03-13,9.34,9.69,9.33,9.44,361571
2024-03-14,9.45,9.53,8.75,8.95,481252
2024-03-15,8.91,9.685,8.89,9.39,1192980.0
2024-03-18,9.4,9.69,8.84,9.02,395371
2024-03-19,9,9.5,8.88,9.3,292068
2024-03-20,9.27,9.27,8.9,9.04,308303
2024-03-21,9.07,9.14,8.83,9.01,457410
2024-03-22,9.05,9.08,8.64,8.81,257522
2024-03-25,8.81,8.98,8.785,8.93,297653
2024-03-26,9.34,9.41,8.49,8.79,583012
2024-03-27,8.86,9.0799,8.56,8.85,427206
2024-03-28,8.91,9.24,8.825,9.04,869000
2024-04-01,9,9.07,8.54,8.97,484275
2024-04-02,8.86,8.99,8.7,8.87,407834
2024-04-03,8.78,9.03,8.39,8.7,799759
2024-04-04,8.79,8.94,8.59,8.68,444558
2024-04-05,8.66,8.9,7.75,7.8,886678
2024-04-08,7.85,8.26,7.4201,8.2,688720
2024-04-09,8.18,8.45,8.04,8.38,634519
2024-04-10,8.16,8.28,7.88,8.09,671287
2024-04-11,8.17,8.26,7.9,7.92,434207
2024-04-12,7.87,7.99,7.4,7.52,623997
2024-04-15,1.85,1.95,1.25,1.3,35571117.0
2024-04-16,1.32,1.65,1.11,1.2,22196654.0
2024-04-17,1.23,1.54,1.16,1.44,10367883.0
2024-04-18,1.46,1.53,1.17,1.41,4841039.0
2024-04-19,1.41,1.55,1.37,1.38,2618548.0
2024-04-22,1.38,1.5,1.35,1.475,3093450.0
2024-04-23,1.45,1.56,1.395,1.44,2871152.0
2024-04-24,1.44,1.46,1.39,1.44,1626979.0
2024-04-25,1.4,1.44,1.37,1.42,1292663.0
2024-04-26,1.42,1.455,1.38,1.405,1134543.0
2024-04-29,1.41,1.44,1.39,1.4,904659
2024-04-30,1.42,1.43,1.39,1.41,1362297.0
2024-05-01,1.4,1.52,1.4,1.47,2303602.0
2024-05-02,1.49,1.53,1.45,1.45,985188
2024-05-03,1.5,1.65,1.48,1.51,1618322.0
2024-05-06,1.57,1.608,1.47,1.48,1567999.0
2024-05-07,1.47,1.57,1.45,1.57,1304000.0
2024-05-08,1.54,1.77,1.41,1.43,2401995.0
2024-05-09,1.5,1.5,1.38,1.385,1220596.0
2024-05-10,1.39,1.46,1.32,1.33,2057245.0
2024-05-13,1.37,1.42,1.33,1.35,922057
2024-05-14,1.38,1.4005,1.32,1.34,1196349.0
2024-05-15,1.35,1.45,1.33,1.33,1078981.0
2024-05-16,1.36,1.36,1.3,1.3,921499
2024-05-17,1.31,1.38,1.3,1.33,1303696.0
2024-05-20,1.36,1.36,1.27,1.35,1306796.0
2024-05-21,1.33,1.35,1.295,1.33,1616594.0
2024-05-22,1.33,1.39,1.28,1.29,874177
2024-05-23,1.3,1.3393,1.28,1.3,1507136.0
2024-05-24,1.31,1.4,1.285,1.38,1144840.0
2024-05-28,1.38,1.58,1.375,1.5,1952807.0
2024-05-29,1.47,1.56,1.4,1.54,1598384.0
2024-05-30,1.54,1.56,1.455,1.46,1085201.0
2024-05-31,1.47,1.585,1.41,1.42,865504
2024-06-03,1.42,1.57,1.4,1.48,1111697.0
2024-06-04,1.5,1.54,1.43,1.44,692012
2024-06-05,1.45,1.54,1.42,1.54,738680
2024-06-06,1.55,1.55,1.48,1.5,365783
2024-06-07,1.49,1.585,1.4705,1.52,521038
2024-06-10,1.5,1.615,1.49,1.54,764455
2024-06-11,1.53,1.56,1.46,1.56,638330
2024-06-12,1.53,1.635,1.47,1.49,688813
2024-06-13,1.5,1.52,1.45,1.46,407895
2024-06-14,1.45,1.47,1.43,1.465,306611
2024-06-17,1.39,1.565,1.355,1.45,2424426.0
2024-06-18,1.49,1.49,1.3513,1.395,1469272.0
2024-06-20,1.4,1.42,1.325,1.35,973298
2024-06-21,1.36,1.39,1.31,1.33,888216
2024-06-24,1.31,1.38,1.3,1.37,1124882.0
2024-06-25,1.38,1.38,1.29,1.36,824358
2024-06-26,1.35,1.36,1.25,1.26,760218
2024-06-27,1.27,1.31,1.17,1.23,1130031.0
2024-06-28,1.24,1.28,1.1,1.17,7820321.0
2024-07-01,1.16,1.325,1.16,1.28,2019351.0
2024-07-02,1.26,1.3,1.15,1.19,848706
2024-07-03,1.2,1.24,1.19,1.21,270553
2024-07-05,1.22,1.24,1.17,1.2,369248
2024-07-08,1.22,1.26,1.185,1.2,545525
2024-07-09,1.2,1.27,1.195,1.25,644262
2024-07-10,1.25,1.3252,1.23,1.23,478244
2024-07-11,1.24,1.35,1.24,1.33,679977
2024-07-12,1.33,1.4595,1.315,1.37,1162921.0
2024-07-15,1.39,1.42,1.37,1.41,669398
2024-07-16,1.43,1.54,1.41,1.475,1047962.0
2024-07-17,1.45,1.465,1.37,1.39,550231
2024-07-18,1.38,1.41,1.36,1.39,921920
2024-07-19,1.38,1.445,1.365,1.43,627825
2024-07-22,1.43,1.5,1.425,1.5,571705
2024-07-23,1.47,1.52,1.4636,1.48,350853
2024-07-24,1.47,1.49,1.395,1.415,319307
2024-07-25,1.41,1.455,1.4,1.415,208558
2024-07-26,1.43,1.47,1.41,1.43,175692
2024-07-29,1.41,1.45,1.355,1.4,459228
2024-07-30,1.4,1.4278,1.385,1.39,267139
2024-07-31,1.38,1.44,1.38,1.4,439146
2024-08-01,1.4,1.42,1.38,1.4,558307
2024-08-02,1.35,1.37,1.29,1.3,670332
2024-08-05,1.2,1.21,1.1,1.1,846066
2024-08-06,1.13,1.205,1.1001,1.15,609734
2024-08-07,1.17,1.24,1.1501,1.16,420565
2024-08-08,1.17,1.25,1.16,1.25,330660
2024-08-09,1.25,1.29,1.21,1.22,387985
2024-08-12,1.24,1.28,1.21,1.23,194512
2024-08-13,1.17,1.24,1.16,1.18,345280
2024-08-14,1.16,1.16,1.05,1.1,427822
2024-08-15,1.13,1.23,1.1101,1.22,337688
2024-08-16,1.2,1.28,1.2,1.26,299849
2024-08-19,1.29,1.34,1.25,1.33,190066
2024-08-20,1.35,1.375,1.2919,1.34,231500
2024-08-21,1.36,1.39,1.2944,1.37,178972
2024-08-22,1.35,1.38,1.32,1.32,213501
2024-08-23,1.34,1.3799,1.29,1.3,402430
2024-08-26,1.32,1.53,1.32,1.47,885604
2024-08-27,1.45,1.48,1.42,1.47,226982
2024-08-28,1.44,1.4699,1.37,1.39,296926
2024-08-29,1.43,1.45,1.4,1.4,195836
2024-08-30,1.43,1.43,1.35,1.4,415990
2024-09-03,1.4,1.46,1.365,1.43,387644
2024-09-04,1.43,1.46,1.3852,1.42,410510
2024-09-05,1.41,1.42,1.39,1.39,136526
2024-09-06,1.39,1.43,1.34,1.4,271578
2024-09-09,1.42,1.45,1.38,1.39,266753
2024-09-10,1.38,1.42,1.37,1.4,154840
2024-09-11,1.39,1.43,1.3806,1.39,295441
2024-09-12,1.4,1.41,1.38,1.39,723784
2024-09-13,1.4,1.51,1.4,1.5,1610841.0
2024-09-16,1.5,1.58,1.47,1.55,488312
2024-09-17,1.56,1.605,1.54,1.55,305879
2024-09-18,1.56,1.6111,1.5,1.51,227994
2024-09-19,1.56,1.62,1.5207,1.6,434990
2024-09-20,1.62,1.68,1.55,1.66,1314196.0
2024-09-23,1.8,1.81,1.62,1.63,1145057.0
2024-09-24,1.64,1.97,1.56,1.9,3009836.0
2024-09-25,1.9,1.9,1.7012,1.74,688708
2024-09-26,1.75,1.77,1.72,1.73,338990
2024-09-27,1.75,1.86,1.72,1.84,572702
2024-09-30,1.82,1.88,1.74,1.76,444090
2024-10-01,1.76,1.77,1.62,1.67,1329465.0
2024-10-02,1.68,1.81,1.66,1.7,1107484.0
2024-10-03,1.69,1.75,1.64,1.73,577433
2024-10-04,1.73,1.82,1.71,1.78,344571
2024-10-07,1.78,1.875,1.78,1.85,840817
2024-10-08,1.82,1.86,1.71,1.74,543728
2024-10-09,1.73,1.7899,1.69,1.7,461079
2024-10-10,1.7,1.7,1.645,1.65,343464
2024-10-11,1.67,1.755,1.66,1.75,356087
2024-10-14,1.8,1.82,1.76,1.8,564267
2024-10-15,1.78,1.83,1.73,1.74,246137
2024-10-16,1.75,1.82,1.75,1.8,423949
2024-10-17,1.82,1.82,1.72,1.74,396047
2024-10-18,1.73,1.87,1.73,1.85,1071542.0
2024-10-21,1.85,1.96,1.81,1.82,462438
2024-10-22,1.84,1.84,1.72,1.75,649604
2024-10-23,1.77,1.7879,1.63,1.69,430833
2024-10-24,0.4899,0.5198,0.277,0.296,48265132.0
2024-10-25,0.3001,0.46,0.2603,0.4051,43510731.0
2024-10-28,0.3849,0.4242,0.3451,0.3735,8098312.0
2024-10-29,0.363,0.3632,0.286,0.29,5784507.0
2024-10-30,0.3053,0.3458,0.2875,0.3192,5270739.0
2024-10-31,0.3035,0.3237,0.3029,0.3029,2823060.0
2024-11-01,0.301,0.333,0.301,0.3279,2285995.0
2024-11-04,0.3272,0.34,0.3058,0.3326,2052775.0
2024-11-05,0.3326,0.3326,0.3177,0.3241,770523
2024-11-06,0.31,0.3453,0.31,0.3349,1401526.0
2024-11-07,0.3274,0.3737,0.3274,0.359,2484009.0
2024-11-08,0.3623,0.3623,0.3389,0.3454,891815
2024-11-11,0.3552,0.37,0.33,0.3347,1456588.0
2024-11-12,0.3322,0.363,0.3318,0.3449,817946
2024-11-13,0.3374,0.3398,0.3023,0.3023,1738963.0
2024-11-14,0.31,0.3131,0.29,0.3087,1352288.0
2024-11-15,0.31,0.328,0.2912,0.3018,1636528.0
2024-11-18,0.3068,0.3249,0.3001,0.308,1290665.0
2024-11-19,0.3133,0.3179,0.302,0.3075,868913
2024-11-20,0.31,0.317,0.297,0.309,661453
2024-11-21,0.302,0.3249,0.302,0.3223,860147
2024-11-22,0.3223,0.34,0.312,0.325,867732
2024-11-25,0.32,0.3285,0.3065,0.3238,860447
2024-11-26,0.323,0.3297,0.3133,0.3218,1001005.0
2024-11-27,0.3218,0.324999,0.3108,0.3248,610023
2024-11-29,0.325,0.3299,0.3129,0.3246,401047
2024-12-02,0.3226,0.338453,0.317,0.329,867221
2024-12-03,0.317,0.32085,0.2931,0.3081,1516511.0
2024-12-04,0.31,0.314299,0.303,0.3046,453998
2024-12-05,0.3017,0.313,0.275,0.2804,1334110.0
2024-12-06,0.2848,0.2951,0.2804,0.288,490237
2024-12-09,0.29,0.3,0.2854,0.2988,563052
2024-12-10,0.2988,0.2988,0.27,0.2738,825446
2024-12-11,0.275,0.29,0.2715,0.2868,713696
2024-12-12,0.28,0.2887,0.2674,0.2722,607055
