date,open,high,low,close,volume
2024-03-01,24.19,24.19,23.7737,23.9,44973
2024-03-04,23.94,24.3087,23.72,23.74,38060
2024-03-05,23.71,24.5,23.71,24.32,52845
2024-03-06,24.33,24.64,23.8,24.34,40187
2024-03-07,24.68,24.75,24.375,24.44,31896
2024-03-08,24.67,24.88,24.4477,24.55,34437
2024-03-11,24.47,24.56,24.31,24.42,25838
2024-03-12,24.39,24.39,24.08,24.15,31795
2024-03-13,24.03,24.3,23.96,24.18,44423
2024-03-14,24.07,24.09,23.38,23.46,73164
2024-03-15,23.45,23.95,23.38,23.44,240134
2024-03-18,23.42,23.98,23.285,23.34,99271
2024-03-19,23.34,23.89,23.34,23.72,40661
2024-03-20,23.61,24.95,23.41,24.84,59922
2024-03-21,24.9,25.265,24.84,25.1,63846
2024-03-22,25.1,25.1,24.29,24.31,49197
2024-03-25,24.42,24.77,24.17,24.25,27946
2024-03-26,24.26,24.43,23.95,23.97,31991
2024-03-27,24.09,24.87,24.09,24.82,49835
2024-03-28,24.9,25.23,24.818,25.13,41717
2024-04-01,25.08,25.08,24.6,24.77,43518
2024-04-02,24.49,24.62,24.42,24.42,58057
2024-04-03,24.25,24.5,24.25,24.32,48741
2024-04-04,24.52,24.77,24.28,24.28,43760
2024-04-05,24.18,24.35,24.08,24.25,36499
2024-04-08,24.38,24.8213,24.38,24.53,34717
2024-04-09,24.71,24.84,24.5,24.72,30032
2024-04-10,24.27,24.27,23.06,23.33,75955
2024-04-11,23.34,23.89,23.16,23.43,45490
2024-04-12,23.26,23.44,23.16,23.42,34270
2024-04-15,23.6,23.6,23.06,23.29,33042
2024-04-16,23.1,23.36,22.67,22.82,40507
2024-04-17,22.99,23.27,22.68,22.73,32979
2024-04-18,22.7,22.96,22.7,22.81,48259
2024-04-19,22.57,23.8,22.55,23.76,57070
2024-04-22,23.73,24.1,23.73,23.79,56959
2024-04-23,23.775,24.47,23.775,24.33,41157
2024-04-24,24.05,24.37,23.81,24.33,54829
2024-04-25,24.13,24.13,23.76,24.04,74430
2024-04-26,23.81,23.99,22.14,22.36,95197
2024-04-29,22.5,22.865,22.48,22.5,117503
2024-04-30,22.55,22.72,21.85,21.9,85946
2024-05-01,22.03,23.05,22.03,22.99,209953
2024-05-02,23.19,23.94,23.19,23.81,133158
2024-05-03,24.16,24.16,23.6,23.75,118145
2024-05-06,24,24.14,23.59,23.66,69841
2024-05-07,23.7,23.87,23.45,23.49,48143
2024-05-08,23.33,23.64,23.08,23.59,42390
2024-05-09,23.74,24.04,23.61,23.8,101218
2024-05-10,23.97,24.09,23.55,23.75,69330
2024-05-13,23.89,23.93,23.61,23.65,33218
2024-05-14,23.91,23.91,23.69,23.75,51014
2024-05-15,24,24.09,23.63,23.75,54544
2024-05-16,23.45,23.5,22.6703,23.45,32650
2024-05-17,23.6,23.65,23.3937,23.41,36212
2024-05-20,23.35,23.47,23,23.05,40569
2024-05-21,22.97,23.285,22.93,23.17,30989
2024-05-22,23.08,23.35,23.08,23.26,56011
2024-05-23,23.27,23.27,22.56,22.59,59500
2024-05-24,22.77,22.94,22.6369,22.83,50643
2024-05-28,22.92,23.03,22.71,22.9,49052
2024-05-29,22.51,22.56,22.26,22.38,70064
2024-05-30,22.69,22.79,22.54,22.6,41572
2024-05-31,22.71,22.87,22.66,22.72,56889
2024-06-03,22.97,22.97,22.32,22.33,61887
2024-06-04,22.17,22.27,22.0196,22.05,51139
2024-06-05,22.23,22.48,22.09,22.45,62328
2024-06-06,22.39,22.63,22.225,22.59,54739
2024-06-07,22.41,22.66,22.325,22.35,47497
2024-06-10,22.22,22.22,21.74,21.96,117892
2024-06-11,21.83,22,21.46,21.86,50579
2024-06-12,22.37,22.61,21.99,22.41,142665
2024-06-13,22.38,22.5399,21.72,21.78,43920
2024-06-14,21.76,21.82,21.33,21.47,60197
2024-06-17,21.38,21.63,21.18,21.63,47605
2024-06-18,21.665,21.95,21.665,21.76,37183
2024-06-20,21.59,21.79,21.47,21.6,31283
2024-06-21,21.65,21.77,21.41,21.41,109425
2024-06-24,21.44,21.95,21.44,21.77,49938
2024-06-25,21.64,21.71,21.49,21.55,50960
2024-06-26,21.4,22.11,21.35,21.95,54308
2024-06-27,21.99,22.2,21.9001,22.18,45531
2024-06-28,22.38,22.88,22.135,22.65,195855
2024-07-01,22.6,22.9,22.48,22.65,57235
2024-07-02,22.67,22.94,22.64,22.92,31597
2024-07-03,22.86,22.91,22.42,22.42,39904
2024-07-05,22.4,22.4,21.91,22.03,72241
2024-07-08,22.26,22.42,22.26,22.36,42436
2024-07-09,22.33,22.73,22.25,22.69,41552
2024-07-10,22.7,23.05,22.68,22.75,157314
2024-07-11,23.37,23.83,23.2,23.3,403636
2024-07-12,23.42,24.08,23.34,23.5,203198
2024-07-15,23.83,24.355,23.77,23.78,378341
2024-07-16,24.12,25.34,23.81,24.95,284174
2024-07-17,24.72,25.81,24.72,25.4,262385
2024-07-18,25.15,25.92,24.845,25,140583
2024-07-19,25.05,25.4,24.96,24.97,113350
2024-07-22,24.84,25.59,24.84,25.42,203773
2024-07-23,25.3,26.51,25.3,26.02,199043
2024-07-24,25.98,26.37,25.49,25.5,193355
2024-07-25,25.64,26.63,25.64,25.99,172117
2024-07-26,23.53,24.66,21.35,24.01,154882
2024-07-29,23.71,23.9,23.2,23.29,187991
2024-07-30,23.4,23.555,23.04,23.41,120044
2024-07-31,23.43,24.42,23.22,23.74,165009
2024-08-01,23.6,23.655,22.48,22.63,121347
2024-08-02,21.85,22.45,21.73,22.09,129355
2024-08-05,21.35,21.5,20.6,21.23,137902
2024-08-06,21.23,21.23,20.73,20.97,101899
2024-08-07,21.25,21.53,20.63,20.72,74490
2024-08-08,20.91,21.13,20.64,21.03,80111
2024-08-09,21.01,21.1,20.63,21.1,89063
2024-08-12,21.2,21.3,20.54,20.88,82363
2024-08-13,21.02,21.09,20.57,21.05,67142
2024-08-14,21.15,21.2,20.67,21.15,135082
2024-08-15,21.59,21.93,21.44,21.52,93198
2024-08-16,21.21,21.75,21.21,21.66,60684
2024-08-19,21.72,21.895,21.67,21.84,68908
2024-08-20,21.87,21.89,21.62,21.64,65780
2024-08-21,21.72,21.84,21.54,21.83,39769
2024-08-22,21.78,21.93,21.68,21.85,52664
2024-08-23,22.04,23.36,22.04,23.05,121623
2024-08-26,23.39,23.39,22.83,22.84,59893
2024-08-27,22.61,22.79,22.48,22.54,38272
2024-08-28,22.51,23,22.46,22.81,63353
2024-08-29,22.99,23,22.53,22.74,57775
2024-08-30,22.79,22.855,22.5365,22.77,58646
2024-09-03,22.61,22.895,22.47,22.64,71105
2024-09-04,22.6,22.8,22.25,22.33,45665
2024-09-05,22.48,22.62,22.19,22.34,53905
2024-09-06,22.37,22.46,21.92,22.06,44046
2024-09-09,22.1,22.44,22,22.04,84064
2024-09-10,22.15,22.24,21.83,22.19,61413
2024-09-11,21.98,22.02,21.48,22.02,59834
2024-09-12,22.11,22.11,21.8,22,59949
2024-09-13,22.29,22.57,22.2,22.51,48395
2024-09-16,22.61,22.725,22.34,22.58,40663
2024-09-17,22.83,23.29,22.54,22.59,75954
2024-09-18,22.68,23.4,22.34,22.71,78148
2024-09-19,23.18,23.48,22.82,23.1,154458
2024-09-20,22.96,23.23,22.5,22.55,261917
2024-09-23,22.57,22.81,22.33,22.35,75049
2024-09-24,22.43,22.64,22.13,22.15,64324
2024-09-25,22.2,22.2,21.88,21.89,57104
2024-09-26,22.13,22.71,22.05,22.22,313662
2024-09-27,22.4,22.53,22.05,22.1,82948
2024-09-30,22.06,22.59,22.06,22.38,54335
2024-10-01,22.29,22.29,21.63,21.68,70064
2024-10-02,21.7,21.83,21.33,21.42,58721
2024-10-03,21.36,21.42,21.07,21.42,55643
2024-10-04,21.73,21.99,21.64,21.7,54135
2024-10-07,21.63,21.9,21.5,21.85,45718
2024-10-08,21.9,22.18,21.66,21.71,74808
2024-10-09,21.72,22.09,21.7,21.84,50323
2024-10-10,21.8,22.085,21.65,21.98,55464
2024-10-11,22.08,22.86,22.08,22.78,74736
2024-10-14,22.8,23.1,22.55,22.88,36538
2024-10-15,23,23.545,22.78,23.12,88647
2024-10-16,23.23,23.81,23.23,23.54,115880
2024-10-17,23.64,24.13,23.49,24.12,85074
2024-10-18,24.12,24.12,23.76,23.77,50628
2024-10-21,23.85,23.85,22.89,22.94,63899
2024-10-22,22.91,23.12,22.91,23.08,41937
2024-10-23,22.95,23.33,22.83,23.2,38093
2024-10-24,23.17,23.32,22.665,22.97,88752
2024-10-25,25,25.3897,23.505,23.63,69303
2024-10-28,23.83,24.67,23.71,24.67,78626
2024-10-29,24.63,24.835,24.455,24.65,126904
2024-10-30,24.52,25.43,24.52,25.05,101605
2024-10-31,25.14,25.33,24.81,24.81,91787
2024-11-01,25.04,25.07,24.645,24.77,47439
2024-11-04,24.65,24.79,23.098,24.52,69862
2024-11-05,24.57,25.06,24.57,24.99,73869
2024-11-06,26.3,28.06,26.3,27.96,351804
2024-11-07,27.56,27.66,26.43,26.49,114533
2024-11-08,26.44,26.96,26.3,26.48,77219
2024-11-11,26.75,27.45,26.69,27.44,75163
2024-11-12,27.38,27.657,27.23,27.35,74225
2024-11-13,27.73,27.92,27.015,27.07,83612
2024-11-14,27.18,27.29,26.48,26.7,52348
2024-11-15,26.77,26.98,26.23,26.71,72749
2024-11-18,26.56,26.68,26.29,26.29,54118
2024-11-19,25.85,26.33,25.85,26.28,47940
2024-11-20,26.28,26.35,25.75,26.25,66536
2024-11-21,26.44,27.17,26.44,26.77,70676
2024-11-22,26.94,27.39,26.78,27.39,105681
2024-11-25,27.49,28.08,27.39,27.41,107782
2024-11-26,27.43,27.525,27.05,27.18,65737
2024-11-27,27.45,27.45,26.96,27.03,54276
2024-11-29,27.3,27.3,26.67,26.85,39006
2024-12-02,26.99,27.31,26.7165,27.07,73471
2024-12-03,27.11,27.24,26.55,26.58,47188
2024-12-04,26.66,27.03,26.51,26.96,61299
2024-12-05,27.08,27.36,26.94,26.95,47279
2024-12-06,27.19,27.19,26.58,26.94,38192
2024-12-09,26.98,27.15,26.58,26.63,114544
2024-12-10,26.7,27.21,26.38,26.85,59784
2024-12-11,27.18,27.19,26.785,26.8,115133
2024-12-12,26.79,26.97,26.39,26.41,44351
2024-12-13,26.41,26.54,26.155,26.45,53728
2024-12-16,26.36,26.58,26.36,26.57,40439
2024-12-17,26.42,26.53,25.925,25.98,45601
2024-12-18,26.18,26.18,24.44,24.57,92639
2024-12-19,24.96,25.405,24.34,24.4,76718
2024-12-20,24.12,24.85,24.12,24.6,220249
2024-12-23,24.52,24.685,24.26,24.41,47435
2024-12-24,24.51,24.62,24.33,24.6,27332
2024-12-26,24.42,24.835,24.14,24.8,51084
2024-12-27,24.65,24.8,24.095,24.41,61947
2024-12-30,24.31,24.7,24.05,24.58,65529
2024-12-31,24.78,24.85,24.38,24.4,48589
2025-01-02,24.67,24.84,23.83,23.83,46137
2025-01-03,23.96,24.75,23.495,23.88,46514
2025-01-06,23.84,23.99,23.47,23.48,57487
2025-01-07,23.67,23.67,23.1,23.35,100213
2025-01-08,23.18,23.58,23.1,23.58,68228
2025-01-10,23.15,23.15,22.29,22.67,69595
2025-01-13,22.51,23.055,22.35,22.99,82738
2025-01-14,23.19,24.08,23.19,24.02,91279
2025-01-15,24.73,25.76,24,24.32,75057
2025-01-16,24.31,24.34,23.86,24.24,76181
2025-01-17,24.49,24.65,24.15,24.61,68130
2025-01-21,24.71,25.08,24.62,24.9,52019
2025-01-22,24.79,24.79,24.2601,24.5,62829
2025-01-23,24.42,25.05,24.42,25,123975
2025-01-24,20.8,21.19,19.75,20,586448
2025-01-27,20.13,20.28,19.51,20.07,240582
2025-01-28,19.87,20.055,18.75,19.28,281296
2025-01-29,19.31,20.25,19.2,19.67,158350
2025-01-30,19.96,20.01,19.66,19.81,102770
2025-01-31,19.82,19.835,19.23,19.26,130138
2025-02-03,18.84,19.26,18.55,18.77,138609
2025-02-04,18.84,19.34,18.77,19.23,114280
2025-02-05,19.29,19.45,19.035,19.38,128829
2025-02-06,19.39,19.99,19.39,19.89,144189
2025-02-07,19.97,20,19.34,19.72,151859
2025-02-10,19.76,19.9799,19.54,19.6,85676
2025-02-11,19.41,20.03,19.41,20.02,210811
2025-02-12,19.8,19.99,19.51,19.74,121841
2025-02-13,19.84,19.84,19.475,19.66,130359
2025-02-14,19.41,19.69,19.135,19.33,94507
2025-02-18,19.39,19.57,19.1396,19.56,86311
2025-02-19,19.36,19.59,19.24,19.55,80617
2025-02-20,19.53,19.825,19.32,19.76,102754
2025-02-21,19.96,20.18,19.18,19.18,132480
2025-02-24,19.32,19.325,18.92,18.92,86956
2025-02-25,19.08,19.405,19.01,19.23,89550
2025-02-26,19.2,19.275,18.97,19.22,68250
2025-02-27,19.21,19.36,18.97,19.24,76880
2025-02-28,19.36,19.445,19.108,19.38,101419
