date,open,high,low,close,volume
2024-03-01,411.27,415.87,410.88,415.5,17805495.0
2024-03-04,413.44,417.35,412.32,414.92,17595956.0
2024-03-05,413.96,414.25,400.64,402.65,26886877.0
2024-03-06,402.97,405.16,398.39,402.09,22320549.0
2024-03-07,406.12,409.78,402.24,409.14,18695839.0
2024-03-08,407.96,410.42,404.33,406.22,18002186.0
2024-03-11,403.762,405.68,401.26,404.52,16120752.0
2024-03-12,407.62,415.57,406.79,415.28,22457003.0
2024-03-13,418.1,418.18,411.45,415.1,17115931.0
2024-03-14,420.24,427.82,417.99,425.22,34155379.0
2024-03-15,419.29,422.6,412.79,416.42,45079903.0
2024-03-18,414.25,420.73,413.78,417.32,20106230.0
2024-03-19,417.83,421.6656,415.55,421.41,19824715.0
2024-03-20,422,425.96,420.66,425.23,17856165.0
2024-03-21,429.83,430.82,427.16,429.37,21221222.0
2024-03-22,429.7,429.86,426.07,428.74,17648473.0
2024-03-25,425.24,427.41,421.61,422.86,18060450.0
2024-03-26,425.61,425.99,421.35,421.65,16725647.0
2024-03-27,424.44,424.45,419.01,421.43,16704978.0
2024-03-28,420.96,421.87,419.12,420.72,21871161.0
2024-04-01,423.95,427.89,422.22,424.57,16315961.0
2024-04-02,420.11,422.38,417.84,421.44,17911992.0
2024-04-03,419.73,423.26,419.085,420.45,16502264.0
2024-04-04,424.99,428.67,417.57,417.88,19370875.0
2024-04-05,420.01,426.51,418.32,425.52,16549091.0
2024-04-08,425.17,427.28,423.3,424.59,14272387.0
2024-04-09,426.44,427.74,421.62,426.28,12512289.0
2024-04-10,422.19,424.03,419.7,423.26,16216581.0
2024-04-11,425.82,429.37,422.36,427.93,17966423.0
2024-04-12,424.05,425.1794,419.77,421.9,18742900.0
2024-04-15,426.6,426.82,413.43,413.64,19074288.0
2024-04-16,414.57,418.4,413.7301,414.58,14696641.0
2024-04-17,417.25,418.88,410.33,411.84,15372503.0
2024-04-18,410.63,411.89,403.95,404.27,19265719.0
2024-04-19,404.03,405.48,397.77,399.12,28791324.0
2024-04-22,400.08,402.85,395.75,400.96,18941793.0
2024-04-23,404.235,408.2,403.06,407.57,14940953.0
2024-04-24,409.56,412.47,406.78,409.06,14461957.0
2024-04-25,394.03,399.8899,388.03,399.04,39761357.0
2024-04-26,412.17,413,405.7601,406.32,29220602.0
2024-04-29,405.25,406.32,399.19,402.25,18864413.0
2024-04-30,401.49,402.16,389.17,389.33,28424870.0
2024-05-01,392.61,401.7199,390.31,394.94,23162423.0
2024-05-02,397.66,399.93,394.6515,397.84,17110425.0
2024-05-03,402.28,407.15,401.86,406.66,17270056.0
2024-05-06,408.76,413.93,406.3701,413.54,16009874.0
2024-05-07,414.66,414.67,409.09,409.34,18696339.0
2024-05-08,408.17,412.23,406.7132,410.54,11040561.0
2024-05-09,410.57,412.72,409.1,412.32,13749799.0
2024-05-10,412.935,415.38,411.8,414.74,12398523.0
2024-05-13,418.01,418.348,410.82,413.72,14540245.0
2024-05-14,412.02,417.49,411.55,416.56,14213954.0
2024-05-15,417.9,423.81,417.27,423.08,19636030.0
2024-05-16,421.8,425.42,420.35,420.99,15854854.0
2024-05-17,422.54,422.92,418.025,420.21,14749276.0
2024-05-20,420.21,426.77,419.99,425.34,15094397.0
2024-05-21,426.825,432.97,424.85,429.04,20482820.0
2024-05-22,430.09,432.41,427.13,430.52,17595214.0
2024-05-23,432.97,433.6,425.424,427,16412929.0
2024-05-24,427.19,431.055,424.41,430.16,11315176.0
2024-05-28,429.63,430.82,426.6,430.32,15331042.0
2024-05-29,425.69,430.94,425.69,429.17,14835728.0
2024-05-30,424.3,424.3,414.24,414.67,27431407.0
2024-05-31,416.75,416.75,404.51,415.13,43999851.0
2024-06-03,415.525,416.43,408.9234,413.52,16916987.0
2024-06-04,412.43,416.44,409.675,416.07,13882247.0
2024-06-05,417.81,424.08,416.3,424.01,16495741.0
2024-06-06,424.01,425.31,420.58,424.52,13860934.0
2024-06-07,426.2,426.28,423,423.85,13202716.0
2024-06-10,424.7,428.08,423.89,427.87,12960379.0
2024-06-11,425.475,432.82,425.25,432.68,13664488.0
2024-06-12,435.32,443.4,433.25,441.06,21670711.0
2024-06-13,440.85,443.39,439.37,441.58,15192736.0
2024-06-14,438.275,443.1376,436.721,442.57,12693028.0
2024-06-17,442.585,450.94,440.72,448.37,19761406.0
2024-06-18,449.705,450.14,444.89,446.34,16337112.0
2024-06-20,446.3,446.53,441.27,445.7,19178681.0
2024-06-21,447.38,450.58,446.51,449.78,27327346.0
2024-06-24,449.8,452.75,446.41,447.67,14738189.0
2024-06-25,448.25,451.42,446.75,450.95,15664423.0
2024-06-26,449,453.6,448.19,452.16,14468473.0
2024-06-27,452.175,456.17,451.77,452.85,14190382.0
2024-06-28,453.07,455.38,446.41,446.95,27413114.0
2024-07-01,448.66,457.37,445.66,456.73,17184979.0
2024-07-02,453.2,459.59,453.113,459.28,13603136.0
2024-07-03,458.19,461.02,457.88,460.77,9661681.0
2024-07-05,459.61,468.35,458.965,467.56,15453383.0
2024-07-08,466.55,467.7,464.46,466.24,12353937.0
2024-07-09,467,467.33,458,459.54,16938599.0
2024-07-10,461.22,466.46,458.855,466.25,17825850.0
2024-07-11,462.98,464.78,451.55,454.7,22241072.0
2024-07-12,454.325,456.36,450.645,453.55,15564744.0
2024-07-15,453.3,457.26,451.43,453.96,13889645.0
2024-07-16,454.22,454.3,446.66,449.52,16523164.0
2024-07-17,442.59,444.85,439.18,443.52,21165196.0
2024-07-18,444.34,444.65,434.4,440.37,19878915.0
2024-07-19,433.1,441.14,432,437.11,20232021.0
2024-07-22,441.79,444.6,438.9125,442.94,14941044.0
2024-07-23,443.895,448.39,443.1,444.85,12333947.0
2024-07-24,440.45,441.48,427.585,428.9,25896704.0
2024-07-25,428.8,429.8,417.51,418.4,28188176.0
2024-07-26,418.2,428.915,417.27,425.27,20707446.0
2024-07-29,431.58,432.15,424.7042,426.73,14735954.0
2024-07-30,427.72,429.05,417.36,422.92,32104706.0
2024-07-31,420.495,421.775,412.21,418.35,42096598.0
2024-08-01,420.785,427.46,413.0901,417.11,29681006.0
2024-08-02,412.49,415,404.34,408.49,28373612.0
2024-08-05,389.17,401.04,385.58,395.15,38805980.0
2024-08-06,400,405.67,398.5,399.61,23608739.0
2024-08-07,408.635,410.08,397.47,398.43,19206613.0
2024-08-08,402.44,405.86,399.9407,402.69,18618547.0
2024-08-09,404.03,408.05,402.2624,406.02,17981644.0
2024-08-12,407.06,408.76,404.2434,406.81,15279064.0
2024-08-13,409.59,414.95,409.57,414.01,18315025.0
2024-08-14,414.8,417.72,412.4456,416.86,17248560.0
2024-08-15,419.8,421.11,417.66,421.03,18974288.0
2024-08-16,420.6,421.34,417.3,418.47,21201583.0
2024-08-19,418.96,421.75,416.46,421.53,14419960.0
2024-08-20,421.7,425.86,421.64,424.8,15778630.0
2024-08-21,424.075,426.4,421.72,424.14,14809439.0
2024-08-22,424.36,426.7899,414.61,415.55,18284617.0
2024-08-23,416.98,419.26,412.09,416.79,17487194.0
2024-08-26,416.365,417.2799,411.34,413.49,11206793.0
2024-08-27,412.86,414.36,410.25,413.84,13190099.0
2024-08-28,414.88,415,407.31,410.6,14471795.0
2024-08-29,414.94,422.05,410.6,413.12,15705295.0
2024-08-30,415.6,417.49,412.13,417.14,22593479.0
2024-09-03,417.91,419.88,407.03,409.44,19462006.0
2024-09-04,405.91,411.24,404.37,408.9,14794676.0
2024-09-05,407.62,413.1,406.13,408.39,13141207.0
2024-09-06,409.06,410.65,400.8,401.7,18600087.0
2024-09-09,407.24,408.65,402.15,405.72,14630189.0
2024-09-10,408.2,416.33,407.7,414.2,19293013.0
2024-09-11,415.5,423.99,409.58,423.04,18046701.0
2024-09-12,423.31,427.3692,419.75,427,16264929.0
2024-09-13,425.825,431.83,425.46,430.59,15705350.0
2024-09-16,430.6,433.53,428.22,431.34,13174599.0
2024-09-17,440.23,441.85,432.27,435.15,18577155.0
2024-09-18,435,436.03,430.41,430.81,18441947.0
2024-09-19,441.225,441.5,436.9,438.69,20490163.0
2024-09-20,437.22,439.24,434.22,435.27,49826691.0
2024-09-23,434.28,436.46,430.3889,433.51,14511491.0
2024-09-24,433,433.35,426.1,429.17,16095917.0
2024-09-25,429.83,433.119,428.57,432.11,12524639.0
2024-09-26,435.085,435.3,429.13,431.31,13740245.0
2024-09-27,431.52,431.85,427.47,428.02,14136408.0
2024-09-30,428.21,430.42,425.37,430.3,15793208.0
2024-10-01,428.45,428.48,418.81,420.69,18195547.0
2024-10-02,422.58,422.82,416.71,417.13,16014496.0
2024-10-03,417.63,419.55,414.29,416.54,13031361.0
2024-10-04,418.24,419.75,414.97,416.06,17319719.0
2024-10-07,416,417.11,409,409.54,19304152.0
2024-10-08,410.9,415.66,408.17,414.71,18121969.0
2024-10-09,415.86,420.38,414.3,417.46,14448774.0
2024-10-10,415.225,417.35,413.15,415.84,13319522.0
2024-10-11,416.135,417.13,413.25,416.32,13455365.0
2024-10-14,417.77,424.04,417.52,419.14,16020864.0
2024-10-15,422.18,422.48,415.26,418.74,17712232.0
2024-10-16,415.17,416.36,410.48,416.12,14879191.0
2024-10-17,422.36,422.5,415.59,416.72,13334766.0
2024-10-18,417.14,419.65,416.2601,418.16,16494649.0
2024-10-21,416.12,418.96,413.7501,418.78,12621668.0
2024-10-22,418.49,430.5793,418.04,427.51,24276062.0
2024-10-23,430.855,431.08,422.53,424.6,17894627.0
2024-10-24,425.325,425.9782,422.4,424.73,12832122.0
2024-10-25,426.76,432.52,426.565,428.15,15749168.0
2024-10-28,431.655,431.94,426.3,426.59,13235584.0
2024-10-29,428,433.17,425.8001,431.95,16555708.0
2024-10-30,437.435,438.5,432.1,432.53,28858471.0
2024-10-31,415.36,416.16,406.3,406.35,52514317.0
2024-11-01,409.01,415.5,407.5,410.37,21839908.0
2024-11-04,409.8,410.415,405.5713,408.46,18822868.0
2024-11-05,408.37,414.9,408.08,411.46,17020289.0
2024-11-06,412.42,420.45,410.52,420.18,25299404.0
2024-11-07,421.28,426.85,419.88,425.43,18279603.0
2024-11-08,425.32,426.5,421.78,422.54,15896229.0
2024-11-11,422.515,424.81,416,418.01,19364976.0
2024-11-12,418.25,424.44,417.2,423.03,18217447.0
2024-11-13,421.64,429.325,418.21,425.2,20456709.0
2024-11-14,425,428.17,420,426.89,27218675.0
2024-11-15,419.82,422.8,413.64,415,27330826.0
2024-11-18,414.87,418.4037,412.1,415.76,22575673.0
2024-11-19,413.11,417.94,411.55,417.79,16903922.0
2024-11-20,416.87,417.29,410.58,415.49,17202555.0
2024-11-21,419.5,419.78,410.2887,412.87,18154614.0
2024-11-22,411.365,417.4,411.06,417,22803358.0
2024-11-25,418.38,421.08,414.85,418.79,24447471.0
2024-11-26,419.585,429.0414,418.85,427.99,22825574.0
2024-11-27,425.105,427.2299,422.02,422.99,17407455.0
2024-11-29,420.09,424.8849,417.8,423.46,15132529.0
2024-12-02,421.57,433,421.31,430.98,18092788.0
2024-12-03,429.84,432.47,427.74,431.2,17100500.0
2024-12-04,433.03,439.67,432.63,437.42,23888329.0
2024-12-05,437.92,444.66,436.171,442.62,20802839.0
2024-12-06,442.3,446.1,441.7703,443.57,17936304.0
2024-12-09,442.6,448.33,440.5,446.02,17082222.0
2024-12-10,444.39,449.62,441.6,443.33,17619491.0
2024-12-11,444.05,450.35,444.05,448.99,15424102.0
2024-12-12,449.11,456.1648,449.11,449.56,19709789.0
2024-12-13,448.435,451.43,445.58,447.27,19711728.0
2024-12-16,447.27,452.18,445.28,451.59,21473178.0
2024-12-17,451.01,455.29,449.57,454.46,19693532.0
2024-12-18,451.32,452.65,437.02,437.39,23461009.0
2024-12-19,441.62,443.1834,436.32,437.03,19663242.0
2024-12-20,433.11,443.74,428.63,436.6,55820435.0
2024-12-23,436.74,437.65,432.83,435.25,16519390.0
2024-12-24,434.65,439.6,434.19,439.33,7015283.0
2024-12-26,439.08,440.94,436.63,438.11,7968756.0
2024-12-27,434.6,435.22,426.35,430.53,17626515.0
2024-12-30,426.06,427.55,421.9,424.83,12601099.0
2024-12-31,426.1,426.73,420.66,421.5,12788944.0
2025-01-02,425.53,426.07,414.85,418.58,15068088.0
2025-01-03,421.08,424.03,419.54,423.35,15083807.0
2025-01-06,428,434.32,425.4774,427.85,18692564.0
2025-01-07,429,430.65,420.8,422.37,17384904.0
2025-01-08,423.46,426.97,421.54,424.56,14067768.0
2025-01-10,424.63,424.71,415.02,418.95,19120620.0
2025-01-13,415.235,418.5,412.29,417.19,16810461.0
2025-01-14,417.81,419.74,410.72,415.67,15785352.0
2025-01-15,419.13,428.15,418.265,426.31,17854689.0
2025-01-16,428.695,429.49,424.39,424.58,14443042.0
2025-01-17,434.085,434.48,428.17,429.03,24575332.0
2025-01-21,430.2,430.8999,425.595,428.5,23647173.0
2025-01-22,437.56,447.27,436,446.2,26266324.0
2025-01-23,442,446.75,441.5048,446.71,16975809.0
2025-01-24,445.16,446.65,441.4,444.06,14586274.0
2025-01-27,424.01,435.2,423.5,434.56,32833252.0
2025-01-28,434.6,448.38,431.38,447.2,22446799.0
2025-01-29,446.69,446.88,440.4,442.33,22973096.0
2025-01-30,418.77,422.86,413.16,414.99,53915598.0
2025-01-31,418.98,420.69,414.91,415.06,31979227.0
2025-02-03,411.6,415.41,408.66,410.92,24614140.0
2025-02-04,412.685,413.9199,409.74,412.37,19381288.0
2025-02-05,412.35,413.827,410.4,413.29,15340591.0
2025-02-06,414,418.2,414,415.82,15771619.0
2025-02-07,416.48,418.65,408.1,409.75,21605948.0
2025-02-10,413.71,415.4624,410.92,412.22,15191858.0
2025-02-11,409.64,412.49,409.3,411.44,15230883.0
2025-02-12,407.21,410.75,404.3673,409.04,17273445.0
2025-02-13,407,411,406.36,410.54,20518360.0
2025-02-14,407.79,408.91,405.88,408.43,20898768.0
2025-02-18,408,410.597,406.5,409.64,18790455.0
2025-02-19,407.88,415.49,407.65,414.77,22592083.0
