date,open,high,low,close,volume
2024-03-01,13.6,30.64,11.6024,20.48,9316065.75
2024-03-04,19.12,19.44,15.36,18.88,221883.375
2024-03-05,16.88,20.72,16.6576,19.2,115689.875
2024-03-06,17.36,18.8,16.8,18.48,64356.625
2024-03-07,17.12,17.12,14.4,15.6,40603.875
2024-03-08,18,18,15.28,15.68,42814.125
2024-03-11,15.52,16.4792,14.8,15.76,33573.25
2024-03-12,15.84,16.1264,14.72,15.44,44564
2024-03-13,15.68,15.76,14.08,14.08,11533.25
2024-03-14,13.92,13.96,12.64,12.72,50267.5
2024-03-15,12.48,17.6,12.4,17.6,52597.625
2024-03-18,15.92,16.4792,15.04,15.52,12871.75
2024-03-19,15.6,15.8312,14.88,15.12,6434.25
2024-03-20,15.36,15.4888,14.72,15.28,4198.75
2024-03-21,14.88,19.76,14.88,18.4,79868.375
2024-03-22,17.76,18.4,16.08,18,22017.375
2024-03-25,18.8,18.8,15.2,15.44,25454.75
2024-03-26,15.2,16.0392,14.9616,15.12,7792
2024-03-27,15.36,15.6,14.8,14.88,6159.875
2024-03-28,15.2,15.2,14.4,14.72,6133.375
2024-04-01,15.52,15.52,14.24,14.96,6558.375
2024-04-02,14.64,14.96,14.24,14.24,1990
2024-04-03,14.4,14.4,13.44,13.6,4861.25
2024-04-04,13.44,13.92,13.44,13.6,4252.875
2024-04-05,13.6,14.8,13.52,14.56,9614
2024-04-08,14.56,15.04,13.92,14.64,4064.375
2024-04-09,14.88,15.0392,14.24,14.4,5514.75
2024-04-10,14.4,14.4,13.68,14.16,2177.625
2024-04-11,14.08,16,13.76,14.32,4009.625
2024-04-12,14.24,14.56,13.68,14.16,4469.25
2024-04-15,13.92,14.28,12.56,12.56,5514.375
2024-04-16,12.48,13.2,12.432,12.88,2976.375
2024-04-17,12.72,14,12.48,12.56,5484.5
2024-04-18,13.04,13.76,12.64,13.6,3892
2024-04-19,13.36,13.6,11.6776,12.96,9867.375
2024-04-22,13.52,13.52,12.48,12.48,1702
2024-04-23,13.68,20,12.8,17.92,759216.25
2024-04-24,20.56,29.6,18.56,28.8,1179378.25
2024-04-25,26.88,31.92,22,25.2,256644.25
2024-04-26,23.92,24.56,21.2,23.04,32587.375
2024-04-29,22.88,30,22.64,28.8,97864
2024-04-30,28.56,28.96,23.52,24.96,33989.5
2024-05-01,25.36,25.8752,22.6,24.24,16271.5
2024-05-02,23.76,24.9392,18.64,19.84,39839.625
2024-05-03,20.4,20.88,18.08,19.04,31742.25
2024-05-06,18.56,19.6,17.12,18.4,29102.25
2024-05-07,24,37.12,22.8,26.64,4220758.375
