date,open,high,low,close,volume
2024-03-01,0.09,0.1,0.09,0.1,10458
2024-03-05,0.076,0.0928,0.0503,0.0503,4634
2024-03-06,0.062,0.075,0.062,0.0627,16516
2024-03-07,0.0622,0.063,0.05049,0.0505,5685
2024-03-08,0.0711,0.0744,0.05,0.05,823
2024-03-12,0.0683,0.0683,0.0679,0.0679,226
2024-03-14,0.055,0.055,0.055,0.055,225
2024-03-15,0.056,0.056,0.056,0.056,815
2024-03-22,0.07009,0.0712,0.07,0.07,1888
2024-03-25,0.074799,0.0749,0.074799,0.0749,3729
2024-03-27,0.13,0.1311,0.1299,0.13,10164
2024-03-28,0.149899,0.1615,0.1455,0.1615,28192
2024-04-01,0.157375,0.157375,0.15,0.15,11000
2024-04-03,0.09,0.15,0.08,0.15,2249
2024-04-04,0.1,0.14,0.1,0.1397,3779
2024-04-05,0.149899,0.15,0.148501,0.148501,34245
2024-04-08,0.15,0.15,0.146,0.1499,25544
2024-04-09,0.15,0.15,0.1,0.1,25602
2024-04-11,0.1,0.1,0.09,0.0999,10653
2024-04-17,0.09,0.09,0.09,0.09,2458
2024-04-29,0.085775,0.085775,0.077,0.077,12000
2024-05-02,0.0775,0.0775,0.0775,0.0775,300
2024-05-06,0.09,0.09,0.0775,0.0775,15369
2024-05-10,0.11,0.11,0.11,0.11,100
2024-05-13,0.11,0.11,0.11,0.11,860
2024-05-21,0.1,0.1,0.1,0.1,8400
2024-05-22,0.0558,0.0558,0.0558,0.0558,320
2024-05-23,0.0999,0.0999,0.0998,0.0999,1807
2024-05-24,0.061,0.061,0.061,0.061,319
2024-05-28,0.0615,0.0616,0.0615,0.0616,1269
2024-05-31,0.077,0.077,0.077,0.077,750
2024-06-11,0.1,0.1098,0.1,0.1,43711
2024-06-12,0.111,0.111,0.111,0.111,500
2024-06-14,0.1,0.11,0.1,0.11,12068
2024-06-18,0.1,0.1,0.0999,0.0999,4000
2024-06-21,0.08,0.08,0.0399,0.08,44980
2024-06-25,0.08,0.09,0.0495,0.0855,46113
2024-06-27,0.0854,0.0854,0.075,0.075,20967
2024-06-28,0.085,0.095,0.075,0.075,11344
2024-07-01,0.098,0.1,0.0801,0.099,25077
2024-07-02,0.077,0.082611,0.077,0.082611,1488
2024-07-05,0.099,0.11,0.085,0.105,142755
2024-07-08,0.085,0.085,0.085,0.085,299
2024-07-10,0.11,0.11,0.0693,0.0693,9329
2024-07-15,0.0811,0.1053,0.081,0.1053,8512
2024-07-18,0.1051,0.15,0.08,0.15,52077
2024-07-23,0.11,0.11,0.0874,0.09,10813
2024-07-30,0.0906,0.0906,0.0906,0.0906,200
2024-07-31,0.11,0.11,0.085,0.09,10279
2024-08-01,0.085,0.0851,0.085,0.0851,2010
2024-08-05,0.080101,0.095,0.071599,0.0782,8799
2024-08-06,0.08,0.08,0.065,0.065,5435
2024-08-07,0.08,0.080101,0.065,0.080101,11435
2024-08-12,0.088,0.11,0.0809,0.081,129874
2024-08-13,0.0999,0.11,0.0999,0.11,5036
2024-08-15,0.093,0.1,0.0721,0.0721,6136
2024-08-16,0.0901,0.0901,0.0901,0.0901,1000
2024-08-19,0.088049,0.1,0.085,0.0945,6230
2024-08-20,0.0945,0.1,0.076,0.1,5783
2024-08-21,0.1,0.1,0.0709,0.08,11055
2024-08-22,0.099509,0.1,0.099509,0.1,6135
2024-08-23,0.099899,0.11,0.099899,0.100001,5879
2024-08-26,0.11,0.11,0.0709,0.1099,10106
