date,open,high,low,close,volume
2024-03-01,0.8479,0.8591,0.8001,0.802,2135438.0
2024-03-04,0.8098,0.81,0.7459,0.78,2294559.0
2024-03-05,0.7858,0.79,0.75,0.75,1823213.0
2024-03-06,0.763,0.7701,0.7352,0.7542,1264485.0
2024-03-07,0.7527,0.7688,0.7001,0.7024,4004207.0
2024-03-08,0.72,0.7265,0.7035,0.705,3852814.0
2024-03-11,0.715,0.7297,0.6962,0.6988,2932964.0
2024-03-12,0.7313,0.7313,0.6289,0.6526,5498889.0
2024-03-13,0.66,0.6986,0.631,0.6483,4302939.0
2024-03-14,0.6476,0.67,0.563,0.6006,5457048.0
2024-03-15,0.6001,0.6186,0.551,0.551,4847761.0
2024-03-18,0.5841,0.5969,0.5401,0.5422,6798670.0
2024-03-19,0.551,0.6749,0.5251,0.6319,11520259.0
2024-03-20,0.68,0.7448,0.623,0.7303,11567323.0
2024-03-21,0.738,0.7899,0.7111,0.7513,6291581.0
2024-03-22,0.7515,0.7554,0.6735,0.7352,5383491.0
2024-03-25,0.7221,0.7951,0.71,0.7666,3644069.0
2024-03-26,0.7947,0.88,0.7666,0.8395,9731165.0
2024-03-27,0.8549,0.875,0.8128,0.8413,2848097.0
2024-03-28,0.836,0.9481,0.8121,0.837,11811057.0
2024-04-01,0.8687,0.915,0.8008,0.895,10179336.0
2024-04-02,0.6429,0.65,0.53,0.59,14103897.0
2024-04-03,0.6101,0.6826,0.6,0.6066,13233194.0
2024-04-04,0.6233,0.6375,0.5485,0.5527,6821579.0
2024-04-05,0.5527,0.5557,0.48,0.4924,11378738.0
2024-04-08,0.51,0.5421,0.48,0.5062,7937404.0
2024-04-09,0.507,0.526,0.481,0.506,6489303.0
2024-04-10,0.4869,0.523,0.4522,0.5184,4515113.0
2024-04-11,0.51,0.535,0.486,0.5137,4814984.0
2024-04-12,0.5181,0.5382,0.4999,0.515,2308146.0
2024-04-15,0.49,0.505,0.4801,0.4856,2319808.0
2024-04-16,0.48,0.545,0.4753,0.53,4440701.0
2024-04-17,0.52,0.6,0.512,0.5209,4647000.0
2024-04-18,0.54,0.5499,0.491,0.4927,2096687.0
2024-04-19,0.4934,0.5248,0.481,0.4998,1752524.0
2024-04-22,0.5134,0.5285,0.5,0.5025,1748300.0
2024-04-23,0.5001,0.5207,0.4551,0.4558,4094699.0
2024-04-24,0.456,0.4636,0.438,0.4498,4582070.0
2024-04-25,0.4555,0.4555,0.3186,0.3882,10082604.0
2024-04-26,0.4001,0.427,0.3901,0.4111,3479443.0
2024-04-29,0.42,0.4361,0.411,0.4164,1422163.0
2024-04-30,0.425,0.425,0.3813,0.3919,1920593.0
2024-05-01,0.395,0.4193,0.376,0.4041,2178673.0
2024-05-02,0.4092,0.415,0.385,0.4014,2378991.0
2024-05-03,0.4014,0.4274,0.38,0.3846,2049716.0
2024-05-06,0.39,0.439,0.384,0.4319,3333984.0
2024-05-07,0.43,0.4485,0.42,0.423,1846944.0
2024-05-08,0.4102,0.42,0.39,0.392,3028280.0
2024-05-09,0.4138,0.4366,0.385,0.4366,3866619.0
2024-05-10,0.49,0.4904,0.4037,0.4262,5530361.0
2024-05-13,0.4262,0.4399,0.4092,0.4246,1761474.0
2024-05-14,0.4166,0.463,0.41,0.438,4551578.0
2024-05-15,0.46,0.46,0.405,0.4165,2960394.0
2024-05-16,0.42,0.4241,0.404,0.4189,1840880.0
2024-05-17,0.42,0.4382,0.4014,0.4112,4616535.0
2024-05-20,0.4159,0.419,0.4,0.4091,2468781.0
2024-05-21,0.411,0.42,0.395,0.3974,2515333.0
2024-05-22,0.395,0.4082,0.3805,0.3945,2034773.0
2024-05-23,0.389,0.3982,0.3742,0.3787,2235673.0
2024-05-24,0.3778,0.3812,0.3467,0.35,2965577.0
2024-05-28,0.3549,0.3575,0.3115,0.3298,5540869.0
2024-05-29,0.3257,0.3281,0.3,0.3203,2832152.0
2024-05-30,0.3215,0.3445,0.3105,0.3424,2529427.0
2024-05-31,0.3539,0.3739,0.343,0.3739,2561349.0
2024-06-03,0.363,0.37,0.335,0.3507,2038843.0
2024-06-04,0.3706,0.43,0.3672,0.3901,8723719.0
2024-06-05,0.3815,0.4066,0.3801,0.3934,2303896.0
2024-06-06,0.3925,0.4087,0.3548,0.367,2132045.0
2024-06-07,0.3745,0.382,0.3515,0.3671,1332479.0
2024-06-10,0.3609,0.42325,0.3562,0.3989,3264318.0
2024-06-11,0.3827,0.44,0.3827,0.44,2636508.0
2024-06-12,0.4381,0.4756,0.4335,0.47,2903033.0
2024-06-13,0.4674,0.4674,0.4262,0.4358,1729293.0
2024-06-14,0.435,0.4358,0.415,0.4287,786388
2024-06-17,0.425,0.4661,0.4211,0.4615,2139767.0
2024-06-18,0.4793,0.4949,0.4504,0.4783,2112901.0
2024-06-20,0.473,0.473,0.4433,0.4692,2409907.0
2024-06-21,0.49,0.4905,0.43,0.4349,4716061.0
