date,open,high,low,close,volume
2024-03-01,12.1,12.94,12,12.15,62191
2024-03-04,12.17,12.17,11.38,11.5,709
2024-03-05,10.86,11.95,10.35,10.56,7870
2024-03-06,10.8,10.99,10.53,10.55,17406
2024-03-07,10.5,10.5,9.7,9.7,3527
2024-03-08,9.61,9.64,9.61,9.61,355
2024-03-12,10.49,12.45,10.49,12.29,44691
2024-03-13,12.159,12.159,10.561,10.75,31517
2024-03-14,9.98,10.62,9.98,10.57,12979
2024-03-15,10.65,11.782,10.51,10.51,3025
2024-03-18,10.52,10.8,10.5,10.54,7076
2024-03-19,10.51,10.72,10.5,10.5,16953
2024-03-20,10.5,10.86,10.5,10.86,8290
2024-03-21,11,11,10.33,10.52,29363
2024-03-22,10.95,10.95,10.41,10.7,41696
2024-03-25,10.87,10.93,10.58,10.63,32677
2024-03-27,10.94,11.522,10.94,11.522,24428
2024-03-28,11.7,12.04,11.04,11.04,67798
2024-04-01,10.67,10.86,10.67,10.86,510
2024-04-02,10.0666,10.25,10.05,10.25,6964
2024-04-03,10.3,10.3,10.3,10.3,2431
2024-04-04,10.39,10.67,10.3,10.67,744
2024-04-05,10.3,10.59,10.3,10.56,5002
2024-04-08,9.9,9.99,9.05,9.145,3510
2024-04-12,10.46,10.46,10.46,10.46,261
2024-04-15,9.3,11.9205,9.3,10.5,554
2024-04-16,9.25,9.61,9.25,9.61,1943
2024-04-19,9,9.4,9,9.4,640
2024-04-22,9.47,9.48,9.47,9.48,630
2024-04-23,11.5,11.5,10,10.5,10078
2024-04-24,10.5,10.53,9.99,10.53,7559
2024-04-25,9.58,9.67,9.25,9.63,1402
2024-04-26,9.7301,9.7301,9.7301,9.7301,267
2024-05-03,11,11,10.96,10.96,542
2024-05-06,10.94,11.5,10,10,15578
2024-05-09,10.325,10.325,10.325,10.325,252
2024-05-13,9.81,9.81,9.51,9.51,2179
2024-05-15,9,9,9,9,1139
2024-05-16,9.3,9.55,9.3,9.5,2123
2024-05-17,9.3,10,9.3,9.39,1982
2024-05-20,9.3,9.3,9.3,9.3,160
2024-05-21,9.1,9.15,9.1,9.15,458
2024-05-22,8.6,9.2,8.6,9.2,2137
2024-05-23,9.5,9.5,9,9,202
2024-05-24,9,9,7.9,8.6865,1250
2024-05-28,8,8.5,8,8.47,2285
2024-05-29,9.56,9.56,9.56,9.56,174
2024-05-31,8.2,8.2,7.55,7.8999,2682
2024-06-03,8.12,8.12,7.99,8,1118
2024-06-04,7.99,7.99,7.99,7.99,220
2024-06-05,7.995,8.15,7.99,8.01,2491
2024-06-06,8.19,9.47,8.19,8.83,5553
2024-06-07,8.83,8.85,8.4,8.4,9902
2024-06-10,9.4,9.4,9.4,9.4,5140
2024-06-11,8.28,9.3,8.24,9,1801
2024-06-12,9.5,9.83,9.406,9.4695,2334
2024-06-13,9.91,9.91,9,9.13,11188
2024-06-14,9.41,9.41,8.8,9,1213
2024-06-17,8.7,8.7002,7.56,8.13,8992
2024-06-18,8.51,8.51,7.39,7.46,13868
2024-06-20,7.5,7.56,7.36,7.4,8922
2024-06-24,8.38,11.1,8.29,9.35,25345
2024-06-25,9.55,10.41,9.2,9.42,15716
2024-06-26,9.88,9.88,9.4,9.5,4849
2024-06-27,9.55,9.55,9,9,917
2024-06-28,8.72,8.74,8.72,8.72,1052
2024-07-01,9.46,9.46,9.01,9.01,510
2024-07-02,9.5,11.18,9.21,10.4,8765
2024-07-03,10.42,10.42,10.4,10.42,1000
2024-07-05,9.61,10.4,9.41,9.95,3789
2024-07-08,9.64,9.64,9.6,9.61,612
2024-07-09,9.51,10.03,9.4,9.82,1303
2024-07-10,9.81,10.14,9.81,10,4552
2024-07-11,10.1,10.1,10.1,10.1,109
2024-07-15,9.45,9.45,9.45,9.45,100
2024-07-17,9,9,8.79,8.8,1148
2024-07-18,8.35,8.36,8.35,8.36,569
2024-07-19,8.3,9.77,8.3,9.1,8986
2024-07-24,9,9,8.9,8.9,738
2024-07-25,8.85,8.92,8.63,8.92,2147
2024-07-26,8.71,8.92,8.6,8.7,4541
2024-07-29,7.31,9,6,6.4,41646
2024-07-30,6.9,6.9,6.59,6.59,439
2024-07-31,5.53,6.86,5.53,6.74,2598
2024-08-01,7.4928,7.4928,6.84,6.84,1493
2024-08-08,5.78,6,5.52,6,3034
2024-08-12,6.9,8.5,6.9,7.4925,19432
2024-08-13,7.41,7.41,6.55,6.55,7147
2024-08-14,7.6,8.5,7.46,7.51,13456
2024-08-15,9.89,9.89,7.5,7.64,2612
2024-08-21,7.55,7.95,6.4,6.7,9806
2024-08-22,6.81,7,6.81,7,2921
2024-08-23,6.5,7.19,6.5,6.9,5532
2024-08-26,7.45,7.45,6.11,6.11,200
2024-08-27,6.72,8.22,6.315,8.22,7464
2024-08-29,7.25,7.99,5.63,6.71,5230
2024-08-30,7,7,6.81,6.84,685
2024-09-03,7,7,7,7,101
2024-09-04,6.1,6.97,6.1,6.97,211
2024-09-09,6.2,8.59,6.2,7.4,1637
2024-09-10,7.99,8.3,7.31,7.4,7058
2024-09-11,7.07,7.1,6.49,6.74,3350
2024-09-12,6.71,6.71,6.71,6.71,203
2024-09-18,6.89,6.95,6.89,6.95,1972
2024-09-19,6.94,7.25,6.33,6.9653,8202
2024-09-23,6.95,6.95,6.43,6.8,1582
2024-09-24,6.25,6.92,6.24,6.92,762
2024-09-25,6.35,6.42,6.35,6.42,202
2024-09-27,6.43,6.45,6.43,6.45,418
2024-09-30,7.23,7.23,7,7,1986
2024-10-01,7.01,7.25,7,7.25,3197
2024-10-02,7.25,7.55,7.02,7.55,3225
2024-10-03,7.58,9.2,7.58,8,6222
2024-10-04,8,8.2,7.6,8.2,7758
2024-10-07,8.2,8.62,7.95,8,20762
2024-10-08,7.99,8,7.99,8,512
2024-10-09,8,8,7.7,7.98,1840
2024-10-10,8.62,8.63,8,8.25,1322
