date,open,high,low,close,volume
2024-03-01,4.63,4.865,4.525,4.85,3929563.0
2024-03-04,4.87,4.95,4.64,4.79,1146283.0
2024-03-05,4.73,4.855,4.7,4.77,862830
2024-03-06,4.99,5.42,4.97,5.27,2383859.0
2024-03-07,5.27,5.49,5.155,5.21,1337311.0
2024-03-08,5.28,5.31,5.05,5.14,1181909.0
2024-03-11,5.09,5.15,5.05,5.12,905458
2024-03-12,5.05,5.18,4.9518,5.1,1246301.0
2024-03-13,5.11,5.32,5.1,5.18,1363100.0
2024-03-14,5.19,5.46,5.125,5.31,1672217.0
2024-03-15,5.33,5.55,5.33,5.42,2544522.0
2024-03-18,5.48,5.52,5.35,5.43,1064513.0
2024-03-19,5.42,5.56,5.42,5.5,978722
2024-03-20,5.48,5.695,5.41,5.64,1275702.0
2024-03-21,5.7,5.74,5.51,5.52,636784
2024-03-22,5.51,5.58,5.4349,5.53,702953
2024-03-25,5.5,5.65,5.42,5.46,672672
2024-03-26,5.5,5.555,5.42,5.5,738141
2024-03-27,5.5,5.55,5.305,5.39,703984
2024-03-28,5.4,5.79,5.4,5.68,1190777.0
2024-04-01,5.74,5.7472,5.485,5.53,1504406.0
2024-04-02,5.49,5.575,5.295,5.37,1149538.0
2024-04-03,5.34,5.57,5.34,5.55,857215
2024-04-04,5.6,5.73,5.405,5.51,809142
2024-04-05,5.51,5.59,5.415,5.53,542476
2024-04-08,5.57,5.6373,5.48,5.6,494298
2024-04-09,5.63,5.9975,5.625,5.98,938020
2024-04-10,5.82,6.05,5.7501,6.03,900411
2024-04-11,6.06,6.25,6.02,6.23,1811267.0
2024-04-12,6.55,6.7,6.12,6.22,1542728.0
2024-04-15,6.1,6.36,6.1,6.22,957447
2024-04-16,6.13,6.1621,5.965,6.05,701434
2024-04-17,6.05,6.175,5.97,5.99,660312
2024-04-18,5.95,6.08,5.88,5.94,895399
2024-04-19,5.948,6.21,5.88,6.11,1586943.0
2024-04-22,6.06,6.26,6.01,6.2,778011
2024-04-23,6.2,6.35,6.08,6.33,957064
2024-04-24,6.28,6.31,6.16,6.29,742738
2024-04-25,6.27,6.37,6.17,6.26,749242
2024-04-26,6.28,6.435,6.2,6.4,756542
2024-04-29,6.45,6.695,6.39,6.65,1684139.0
2024-04-30,6.7,6.83,6.37,6.42,2384745.0
2024-05-01,6.45,6.585,6.325,6.405,985066
2024-05-02,6.44,6.585,6.33,6.495,916737
2024-05-03,6.59,6.62,6.4148,6.475,781932
2024-05-06,6.5,6.57,6.44,6.53,845839
2024-05-07,6.54,6.76,6.48,6.64,1320905.0
2024-05-08,6.56,6.7,6.5,6.57,844556
2024-05-09,6.54,6.86,6.5201,6.84,1592675.0
2024-05-10,6.9,7.41,6.77,6.8,2961422.0
2024-05-13,6.83,6.91,6.37,6.47,1754458.0
2024-05-14,6.47,7.1,6.38,7.06,2284318.0
2024-05-15,7.06,7.17,7,7.07,981587
2024-05-16,7.05,7.21,6.93,7.11,847385
2024-05-17,7.13,7.2,6.95,6.98,972371
2024-05-20,7.4,8.239,7.39,8.01,4054393.0
2024-05-21,8,8.1,7.875,7.93,2028009.0
2024-05-22,7.92,7.939,7.56,7.72,1053346.0
2024-05-23,7.68,7.68,7.13,7.25,2435566.0
2024-05-24,7.36,7.37,7.12,7.22,1144167.0
2024-05-28,7.3,7.355,6.89,6.93,2719085.0
2024-05-29,6.85,6.885,6.515,6.55,2998983.0
2024-05-30,6.57,6.7,6.505,6.57,1692926.0
2024-05-31,6.63,7.285,6.63,7.16,2820147.0
2024-06-03,7.17,7.505,7.155,7.46,2275476.0
2024-06-04,7.41,8.02,7.11,7.98,3040604.0
2024-06-05,8.01,8.065,7.68,7.77,2171526.0
2024-06-06,7.72,7.79,7.55,7.69,1585715.0
2024-06-07,7.56,7.86,7.53,7.79,1580316.0
2024-06-10,7.73,8.005,7.69,7.82,1230732.0
2024-06-11,7.76,7.955,7.7,7.89,1679197.0
2024-06-12,8.11,8.2,7.82,7.83,1361198.0
2024-06-13,7.93,8.1,7.8212,7.96,3705039.0
2024-06-14,7.97,7.975,7.69,7.78,1506806.0
2024-06-17,7.75,7.85,7.43,7.45,800531
2024-06-18,7.45,7.69,7.394,7.62,857024
2024-06-20,7.6,8.025,7.56,7.84,1610418.0
2024-06-21,7.83,7.91,7.72,7.86,1719896.0
2024-06-24,7.9,8.06,7.88,8.01,1536440.0
2024-06-25,8,8.06,7.92,8.01,1396239.0
2024-06-26,8.06,8.13,7.9,8.02,1618771.0
2024-06-27,8.02,8.08,7.935,8.01,1395926.0
2024-06-28,8.1,8.14,7.77,7.94,6781168.0
2024-07-01,8.02,8.05,7.755,7.78,1516168.0
2024-07-02,7.78,8.025,7.7,8.01,1139127.0
2024-07-03,8.01,8.155,7.95,7.99,568473
2024-07-05,8.01,8.06,7.715,7.84,893936
2024-07-08,7.85,7.9,7.75,7.82,719221
2024-07-09,7.83,7.95,7.73,7.74,924907
