date,open,high,low,close,volume
2024-03-01,0.419799,0.419799,0.419799,0.419799,150
2024-03-04,0.4182,0.4224,0.4182,0.4224,963
2024-03-05,0.4198,0.4198,0.4198,0.4198,1300
2024-03-06,0.444,0.444,0.4,0.4,2097
2024-03-07,0.405,0.4449,0.39,0.4001,8971
2024-03-08,0.4141,0.5275,0.409,0.409,1426
2024-03-11,0.49,0.49,0.4431,0.4475,730
2024-03-12,0.45,0.45,0.4,0.45,801
2024-03-13,0.4,0.404,0.3501,0.3501,6957
2024-03-14,0.380101,0.414951,0.3661,0.3722,3271
2024-03-15,0.3971,0.4454,0.3751,0.3751,9615
2024-03-19,0.4015,0.4204,0.35,0.35,12074
2024-03-20,0.389949,0.389949,0.389949,0.389949,753
2024-03-21,0.4123,0.4123,0.4031,0.4031,1114
2024-03-22,0.38,0.5183,0.2776,0.4,41536
2024-03-25,0.4,0.4,0.395,0.3999,3211
2024-03-26,0.4,0.4,0.38,0.3999,8410
2024-03-27,0.42495,0.43,0.3777,0.38,10900
2024-03-28,0.41,0.4886,0.385,0.39,3852
2024-04-01,0.41,0.44,0.39,0.395,5373
2024-04-02,0.5175,0.5175,0.5175,0.5175,300
2024-04-03,0.45,0.45,0.37,0.39,4195
2024-04-04,0.41,0.41,0.37,0.41,1770
2024-04-05,0.3737,0.45,0.37,0.45,1032
2024-04-08,0.447,0.4725,0.4,0.4001,68859
2024-04-09,0.4425,0.48375,0.425,0.45,82629
2024-04-10,0.495,0.54,0.4301,0.4425,29869
2024-04-12,0.465001,0.465001,0.465001,0.465001,825
2024-04-15,0.5,0.5,0.495,0.495,988
2024-04-16,0.450101,0.450101,0.450101,0.450101,100
2024-04-17,0.4646,0.4975,0.45,0.4975,4513
2024-04-18,0.46,0.46,0.4501,0.4501,1380
2024-04-19,0.4431,0.4475,0.4431,0.4475,274
2024-04-22,0.404,0.4275,0.4,0.4275,1295
2024-04-23,0.4273,0.4273,0.4273,0.4273,525
2024-04-24,0.4273,0.4375,0.4273,0.4374,1206
2024-04-26,0.46875,0.46875,0.44,0.44,1393
2024-04-30,0.41,0.415,0.4,0.4,2706
2024-05-01,0.4,0.4,0.4,0.4,874
2024-05-03,0.4499,0.45,0.4454,0.4497,1126
2024-05-07,0.44,0.5125,0.405,0.405,43842
2024-05-08,0.44,0.44,0.439999,0.44,1391
2024-05-09,0.4356,0.44,0.4356,0.44,1087
2024-05-10,0.44,0.44,0.4399,0.44,19200
2024-05-13,0.44,0.44,0.4086,0.4086,1257
2024-05-14,0.395,0.45,0.3479,0.35,20328
2024-05-15,0.3585,0.4975,0.3585,0.3654,2746
2024-05-16,0.4875,0.4975,0.4872,0.4975,5410
2024-05-17,0.4925,0.4925,0.4,0.4002,2017
2024-05-20,0.380101,0.5,0.380101,0.3901,11668
2024-05-22,0.4388,0.4407,0.4388,0.4399,1545
2024-05-24,0.4399,0.48,0.4399,0.48,663
2024-05-28,0.47,0.5,0.41,0.41,10270
2024-05-30,0.4687,0.4999,0.4687,0.4999,4930
2024-06-03,0.41,0.4101,0.4065,0.4065,2700
2024-06-04,0.455001,0.4766,0.41,0.41,10658
2024-06-05,0.4776,0.4776,0.4103,0.4149,1867
2024-06-06,0.4104,0.414937,0.41,0.41,657
2024-06-07,0.41,0.41,0.3175,0.38,20372
2024-06-10,0.2802,0.3647,0.2802,0.3201,2829
2024-06-11,0.33,0.33,0.33,0.33,3280
2024-06-13,0.33,0.33,0.3275,0.329799,8778
2024-06-14,0.32,0.3866,0.308,0.308,31111
2024-06-18,0.354951,0.354951,0.29,0.29,6615
2024-06-20,0.3168,0.32,0.275,0.275,781
2024-06-21,0.363377,0.363377,0.25,0.25,8065
2024-06-25,0.2699,0.27,0.2698,0.27,3243
2024-06-26,0.2599,0.26,0.25,0.2599,2971
2024-06-27,0.25011,0.2526,0.2501,0.2501,5301
2024-06-28,0.2673,0.2797,0.232,0.232,14047
2024-07-01,0.269899,0.269899,0.269899,0.269899,1075
2024-07-02,0.25,0.25,0.25,0.25,283
2024-07-03,0.22,0.22,0.22,0.22,787
2024-07-05,0.2797,0.2797,0.26,0.26,6432
2024-07-08,0.25,0.2525,0.25,0.25,15913
2024-07-09,0.2525,0.2525,0.25,0.2501,8605
2024-07-10,0.25,0.25,0.2176,0.2176,21927
2024-07-11,0.2488,0.25,0.2015,0.2015,39941
2024-07-12,0.2,0.2,0.17,0.17,11191
2024-07-15,0.198699,0.198699,0.1775,0.18,8678
2024-07-16,0.1984,0.1984,0.1575,0.1575,8799
2024-07-17,0.19,0.194,0.1425,0.1425,25841
2024-07-18,0.16,0.16,0.16,0.16,551
2024-07-19,0.16,0.167001,0.135,0.15,15498
2024-07-22,0.141,0.141,0.14,0.14,1700
2024-07-23,0.135,0.135,0.1035,0.1035,6816
2024-07-24,0.1998,0.1998,0.101,0.101,16262
2024-07-25,0.12,0.14,0.102,0.125,14236
2024-07-26,0.188,0.1899,0.1,0.1,18635
2024-07-29,0.102,0.12995,0.0858,0.095,16379
2024-07-30,0.1191,0.1298,0.082,0.09,12622
2024-07-31,0.1,0.11,0.092,0.092,67046
2024-08-01,0.1,0.101,0.0813,0.0813,19453
2024-08-02,0.1,0.1025,0.09,0.09,1707
2024-08-05,0.1189,0.1189,0.0845,0.0845,16758
2024-08-06,0.1,0.1,0.079,0.08,41291
2024-08-07,0.0988,0.099,0.082,0.082,2803
2024-08-08,0.098899,0.098899,0.098899,0.098899,598
2024-08-09,0.099,0.1,0.081,0.0963,13027
2024-08-12,0.085,0.085,0.085,0.085,4000
2024-08-13,0.09,0.1002,0.085,0.1002,3127
2024-08-14,0.102,0.102,0.09,0.09,1913
2024-08-15,0.1,0.101,0.085,0.0855,5497
2024-08-16,0.102499,0.102499,0.102499,0.102499,602
2024-08-19,0.1,0.1,0.1,0.1,454
2024-08-20,0.1189,0.12,0.1189,0.12,1997
2024-08-21,0.12,0.156,0.1175,0.156,999
2024-08-22,0.135,0.19,0.135,0.19,200
2024-08-23,0.16,0.17,0.115,0.1275,10036
2024-08-26,0.1025,0.12765,0.1,0.1,266174
2024-08-27,0.11,0.1378,0.1,0.1,8010
2024-08-28,0.11,0.11,0.11,0.11,608
2024-08-29,0.11,0.11,0.1,0.101,3408
2024-09-03,0.1898,0.1898,0.101,0.1021,1315
2024-09-05,0.138051,0.138051,0.1,0.1,4122
2024-09-06,0.11,0.122813,0.1,0.1,9558
2024-09-09,0.1,0.1,0.09,0.1,1892
2024-09-10,0.105,0.131251,0.1,0.131251,1386
2024-09-11,0.1625,0.1649,0.1,0.106,61541
2024-09-12,0.142499,0.142499,0.11,0.11,1614
2024-09-16,0.13,0.1388,0.09,0.1,14729
2024-09-17,0.1277,0.1289,0.091,0.091,2803
2024-09-18,0.1148,0.1159,0.1148,0.1159,500
2024-09-19,0.1189,0.1189,0.095,0.1,2809
2024-09-20,0.095,0.109,0.095,0.095,11448
2024-09-23,0.109,0.109,0.091,0.092,4366
2024-09-24,0.0998,0.0998,0.092,0.0929,1613
2024-09-25,0.093,0.094,0.093,0.094,852
2024-09-26,0.105,0.11,0.105,0.11,5500
2024-09-27,0.11,0.1595,0.105,0.1075,6378
2024-09-30,0.125,0.13,0.1175,0.125,9185
2024-10-01,0.14,0.2075,0.101,0.13,322800
2024-10-02,0.143496,0.15,0.0975,0.105,12446
