date,open,high,low,close,volume
2024-03-01,30.01,30.405,29.84,30.05,468308
2024-03-04,29.85,30.41,29.48,29.54,532940
2024-03-05,29.49,30.01,29.475,29.59,676873
2024-03-06,29.8,30.12,29.5,29.5,516947
2024-03-07,29.81,30.03,29.28,29.3,335223
2024-03-08,29.67,29.8,29.24,29.27,396222
2024-03-11,29.27,30.695,29.27,30.37,555287
2024-03-12,30.23,30.41,30.02,30.13,329189
2024-03-13,30.05,30.685,29.935,30.09,386039
2024-03-14,29.91,30.23,29.77,29.9,351511
2024-03-15,29.77,30.15,29.7021,30.01,1071235.0
2024-03-18,29.83,30.1148,29.49,29.53,629022
2024-03-19,29.53,30.15,29.4987,30.11,526794
2024-03-20,30.05,31.24,30.03,31,384961
2024-03-21,31,31.37,30.9,31.31,587912
2024-03-22,31.27,31.45,30.69,30.82,289665
2024-03-25,30.88,31.4,30.84,31.17,755887
2024-03-26,31.43,31.505,31.01,31.26,1245766.0
2024-03-27,31.34,32.11,31.34,32.11,477354
2024-03-28,32.19,32.44,32.09,32.34,558285
2024-04-01,32.25,32.35,31.66,31.75,865993
2024-04-02,31.51,31.785,31.235,31.57,544926
2024-04-03,31.7,32.03,31.44,31.85,1324027.0
2024-04-04,32.1,32.29,30.77,30.77,811739
2024-04-05,30.82,31.32,30.82,31.03,400444
2024-04-08,31.06,31.32,31.04,31.18,520114
2024-04-09,31.35,31.35,30.75,30.84,310505
2024-04-10,30.39,30.53,29.53,29.84,552160
2024-04-11,29.95,30.13,29.67,29.95,431830
2024-04-12,29.87,29.87,29.37,29.87,405534
2024-04-15,29.89,30.11,29.46,29.64,640061
2024-04-16,29.41,29.78,29.05,29.64,437641
2024-04-17,29.89,30.015,29.37,29.5,369546
2024-04-18,29.7,29.92,29.505,29.59,340575
2024-04-19,29.52,30.075,29.51,30.03,401116
2024-04-22,30.22,30.58,29.92,30.48,330937
2024-04-23,30.49,30.86,30.4236,30.79,342627
2024-04-24,30.66,30.89,30.4,30.78,345714
2024-04-25,30.65,30.92,30.37,30.81,306883
2024-04-26,30.78,31.23,30.3,31.11,353617
2024-04-29,31.07,31.425,31.07,31.13,574430
2024-04-30,30.99,31.24,30.661,30.86,665469
2024-05-01,30.94,32.66,30.35,31.65,608585
2024-05-02,31.85,32.51,31.73,32.47,782748
2024-05-03,32.64,32.8,31.85,32.51,606934
2024-05-06,32.71,33.58,32.7,33.41,462495
2024-05-07,33.47,33.97,33.41,33.66,1140774.0
2024-05-08,33.49,33.78,33.03,33.42,541364
2024-05-09,33.51,33.78,33.35,33.6,816467
2024-05-10,33.59,33.95,33.59,33.92,328073
2024-05-13,34.23,34.33,33.41,33.45,412101
2024-05-14,33.57,33.69,33.29,33.52,296744
2024-05-15,33.72,33.79,33.38,33.61,299410
2024-05-16,33.67,33.82,33.48,33.72,272086
2024-05-17,33.82,34.26,33.66,34.23,292929
2024-05-20,34.11,34.26,33.34,33.37,342623
2024-05-21,33.34,33.87,33.275,33.77,359040
2024-05-22,32.81,33.37,31.5901,33.09,469093
