date,open,high,low,close,volume
2024-03-01,1.08,1.08,1.08,1.08,303
2024-03-04,1.05,1.05,1.04,1.04,249
2024-03-05,1.0047,1.0047,0.9,0.9896,51772
2024-03-06,0.98,1,0.9501,0.9501,6351
2024-03-07,1.02,1.02,0.95,0.9501,2509
2024-03-08,0.9601,0.9601,0.9601,0.9601,100
2024-03-11,0.9992,1.28,0.9992,1.2,112873
2024-03-12,1.2,1.3,1.19,1.2787,163014
2024-03-13,1.3,1.4,1.3,1.4,177049
2024-03-14,1.32,1.35,1.25,1.3085,115019
2024-03-15,1.3,1.4,1.2701,1.28,173418
2024-03-18,1.37,1.37,1.25,1.35,137780
2024-03-19,1.35,1.4,1.35,1.4,308
2024-03-20,1.35,1.4,1.2999,1.3501,29666
2024-03-21,1.4499,1.93,1.4495,1.73,142160
2024-03-22,1.81,1.95,1.81,1.9,12934
2024-03-25,1.9499,2.09,1.925,2.05,693627
2024-03-26,2,2.08,1.98,2.08,268179
2024-03-27,2.1,2.1,2,2.07,128385
2024-03-28,1.98,2.5,1.96,2.1,352936
2024-04-01,2.4,2.4,2.1,2.14,30466
2024-04-02,2.82,2.83,2.14,2.28,93891
2024-04-03,2.28,2.41,2.25,2.37,86192
2024-04-04,2.36,2.55,2.35,2.35,87352
2024-04-05,2.39,2.6,2.39,2.6,86890
2024-04-08,2.64,2.8299,2.6,2.76,51980
2024-04-09,2.75,2.8,2.59,2.6,364195
2024-04-10,2.6,2.6,2.541,2.541,28128
2024-04-11,2.55,2.55,2.45,2.47,147238
2024-04-12,2.4699,2.5,2.4496,2.5,68696
2024-04-15,2.5068,2.55,2.31,2.36,83056
2024-04-16,2.45,2.84,2.36,2.75,622289
2024-04-17,2.55,3.1,2.55,2.88,135236
2024-04-18,3,3,2.86,2.95,54852
2024-04-19,3.05,3.05,2.8965,2.93,167554
2024-04-22,3,3.1,2.9,3.0575,166117
2024-04-23,3.13,3.3,3.1002,3.3,65153
2024-04-24,3.3,3.34,3.25,3.33,50614
2024-04-25,3.3,3.33,3.1,3.1,62392
2024-04-26,3.23,3.8,3.2,3.7987,167353
2024-04-29,3.89,3.989,3.61,3.86,41390
2024-04-30,3.94,3.96,3.66,3.75,62216
2024-05-01,3.71,3.96,3.66,3.8508,15756
2024-05-02,3.8436,3.96,3.71,3.73,18293
2024-05-03,3.98,3.98,3.7,3.88,18866
2024-05-06,3.95,3.95,3.7,3.79,41342
2024-05-07,3.72,3.94,3.67,3.78,8419
2024-05-08,3.74,3.74,3.42,3.71,48763
2024-05-09,3.75,3.75,3.46,3.52,35902
2024-05-10,3.78,3.78,2.95,3.03,66780
2024-05-13,3.04,3.21,2.83,3.025,85677
2024-05-14,3.39,3.39,3.165,3.165,3096
2024-05-15,3.09,3.24,3.09,3.2,16425
2024-05-16,3.15,3.4,3.05,3.3,20361
2024-05-17,3.43,3.45,3.2,3.35,45341
2024-05-21,3.21,3.21,3.21,3.21,103
2024-05-22,3.14,3.14,2.86,2.97,4098
2024-05-23,3,3.16,3,3.05,2067
2024-05-24,3.02,3.02,3.02,3.02,101
2024-05-28,3.11,3.66,3.05,3.2,230536
2024-05-29,3.29,3.29,3.06,3.2,5535
2024-05-30,3.22,3.29,3.16,3.2,3900
2024-05-31,3.2,3.28,3.2,3.2,1766
2024-06-03,3.28,3.28,3.19,3.2,6799
2024-06-04,3.18,3.18,3.1,3.105,10033
2024-06-05,3.165,3.28,3,3.14,94632
2024-06-06,3.11,3.15,3.11,3.14,3013
2024-06-07,3.1,3.11,3,3.11,9611
2024-06-10,3,3.1,3,3.09,15281
2024-06-11,3.15,3.15,3.1,3.1,233
2024-06-12,3.19,3.19,3.125,3.17,800
2024-06-13,3.1,3.1,2.93,3.08,8470
2024-06-14,3.2,3.2,3,3.06,10780
2024-06-17,3.09,3.09,2.97,2.9709,12088
2024-06-18,3.03,3.03,3.02,3.02,9002
2024-06-20,2.9501,3.01,2.92,3.01,2800
2024-06-21,3.05,3.05,3,3.02,3627
2024-06-24,3.04,3.08,3,3.05,82949
2024-06-25,3.2,3.25,3.15,3.2,32373
2024-06-26,3.11,3.25,3.1,3.21,4424
2024-06-27,3.18,3.18,3.13,3.13,200
2024-06-28,3.16,3.16,3.16,3.16,139
2024-07-01,3.1,3.11,3.1,3.11,6700
2024-07-02,3.1,3.1,3.1,3.1,100
2024-07-03,3.1,3.1,3.09,3.09,21800
2024-07-05,3.1,3.1,3.06,3.0997,37667
2024-07-08,3.2,3.2,3.1,3.11,800
2024-07-09,3.28,3.28,3.15,3.15,532
2024-07-10,3.07,3.16,3.0699,3.15,102305
2024-07-11,3.21,3.28,3.15,3.19,155712
