date,open,high,low,close,volume
2024-03-01,2.72,2.7637,2.56,2.66,34709
2024-03-04,2.58,2.6972,2.56,2.57,9668
2024-03-05,2.56,2.68,2.56,2.63,7730
2024-03-06,2.56,2.56,2.45,2.53,37338
2024-03-07,2.46,2.6599,2.4,2.64,23668
2024-03-08,2.62,2.6691,2.51,2.63,7744
2024-03-11,2.53,2.6289,2.51,2.5546,9397
2024-03-12,2.5,2.6091,2.46,2.46,65211
2024-03-13,2.43,2.55,2.41,2.5,6321
2024-03-14,2.44,2.505,2.4,2.4,19299
2024-03-15,2.45,2.4936,2.29,2.29,33021
2024-03-18,2.16,2.36,2.16,2.27,51182
2024-03-19,2.3,2.49,2.3,2.31,7778
2024-03-20,2.28,2.35,2.28,2.31,14408
2024-03-21,2.28,2.41,2.28,2.32,47228
2024-03-22,2.3,2.54,2.3,2.37,49633
2024-03-25,2.38,2.54,2.31,2.31,22525
2024-03-26,2.36,2.3999,2.2101,2.25,30902
2024-03-27,2.27,2.3798,2.25,2.2816,25096
2024-03-28,2.25,2.45,2.22,2.3701,58963
2024-04-01,2.33,2.4099,2.32,2.3667,11088
2024-04-02,2.3494,2.41,2.15,2.15,956227
2024-04-03,2.24,2.24,2.15,2.2,13987
2024-04-04,2.25,2.29,2.22,2.29,18052
2024-04-05,2.27,2.29,2.16,2.29,19885
2024-04-08,2.27,2.39,2.2291,2.3427,19020
2024-04-09,2.31,2.4,2.28,2.28,21618
2024-04-10,2.27,2.33,2.2021,2.22,27820
2024-04-11,2.21,2.35,2.21,2.34,13986
2024-04-12,2.33,2.4499,2.24,2.32,45811
2024-04-15,2.26,2.3399,2.2501,2.27,10931
2024-04-16,2.27,2.295,2.24,2.25,5620
2024-04-17,2.2,2.25,2.1501,2.21,7978
2024-04-18,2.2,2.2001,2.08,2.1409,13925
2024-04-19,2.115,2.15,2.0701,2.09,15876
2024-04-22,2.14,2.14,1.8701,1.91,21370
2024-04-23,1.95,2.0152,1.875,1.975,14315
2024-04-24,1.905,1.9574,1.85,1.85,7395
2024-04-25,1.81,1.9499,1.81,1.915,13077
2024-04-26,1.94,2.02,1.93,2,10249
2024-04-29,2,2.04,1.91,1.9301,19582
2024-04-30,1.89,1.99,1.87,1.94,16082
2024-05-01,1.95,2.005,1.95,1.9536,6161
2024-05-02,2.01,2.0261,1.95,2.01,2036
2024-05-03,2.08,2.08,1.98,2,7456
2024-05-06,2.06,2.2,2.06,2.12,10967
2024-05-07,2.09,2.22,1.9541,2.12,20025
2024-05-08,2.1,2.23,2.1,2.11,7232
2024-05-09,2.1,2.2375,2.1,2.21,8208
2024-05-10,2.21,2.2499,2.21,2.2349,3659
2024-05-13,2.28,2.44,2.24,2.3999,20511
2024-05-14,2.43,2.45,2.23,2.382,52386
2024-05-15,2.36,2.39,2.2,2.3,28991
2024-05-16,2.1901,2.4104,2.1901,2.3,21160
2024-05-17,2.32,2.35,2.18,2.3,14263
2024-05-20,2.31,2.398,2.2487,2.28,8307
2024-05-21,2.28,2.38,2.28,2.33,8623
2024-05-22,2.37,2.5,2.3085,2.4289,11342
2024-05-23,2.45,2.52,2.3,2.52,22991
2024-05-24,2.5001,2.54,2.5,2.54,7379
2024-05-28,2.56,2.75,2.56,2.65,100011
2024-05-29,2.68,2.68,2.345,2.53,35238
2024-05-30,2.455,2.56,2.41,2.56,8829
2024-05-31,2.54,2.759,2.44,2.75,21930
2024-06-03,2.54,2.7436,2.52,2.64,15060
2024-06-04,2.6,2.6899,2.6,2.66,11598
2024-06-05,2.63,2.7,2.6,2.7,6777
2024-06-06,2.69,2.78,2.6161,2.69,9475
2024-06-07,2.66,2.6862,2.65,2.6862,9262
2024-06-10,2.7,2.7,2.65,2.6595,17170
2024-06-11,2.65,2.6799,2.65,2.6799,3757
2024-06-12,2.675,2.7,2.62,2.6201,19978
2024-06-13,2.6016,2.63,2.6,2.6,9290
2024-06-14,2.61,2.63,2.4,2.54,25484
2024-06-17,2.54,2.55,2.4,2.49,9775
2024-06-18,2.56,2.77,2.5153,2.74,35184
2024-06-20,2.55,2.55,2.5001,2.52,37742
2024-06-21,2.5,2.54,2.49,2.52,6390
2024-06-24,2.47,2.54,2.46,2.54,6922
2024-06-25,2.5,2.535,2.49,2.49,2502
2024-06-26,2.46,2.54,2.46,2.492,14429
2024-06-27,2.54,2.55,2.49,2.5,11511
2024-06-28,2.55,2.55,2.4953,2.4953,4547
2024-07-01,2.47,2.5316,2.31,2.44,21392
2024-07-02,2.3952,2.46,2.3567,2.3567,8554
