date,open,high,low,close,volume
2024-03-01,176.78,184.75,176.78,183.66,425684
2024-03-04,185.58,190.51,183.5,187.67,399220
2024-03-05,185.47,187.41,181.15,182.91,164955
2024-03-06,184.82,185.53,181.15,184.28,301807
2024-03-07,184.84,186.705,181.82,182.04,250934
2024-03-08,183.12,183.26,173.71,175.33,250960
2024-03-11,169.79,169.79,165.24,168.25,280948
2024-03-12,169.17,172.85,168.16,172.07,188182
2024-03-13,171.24,171.52,168.29,169.66,116175
2024-03-14,170.63,171.435,167.81,169.65,74267
2024-03-15,167.81,170.75,166.39,168.93,152257
2024-03-18,170.9,172.65,168.56,170.33,95247
2024-03-19,169.82,176.86,168.3,176.46,205591
2024-03-20,176.47,181.56,175.63,181.03,173393
2024-03-21,185,188.67,183.21,183.76,167073
2024-03-22,182.52,184.14,180.865,183.14,54709
2024-03-25,182.36,183.31,180.38,180.87,78492
2024-03-26,182.34,182.9,178.09,178.93,77547
2024-03-27,180.43,180.715,176.22,179.74,68876
2024-03-28,180.42,180.42,175.9529,177.38,165437
2024-04-01,177.42,181.33,177.23,178.1,196867
2024-04-02,175.45,178.17,171.94,177.37,162330
2024-04-03,174.18,181.12,173.88,178.93,190481
2024-04-04,178.62,182.915,174.72,176.05,164708
2024-04-05,177.93,182.395,175.9,179.11,84349
2024-04-08,181,182.31,179.19,180.33,85223
2024-04-09,180.37,180.37,172.25,174.95,115324
2024-04-10,172.33,176.2011,172.33,174.31,114399
2024-04-11,172.97,176.61,170.3,174.8,134956
2024-04-12,173.12,173.12,167.91,170.48,119682
2024-04-15,173.96,174.5,169.7,170.47,69968
2024-04-16,172.18,178.69,170.705,175.99,240123
2024-04-17,175.22,175.22,166.6,170.12,137927
2024-04-18,170.49,171.8,168.1096,170,156566
2024-04-19,168.2,169.89,158.475,159.92,211186
2024-04-22,161.37,163.43,158.83,162.78,136413
2024-04-23,163.57,169,162.18,168.18,170984
2024-04-24,170,173.14,164.77,166.57,936428
2024-04-25,166.75,171.03,164.12,170.92,83364
2024-04-26,170.92,177.15,170.92,174.34,158416
2024-04-29,173.47,174.48,171.5,174.09,101173
2024-04-30,172.99,174.225,169.47,169.9,97452
2024-05-01,169.39,171.275,165.15,167.34,170193
2024-05-02,170.68,175.1149,167.91,174.22,150272
2024-05-03,177.53,181.63,175.23,178.29,196290
2024-05-06,178.85,182.78,177.795,182.1,121795
2024-05-07,182.72,185.77,181.54,183.53,140243
2024-05-08,182.33,183.9525,178.285,181.12,185463
2024-05-09,186.65,198.705,183.64,193.14,456517
2024-05-10,194.09,196.84,189.5,193.5,145458
2024-05-13,193,195.6,190.82,193.5,101917
2024-05-14,195.16,200.09,193.19,200,131977
2024-05-15,200,203.018,198.28,202.15,116245
2024-05-16,197.98,198.235,193.26,194.52,213909
2024-05-17,195.53,197.21,193.19,196.23,171579
2024-05-20,196.35,205.16,196.35,203.41,116198
2024-05-21,203.17,206.79,201.67,204.09,125490
2024-05-22,204.76,209.65,204.76,207.88,165786
2024-05-23,211.71,217.3,209.095,210.77,291394
2024-05-24,211.99,217.57,210.35,213.61,181677
2024-05-28,216.15,219.7387,213.7,219.11,117482
2024-05-29,216.54,217.88,215,215.99,131643
2024-05-30,216.35,216.94,211.07,211.64,118714
2024-05-31,212.15,212.495,203,208.65,221084
2024-06-03,209.99,213.49,204.73,213.11,164227
2024-06-04,214.37,214.715,203.75,207.59,126957
2024-06-05,210.67,218.69,208.37,218.52,267924
2024-06-06,219.85,223.44,218.08,219.8,163936
