date,open,high,low,close,volume
2024-03-01,1.87,1.99,1.87,1.98,863
2024-03-04,1.97,2.14,1.78,2.0125,1531
2024-03-05,1.82,2.1,1.82,2.0999,1626
2024-03-06,2.03,2.03,1.88,2.02,2023
2024-03-07,1.93,2.01,1.93,2.01,1889
2024-03-08,2.03,2.08,2.03,2.08,1959
2024-03-11,2.07,2.47,1.89,2.062,5802
2024-03-12,2.19,2.19,2.19,2.19,335
2024-03-13,2.05,2.05,2.05,2.05,277
2024-03-14,1.91,2.1,1.91,2.1,525
2024-03-15,1.9,2.1498,1.85,1.85,2787
2024-03-18,1.91,1.98,1.9,1.94,8304
2024-03-20,1.85,1.85,1.85,1.85,1211
2024-03-21,1.91,1.91,1.91,1.91,487
2024-03-22,1.89,2.04,1.89,1.89,620
2024-03-25,2,2.1649,2,2.06,1793
2024-03-26,1.96,2.035,1.96,2.035,2210
2024-03-27,1.95,1.95,1.9,1.94,1045
2024-03-28,2.055,2.1458,1.85,1.89,4262
2024-04-01,1.86,2,1.85,1.86,2124
2024-04-02,1.86,1.9,1.86,1.9,653
2024-04-03,2,2,1.86,1.9,3256
2024-04-04,1.945,1.945,1.85,1.85,1512
2024-04-05,1.854,1.854,1.85,1.85,2770
2024-04-09,1.85,1.85,1.79,1.79,1831
2024-04-10,1.78,1.8223,1.76,1.76,3540
2024-04-11,1.76,1.82,1.76,1.82,2026
2024-04-12,1.795,1.7972,1.65,1.66,3826
2024-04-15,1.76,1.76,1.38,1.49,31827
2024-04-16,1.49,1.49,1.49,1.49,433
2024-04-17,1.38,1.44,1.38,1.44,1704
2024-04-18,1.65,1.65,1.4,1.4,1048
2024-04-19,1.4515,1.4515,1.4001,1.4001,337
2024-04-22,1.51,1.62,1.4,1.4,3063
2024-04-23,1.63,1.63,1.46,1.46,741
2024-04-24,1.45,1.47,1.45,1.47,1052
2024-04-25,1.45,1.45,1.45,1.45,204
2024-04-26,1.45,1.48,1.44,1.44,1496
2024-04-30,1.5733,1.5733,1.4,1.4,1732
2024-05-02,1.475,1.475,1.475,1.475,758
2024-05-03,1.545,1.545,1.545,1.545,1029
2024-05-06,1.41,1.55,1.41,1.46,2741
2024-05-07,1.46,1.46,1.42,1.42,736
2024-05-09,1.41,1.41,1.41,1.41,897
2024-05-10,1.4503,1.4503,1.41,1.41,1078
2024-05-13,1.45,1.55,1.45,1.4658,1518
2024-05-16,1.4,1.4001,1.4,1.4001,805
2024-05-17,1.4,1.4,1.4,1.4,163
2024-05-20,1.6333,1.6383,1.4,1.4,9209
2024-05-21,1.4,1.46,1.22,1.355,2992
2024-05-22,1.25,1.46,1.25,1.4599,2073
2024-05-23,1.4599,1.4599,1.4599,1.4599,236
2024-05-24,1.22,1.42,1.22,1.42,2018
2024-05-28,1.32,1.32,1.32,1.32,1183
2024-05-29,1.4976,1.4976,1.23,1.23,497
2024-05-30,1.21,1.285,1.21,1.27,1221
2024-05-31,1.2,1.34,1.2,1.21,2300
2024-06-03,1.21,1.21,1.2,1.2,1894
2024-06-04,1.21,1.217,1.21,1.21,1105
2024-06-05,1.3328,1.3328,1.2,1.2,4167
2024-06-06,1.2,1.2,1.2,1.2,104
2024-06-07,1.24,1.24,1.2,1.2,822
2024-06-10,1.21,1.21,1.21,1.21,1264
