date,open,high,low,close,volume
2024-10-24,10,10.03,9.99,10,6783303.0
2024-10-25,10,10.01,10,10,327394
2024-10-28,10,10.015,10,10,249217
2024-10-29,10,10.01,10,10.01,38494
2024-10-30,10.0039,10.01,9.99,10,46051
2024-10-31,10,10.01,9.99,10,113482
2024-11-01,10.01,10.1,10.01,10.1,47920
2024-11-04,10.03,10.03,10.02,10.02,5918
2024-11-05,10.03,10.04,10.01,10.04,6272
2024-11-06,10.04,10.05,10.04,10.05,2079
2024-11-08,10.0397,10.0409,10,10.02,62258
2024-11-11,10.01,10.04,9.99,10.01,522947
2024-11-12,9.99,10.04,9.99,10.04,32043
2024-11-13,10.04,10.04,10.03,10.0364,1819
2024-11-14,10.0341,10.05,10.02,10.03,6423
2024-11-15,10.03,10.05,10.03,10.05,14262
2024-11-18,10.04,10.0451,10.03,10.03,20840
2024-11-19,10.03,10.05,10.03,10.05,43835
2024-11-20,10.05,10.09,10.03,10.08,38546
2024-11-21,10.08,10.08,10.06,10.06,10154
2024-11-22,10.05,10.22,10.05,10.22,50463
2024-11-25,10.12,10.12,10.1189,10.1189,1133
2024-11-26,10.1086,10.1086,10.05,10.1,32684
2024-11-27,10.06,10.06,10.06,10.06,406
2024-11-29,10.12,10.12,10.06,10.1,27052
2024-12-02,10.07,10.07,10.0575,10.07,42795
2024-12-03,10.12,10.12,10.06,10.12,496
2024-12-04,10.085,10.11,10.07,10.07,150576
2024-12-05,10.0705,10.12,10.0705,10.12,317
2024-12-06,10.12,10.13,10.12,10.13,3015
2024-12-09,10.14,10.14,10.1282,10.14,360
2024-12-10,10.14,10.14,10.0299,10.08,107692
2024-12-11,10.08,10.09,10.08,10.08,130681
2024-12-13,10.1,10.13,10.0999,10.1,16647
2024-12-16,10.1175,10.12,10.1,10.12,4341
2024-12-17,10.12,10.12,10.09,10.12,4355
2024-12-18,10.12,10.12,10.12,10.12,144
2024-12-19,10.12,10.12,10.11,10.12,3354
2024-12-20,10.12,10.12,10.115,10.12,6322
2024-12-23,10.11,10.11,10.1,10.1,3414
2024-12-24,10.09,10.1,10.09,10.09,350200
2024-12-26,10.12,10.12,10.12,10.12,183
2024-12-27,10.1199,10.14,10.105,10.14,16702
2024-12-30,10.14,10.15,10.13,10.13,3041
2025-01-02,10.12,10.18,10.12,10.18,19387
2025-01-03,10.18,10.18,10.18,10.18,337
2025-01-06,10.18,10.2,10.18,10.2,1205
2025-01-07,10.16,10.17,10.16,10.17,1156
2025-01-08,10.17,10.17,10.1423,10.16,3934
2025-01-10,10.16,10.16,10.16,10.16,204
2025-01-13,10.16,10.16,10.16,10.16,139
2025-01-14,10.16,10.16,10.14,10.16,1616
2025-01-15,10.16,10.19,10.16,10.19,2650
2025-01-21,10.1799,10.1799,10.1799,10.1799,225
2025-01-24,10.18,10.19,10.17,10.19,2070
2025-01-31,10.1425,10.18,10.1425,10.18,1730
2025-02-05,10.16,10.18,10.16,10.18,871
2025-02-13,10.17,10.17,10.17,10.17,791
2025-02-18,10.18,10.18,10.18,10.18,555
2025-02-20,10.13,10.13,10.13,10.13,300
2025-02-24,10.17,10.18,10.17,10.18,5266
2025-02-26,10.19,10.2,10.15,10.15,15317
2025-02-27,10.17,10.17,10.15,10.15,1153
2025-02-28,10.15,10.15,10.12,10.12,3426
