date,open,high,low,close,volume
2024-03-01,6.54,6.9201,6.42,6.86,25643
2024-03-04,6.92,7.25,6.8201,7.09,47906
2024-03-05,6.97,7.23,6.915,7.12,21122
2024-03-06,7.15,7.15,6.67,6.95,34134
2024-03-07,7.06,7.1,6.41,6.49,37381
2024-03-08,6.4,6.57,6.1801,6.25,20711
2024-03-11,6,6.6391,5.71,5.71,49248
2024-03-12,5.7,5.85,5.33,5.44,74993
2024-03-13,5.47,5.8744,5.38,5.46,76041
2024-03-14,5.48,5.5,5.3,5.32,28361
2024-03-15,5.3,5.4,4.92,5.16,107595
2024-03-18,5.15,5.41,5.15,5.36,64526
2024-03-19,5.3,5.54,5.3,5.3,51016
2024-03-20,5.32,5.5271,5.3,5.345,65562
2024-03-21,5.35,5.7348,5.25,5.31,61225
2024-03-22,5.3,5.36,5.05,5.26,40544
2024-03-25,5.26,5.26,5,5,33476
2024-03-26,5.37,5.6704,5.1,5.26,43894
2024-03-27,5.24,5.7,5,5.305,46225
2024-03-28,5.24,5.62,5.18,5.27,100172
2024-04-01,5.29,5.59,4.77,4.95,57663
2024-04-02,4.77,5.06,4.65,5.04,37950
2024-04-03,4.94,5.17,4.86,4.9,58009
2024-04-04,4.98,5.1399,4.91,4.97,33386
2024-04-05,4.9,4.95,4.8101,4.89,41490
2024-04-08,4.91,5.05,4.8,4.93,25681
2024-04-09,4.97,5.1299,4.8,4.89,23215
2024-04-10,4.81,4.99,4.8,4.89,20828
2024-04-11,4.9817,5.05,4.7,5.05,33499
2024-04-12,5,5.03,4.83,4.89,13432
2024-04-15,4.86,5.02,4.7,4.84,26073
2024-04-16,4.81,4.89,4.65,4.66,31262
2024-04-17,4.6817,4.94,4.5501,4.62,15877
2024-04-18,4.71,4.78,4.52,4.71,28834
2024-04-19,4.71,4.79,4.52,4.64,21661
2024-04-22,4.67,4.67,4.4601,4.5,47023
2024-04-23,4.5,4.52,4.45,4.52,29371
2024-04-24,4.44,4.6299,4.44,4.48,24013
2024-04-25,4.44,4.57,4.22,4.44,53589
2024-04-26,4.3926,4.595,4.36,4.39,23940
2024-04-29,4.33,4.43,4.3203,4.39,66287
2024-04-30,4.4,4.43,4.3219,4.41,55212
2024-05-01,4.44,4.49,4.29,4.4,40033
2024-05-02,4.2926,5.56,4.2926,5.55,38646
2024-05-03,5,5.415,4.95,5.1,68178
2024-05-06,5.1,5.35,4.81,5.24,27667
2024-05-07,5.14,5.14,4.95,4.98,29395
2024-05-08,4.97,5.05,4.84,4.88,15558
2024-05-09,4.89,4.9851,4.82,4.95,17891
2024-05-10,4.91,4.99,4.6,4.71,17685
2024-05-13,4.78,4.82,4.5,4.6,25405
