date,open,high,low,close,volume
2024-03-01,23,23,22.23,22.3,9786
2024-03-04,22.7,23.6675,22.25,22.5,8288
2024-03-05,22.73,23,22.73,23,4374
2024-03-06,23.37,24.18,22.8,24.18,8678
2024-03-07,23.945,23.945,23.017,23.1,9158
2024-03-08,23.59,23.59,22.505,22.505,10706
2024-03-11,22.35,23.5,22.35,22.6,8004
2024-03-12,22.64,23.4675,22.64,23.075,6038
2024-03-13,23.68,23.68,22.885,23.295,15448
2024-03-14,23.2901,23.8125,22.6275,22.645,19232
2024-03-15,22.5,23.675,22.5,23.55,52924
2024-03-18,23.07,23.237,22.3,22.3,16564
2024-03-19,22.25,22.25,22,22,12380
2024-03-20,22.0546,23,22.0546,23,10042
2024-03-21,23,23,22.67,22.72,14400
2024-03-22,22.95,22.95,21.9654,22.5,8830
2024-03-25,22.95,23,22.1491,22.725,18096
2024-03-26,22.265,22.9275,22.265,22.69,7900
2024-03-27,22.26,23,22.25,22.995,19024
2024-03-28,22.97,23,22.97,23,6768
2024-04-01,23,24.64,22.98,23.87,17240
2024-04-02,23.21,23.25,23.03,23.25,8354
2024-04-03,22.875,22.91,22.77,22.77,7116
2024-04-04,24.355,24.355,23.245,23.49,10878
2024-04-05,22.785,23.27,22.785,23.045,3806
2024-04-08,23.625,23.625,22.535,23.495,6082
2024-04-09,23.105,23.6,23.105,23.6,3042
2024-04-10,23.25,24.405,23,23,13076
2024-04-11,23.375,23.375,23.03,23.03,7264
2024-04-12,23.055,23.055,23.055,23.055,3352
2024-04-15,22.96,23.58,22.75,22.775,13968
2024-04-16,23.1,23.2,22.91,23,12488
2024-04-17,22.96,23.24,22.7725,22.8,12972
2024-04-18,22.6721,22.6721,21.525,21.525,20570
2024-04-19,21.345,21.85,21.345,21.85,7392
2024-04-22,22.4625,22.49,22,22.425,17468
2024-04-23,22.4,22.78,21.46,22.78,8654
2024-04-24,22.625,22.625,22.485,22.525,7434
2024-04-25,21,22.01,21,22.005,8966
2024-04-26,22.195,22.44,22.195,22.44,5052
2024-04-29,22.285,22.79,21.565,22.79,5528
2024-04-30,21.6251,21.79,21.16,21.605,16444
2024-05-01,22,22.865,21.9323,22.865,14156
2024-05-02,23.575,24.745,22.62,24.745,21020
