date,open,high,low,close,volume
2024-03-01,2.98,3.025,2.93,3,10002
2024-03-04,3.01,3.0559,2.975,3,3520
2024-03-05,2.9607,3.05,2.9607,3.02,5193
2024-03-06,3.02,3.0602,2.9,3.01,24409
2024-03-07,2.94,3.005,2.94,3,34988
2024-03-08,2.91,3.065,2.91,3,7281
2024-03-11,2.99,2.99,2.92,2.96,1518
2024-03-12,3.014,3.07,3.0069,3.01,36781
2024-03-13,3.01,3.025,3.01,3.01,12205
2024-03-14,3.01,3.04,2.95,2.95,9689
2024-03-15,3.005,3.0199,2.92,2.98,8845
2024-03-18,2.9899,3.07,2.9401,3.02,9953
2024-03-19,3.0699,3.07,3,3,13378
2024-03-20,2.95,3.07,2.95,3.07,7300
2024-03-21,3.07,3.07,3.05,3.05,15927
2024-03-22,3.05,3.06,2.98,3.06,2519
2024-03-25,2.9965,3.0185,2.9965,3.0185,1780
2024-03-26,3.02,3.02,2.95,2.998,11395
2024-03-27,2.9598,2.98,2.9598,2.98,1766
2024-03-28,2.94,3.0116,2.93,2.93,20318
2024-04-01,2.85,2.99,2.85,2.98,3009
2024-04-02,2.85,2.93,2.82,2.93,3595
2024-04-03,2.82,2.99,2.82,2.94,2681
2024-04-04,2.84,2.94,2.84,2.94,2894
2024-04-05,2.855,2.9,2.83,2.9,1123
2024-04-08,2.91,2.9451,2.85,2.9,1512
2024-04-09,2.91,2.91,2.91,2.91,878
2024-04-10,2.907,2.907,2.907,2.907,364
2024-04-11,2.86,2.9867,2.86,2.965,380935
2024-04-12,3.2,3.3,2.42,2.71,2171845.0
2024-04-15,2.59,2.6381,2.5101,2.53,110351
2024-04-16,2.56,2.77,2.4901,2.75,170984
2024-04-17,2.74,2.74,2.58,2.59,35980
2024-04-18,2.59,2.66,2.49,2.56,38158
2024-04-19,2.54,2.55,2.49,2.5,53925
2024-04-22,2.52,2.555,2.49,2.51,63036
2024-04-23,2.45,2.553,2.45,2.455,22837
2024-04-24,2.51,2.51,2.285,2.46,40610
2024-04-25,2.45,2.49,2.3501,2.44,26490
2024-04-26,2.48,2.5806,2.41,2.48,17697
2024-04-29,2.45,2.56,2.39,2.525,33004
2024-04-30,2.49,2.59,2.42,2.49,18088
2024-05-01,2.56,2.57,2.5,2.55,4963
2024-05-02,2.53,2.87,2.48,2.7794,51822
2024-05-03,2.8,2.8,2.625,2.66,15346
2024-05-06,2.69,2.84,2.59,2.77,22423
2024-05-07,2.83,2.83,2.7156,2.76,10307
2024-05-08,2.785,2.9,2.7806,2.81,21159
2024-05-09,2.86,2.9,2.85,2.87,28293
2024-05-10,2.7001,2.9,2.7001,2.89,6090
2024-05-13,2.8899,2.9,2.7859,2.885,27465
2024-05-14,2.71,2.91,2.71,2.9,26847
2024-05-15,2.91,2.98,2.8,2.95,32627
2024-05-16,2.7,3.09,2.7,3.07,104949
2024-05-17,3.08,3.08,2.91,2.93,32031
2024-05-20,2.9,2.9899,2.7401,2.76,19778
2024-05-21,2.71,2.98,2.71,2.82,28786
2024-05-22,2.81,2.9066,2.73,2.9066,2362
2024-05-23,2.79,2.8999,2.79,2.8344,3273
2024-05-24,2.8556,2.8556,2.71,2.83,4627
2024-05-28,2.8,2.8405,2.65,2.69,12581
2024-05-29,2.63,2.69,2.5566,2.67,14436
