date,open,high,low,close,volume
2024-03-01,26.5,26.675,25.92,26.36,532728
2024-03-04,26.13,26.595,25.69,26.57,626397
2024-03-05,26.31,26.81,26.23,26.4,323349
2024-03-06,26.72,28.14,26.45,27.79,639763
2024-03-07,28.17,28.68,27.68,28.06,423494
2024-03-08,28.31,28.81,28.3,28.55,629230
2024-03-11,28.44,29.18,27.88,28.28,513680
2024-03-12,28.56,28.71,27.86,28.08,395944
2024-03-13,27.81,28.83,27.68,27.76,396382
2024-03-14,27.68,28.24,27.2,27.59,460856
2024-03-15,27.38,28.19,26.94,27.69,1675121.0
2024-03-18,27.86,27.99,26.85,27.47,668223
2024-03-19,27.43,28.01,27.16,27.64,449009
2024-03-20,27.7,27.99,26.89,27.93,773499
2024-03-21,28.25,28.91,28.12,28.44,448054
2024-03-22,28.53,28.945,27.92,27.93,402481
2024-03-25,27.94,28.44,27.94,28.4,307540
2024-03-26,28.68,28.735,27.705,27.89,624318
2024-03-27,28.23,29.24,27.98,29.24,410633
2024-03-28,29.2,29.705,28.38,29.23,447440
2024-04-01,29.3,29.4,28.33,28.63,385578
2024-04-02,28.12,28.12,27.05,27.75,669555
2024-04-03,27.49,27.96,27.32,27.57,285263
2024-04-04,27.89,28.46,27.48,27.59,383712
2024-04-05,27.41,27.82,27.38,27.52,312637
2024-04-08,27.78,27.94,27.29,27.9,247825
2024-04-09,28,29.03,27.89,28.64,373128
2024-04-10,27.47,27.8025,26.56,27.44,443530
2024-04-11,27.95,28.03,27.07,27.32,307034
2024-04-12,27.15,27.22,26.72,27.18,472513
2024-04-15,27.2,27.34,26.62,26.88,337235
2024-04-16,26.58,27.27,26.42,26.65,320524
2024-04-17,26.86,27.17,26.14,26.27,405892
2024-04-18,26.34,27.32,26.26,27.25,305459
2024-04-19,27.26,27.97,27.26,27.83,309319
2024-04-22,27.87,28.3,27.39,28.18,444247
2024-04-23,28,29.31,27.84,28.43,431265
2024-04-24,28.22,28.35,27.07,27.43,452702
2024-04-25,27.25,27.44,26.74,27.13,494101
2024-04-26,27.27,28.28,27.27,27.86,390549
2024-04-29,27.9,28.3614,27.19,27.4,420086
2024-04-30,26.95,27.42,26.63,26.81,473340
2024-05-01,26.88,27.72,26.59,27.17,455299
2024-05-02,27.17,29.64,26.89,29.29,586247
2024-05-03,29.87,30.74,29.35,30.13,863394
2024-05-06,30.22,30.305,29.51,29.98,627013
2024-05-07,29.9,30.68,29.66,30.3,352101
2024-05-08,30.09,30.26,29.75,29.96,354427
2024-05-09,29.95,30.45,29.84,30.25,542349
2024-05-10,30.41,31.15,29.35,30.12,533498
2024-05-13,30.35,31.4,30.27,30.8,465015
2024-05-14,31.49,32.38,29.8,30.28,499109
2024-05-15,30.83,31.4,29.45,29.87,424314
2024-05-16,29.8,31.77,29.46,31.66,501730
2024-05-17,31.58,31.64,30.16,30.44,450713
2024-05-20,30.28,31.08,30.04,30.73,398642
2024-05-21,30.56,31.98,30.56,31.91,366827
2024-05-22,31.64,32.405,31.42,32.24,307796
2024-05-23,32.22,32.26,31.495,31.7,520926
2024-05-24,32.12,33.12,31.1875,32.63,451902
2024-05-28,32.85,33.25,31.9,32.4,257887
2024-05-29,31.74,32.31,31.42,31.81,311499
2024-05-30,32.24,33.3227,32.005,32.65,295038
2024-05-31,32.7,33.38,32.06,32.59,309241
2024-06-03,32.84,32.905,31.51,31.61,347028
2024-06-04,31.4,31.46,30.25,30.66,397104
2024-06-05,30.87,30.87,30.28,30.53,329162
2024-06-06,30.11,30.7,29.88,29.94,266982
2024-06-07,29.55,30.3925,29.39,29.72,296632
2024-06-10,29.19,29.48,28.75,29.27,278219
2024-06-11,28.97,29.5924,28.865,29.39,293921
2024-06-12,30.47,30.88,28.69,29.03,454270
2024-06-13,28.99,29.1,27.0466,27.23,399164
2024-06-14,26.93,28.06,26.49,27.91,501184
2024-06-17,27.91,28.44,26.63,27.91,440602
2024-06-18,27.76,28.46,27.41,27.46,532893
2024-06-20,27.33,28.51,27.005,28.26,436037
2024-06-21,28.36,28.635,27.18,27.44,1842576.0
2024-06-24,27.39,28.39,27.06,27.27,510963
2024-06-25,27.19,27.96,26.58,26.62,437498
2024-06-26,26.4,27.05,26.16,26.22,372894
2024-06-27,26.24,26.33,25.45,26.27,592607
