date,open,high,low,close,volume
2024-03-01,2.66,2.66,2.4525,2.47,2729854.0
2024-03-04,2.5,2.5,2.2201,2.38,1949390.0
2024-03-05,2.34,2.46,2.3,2.4,1097428.0
2024-03-06,2.4,2.49,2.34,2.34,1325255.0
2024-03-07,2.38,2.435,2.24,2.24,730394
2024-03-08,2.29,2.43,2.25,2.26,1109164.0
2024-03-11,2.26,2.2794,2.085,2.09,1519520.0
2024-03-12,2.08,2.1,2,2.06,1642413.0
2024-03-13,2.07,2.195,2.07,2.13,1296734.0
2024-03-14,2.12,2.14,1.915,1.96,1456520.0
2024-03-15,1.98,2.07,1.97,2.03,3891860.0
2024-03-18,2,2.01,1.92,1.96,1783510.0
2024-03-19,1.94,1.985,1.93,1.97,1620720.0
2024-03-20,1.99,2.14,1.91,2.13,1836619.0
2024-03-21,2.17,2.31,2.15,2.3,1612188.0
2024-03-22,2.3,2.34,2.07,2.07,803772
2024-03-25,2.15,2.15,2,2.005,646302
2024-03-26,2,2.0204,1.92,1.93,1176211.0
2024-03-27,1.93,2.1174,1.93,2.09,1092467.0
2024-03-28,2.04,2.145,2.01,2.04,949747
2024-04-01,2.05,2.06,1.94,1.97,964596
2024-04-02,1.99,1.99,1.89,1.93,906933
2024-04-03,1.93,1.93,1.87,1.91,681907
2024-04-04,1.95,1.9766,1.88,1.89,479413
2024-04-05,1.9,1.9,1.81,1.85,546722
2024-04-08,1.88,2.005,1.845,1.96,819384
2024-04-09,1.97,2.13,1.95,2.12,840706
2024-04-10,2.03,2.04,1.9015,1.965,941202
2024-04-11,1.97,2.21,1.97,2.165,1087658.0
2024-04-12,2.17,2.17,1.99,2.04,699883
2024-04-15,2.06,2.06,1.91,1.92,994565
2024-04-16,1.9,1.95,1.855,1.91,652556
2024-04-17,1.92,1.94,1.85,1.89,662689
2024-04-18,1.89,1.95,1.8377,1.88,428650
2024-04-19,1.86,1.95,1.85,1.9,597676
2024-04-22,1.91,2.04,1.87,2.03,815335
2024-04-23,2.02,2.06,1.98,1.98,585619
2024-04-24,1.97,2.065,1.915,2.05,578565
2024-04-25,1.99,2.0095,1.932,1.94,495859
