date,open,high,low,close,volume
2024-03-01,0.0202,0.0296,0.0202,0.028,359282
2024-03-04,0.029,0.029,0.0202,0.0288,250620
2024-03-05,0.0205,0.027,0.0205,0.0205,76565
2024-03-06,0.0287,0.0287,0.0199,0.02,282429
2024-03-07,0.0201,0.0248,0.0188,0.0195,225926
2024-03-08,0.0192,0.0248,0.0177,0.0193,104544
2024-03-11,0.0242,0.0242,0.0181,0.02,93690
2024-03-12,0.02,0.0249,0.0191,0.0249,90264
2024-03-13,0.0191,0.0279,0.0191,0.0269,26105
2024-03-14,0.0201,0.0201,0.02,0.02,5301
2024-03-15,0.0268,0.0268,0.02,0.025,28243
2024-03-18,0.0263,0.0265,0.023,0.0265,40400
2024-03-19,0.0265,0.0265,0.0202,0.0265,6552
2024-03-20,0.0265,0.0265,0.02,0.025,11146
2024-03-21,0.023119,0.023119,0.0201,0.0205,82989
2024-03-22,0.0206,0.026,0.0201,0.0201,9325
2024-03-25,0.0218,0.0259,0.0195,0.0195,5326
2024-03-26,0.02,0.025799,0.02,0.0203,13439
2024-03-27,0.02,0.0259,0.0195,0.0196,29955
2024-03-28,0.0201,0.020851,0.0195,0.0195,7485
2024-04-01,0.0195,0.0196,0.0192,0.0192,30397
2024-04-02,0.0194,0.0249,0.0182,0.023,77831
2024-04-03,0.0249,0.0391,0.0249,0.0379,824121
2024-04-04,0.0379,0.05,0.0303,0.0399,700993
2024-04-05,0.0313,0.055,0.0313,0.05225,703079
2024-04-08,0.04,0.05,0.0363,0.0363,140445
2024-04-09,0.04,0.045,0.035,0.035,5551
2024-04-10,0.04,0.04,0.0317,0.0379,39844
2024-04-11,0.0364,0.0374,0.0349,0.0364,7338
2024-04-12,0.033351,0.04,0.033351,0.04,5147
2024-04-15,0.0318,0.04,0.0301,0.032701,55334
2024-04-16,0.0304,0.0499,0.0304,0.044756,28844
2024-04-17,0.04,0.04,0.04,0.04,753
2024-04-18,0.0305,0.031,0.0305,0.031,20154
2024-04-19,0.0391,0.0473,0.0307,0.047,14852
2024-04-22,0.0469,0.05,0.0401,0.049405,33565
2024-04-23,0.0499,0.0499,0.04,0.0495,31823
2024-04-24,0.040101,0.040101,0.040101,0.040101,123
2024-04-25,0.045,0.0497,0.043525,0.0457,51273
2024-04-26,0.0403,0.0498,0.0403,0.0498,10704
2024-04-29,0.0403,0.0529,0.03,0.0444,160577
2024-04-30,0.04,0.0442,0.0366,0.0401,42954
2024-05-01,0.04,0.043049,0.04,0.043,6120
2024-05-02,0.0431,0.0498,0.0375,0.0493,102492
2024-05-03,0.0498,0.0799,0.0482,0.069901,662457
2024-05-06,0.07,0.0798,0.0459,0.0595,61332
2024-05-07,0.051,0.0649,0.051,0.057101,27005
2024-05-08,0.0899,0.0899,0.0553,0.0736,30456
2024-05-09,0.0506,0.0736,0.0504,0.073,24838
2024-05-10,0.073,0.075,0.0522,0.0686,28143
2024-05-13,0.0749,0.0749,0.0605,0.0662,29056
2024-05-14,0.063451,0.0748,0.0521,0.0681,30586
2024-05-15,0.061549,0.0616,0.0528,0.0595,8192
2024-05-16,0.06,0.0697,0.0464,0.0697,30426
2024-05-17,0.0502,0.0654,0.0361,0.060101,99542
2024-05-20,0.0501,0.0577,0.0501,0.0511,35763
2024-05-21,0.0505,0.0505,0.05,0.05,5058
2024-05-22,0.0525,0.0596,0.0525,0.0596,6302
2024-05-23,0.0665,0.0665,0.0503,0.0503,13150
2024-05-24,0.0503,0.0503,0.0451,0.0503,26450
2024-05-28,0.0598,0.0599,0.0489,0.055351,44120
2024-05-29,0.055999,0.06,0.0477,0.059,79081
2024-05-30,0.059,0.059,0.05,0.0545,39788
2024-05-31,0.059,0.0666,0.0575,0.06,98905
2024-06-03,0.0666,0.066601,0.0588,0.059978,15465
2024-06-04,0.0648,0.0648,0.05,0.0575,176059
2024-06-05,0.0475,0.0623,0.04725,0.0484,310233
2024-06-06,0.0584,0.0584,0.041,0.05025,316293
2024-06-07,0.0502,0.0502,0.0376,0.045,137029
2024-06-10,0.05,0.055,0.0438,0.045,234020
2024-06-11,0.05,0.0503,0.04101,0.04101,65838
2024-06-12,0.049799,0.0498,0.045,0.049299,45900
2024-06-14,0.0463,0.0463,0.04,0.04,2040
2024-06-17,0.044,0.049,0.0402,0.045,17538
2024-06-18,0.049,0.049,0.0435,0.0436,11937
2024-06-20,0.048,0.048,0.0412,0.043899,27161
2024-06-21,0.0445,0.045,0.04,0.0401,24944
2024-06-24,0.04,0.0515,0.04,0.0515,34411
2024-06-25,0.0483,0.04979,0.04,0.0487,9323
2024-06-26,0.0498,0.055,0.0498,0.0549,25879
2024-06-27,0.052,0.06,0.052,0.055,14467
2024-06-28,0.064838,0.0749,0.055,0.0555,32144
2024-07-01,0.0594,0.0594,0.0406,0.0435,79490
2024-07-02,0.0436,0.0439,0.04,0.0417,28634
2024-07-03,0.0401,0.0497,0.0401,0.0462,34761
2024-07-05,0.0462,0.0649,0.0399,0.0499,213620
2024-07-08,0.0649,0.0649,0.04,0.0405,179418
2024-07-09,0.0404,0.0497,0.0404,0.045,1899
2024-07-10,0.0403,0.045,0.04,0.043,4585
2024-07-11,0.0449,0.057099,0.0403,0.052,34645
2024-07-12,0.048,0.068,0.0458,0.0575,65595
2024-07-15,0.06,0.06,0.05105,0.058,44456
2024-07-16,0.05,0.058,0.04615,0.052999,25157
2024-07-17,0.050101,0.058,0.050101,0.057899,4900
2024-07-18,0.0462,0.0492,0.0462,0.0491,2140
2024-07-19,0.058,0.058,0.058,0.058,275
2024-07-22,0.05,0.058,0.05,0.0579,11047
2024-07-23,0.055,0.056,0.05,0.0508,54231
2024-07-24,0.0508,0.053,0.05,0.053,11942
2024-07-25,0.055899,0.055899,0.055899,0.055899,750
2024-07-26,0.050999,0.056,0.046,0.056,9955
2024-07-29,0.057,0.057,0.0485,0.0485,597
2024-07-30,0.0495,0.0495,0.0356,0.04,94661
2024-07-31,0.0353,0.05,0.0353,0.046889,6809
2024-08-01,0.049899,0.0501,0.049899,0.0501,13951
2024-08-02,0.05,0.05,0.046651,0.046651,1100
2024-08-05,0.05,0.051,0.0353,0.038911,6780
2024-08-06,0.039899,0.04,0.035,0.038999,23555
2024-08-07,0.0413,0.0413,0.0353,0.0353,5655
2024-08-08,0.0425,0.055,0.0304,0.0506,86830
2024-08-09,0.044,0.0512,0.0313,0.0447,61441
2024-08-12,0.0415,0.0429,0.0415,0.0428,5300
2024-08-13,0.04245,0.0465,0.0376,0.0398,164480
2024-08-14,0.04,0.05,0.0355,0.0402,204763
2024-08-15,0.052399,0.0565,0.0499,0.0515,178407
2024-08-16,0.055,0.0998,0.045,0.0765,248863
2024-08-19,0.0895,0.1499,0.0737,0.1,392784
2024-08-20,0.0902,0.1173,0.0902,0.100101,449689
2024-08-21,0.1,0.105,0.088,0.105,124965
2024-08-22,0.105,0.1111,0.0801,0.1029,116341
2024-08-23,0.105,0.1108,0.1,0.104,60127
2024-08-26,0.1099,0.1099,0.08,0.089,39610
2024-08-27,0.098,0.098,0.0803,0.0899,17932
2024-08-28,0.099,0.0999,0.0862,0.09,6941
2024-08-29,0.084399,0.1,0.0831,0.1,25329
2024-08-30,0.11,0.1111,0.0949,0.1,46914
