date,open,high,low,close,volume
2024-10-17,5.1,10.65,5.1,6,1655154.0
2024-10-18,7.11,8.375,6.33,7.75,495495
2024-10-21,7.1,8.81,6.99,8.74,296008
2024-10-22,9,11.75,8.886,9.39,347062
2024-10-23,9.35,9.62,7.5,8.12,323454
2024-10-24,8.12,8.12,6.5,7.12,162355
2024-10-25,7.17,7.5,6.67,7.35,30129
2024-10-28,7.64,7.64,6.8002,7.15,51421
2024-10-29,6.82,7.68,6.7,7.41,286106
2024-10-30,7.01,8.7,7,8.27,35066
2024-10-31,8.08,8.4298,7.72,8.05,127491
2024-11-01,8.01,8.47,7.77,8.01,43331
2024-11-04,7.95,8.41,7.15,7.1515,66772
2024-11-05,7.07,7.5,7,7.449,58510
2024-11-06,7.89,7.89,7,7.3,30708
2024-11-07,7.113,7.2588,6.49,6.92,111760
2024-11-08,6.71,7.26,6.3,6.75,49591
2024-11-11,7.04,7.06,6.78,6.9199,61891
2024-11-12,6.95,9.5,4.8,5.64,568381
2024-11-13,7.92,8.5,5.7,6.47,973623
2024-11-14,7,7.5,5.97,6.34,785633
2024-11-15,6.44,6.88,5.4,6.03,420821
2024-11-18,5.67,6.4199,5.67,6.13,108806
2024-11-19,5.8,6.31,5.8,6.14,24313
2024-11-20,6.36,6.8,6.02,6.73,297837
2024-11-21,6.15,6.52,6.1,6.4112,333213
2024-11-22,6.28,6.45,6.15,6.15,50030
2024-11-25,6.42,6.7098,6.25,6.44,25170
2024-11-26,6.31,6.89,6.234,6.7365,261072
2024-11-27,6.6347,7.38,6.62,7.2757,58403
2024-11-29,7.28,7.5929,6.6,6.74,151739
2024-12-02,6.5,6.65,6.25,6.57,43776
2024-12-03,6.86,11.95,5.5,11.95,1473563.0
2024-12-04,7.6,9.48,7.29,8.01,675307
2024-12-05,9.93,56.01,7.2,56.01,6506463.0
2024-12-06,14.5,15.4,2.27,3.62,27579681.0
2024-12-09,3.09,3.17,2.73,2.78,4667409.0
2024-12-10,2.49,2.4949,2.2,2.28,2057440.0
2024-12-11,2.35,2.49,2.01,2.1,1825533.0
2024-12-12,2.15,2.31,2.1,2.1,1328666.0
2024-12-13,2.03,2.0963,1.61,1.79,1804144.0
2024-12-16,1.72,1.78,1.61,1.63,776472
2024-12-17,1.6,1.6,1.43,1.46,758092
2024-12-18,1.47,1.5399,1.22,1.37,969905
2024-12-19,1.33,1.61,1.33,1.46,612771
2024-12-20,1.33,1.5,1.33,1.41,341575
2024-12-23,1.38,1.4699,1.38,1.38,306885
2024-12-24,1.47,1.55,1.42,1.51,279620
2024-12-26,1.42,1.6,1.42,1.52,486884
2024-12-27,1.6,1.62,1.44,1.51,537615
2024-12-30,1.58,1.58,1.33,1.42,363480
2024-12-31,1.4,1.6,1.37,1.53,512408
2025-01-02,2.82,2.85,1.97,2.17,31119402.0
2025-01-03,2.17,2.46,2.03,2.14,2831111.0
2025-01-06,2.08,2.09,1.5,1.85,1294806.0
2025-01-07,1.86,1.9,1.63,1.7,513766
2025-01-08,1.59,1.63,1.5,1.62,671479
2025-01-10,1.69,1.7,1.51,1.55,213127
2025-01-13,1.51,1.61,1.1601,1.44,445728
2025-01-14,1.52,1.96,1.4,1.62,1999912.0
2025-01-15,1.61,1.6499,1.43,1.54,487293
2025-01-16,1.56,1.64,1.55,1.57,203577
2025-01-17,1.56,1.62,1.56,1.59,184693
2025-01-21,1.63,1.63,1.48,1.52,280735
2025-01-22,1.55,1.5519,1.4201,1.44,200282
2025-01-23,1.43,1.48,1.33,1.39,203199
2025-01-24,1.42,1.44,1.35,1.42,253924
2025-01-27,1.39,1.44,1.375,1.38,194675
2025-01-28,1.36,1.43,1.35,1.4,131339
2025-01-29,1.38,1.42,1.3,1.35,124941
2025-01-30,1.33,1.38,1.33,1.35,129247
2025-01-31,1.37,1.46,1.3401,1.38,280499
2025-02-03,1.3,1.351,1.2299,1.27,251381
2025-02-04,1.27,1.32,1.24,1.3,157354
2025-02-05,1.29,1.29,1.19,1.195,255005
2025-02-06,1.19,1.25,1.18,1.21,168597
2025-02-07,1.23,1.27,1.12,1.14,266075
2025-02-10,1.06,1.0799,1,1.04,521886
2025-02-11,1,1.0485,0.95,0.99,182070
2025-02-12,0.97,1.04,0.9355,0.99,226658
2025-02-13,0.9861,1.2,0.9861,1.05,271595
2025-02-14,1.03,1.1884,1.03,1.1,229549
2025-02-18,1.05,1.1,1.01,1.05,155181
2025-02-19,1.02,1.2,1.02,1.12,197740
2025-02-20,1.14,1.14,1.04,1.1,57719
2025-02-21,1.1,1.1477,1.08,1.12,2364406.0
2025-02-24,1.6002,2.28,1.305,1.36,45900277.0
2025-02-25,1.24,1.29,1.11,1.29,1298115.0
2025-02-26,1.25,1.33,1.2,1.26,380895
2025-02-27,1.18,1.36,1.18,1.2,421103
2025-02-28,1.2,1.3195,1.15,1.27,377096
