date,open,high,low,close,volume
2024-03-01,5.113,5.378,5,5.2,5753.7
2024-03-04,5.101,5.356,5.1,5.1,2046.2
2024-03-05,5.39,5.39,5,5.066,3862.8
2024-03-06,5.066,5.34,4.867,5.18,2881.5
2024-03-07,5.17,5.18,5,5,1249.9
2024-03-08,5.1,5.1,4.85,4.901,3680.3
2024-03-11,5,5.2062,4.85,5.2,992.6
2024-03-12,5,5.2,4.9,4.91,2512.8
2024-03-13,4.9,5.197,4.9,4.9,3755.7
2024-03-14,4.8942,5.4,4.8,5,9051.5
2024-03-15,5.1,5.349,4.9,5.145,6296.9
2024-03-18,5.1,5.101,4.911,5.005,3083.6
2024-03-19,5,5.2,4.82,5,1298.8
2024-03-20,4.9,5.25,4.9,5,1209
2024-03-21,5.2,5.2,5.1,5.12,1402.5
2024-03-22,5.1,5.1,4.9,4.9,1067.5
2024-03-25,4.987,5.19,4.987,5,434.3
2024-03-26,5,5.229,4.811,4.811,1244.4
2024-03-27,5.3,5.3,4.666,5.014,2761.6
2024-03-28,4.9,5.15,4.8,4.956,996.8
2024-04-01,4.956,5,4.81,5,2865.1
2024-04-02,4.85,4.9,4.783,4.9,574.1
2024-04-03,4.9,4.9,4.8,4.899,1253.2
2024-04-04,4.899,4.899,4.666,4.666,2742.4
2024-04-05,4.67,4.935,4.501,4.71,2558.9
2024-04-08,4.55,4.71,4.55,4.627,1245.7
2024-04-09,4.84,5.2,4.609,4.609,154
2024-04-10,4.505,5.2,4.505,4.505,380.8
2024-04-11,5.09,5.09,4.585,4.758,6623.6
2024-04-12,4.5001,4.7,4.5,4.6399,4215.4
2024-04-15,4.64,4.74,4.201,4.4,5049.3
2024-04-16,4.481,4.481,4.21,4.25,3751.6
2024-04-17,4.202,4.3055,4.111,4.111,1818.7
2024-04-18,4.1,5.09,4,5.09,211264.4
2024-04-19,4.733,4.816,4.101,4.11,25108.2
2024-04-22,4.1,4.479,4,4,5791.4
2024-04-23,4.15,5.78,4.1,5,29463.7
2024-04-24,4.26,4.725,4.26,4.583,5103.9
2024-04-25,4.1,4.399,4.083,4.083,4369
2024-04-26,4.129,4.8,4.1,4.242,2533.9
2024-04-29,4.242,4.47,4,4.173,912.2
