date,open,high,low,close,volume
2024-03-01,8.78,8.8,8,8.126,82841.6
2024-03-04,8.4,8.6,8.2,8.452,49868.1
2024-03-05,8.54,8.54,7.8,7.916,86203.95
2024-03-06,8.28,8.4,7.916,8.1,41670.35
2024-03-07,8.234,8.4,7.8,8.226,59152.65
2024-03-08,8.198,8.244,7.644,7.904,61865.65
2024-03-11,8,8,7.666,7.818,57153.85
2024-03-12,7.4,7.688,6.4,6.992,219925.8
2024-03-13,6.6,6.938,6.154,6.462,180019.8
2024-03-14,6.41,6.73,5.0401,5.73,570024
2024-03-15,5.64,10.7199,5.62,8.24,2273699.0
2024-03-18,8.09,8.42,7.31,7.785,419303
2024-03-19,7.59,7.72,7.11,7.405,202773
2024-03-20,7.2,7.455,6.74,6.78,278318
2024-03-21,6.82,7.74,6.8,7.04,277126
2024-03-22,10.77,11.72,8.3,8.63,21033281.0
2024-03-25,8.74,8.93,7.7,8.51,835575
2024-03-26,8.14,8.97,8.1199,8.68,413743
2024-03-27,9.36,10.55,8.77,9.37,1469214.0
2024-03-28,9.39,12.7,9.36,11.94,1556224.0
2024-04-01,12.36,12.8499,9.95,10.26,1185045.0
2024-04-02,10.33,10.95,8.85,9.7,1015614.0
2024-04-03,9.78,10.21,9,9.12,774705
2024-04-04,9.2,9.86,8.74,9.52,895790
2024-04-05,9.5,9.61,9.0501,9.26,198467
2024-04-08,9.23,9.48,8.89,9.35,248028
2024-04-09,9.35,9.98,9.03,9.26,359778
2024-04-10,9.06,9.15,8.55,8.99,503035
2024-04-11,9.09,9.34,8.75,9.04,394021
2024-04-12,9.03,9.19,8.6101,8.7,267111
2024-04-15,8.5,8.79,8.44,8.62,234810
2024-04-16,8.54,9.0399,8.54,8.75,136801
2024-04-17,8.93,9.26,8.53,8.61,347650
2024-04-18,8.79,8.835,8.1208,8.29,233799
2024-04-19,8.28,8.63,8,8.17,271291
2024-04-22,8.27,8.365,7.8,8.09,183952
2024-04-23,8.21,8.44,8.15,8.2,151657
2024-04-24,8.29,8.66,8,8.2,239453
2024-04-25,8.14,8.37,7.85,8.19,149767
2024-04-26,8.22,8.5,8.135,8.43,120726
2024-04-29,8.35,9.19,8.35,9.1,150797
2024-04-30,9.1,9.2899,8.8114,8.92,207151
2024-05-01,8.93,9.123,8.49,8.5,193931
2024-05-02,8.6,8.605,8.2703,8.5,202031
2024-05-03,8.57,8.88,8.515,8.6,101009
2024-05-06,8.91,8.91,8.4501,8.5,241264
2024-05-07,8.61,8.76,8.17,8.21,200305
2024-05-08,8.2,8.26,7.81,8,454623
2024-05-09,8.18,8.18,7.6016,7.73,223689
2024-05-10,7.75,7.825,7.5253,7.58,392557
2024-05-13,7.57,8.13,7.5,7.54,400795
2024-05-14,7.62,7.82,7.29,7.4,225546
2024-05-15,7.46,7.57,7.345,7.43,313358
2024-05-16,7.14,7.36,6.798,7.33,399268
2024-05-17,7.34,7.92,7.1801,7.78,187653
2024-05-20,7.71,8.05,7.68,7.95,235067
2024-05-21,7.95,8.04,7.62,7.87,192096
2024-05-22,7.83,8.3,7.83,8,221975
2024-05-23,8,8.18,7.34,7.53,243426
2024-05-24,7.59,7.95,7.38,7.9,228401
2024-05-28,7.62,7.95,7.05,7.935,660967
2024-05-29,7.8,7.8,7.105,7.13,256835
2024-05-30,7.18,7.28,6.99,7.22,233461
2024-05-31,7.26,7.35,6.89,7.07,166446
2024-06-03,7.07,7.198,6.9,7,224183
2024-06-04,7.05,7.3,6.79,7.19,265769
2024-06-05,7.24,7.49,7.07,7.2,133839
2024-06-06,7.2,7.37,7,7.04,172438
2024-06-07,6.93,7.0375,6.65,6.79,176635
2024-06-10,6.69,7.24,6.6583,7.07,229120
2024-06-11,7.07,7.65,7.07,7.63,192847
2024-06-12,7.85,8,7.435,7.55,185599
2024-06-13,7.55,7.75,7.5275,7.66,96019
2024-06-14,7.67,7.96,7.57,7.67,112168
2024-06-17,7.58,7.9,7.51,7.56,103324
2024-06-18,7.58,7.84,7.054,7.07,153813
2024-06-20,7.25,7.67,7.23,7.59,172789
2024-06-21,7.72,7.72,7.37,7.63,679728
2024-06-24,7.63,7.95,7.424,7.43,234220
2024-06-25,7.47,7.505,7.16,7.2,219813
2024-06-26,7.17,7.1999,6.985,7.15,149366
2024-06-27,7.15,7.52,7.1,7.51,178359
2024-06-28,7.5,7.5,6.86,7.38,761407
2024-07-01,7.37,7.5473,7.28,7.41,104967
2024-07-02,7.41,7.4646,7.08,7.09,99667
2024-07-03,7.12,7.26,6.98,7.08,85302
2024-07-05,7,7.375,6.93,7.32,170466
2024-07-08,7.37,7.9,7.2297,7.86,251794
2024-07-09,7.83,8,7.68,7.9,222633
