date,open,high,low,close,volume
2024-03-01,90.54,90.54,88.63,89.68,189045
2024-03-04,89.48,90.6,88.74,89.77,189434
2024-03-05,89.23,89.94,86.2,86.37,200475
2024-03-06,87.37,87.9718,85.55,85.63,327636
2024-03-07,85.8,86.59,84.48,85.34,263995
2024-03-08,85.39,86.86,84.79,84.99,227385
2024-03-11,84.5,84.925,82.77,83.25,257587
2024-03-12,82.92,83.51,81.67,82.11,210749
2024-03-13,82.15,83.09,81.21,81.9,352234
2024-03-14,81.9,81.9,80.07,81.41,283353
2024-03-15,80.88,82.17,80.58,80.84,527350
2024-03-18,80.63,81.7426,80.135,80.31,269428
2024-03-19,80,81.14,80,80.35,255011
2024-03-20,80.35,81.96,80.0806,81.58,168583
2024-03-21,82.01,82.02,80.845,81.27,190851
2024-03-22,81.04,81.65,80.73,81.01,206248
2024-03-25,81.37,82.32,81.175,82.08,188520
2024-03-26,81.84,82.92,81.19,82.17,485509
2024-03-27,82.93,85.26,82.645,85.15,1585307.0
2024-03-28,85.15,87.005,85.135,86.4,486041
2024-04-01,86.44,86.58,85.18,85.81,194050
2024-04-02,85.07,85.75,84.06,85.02,225914
2024-04-03,84.41,85.91,84.41,85.21,178567
2024-04-04,85.77,86.12,84.74,85.29,213615
2024-04-05,84.8,86.235,84.5,86.15,165790
2024-04-08,86.55,88,86.04,87.39,221755
2024-04-09,86.92,87.62,84.1,84.46,224835
2024-04-10,82.62,83.36,81.88,82.89,220143
2024-04-11,83.14,83.58,82.79,82.93,131669
2024-04-12,82.62,83.52,82.4906,83.01,158001
2024-04-15,82.77,83.6,82.56,83.02,186630
2024-04-16,82.44,83.21,81.65,83.1,144538
2024-04-17,83.81,84.165,82.035,82.13,121197
2024-04-18,82.26,83.17,81.82,82.29,131481
2024-04-19,82.19,84.41,82.19,84.25,182440
2024-04-22,84.48,84.87,83.7811,84.28,110082
2024-04-23,83.96,85.46,83.75,85.04,170020
2024-04-24,84.6,86,84.56,85.7,116882
2024-04-25,84.99,85.8,84.38,85.57,95985
2024-04-26,85.62,86.27,84.44,84.58,120601
2024-04-29,85.05,86.28,85.05,86.01,111764
2024-04-30,85.6,85.88,84.9803,85.36,158428
2024-05-01,85.71,87.48,84.95,86.71,134128
2024-05-02,87.47,87.51,86.51,87.05,121754
2024-05-03,88.02,88.19,87.08,87.82,104851
2024-05-06,88.45,90.73,88.405,90.66,290745
2024-05-07,93,97.19,90.06,90.3,441428
2024-05-08,89.94,92.8,88.08,92.73,182550
2024-05-09,92.5,93.715,91.62,91.79,157791
2024-05-10,91.4,93.355,90.7701,92.94,144854
2024-05-13,93.52,93.82,92.06,92.43,133189
2024-05-14,93.36,93.575,91.555,91.96,156040
2024-05-15,92.79,93.0675,91.89,92.01,97005
2024-05-16,91.59,92.565,91.5,92.22,86932
2024-05-17,92.58,93,91.96,92.16,97394
2024-05-20,92.1,92.13,91.07,91.93,110062
2024-05-21,91.85,92.64,91.85,92.07,102381
2024-05-22,91.63,92.145,91.2,91.36,97908
2024-05-23,91.16,91.17,89.6126,90.12,200702
2024-05-24,90.84,91.13,90.365,90.9,122489
2024-05-28,91.37,91.37,88.6168,89.29,94172
2024-05-29,87.86,88.5,87.565,88.11,129972
2024-05-30,88.69,89.95,88.67,89.95,118389
2024-05-31,89.9,91.37,89.66,90.47,163577
2024-06-03,90.86,91.8,89.55,89.9,262140
2024-06-04,89.46,89.93,88.66,89.27,208804
2024-06-05,89.72,90.47,88.985,90.14,194496
2024-06-06,89.54,90.79,87.88,88.87,191459
2024-06-07,88.09,89.5848,88.09,88.22,202847
2024-06-10,87.75,87.895,85.28,86.52,153251
2024-06-11,85.62,86.855,85.2301,86.71,131313
2024-06-12,88.25,89,87.31,88,140235
2024-06-13,87.74,87.74,86.53,87,96770
2024-06-14,85.82,87.175,85.45,86.27,99758
2024-06-17,85.82,87.67,85.82,87.48,123965
2024-06-18,87.03,87.39,86.4,86.55,126774
2024-06-20,85.95,87.7,85.95,86.64,145057
2024-06-21,86.61,87.2899,85.6,86.25,460655
2024-06-24,86.13,87.23,85.665,85.71,251941
2024-06-25,85.72,86.975,85,86.6,273562
2024-06-26,85.99,86.87,85.09,86.2,891001
2024-06-27,86.5,88.34,86.205,87.61,156859
2024-06-28,88.52,89,86.8,87.59,676899
2024-07-01,87.59,88.45,85.83,86.3,232880
2024-07-02,86.22,87.22,86.15,86.82,169184
2024-07-03,87.17,87.69,86.33,86.71,85899
2024-07-05,86.69,86.69,85.31,85.8,141525
2024-07-08,86.12,86.8754,85.43,85.9,139609
2024-07-09,85.65,85.92,83.94,84.07,135871
2024-07-10,84.63,85.54,83.65,85.48,123178
2024-07-11,87.08,87.51,86.47,87.23,279917
2024-07-12,87.83,88.64,87.69,87.82,126152
2024-07-15,88.06,88.88,86.94,88.71,179960
2024-07-16,89.15,94.39,89.15,94.3,250164
2024-07-17,94.03,95.83,93.5,94.15,168126
2024-07-18,93.56,93.84,92.2,92.61,138668
2024-07-19,93.11,94.25,92.73,92.75,183973
