date,open,high,low,close,volume
2024-03-01,9.19,9.32,9.19,9.25,12492
2024-03-04,9.29,9.29,9.075,9.16,9825
2024-03-05,9.17,9.33,9.12,9.3,6526
2024-03-06,9.18,9.37,9.18,9.37,5830
2024-03-07,9.37,9.47,9.37,9.41,4935
2024-03-08,9.48,9.48,9.36,9.44,8712
2024-03-11,9.5,9.5,9.41,9.41,4373
2024-03-12,9.375,9.42,9.27,9.33,6240
2024-03-13,9.3,9.38,9.3,9.38,6319
2024-03-14,9.29,9.3,9.155,9.21,26489
2024-03-15,9.06,9.28,9.06,9.26,51209
2024-03-18,9.0828,9.3,9.0828,9.26,5095
2024-03-19,9.22,9.34,9.22,9.3,6095
2024-03-20,9.23,9.35,9.1615,9.35,11358
2024-03-21,9.26,9.36,9.26,9.36,10074
2024-03-22,9.29,9.3739,9.285,9.3,5346
2024-03-25,9.26,9.91,9.11,9.76,77184
2024-03-26,9.77,9.77,9.59,9.77,7860
2024-03-27,9.75,9.93,9.68,9.9,12309
2024-03-28,9.73,9.81,9.73,9.81,8349
2024-04-01,9.67,9.9436,9.4101,9.46,12521
2024-04-02,9.35,9.6299,9.2701,9.43,16009
2024-04-03,9.4,9.4,9.18,9.33,19989
2024-04-04,9.38,9.38,9.23,9.3,9344
2024-04-05,9.28,9.38,9.28,9.31,15902
2024-04-08,9.3,9.35,9.12,9.35,6712
2024-04-09,9.22,9.31,9.22,9.3,4133
2024-04-10,9.3,9.37,9.06,9.12,25742
2024-04-11,9.2,9.2,9.08,9.095,30176
2024-04-12,9.14,9.14,9.01,9.01,9562
2024-04-15,9.07,9.07,8.91,8.91,36186
2024-04-16,8.97,9.07,8.86,8.86,7623
2024-04-17,9.06,9.06,8.84,8.95,7497
2024-04-18,8.97,9.08,8.8717,9.025,11827
2024-04-19,8.98,9.1,8.98,9.1,10323
2024-04-22,9.08,9.1,8.96,9.09,8239
2024-04-23,9.08,9.09,8.9,8.95,11135
2024-04-24,8.83,8.9999,8.81,8.95,10331
2024-04-25,8.89,8.9899,8.88,8.96,12902
2024-04-26,8.98,9,8.8701,9,21803
2024-04-29,9,9,8.82,8.89,11696
2024-04-30,8.85,8.9,8.76,8.855,19903
2024-05-01,8.945,8.945,8.8,8.89,13032
2024-05-02,8.9,8.99,8.89,8.99,13073
2024-05-03,9,9.27,8.93,9.15,18712
2024-05-06,9.57,9.57,8.76,8.8,47470
2024-05-07,8.94,9.13,8.916,9.06,14308
2024-05-08,9.11,9.215,9.08,9.2,14141
2024-05-09,9.08,9.35,9.08,9.33,13416
2024-05-10,9.5,9.5,9.3,9.31,4749
